CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro2Anti1,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Misc.,TearGas,Source1,Source2,Source3,Source4,Source5,Source6,Source7,Source8,Source9,Source10,Source11,,,,,,,,
Dallas,Cathedral Guadalupe; Dallas City Hall,,TX,US,2020-11-01,,,,,,,League of United Latin American Citizens; Cara Mia Theatre ,"highlighting impact of COVID-19 on Latino community, for stronger state and federal action against coronavirus pandemic",0,caravan; vigil,,,,,1,1,,Day of the Dead Caravan and GOTV Vigil for Victims of COVID,,https://www.dallasnews.com/arts-entertainment/visual-arts/2020/10/31/art-organizations-join-day-of-the-dead-protest-of-pandemic-response/,,,,,,,,,,,,,,,,,,
Detroit,online,,MI,US,2020-11-01,,,,,,,Detroit Will Breathe,"Black Lives Matter, for defunding police, for police reform, for carceral reform, against criminalization of homelessness, for immigrants' rights, for disabled peoples' rights, for moratorium on evictions and foreclosures and against utility shutoffs during coronavirus pandemic",1,virtual rally,,,,,0,1,,,,https://detroitwillbreathe.info/events.html,,,,,,,,,,,,,,,,,,
Dubuque,Dubuque Regional Airport,,IA,US,2020-11-01,"thousands; about 6,000",2000,,6000,,,general protesters,for President Trump,2,rally,0,0,0,0,1,1,,Feat. President Trump,,https://www.wsoctv.com/news/local/president-trump-plans-sunday-campaign-rally-hickory-airport/4CEDQ5AFUJC3NBP65XZWEAHZEM/,https://www.siouxlandproud.com/election/president-trump-holds-campaign-rally-in-dubuque-predicts-red-wave-on-election-day/,https://www.telegraphherald.com/news/public_announcements/article_f596286a-049b-5b1d-a27b-e1c0578f6806.html,https://www.telegraphherald.com/news/tri-state/article_f8e414b1-2d20-59e0-85d1-de67d7a14d5b.html,https://muscatinejournal.com/news/local/trump-to-hold-rally-in-dubuque-on-sunday/article_c0cab27e-aaa6-5435-bcb3-7e26305e047c.html,https://www.press-citizen.com/story/news/politics/2020/10/30/president-donald-trump-dubuque-iowa-rally-november-1-election-2020/6088268002/,https://dailyiowan.com/2020/11/01/trump-rallies-in-dubuque-two-days-before-election-day/,https://www.bostonherald.com/2020/11/02/trump-rallies-on-election-day-eve-says-ballot-counting-after-tuesday-will-lead-to-cheating/,,,,,,,,,,,
Duluth,Infinite Energy Center,,GA,US,2020-11-01,,,,,,,general protesters,for Joe Biden,1,car rally,0,0,0,0,1,1,,,,https://www.albanyherald.com/multimedia/photos-sen-kamala-harris-visits-duluth-for-drive-in-rally-ahead-of-election/collection_4ba3b9ce-334e-52b6-a38d-16a8e78b9c02.html,https://www.gpb.org/news/2020/11/01/trump-harris-rallies-showcase-battle-for-georgias-votes-and-political-future,,,,,,,,,,,,,,,,,
Dunbar,Fayette County Fair,,PA,US,2020-11-01,,,,,,,general protesters,for President Trump,2,rally,0,0,0,0,1,1,,,,https://pittsburgh.cbslocal.com/2020/11/02/biden-trump-rally-car-cruise-butler-fayette-county/,,,,,,,,,,,,,,,,,,
East Chicago,,,IN,US,2020-11-01,,,,,,,general protesters,against criminal violence,0,rally,0,0,0,0,1,1,,,,https://www.nwitimes.com/news/local/watch-now-stop-the-violence-rally-in-east-chicago/video_62774226-81f1-5404-bf90-287af158a1a0.html,,,,,,,,,,,,,,,,,,
Easton,,,PA,US,2020-11-01,,,,,,,general protesters,for Joe Biden,1,rally,0,0,0,0,1,1,,,,https://www.wfmz.com/news/election/supporters-hold-biden-trump-rallies-in-eastern-pa/article_005356ee-1cf9-11eb-869e-e78c5e1d1ac3.html,,,,,,,,,,,,,,,,,,
El Centro,,,CA,US,2020-11-01,about a dozen,12,,12,,,general protesters,for President Trump,2,rally,0,0,0,0,1,1,,,,https://kyma.com/news/2020/11/01/locals-rally-for-biden-harris-campaign/,,,,,,,,,,,,,,,,,,
Eureka,Bayshore Mall,,CA,US,2020-11-01,about 40,40,,40,,,Life Chain,against abortion rights,2,demonstration,0,0,0,0,1,1,,National Life Chain,,https://kymkemp.com/2020/11/01/anti-abortion-protest-in-front-of-bayshore-mall-in-eureka-today/,,,,,,,,,,,,,,,,,,
Fairlawn,Borough Hall,,NJ,US,2020-11-01,,,,,,,general protesters,"for President Trump, for police",2,rally,,,,,1,1,,,,https://www.tapinto.net/articles/trump-pro-police-rally-set-for-nov-1-in-fair-lawn-as-council-grapples-with-public-assemblies-ordinance,,,,,,,,,,,,,,,,,,
Fayetteville,Fayetteville State University,,NC,US,2020-11-01,about 100,100,,100,,,general protesters,for Joe Biden,1,car rally,0,0,0,0,1,1,,Feat. Kamala Harris,,https://www.fayobserver.com/story/news/politics/2020/11/01/kamala-harris-rally-fayetteville-state-university/6083650002/,https://www.fayobserver.com/story/news/politics/2020/11/02/president-donald-trump-fayetteville-campaign-rally-election-2020/6116860002/,,,,,,,,,,,,,,,,,
