CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro2Anti1,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Misc.,TearGas,Source1,Source2,Source3,Source4,Source5,Source6,Source7,Source8,Source9,Source10,Source11,,,,,,,,
Omaha,Memorial Park,,NE,US,2020-11-14,two or three dozen,24,,36,,,ProBLAC,"against President Trump, against fascism, against racism, for LGBTQ+ rights, for immigrants' rights",1,counter-protest,0,0,0,0,0,1,20201114-omaha-stopthesteal,verbal clashes with protesters,,https://fox42kptm.com/news/local/trump-supporters-and-counter-protesters-clash-at-stop-the-steal-rally-in-omaha,https://omaha.com/news/local/govt-and-politics/over-100-people-attend-pro-trump-rally-and-its-counterprotest/article_b2860b77-bd10-5159-a3d6-c474193eb4b6.html,,,,,,,,,,,,,,,,,
Omak,Hwy 87 and Engh Rd,,WA,US,2020-11-14,,,,,,,general protesters,"for President Trump, against election fraud",2,rally,0,0,0,0,1,1,,,,https://www.omakchronicle.com/news/stop-the-steal-rally-questions-integrity-of-election/article_e2f73138-29be-11eb-a472-0f1a5345bcf4.html,,,,,,,,,,,,,,,,,,
Philadelphia,Rittenhouse Square,,PA,US,2020-11-14,,,,,,,Refuse Fascism; Refuse Fascism LA,"against President Trump, for election integrity, against fascism",1,rally,,,,,1,1,,Trump Is Still Trying to Steal the Election!,,https://www.facebook.com/events/1915320751943497/,,,,,,,,,,,,,,,,,,
Phoenix,Arizona State Capitol,,AZ,US,2020-11-14,"estimated 1,500",1500,,1500,,,general protesters,"for President Trump, against election fraud, against Oregon Governor Kate Brown",2,rally,0,0,0,0,1,1,,Stop the Steal,,https://www.dawn.com/news/1590517,https://www.abc15.com/news/election-2020/biden-supporters-celebrate-trump-supporters-protest-election-results-in-arizona,,,,,,,,,,,,,,,,,
Phoenix,Margaret T. Hance Park,,AZ,US,2020-11-14,a handful,5,,5,,,general protesters,for Joe Biden,1,rally,0,0,0,0,0,1,,,,https://www.abc15.com/news/election-2020/biden-supporters-celebrate-trump-supporters-protest-election-results-in-arizona,,,,,,,,,,,,,,,,,,
Plainfield,downtown,,IL,US,2020-11-14,,,,,,,Reopen Illinois Schools,for reopening public schools during coronavirus pandemic,0,caravan,0,0,0,0,1,1,,,,https://chicago.cbslocal.com/2020/11/14/plainfield-district-202-parents-hold-car-rally-demanding-that-kids-be-allowed-back-in-school/,,,,,,,,,,,,,,,,,,
Raleigh,North Carolina State Capitol,,NC,US,2020-11-14,hundreds,200,,200,,,Stop the Steal NC,"for President Trump, against election fraud, for patriotism, for freedom",2,rally,0,0,0,0,1,1,20201114-raleigh-stopthesteal,verbal clashes between protesters and counter-protesters,,https://www.cbs17.com/news/local-news/wake-county-news/trump-biden-demonstrations-face-off-in-downtown-raleigh/,https://www.wavy.com/news/politics/north-carolina-politics/pro-trump-group-met-by-black-lives-matters-protesters-in-raleigh/,,,,,,,,,,,,,,,,,
Raleigh,North Carolina State Capitol,,NC,US,2020-11-14,,,,,,,general protesters,"against President Trump, Black Lives Matter ",1,counter-protest,0,0,0,0,0,1,20201114-raleigh-stopthesteal,verbal clashes between protesters and counter-protesters,,https://www.cbs17.com/news/local-news/wake-county-news/trump-biden-demonstrations-face-off-in-downtown-raleigh/,https://www.wavy.com/news/politics/north-carolina-politics/pro-trump-group-met-by-black-lives-matters-protesters-in-raleigh/,,,,,,,,,,,,,,,,,
Rockford,Rockford City Hall,,IL,US,2020-11-14,,,,,,,May 30th Alliance,"against racism, against police violence, for justice for Tyris Jones, for dropping charges against protesters",1,occupation,,,,,1,1,,,,https://twitter.com/OccupyRKFD/status/1325178435442860033,,,,,,,,,,,,,,,,,,
Sacramento,California State Capitol,,CA,US,2020-11-14,hundreds,200,,200,,,Proud Boys,"for President Trump, against election fraud, for election recount, for recalling Governor Newsom, against coronavirus mandates and lockdowns, for Christian values, stop the steal",2,rally,0,1,0,0,1,1,20201114-sacramento-stopthesteal,some in tactical gear; verbal clashes with counter-protesters,,https://www.abc10.com/article/news/local/sacramento/trump-supporters-clash-with-counter-protesters-at-state-capitol/103-5a5c6963-484d-4207-88ba-62b1c8aecbd4,https://www.sacbee.com/news/local/article247196336.html,https://abc7news.com/million-maga-march-trump-rally-sacramento-california-president-donald/7972098/,https://sacramento.cbslocal.com/2020/11/15/trump-rally-arrest-wheelchair-attack/,https://twitter.com/AntifaSac_/status/1328248726591180801,https://www.kcra.com/article/hundreds-gather-downtown-trump-rally-counterprotests/34677606,,,,,,,,,,,,,
Sacramento,California State Capitol,,CA,US,2020-11-14,,,,,,,general protesters,"against President Trump, against fascism, against white supremacy, Black Lives Matter",1,counter-protest,1,0,0,0,0,1,20201114-sacramento-stopthesteal,black bloc; verbal clashes with rally-goers,,https://www.abc10.com/article/news/local/sacramento/trump-supporters-clash-with-counter-protesters-at-state-capitol/103-5a5c6963-484d-4207-88ba-62b1c8aecbd4,https://www.sacbee.com/news/local/article247196336.html,https://sacramento.cbslocal.com/2020/11/15/trump-rally-arrest-wheelchair-attack/,https://www.kcra.com/article/hundreds-gather-downtown-trump-rally-counterprotests/34677606,,,,,,,,,,,,,,,
Saint Paul,Minnesota Governor's Mansion,,MN,US,2020-11-14,over 500,500,,500,,,MN 350; Climate Justice Committee,"against overhaul of Line 3 oil pipeline, for environmental protection, for native peoples' rights",1,protest,0,0,0,0,1,1,,https://unicornriot.ninja/2021/resistance-to-line-3-direct-actions-aim-to-stop-construction/,,http://www.fightbacknews.org/2020/11/16/environmental-activists-come-out-protest-line-3-oil-pipeline,https://minnesota.cbslocal.com/2020/11/14/protesters-gather-at-governors-residence-over-line-3-pipeline/,https://unicornriot.ninja/2020/protests-after-permits-for-line-3-oil-pipeline-approved/,https://themacweekly.com/79231/home/line-3-protests-escalate-after-walz-administration-greenlights-construction/,,,,,,,,,,,,,,,
Salem,Oregon State Capitol,,OR,US,2020-11-14,about 200; hundreds,200,,200,,,general protesters,"for President Trump, against election fraud, against Governor Brown",2,rally,0,0,0,0,1,1,,Stop the Steal,,https://twitter.com/MrOlmos/status/1327687370351624192,https://www.kptv.com/news/hundreds-gather-to-support-president-trump-in-defeat-the-steal-rally-in-salem/article_0e64bdfe-26ea-11eb-87ea-eff5d05f0eeb.html,https://www.oregonlive.com/politics/2020/11/portlands-purloined-nightmare-elk-statue-turns-up-at-pro-trump-rally-in-salem.html,https://pamplinmedia.com/pt/9-news/487898-392722-elk-statue-reappears-at-trump-rally-at-oregon-capitol-,https://www.kptv.com/news/hundreds-gather-to-support-president-trump-in-defeat-the-steal-rally-in-salem/article_0e64bdfe-26ea-11eb-87ea-eff5d05f0eeb.html?block_id=994645,,,,,,,,,,,,,,
San Diego,Waterfront Park,,CA,US,2020-11-14,"hundreds; thousands; reported 2,000",200,,2000,,,general protesters,"for President Trump, against election fraud",2,rally,0,0,0,0,1,1,,Stop the Steal,https://fox5sandiego.com/news/local-news/trump-supporters-rally-at-waterfront-park/,https://www.cbs8.com/article/news/politics/hundreds-rally-to-support-president-trump-at-waterfront-park/509-d444add9-a7ff-4fb2-87ce-73497d116d2c,https://timesofsandiego.com/politics/2020/11/14/waterfront-rally-to-support-trump-draws-2000-another-planned-sunday/,https://www.kusi.com/thousands-of-trump-supporters-participate-in-stop-the-steal-rally-at-waterfront-park/,,,,,,,,,,,,,,,,
San Diego,"Del Mar Heights Rd & El Camino Real, Carmel Valley",,CA,US,2020-11-14,count pic,8,,10,,,Carmel Valley for Equal Justice,"against racism, against police violence, Black Lives Matter, equal justice for all now, end racial profiling",1,demonstration,,,,,0,1,,,,https://www.delmartimes.net/news/story/2021-05-23/carmel-valley-floyd-rallies,https://www.instagram.com/p/CHleW6JjosJ/,,,,,,,,,,,,,,,,,
San Francisco,Union Square to San Francisco Federal Building,,CA,US,2020-11-14,several hundred,300,,300,,,La Pena Cultural Center; No Justice Under Capitalism; Prisoner Solidarity Committee of Workers World Party; Answer Coalition Bay Area,"for abolishing ICE, against border wall, against Muslim ban, for ending all deportations, against forced sterilization of migrant women, against President Trump",1,march,0,0,0,0,1,1,,"Close the Camps, Abolish ICE!",,https://www.facebook.com/events/2281830545285759/,https://www.workers.org/2020/11/52606/,,,,,,,,,,,,,,,,,
San Francisco,1 Powell St,,CA,US,2020-11-14,,,,,,,Refuse Fascism,"against President Trump, for election integrity, against fascism",1,rally,,,,,0,1,,Trump Is Still Trying to Steal the Election!,,https://refusefascism.org/2020/11/09/136120/,,,,,,,,,,,,,,,,,,
Santa Fe,Cathedral Basilica,,NM,US,2020-11-14,,,,,,,Catholics,against archbishop's decision to restrict indoor Catholic mass during coronavirus pandemic,0,protest,0,0,0,0,1,1,,,,https://www.krqe.com/news/protests/protests-for-in-person-mass-continue-in-santa-fe/,,,,,,,,,,,,,,,,,,
Seattle,Green Lake Park,,WA,US,2020-11-14,,,,,,,Refuse Fascism; Refuse Fascism Seattle,"against President Trump, for election integrity, against fascism",1,rally,,,,,1,1,,Trump Is Still Trying to Steal the Election!,,https://www.facebook.com/events/842388499949029/,,,,,,,,,,,,,,,,,,
Sherman Oaks,"Sherman Oaks Galleria, Sepulveda Blvd and Ventura Blvd",,CA,US,2020-11-14,,,,,,,The Valley of Change,"Black Lives Matter, against police brutality",1,demonstration,,,,,1,1,,,,https://twitter.com/ACatWithNews/status/1423588411227611136,,,,,,,,,,,,,,,,,,
Springfield,Park Central Square,,MO,US,2020-11-14,nearly 100,100,,100,,,general protesters,for Joe Biden,1,rally,0,0,0,0,1,1,,,,https://www.news-leader.com/picture-gallery/news/local/ozarks/2020/11/14/rally-square-celebrate-president-elect-biden-and-progressive-causes/6297981002/,,,,,,,,,,,,,,,,,,
Sterling,Trump National Golf Club,,VA,US,2020-11-14,,,,,,,general protesters,for President Trump,2,rally,0,0,0,0,1,1,,,,https://wtop.com/gallery/media-galleries/photos-trump-supporters-march-on-dc-to-protest-election-results/,,,,,,,,,,,,,,,,,,
Stockton,,,MO,US,2020-11-14,count video,26,,26,,,general protesters,in support of students impacted by unlicensed boarding school,0,rally,0,0,0,0,1,1,,,,https://www.kansascity.com/news/article247195164.html,,,,,,,,,,,,,,,,,,
Tulsa,LaFortune Park,,OK,US,2020-11-14,hundreds,200,,200,,,Tulsa County Republican Party,"for President Trump, against election fraud",2,rally,0,0,0,0,1,1,,Protect the Vote,,https://tulsaworld.com/news/local/local-trump-supporters-converge-for-protect-the-vote-rally-in-defense-of-presidents-election-challenge/article_af0824cc-2630-11eb-bba1-737b5fa1aeba.html,,,,,,,,,,,,,,,,,,
Walnut Creek,Lacassie Ave and Locust St to Main St to Walnut Creek City Hall,,CA,US,2020-11-14,about 80; 100-200,80,,200,,,East Bay Resistance,"against racism, against police brutality, for abolishing police, against President Trump",1,protest,0,0,0,1,1,1,,,,https://sfbayca.com/2020/11/14/altercation-breaks-out-at-walnut-creek-protest/,https://www.eastbaytimes.com/2020/11/15/walnut-creek-police-seek-tips-to-id-suspects-from-weekend-protest/,https://sanfrancisco.cbslocal.com/2020/11/16/walnut-creek-police-seek-public-help-identifying-vandalism-suspects-from-nov-14th-protest/,https://eastcountytoday.net/police-chief-responds-to-social-media-rhetoric-on-recent-protest-in-downtown-walnut-creek/,,,,,,,,,,,,,,,
Warrenton,Courthouse Square,,VA,US,2020-11-14,,,,,,,"Fauquier NAACP; League of Women Voters of the Fauquier and Prince William Area; Virginia Interfaith Center for Public Policy, Northern Piedmont chapter; Afro-American Historical Association of Fauquier County; Piedmont Race Amity Project",Black Lives Matter,1,vigil,,,,,1,1,,,,https://www.fauquier.com/news/photos-saturdays-march-for-black-lives-marks-1-year-since-first-blm-protest-in-warrenton/article_cc400d8a-c657-11eb-abaf-5356e970b69f.html,,,,,,,,,,,,,,,,,,1
Warwick,Post Rd,,RI,US,2020-11-14,count video,18,,18,,,general protesters,"for President Trump, against election fraud, for patriotism, for freedom, it's not over, against state coronavirus stay-at-home order",2,rally,0,0,0,0,1,1,20201114-warwick-stopthesteal,rallied overnight; unspecified physical clash between protesters and counter-protesters,,https://www.abc6.com/trump-supporters-rally-in-warwick/,https://www.wpri.com/news/local-news/west-bay/warwick-pro-trump-rally-protesters-say-they-will-be-there-all-night/,,,,,,,,,,,,,,,,,
Warwick,Post Rd,,RI,US,2020-11-14,,,,,,,general protesters,against President Trump,1,counter-protest,1,0,0,0,0,1,20201114-warwick-stopthesteal,unspecified physical clash between protesters and counter-protesters,,https://www.abc6.com/trump-supporters-rally-in-warwick/,https://www.wpri.com/news/local-news/west-bay/warwick-pro-trump-rally-protesters-say-they-will-be-there-all-night/,,,,,,,,,,,,,,,,,
Washington,Freedom Plaza,,DC,US,2020-11-14,hundreds; a few hundred,200,,300,,,Proud Boys,"for President Trump, against antifa",2,rally,0,0,0,0,1,1,,morning; many in tactical gear; marched in street,,https://wjla.com/news/local/dc-preps-for-multiple-pro-trump-rallies-on-saturday-streets-closed-parking-restricted,https://twitter.com/FordFischer/status/1327629900350681088,https://www.politico.com/news/2020/11/11/maga-rally-washington-dc-435958,https://www.washingtonpost.com/local/maga-million-march-washington-violence/2020/11/15/93edc480-2748-11eb-9b14-ad872157ebc9_story.html,https://www.koaa.com/news/election-2020/quite-large-turnout-expected-at-million-maga-march-in-d-c-saturday,https://www.washingtontimes.com/news/2020/nov/12/kayleigh-mcenany-white-house-press-secretary-predi/,https://www.tennessean.com/story/news/2020/11/14/trump-rally-washington-dc-million-maga-march-updates/6298347002/,https://www.washingtonpost.com/local/trump-dc-protest/2020/11/20/95cffa30-2aa8-11eb-8fa2-06e7cbb145c0_story.html,,,,,,,,,,,
Washington,Freedom Plaza; Supreme Court of the United States,,DC,US,2020-11-14,"thousands; several thousand; more than 10,000; tens of thousands",2000,,20000,,,Women for America First; Stop the Steal; Oath Keepers; Patriot Prayer; American Guard; Proud Boys,"for President Trump, against election fraud",2,rally; march,unspecified,0,0,0,0,1,20201114-dc-millionmagamarch,verbal clashes and scuffles with counter-protesters; threatened counter-protesters,,https://www.washingtonpost.com/local/trump-dc-protests/2020/11/13/b5961e8c-25ec-11eb-a688-5298ad5d580a_story.html,https://twitter.com/BGOnTheScene/status/1327685282183983108,https://www.dawn.com/news/1590517,https://www.vice.com/en/article/epdxze/the-million-maga-march-in-dc-got-ugly,https://dcist.com/story/20/11/14/dc-maga-protesters-rally-for-trump-downtown/,https://cronkitenews.azpbs.org/2020/11/14/trump-backers-take-their-turn-crowding-washington-streets-in-protest/,https://www.huffingtonpost.co.uk/entry/republicans-twitter-ali-alexander-stop-the-steal_n_6026fb26c5b6f88289fbab57?ncid=other_twitter_cooo9wqtham&utm_campaign=share_twitter,,,,,,,,,,,,
Washington,Supreme Court of the United States,,DC,US,2020-11-14,around 100,100,,100,,,They/Them Collective; DC Youth Liberation Front; All Out DC,"against President Trump, against fascism, against racism, against police, for LGBTQ+ rights, fuck MAGA",1,counter-protest,0,0,0,0,0,1,20201114-dc-millionmagamarch,afternoon; staged near SCOTUS to confront arriving marchers; many in black bloc; chants and verbal clashes with marchers,,https://twitter.com/FordFischer/status/1327672073594998786,https://twitter.com/BGOnTheScene/status/1327712817659715584,https://twitter.com/All_Out_DC/status/1327487117602267137,https://www.vice.com/en/article/epdxze/the-million-maga-march-in-dc-got-ugly,https://www.washingtonpost.com/local/maga-million-march-washington-violence/2020/11/15/93edc480-2748-11eb-9b14-ad872157ebc9_story.html,,,,,,,,,,,,,,
Washington,Freedom Plaza,,DC,US,2020-11-14,300 or so,300,,300,,,Refuse Fascism; Refuse Fascism DC,"against President Trump, for election integrity, against fascism",1,counter-protest,0,0,0,0,0,1,20201114-dc-millionmagamarch,verbal clashes and scuffles with marchers,,https://refusefascism.org/2020/11/09/136120/,https://www.washingtonpost.com/dc-md-va/2020/11/14/million-maga-march-dc-protests/,https://dcist.com/story/20/11/14/dc-maga-protesters-rally-for-trump-downtown/,https://www.11alive.com/article/news/local/protests/pro-trump-rallies-dc-saturday/65-e39d458c-1baa-404a-a836-72fff41b269c,,,,,,,,,,,,,,,
Washington,,,DC,US,2020-11-14,hundreds,200,,200,,,Proud Boys,"for President Trump, against antifa, for police, against election fraud",2,rally; march,unspecified,unspecified,"4 total, unclear by whom",1,0,1,20201114-dc-proudboysnight,roamed downtown looking to clash with counter-protesters; fights with counter-protesters; assaulted bystanders; stabbings; batons; threw objects; destroyed signs and artwork,,https://www.washingtonpost.com/dc-md-va/2020/11/14/million-maga-march-dc-protests/,https://twitter.com/FordFischer/status/1327885563563810818,https://itsgoingdown.org/antifa-ends-tonight-dc/,https://www.desmoinesregister.com/story/news/nation/2020/11/14/trump-rally-washington-dc-million-maga-march-updates/6283411002/,,,,,,,,,,,,,,,
Washington,,,DC,US,2020-11-14,,,,,,,Femme Anarcho-Abolitionist Network; Black Lives Matter DC; All Out DC,"against President Trump, against fascism, against racism",1,counter-protest,unspecified,at least a few dozen,"4 total, unclear by whom",1,0,1,20201114-dc-proudboysnight,violent clashes with protesters; took hats and flags from protesters and set them on fire; some in black bloc and tactical gear; set off fireworks,1,https://www.washingtonpost.com/dc-md-va/2020/11/14/million-maga-march-dc-protests/,https://twitter.com/FordFischer/status/1327885563563810818,https://itsgoingdown.org/antifa-ends-tonight-dc/,,,,,,,,,,,,,,,,
Washington,home of Mayor Muriel Bowser,,DC,US,2020-11-14,around 25,25,,25,,,school nurses,against reopening schools during coronavirus pandemic,0,protest,0,0,0,0,0,1,,,,https://twitter.com/Evan_Yeats/status/1327627977413308417,https://www.fox5dc.com/news/dc-school-nurses-protest-at-mayors-home,,,,,,,,,,,,,,,,,
Wichita,Sedgwick County Courthouse,,KS,US,2020-11-14,,,,,,,general protesters,"for President Trump, against election fraud",2,rally,0,0,0,0,1,1,,Stop the Steal,,https://www.ksn.com/news/__trashed/,,,,,,,,,,,,,,,,,,
Wilmette,New Trier High School,,IL,US,2020-11-14,count video,43,,43,,,general protesters,for re-opening schools during coronavirus pandemic,0,rally,0,0,0,0,1,1,,,,https://wgntv.com/news/coronavirus/parents-at-new-trier-high-school-rally-to-get-kids-back-into-the-classroom-amid-pandemic/,,,,,,,,,,,,,,,,,,
Wooster,Market St and Liberty St,,OH,US,2020-11-14,,,,,,,general protesters,"against racism, against police brutality",1,protest,,,,,1,1,,,,https://twitter.com/desireejweber/status/1357411129488769028,,,,,,,,,,,,,,,,,,
Albertville,Marshall County Courthouse,,AL,US,2020-11-15,,,,,,,Reclaiming Our Time,for removal of Confederate monument from courthouse grounds,1,protest,0,0,0,0,1,1,20201115-albertville-confederacy,,,https://whnt.com/news/northeast-alabama/albertville-woman-arrested-at-marshall-county-courthouse-protest/,http://www.sandmountainreporter.com/free_share/article_a7316fa6-290a-11eb-bb14-77c957aabede.html,,,,,,,,,,,,,,,,,
Albertville,Marshall County Courthouse,,AL,US,2020-11-15,,,,,,,Sons of Confederate Veterans,"against removal of Confederate monument from courthouse grounds, for President Trump, for patriotism",2,counter-protest,1,0,0,0,1,1,20201115-albertville-confederacy,"one counter-protester verbally threatened protest organizer with bodliy harm, was arrested for that",,https://whnt.com/news/northeast-alabama/albertville-woman-arrested-at-marshall-county-courthouse-protest/,http://www.sandmountainreporter.com/free_share/article_a7316fa6-290a-11eb-bb14-77c957aabede.html,,,,,,,,,,,,,,,,,
Belfast,High St and Main St,,ME,US,2020-11-15,,,,,,,Mainers Against Mask Mandates,against state coronavirus mandates and shutdowns,2,demonstration,,,,,1,1,,,,https://bangordailynews.com/2021/02/04/news/midcoast/belfast-officials-call-for-civility-on-protest-corner-after-anti-mask-tensions-escalate/,https://mainernews.com/anti-maskers-waging-spiritual-war-statewide/,,,,,,,,,,,,,,,,,
Bend,downtown,,OR,US,2020-11-15,more than 100,100,,100,,,general protesters,against two-week closure of businesses and schools due to coronavirus surge,0,protest,0,0,0,0,1,1,,,,https://ktvz.com/top-stories/2020/11/15/protestors-speak-out-on-gov-browns-covid-19-freeze/,,,,,,,,,,,,,,,,,,
Bryn Mawr,Bryn Mawr College,,PA,US,2020-11-15,,,,,,,The Core Bryn Mawr Strike Collective; Sisterhood; BACaSO; Mujeres; Zami; Mawrters for Immigrant Justice,"against racism, against police violence, for justice for Walter Wallace Jr., against university dean's call to avoid protests",1,strike; boycott,0,0,0,0,1,1,,,,https://whyy.org/articles/haverford-college-students-end-two-week-strike-after-administrators-insensitive-email/,https://www.insidehighered.com/quicktakes/2020/11/24/student-strike-bryn-mawr-college-ends,,,,,,,,,,,,,,,,,
Concord,to five prisons,,MA,US,2020-11-15,,,,,,,general protesters,for releasing inmates from prisons during coronavirus pandemic,0,caravan,0,0,0,0,1,1,,,,https://www.bostonherald.com/2020/11/15/protesters-claim-virus-is-surging-in-massachusetts-prisons/,,,,,,,,,,,,,,,,,,
Dublin,Dublin Civic Center,,CA,US,2020-11-15,count video,60,,100,,,general protesters,"against racism, against police brutality",1,rally,0,0,0,0,1,1,,Sign Garden for Justice,,https://www.baystatebanner.com/2020/11/12/local-activists-celebrate-victory/,https://www.nbcbayarea.com/news/local/east-bay/dublin-teen-holds-social-justice-rally-after-man-apologizes-for-threatening-facebook-post/2399994/,https://sanfrancisco.cbslocal.com/2020/11/11/gun-dealer-right-wing-groups-black-lives-matter-dublin-city-hall/,,,,,,,,,,,,,,,,
Fairview,outside lieutenant governor's private residence,,UT,US,2020-11-15,more than a dozen,12,,12,,,general protesters,against state coronavirus mask mandate,2,protest,0,0,0,0,1,1,,,,http://sanpetemessenger.com/archives/20388,,,,,,,,,,,,,,,,,,
Fort Smith,Rogers Ave,,AR,US,2020-11-15,count video,20,,25,,,general protesters,"for President Trump, for patriotism, Thin Blue Line",2,rally,0,0,0,0,1,1,20201115-fortsmith-trump,,,https://www.5newsonline.com/article/news/local/trump-rally-underway-in-fort-smith/527-3ba0f398-bac9-46a7-9441-37a7ff315d3a,,,,,,,,,,,,,,,,,,
Fort Smith,Rogers Ave,,AR,US,2020-11-15,count video,5,,10,,,general protesters,"against President Trump, against white supremacy, Trump lost",1,counter-protest,0,0,0,0,0,1,20201115-fortsmith-trump,stood across street from rally holding signs,,https://www.5newsonline.com/article/news/local/trump-rally-underway-in-fort-smith/527-3ba0f398-bac9-46a7-9441-37a7ff315d3a,,,,,,,,,,,,,,,,,,
Hattiesburg,Southern Mississippi University,,MS,US,2020-11-15,count pic,18,,18,,,Black Lives Matter Mississippi,Black Lives Matter,1,protest,0,0,0,0,1,1,,,,https://www.studentprintz.com/photogallery-nov-15-protest-on-campus/,,,,,,,,,,,,,,,,,,
Joliet,to Shorewood,,IL,US,2020-11-15,,,,,,,general protesters,for reopening restaurants during COVID-19 pandemic,0,march,,,,,1,1,,,,https://www.theherald-news.com/2020/11/11/save-our-restaurants-is-the-goal-for-this-sundays-peaceful-protest-in-joliet-shorewood/ax6ojsz/,,,,,,,,,,,,,,,,,,
La Crosse,Valley View Mall,,WI,US,2020-11-15,,,,,,,general protesters,"for President Trump, against election fraud",2,rally,0,0,0,0,1,1,,Stop the Steal,,https://www.news8000.com/stop-the-steal-rally-calls-for-a-fair-election/,,,,,,,,,,,,,,,,,,
Los Angeles,"Seoul Park, Koreatown",,CA,US,2020-11-15,count pic,30,,50,,,Los Angeles Tenants Union,"against efforts by landlords to circumvent rent stabilization, against evictions, for finishing repairs to apartment buildings",0,march,0,0,0,0,1,1,,,,https://twitter.com/theglowingstars/status/1328141986549809152,https://knock-la.com/tenants-march-highland-park-k3-holdings-latu-6423ef0ff81d,,,,,,,,,,,,,,,,,
Los Angeles,Slauson Ave and Western Ave,,CA,US,2020-11-15,,,,,,,Streets Are For Everyone,"for safer streets, for road safety",0,rally,0,0,0,0,1,1,,,,https://ktla.com/news/local-news/traffic-accident-victims-families-rally-to-demand-safer-streets-in-los-angeles/,,,,,,,,,,,,,,,,,,
Melbourne,US Highway 1 and Pineda Causeway,,FL,US,2020-11-15,about 150,150,,150,,,general protesters,"for President Trump, against election fraud, for patriotism, Thin Blue Line, hold the line",2,rally,0,0,0,0,1,1,20201115-melbourne-stopthesteal,,,https://spacecoastdaily.com/2020/11/president-trump-supporters-gather-for-hold-the-line-rally-on-u-s-1-pro-biden-demonstrators-react/,,,,,,,,,,,,,,,,,,
Melbourne,US Highway 1 and Pineda Causeway,,FL,US,2020-11-15,,,,,,,general protesters,"against President Trump, for Joe Biden",1,counter-protest,0,0,0,0,0,1,20201115-melbourne-stopthesteal,stood across street from rally holding signs,,https://spacecoastdaily.com/2020/11/president-trump-supporters-gather-for-hold-the-line-rally-on-u-s-1-pro-biden-demonstrators-react/,,,,,,,,,,,,,,,,,,
Nashville,Hadley Park,,TN,US,2020-11-15,,,,,,,Keeping Every Vision Alive,"against criminal violence, against domestic violence, against police brutality",0,rally,0,0,0,0,1,1,,Silence the Violence,,https://www.wkrn.com/news/local-news/keva-hosts-annual-silence-the-violence-rally-in-north-nashville/,,,,,,,,,,,,,,,,,,
New Castle,past residences of Governor Cuomo and Hillary Clinton,,NY,US,2020-11-15,dozens,24,,24,,,general protesters,"for President Trump, against Governor Cuomo, against Hillary Clinton",2,march,0,0,0,0,1,1,,,,https://www.lohud.com/story/news/local/westchester/new-castle/2020/11/15/trump-supporters-cuomo-clinton-homes/6306905002/,,,,,,,,,,,,,,,,,,
New York,"Carl Schurz Park, Manhattan",,NY,US,2020-11-15,,,,,,,Upper East Side for Black Lives Matter,"against racism, against police violence",1,vigil; march,,,,,1,1,,,,https://www.instagram.com/p/CHn-vMolRL0/,,,,,,,,,,,,,,,,,,
New York,"59th St and 5th Ave, Sunset Park, Brooklyn",,NY,US,2020-11-15,,,,,,,Get Women Cycling,for safer streets for cyclists,0,rally; march,0,0,0,0,0,1,,,,https://bronx.news12.com/activists-rally-for-safer-streets-in-sunset-park,,,,,,,,,,,,,,,,,,
Orem,outside governor's private residence,,UT,US,2020-11-15,75-100,75,,100,,,general protesters,against state mask mandate during coronavirus pandemic,2,protest,0,0,0,0,1,1,,https://www.fox13now.com/news/local-news/anti-picketing-ordinance-approved-after-protest-at-governors-private-residence-in-orem,,https://www.fox13now.com/news/coronavirus/local-coronavirus-news/as-covid-19-cases-continue-to-soar-in-utah-some-protest-mask-mandate,https://kjzz.com/news/local/crowd-gathers-in-protest-at-governors-house-over-covid-19-health-orders,https://www.ksl.com/article/50049406/individuals-gather-at-homes-of-gov-herbert-lt-gov-cox-in-protest-of-mask-mandate,,,,,,,,,,,,,,,,
Philadelphia,outside residence of Montgomery County Commissioner Dr. Val Arkoosh,,PA,US,2020-11-15,a dozen or so,12,,12,,,general protesters,against shift to online schooling to slow spread of coronavirus,0,protest,0,0,0,0,1,1,,,,https://www.radio.com/kywnewsradio/news/local/montgomery-county-parents-protest-in-front-of-arkooshs-home,https://philadelphia.cbslocal.com/2020/11/16/montgomery-county-parents-rally-outside-officials-home-after-vote-moving-schooling-online-for-2-weeks/,https://ktvz.com/news/national-world/2020/11/16/parents-rally-outside-officials-home-after-vote-to-move-schooling-online-for-2-weeks/,,,,,,,,,,,,,,,,
Portola Valley,Portola Rd & Alpine Rd,,CA,US,2020-11-15,,,,,,,general protesters,"against racism, against police violence",1,protest,0,0,0,0,1,1,,,,https://www.almanacnews.com/news/2021/02/26/after-eight-months-portola-valleys-weekly-blm-demonstrators-stay-committed,,,,,,,,,,,,,,,,,,
