CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Source1,Source2,Source3,Misc.,Source4
Chicago,University of Chicago Hospital,Cook,IL,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,0,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Chicago,Thompson Center plaza,Cook,IL,US,2020-05-01,about 300,300,,300,,,general protestors,protest stay-at-home orders due to Covid-19,2,rally,0,0,0,0,0,1,20200501-chicago-covid,https://www.dailyherald.com/news/20200501/reopen-illinois-demonstration-held-in-chicago,https://www.chicagotribune.com/coronavirus/ct-coronavirus-chicago-reopen-protest-loop-thompson-center-20200501-u5swaqzdgvhxhnlph4pu72prfq-story.html,https://www.chicagotribune.com/coronavirus/ct-coronavirus-chicago-reopen-protesters-thompson-center-20200429-w5jta6h7mzfzvbdnr3vaxvruma-story.html,,
Chicago,Thompson Center plaza,Cook,IL,US,2020-05-01,,,,,,,general protestors,support stay-at-home measures during coronavirus pandemic,1,counter-protest,0,0,0,0,0,1,20200501-chicago-covid,https://www.chicagotribune.com/coronavirus/ct-coronavirus-chicago-reopen-protest-loop-thompson-center-20200501-u5swaqzdgvhxhnlph4pu72prfq-story.html,https://www.chicagotribune.com/coronavirus/ct-coronavirus-chicago-reopen-protesters-thompson-center-20200429-w5jta6h7mzfzvbdnr3vaxvruma-story.html,,,
Coeur d'Alene,McEuen Park,Kootenai,ID,US,2020-05-01,,,,,,,general protesters,against shutdown of Idaho restaurants and bars due to COVID-19,2,rally,,,,,1,1,,https://cdapress.com/news/2020/apr/28/shutdown-protesters-plan-rally-5/,,,,
Columbus,Statehouse,Franklin,OH,US,2020-05-01,NA,1,,1,,,general protestor,protest media coverage of coronavirus pandemic,2,protest,0,0,0,0,1,1,,https://www.nbc4i.com/news/local-news/nbc4-reporter-targeted-by-angry-protester-outside-ohio-statehouse/,,,,
Commack,,Suffolk,NY,US,2020-05-01,,,,,,,general protestors,protest shutdown due to Covid 19,2,protest,0,0,0,0,1,1,,https://www.newsday.com/news/health/coronavirus/coronavirus-nonessential-businesses-1.44308355,,,,
Compton,,Los Angeles,CA,US,2020-05-01,more than 30,30,,30,,,general protesters,for rent fairness during COVID-19 pandemic ,1,protest; caravan ,0,0,0,0,1,1,,https://www.presstelegram.com/long-beachs-may-day-march-takes-its-show-on-the-road-with-a-caravan-through-the-city,,,,
Concord,John Muir Medical Center,Contra Costa,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Corpus Christi,Corpus Christi Medical Center,Nueces,TX,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Covina,Citrus Valley Medical Center,Los Angeles,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Culver City,S. California Hospital,Los Angeles,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Daly City,Seton Medical Center,San Mateo,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Denver,State Capitol,Denver,CO,US,2020-05-01,hundreds,200,,200,,,general protestors,protest stay-at-home orders due to Covid-19,2,protest,0,0,0,0,1,1,,https://www.thedenverchannel.com/news/coronavirus/protesters-again-rally-at-capitol-say-colorado-reopening-not-happening-fast-enough,,,,
Dover,Legislative Hall,Kent,DE,US,2020-05-01,,,,,,,Reopen Delaware,protest stay-at-home orders due to Covid-19,2,protest,0,0,0,0,1,1,,https://6abc.com/delaware-coronavirus-covid-19-governor-john-carney-stay-at-home-order/6142128/,,,,
Duarte,City of Hope National Medical Center,Los Angeles,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
El Paso,Del Sol Medical Center,El Paso,TX,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,https://www.ktsm.com/news/el-paso-nurses-join-nationwide-protest-amid-covid-19-pandemic/,,,
El Paso,Las Palmas Medical Center,El Paso,TX,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,0,1,,https://www.nationalnursesunited.org/may-day-events,https://www.ktsm.com/news/el-paso-nurses-join-nationwide-protest-amid-covid-19-pandemic/,,,
El Paso,Providence Memorial Hospital,El Paso,TX,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,0,1,,https://www.nationalnursesunited.org/may-day-events,https://www.ktsm.com/news/el-paso-nurses-join-nationwide-protest-amid-covid-19-pandemic/,,,
El Paso,Sierra Medical Center,El Paso,TX,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,0,1,,https://www.nationalnursesunited.org/may-day-events,,,,
El Paso,Sierra Providence East,El Paso,TX,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,0,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Elephant Butte,,Sierra,NM,US,2020-05-01,about 60 to 70,60,,70,,,general protesters,against closing of Elephant Butte Lake State Park due to COVID-19 pandemic ,0,protest,0,0,0,0,1,1,,https://www.krqe.com/health/coronavirus-new-mexico/elephant-butte-residents-hold-rally-in-hopes-of-reopening-lake/,,,,
Florence,Arizona State Prison Complex,Pinal,AZ,US,2020-05-01,about 50 vehicles with 200 people,200,,200,,,Puente Human Rights Movement,seek release of inmates due to Covid-19,1,car protest,0,0,0,0,1,1,,https://www.pinalcentral.com/florence_reminder_blade_tribune/news/vehicle-rally-in-florence-protests-for-release-of-state-inmates-due-to-covid-19/article_86225abf-92b9-57f9-b348-c4e17b09f2f1.html,,,,
Folsom,Mercy Hospital of Folsom,Sacramento,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Fort Lauderdale,Florida Medical Center,Broward,FL,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Fort Worth,Fort Worth Stockyards,Tarrant,TX,US,2020-05-01,,,,,,,general protesters,against state and local coronavirus shutdown orders,2,protest,,,,,1,1,,https://www.star-telegram.com/news/coronavirus/article242348761.html,Future.,,,
Frankfort,,Franklin ,KY,US,2020-05-01,,,,,,,general protesters,for the release of prisoners during COVID-19 pandemic ,1,protest,0,0,0,0,1,1,,https://www.lex18.com/news/coronavirus/loved-ones-of-green-river-inmates-call-for-more-to-be-done-as-coronavirus-outbreak-continues,,,,
Fremont,Washington Hospital District,Alameda,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
French Camp ,San Joaquin General Hospital,San Joaquin,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Fresno,Kaiser Fresno,Fresno,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Glendale,USC Verdugo Hills Hospital,Los Angeles,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Glendale,Glendale Memorial Hospital & Hlth Ct,Los Angeles,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,0,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Grants,Cibola County Jail ,Cibola ,NM,US,2020-05-01,about 30,30,,30,,,general protesters,for release of immigrants during COVID-19 pandemic,1,protest,0,0,0,0,1,1,,https://nmpoliticalreport.com/2020/05/01/groups-rally-outside-cibola-county-jail/,,,,
Greenville,Hunt County Courthouse,Hunt ,TX,US,2020-05-01,about a half-dozen,6,,6,,,general protesters,against closing of businesses during COVID-19 pandemic,2,protest,0,0,0,0,1,1,,https://www.heraldbanner.com/covid-19/demonstrators-return-to-protest-county-s-covid-19-order/article_5893485e-8bf5-11ea-a896-1b97fdb8ef12.html,,,,
Hartford,New Haven to Connecticut State Capitol,Hartford ,CT,US,2020-05-01,dozens,24,,24,,,general protesters,for emergency assistance for laid off immigrants and those working on the frontlines during COVID-19 pandemic,1,protest,0,0,0,0,1,1,,https://www.nhregister.com/news/article/CT-immigrant-supporters-seek-emergency-assistance-15241481.php,https://www.wnpr.org/post/photos-protesters-cross-state-car-caravan-call-immigrant-worker-relief,,,
Hayward,St Rose Hospital,Alameda,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Hebron,Amazon fulfillment center,Boone,KY,US,2020-05-01,about a dozen,12,,12,,,Amazon employees,protest dangerous work conditions for Amazon workers during coronavirus pandemic,1,protest,0,0,0,0,1,1,,https://www.cincinnati.com/story/news/2020/05/01/nky-amazon-employee-protested-working-conditions-midst-pandemic/3065891001/,,,,
Hemet,Hemet Valley Medical Center,Riverside,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Henderson,St Rose Dominican - Siena,Clark,NV,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Henderson,St Rose Dominican - De Lima,Clark,NV,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,0,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Hialeah,Palmetto General Hospital,Miami-Dade,FL,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Hillsboro,OHSU Hillsboro,Washington,OR,US,2020-05-01,,,,,,,nurses,seek enhanced contract tracing and other safety mechanisms for nurses during coronavirus pandemic,0,protest,0,0,0,0,1,1,,https://www.kgw.com/article/news/local/may-day-protests-have-different-look-this-year/283-4a0118fa-d6f1-4ed7-a22d-9e161b8ca07c,https://pamplinmedia.com/ht/117-hillsboro-tribune-news/465425-377232-nurses-at-ohsu-hillsboro-protest-proposed-cuts-to-benefits-,,,
Hollidaysburg,Blair County Courthouse,Blair,PA,US,2020-05-01,,,,,,,The Blair County Tea Party ,against economic shutdown due to COVID-19,2,rally,,,,,1,1,,https://www.altoonamirror.com/news/local-news/2020/04/tea-party-plans-protest/,Future.,,,
Hollister,Hazel Hawkins Mem Hospital,San Benito,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Hollister,San Benito Street,San Benito,CA,US,2020-05-01,about 50,50,,50,,,residents; small business owners,protest economic shutdown due to Covid-19,2,protest,0,0,0,0,0,1,,https://benitolink.com/opensbc-holds-rally-in-hollister/,,,,
Huntington Beach,Pacific Coast Highway and Main Street,Orange,CA,US,2020-05-01,more than 500; some 2500-3000,500,,3000,,,general protestors,protest shutdown due to Covid 19,2,protest,0,0,0,0,1,1,,https://www.latimes.com/california/story/2020-05-01/protesters-in-huntington-beach-demand-california-reopen-slam-newsom-on-beach-closures,https://www.ocregister.com/2020/05/01/thousands-of-protesters-flock-to-huntington-beach-following-state-ordered-oc-beach-closures/,,,
Indianapolis,Statehouse,Marion,IN,US,2020-05-01,estimated at 300,300,,300,,,Indiana Conservative Alliance; Grassroots Conservatives,protest shutdown due to Covid 19,2,protest,0,0,0,0,1,1,,https://www.indystar.com/story/news/local/2020/05/01/stay-home-opponents-cluster-statehouse-holcomb-announcement/3057958001/,,,,
Inglewood,Centinela Hospital Medical Center,Los Angeles,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Inglewood,Marina Del Rey Hospital,Los Angeles,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,0,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Irvine,UC Irvine,Orange,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Jackson,State Capitol,Hinds,MS,US,2020-05-01,about 100,100,,100,,,general protestors,protest shutdown due to Covid 19,2,protest,0,0,0,0,1,1,,https://www.clarionledger.com/story/news/2020/05/01/protest-mississippi-reopen-economy-coronavirus-leave-our-guns-alone/3064388001/,https://www.clarionledger.com/story/news/2020/04/30/reopen-mississippi-hold-open-carry-gun-rally-state-capitol/3055963001/,,,
Joshua Tree,Hi Desert Medical Center,San Bernardino,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Kansas City,Research Medical Center,Jackson,MO,US,2020-05-01,nearly 20,20,,20,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,0,0,0,0,1,1,,https://www.nationalnursesunited.org/may-day-events,https://www.kansascity.com/news/local/article242432056.html,,,
Kissimmee,Osceola Regional Medical Center,Osceola,FL,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
