CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),Women's?,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,
Columbus,,GA,US,2018-01-04,,,,,,,general protestors,Protesting police excessive use of force in shooting of local man,0,,protest,0,0,0,0,1,1,http://www.wtvm.com/story/37196418/candlelight-vigil-held-for-columbus-man-killed-in-trooper-involved-shooting,,,,,
Frankfort,Capitol Ave.,KY,US,2018-01-04,FB: 216,216,,216,,,"ACLU of Kentucky, Planned Parenthood Advocates, the Kentucky Health Justice Network",Pro- Reproductive Rights Rally,0,,rally,0,0,0,0,1,1,https://www.facebook.com/events/1227293130748169/,,,,,
Los Angeles,Hall of Justice,CA,US,2018-01-04,FB: 69,69,,69,,,White People 4 Black Lives,Protesting police brutality,0,,protest,0,0,0,0,1,1,https://www.facebook.com/events/2000584226929458/,,,,,
New York,Grand Central,NY,US,2018-01-04,Photo: dozens; FB: 14,14,,24,,,Rise and Resist,Protesting Trump administration,1,,protest,0,0,0,0,1,1,https://www.facebook.com/events/142470249786724/,https://twitter.com/MarchForTruth17/status/948953929794146305,,,,
Phoenix,24th St.,AZ,US,2018-01-04,several dozen,24,,24,,,general protestors,Protest in solidarity with Iranian protestors,0,,protest,0,0,0,0,1,1,https://www.azcentral.com/story/news/local/phoenix/2018/01/04/dozens-gather-central-phoenix-support-iranian-protesters/1006236001/,,,,,
Santa Fe,Interstate 25,NM,US,2018-01-04,NA,15,,15,,,Sante Fe Gateway Alliance,Protesting proposed new truck stop,0,,protest,0,0,0,0,1,1,http://www.santafenewmexican.com/news/local_news/truck-stop-opponents-try-to-stand-strong-against-a-giant/article_1af05867-728c-5594-a3e6-01f6a5d6da0a.html,,,,,
New Orleans,,LA,US,2018-01-05,,,,,,,general protestors,Rallying for better job opportunities for the homeless,0,,rally,0,0,0,0,1,1,https://kadn.com/homeless-rally-for-jobs/,,,,,
New York,Grand Central Terminal,NY,US,2018-01-05, FB: 439,439,,439,,,"International Action Center, General Protestors",Rallying to Free Ahed Tamimi and All Palestinian Prisoners,1,,rally,0,0,0,0,0,1,https://www.facebook.com/events/1683011105090755/,,,,,
New York,Grand Central Terminal,NY,US,2018-01-05,na,5,,5,,,Jewish Defense League ,anti-Tamimi counter-protest; pro-Trump,2,,protest,0,0,0,0,0,1,Facebook ,,,,,
New York,Trump Tower,NY,US,2018-01-05,FB: 11,11,,11,,,Learn as Protest,Protesting Trump  ,1,,protest ,0,0,0,0,1,1,https://www.facebook.com/events/390220108093644/,,,,,
Newtown,Lanhorne Newtown Rd.,PA,US,2018-01-05,FB: 4,4,,4,,,Fridayswithfitzpatrick,"Protesting current adminstration, ect",1,,protest,0,0,0,0,1,1,https://www.facebook.com/events/201759280389041/,,,,,
Portland,Sen. Merkley's Office,OR,US,2018-01-05,,,,,,,general protestors,Rally for Children's Health Insurance Program,1,,rally,0,0,0,0,1,1,https://twitter.com/Indivisible_OR/status/948785522121428992,,,,,
San Francisco,Federal building,CA,US,2018-01-05,FB: 25,25,,25,,,Bay Resistance,Rallying in support of the TPS,1,,rally,0,0,0,0,1,1,https://www.facebook.com/events/1590686017657674/,,,,,
West Chester,Offices of Rep. Ryan Costello,PA,US,2018-01-05,FB: 3,3,,3,,,Concered Constituent Action Group,Rally for DACA; opposition to US-Mexico border wall,1,,rally,0,0,0,0,1,1,https://www.facebook.com/events/904484379727099/,,,,,
Cleveland,Around Browns' Stadium,OH,US,2018-01-06,estimated 3200,3200,,3200,,,general protestors,Protesting Browns' 0-16 season,0,,protest,0,0,0,0,1,1,https://www.usatoday.com/story/sports/nfl/2018/01/06/thousands-of-browns-fans-protest-0-16-season-at-cold-parade/109209400/,,,,,
Dearborn,Federal Plaza,IL,US,2018-01-06,FB: 391,391,,391,,,Refuse Fascism ,Protesting Trump's attacks on public land,1,,protest,0,0,0,0,1,1,https://www.facebook.com/events/363507580764269/,,,,,
Doral,U.S. Sen. Ruboi's office,CA,US,2018-01-06,FB: 11,11,,11,,,SEIU Florida,Protesting Rubio,1,,protest,0,0,0,0,1,1,https://www.facebook.com/events/140157820015396/,,,,,
Memphis,Health Sciences Park,TN,US,2018-01-06,about a dozen,12,,12,,,Memphis and the Sons of Confederate Veterans,Protesting removal and opposition to confederate monuments,2,,protest,0,0,0,0,0,1,http://www.commercialappeal.com/story/news/government/city/2018/01/03/sons-confederate-veterans-disavows-stupid-memphis-rally/1000216001/,http://www.commercialappeal.com/story/news/government/city/2018/01/06/memphis-confederate-statue-protest-removal/1004853001/,,,,
Memphis,Interstate 290,TN,US,2018-01-06,more than 50,50,,50,,,Confederate 901,Protesting removal and opposition to confederate monuments,2,,protest,0,0,0,0,1,1,http://www.commercialappeal.com/story/news/government/city/2018/01/06/memphis-confederate-statue-protest-removal/1004853001/,,,,,
Phoenix,State Capitol,AZ,US,2018-01-06,thousands,2000,,2000,,,general protestors,Rallying for better public school funding,0,,march,0,0,0,0,1,1,https://www.usnews.com/news/best-states/arizona/articles/2018-01-06/public-school-supporters-attend-rally-at-arizona-capitol,https://www.azcentral.com/story/news/local/phoenix/2018/01/06/thousands-march-call-ducey-and-republican-lawmakers-fully-fund-public-schools/1010001001/,,,,
Portland,Portland Public Library,ME,US,2018-01-06,30 or so,30,,30,,,"general protestors, Burundian community residing in Maine","Protesting the presence of Willy Nayamitwe, spokesman for Burundian President",0,,protest,0,0,0,0,1,1,http://www.pressherald.com/2018/01/06/in-portland-burundian-immigrants-protest-presidential-advisers-visit/,,,,,
Raleigh,Halifax Mall,NC,US,2018-01-06,FB: 233,233,,233,,,general protestors,Protesting large class sizes,0,,protest,0,0,0,0,1,1,https://www.facebook.com/events/456864611381620/,http://www.newsobserver.com/news/local/article193385289.html,http://abc11.com/education/save-our-schools-rally-against-class-size-mandate-/2873863/,,,
Robinson,Courtyard Marriot,PA,US,2018-01-06,NA,40,,40,,,coalition of Pittsburgh-area human and worker rights organization,Protesting for the rights of immigrant workers who were underpaid; labor protest,0,,protest,0,0,0,0,1,1,http://www.post-gazette.com/local/region/2018/01/06/Protesters-in-Robinson-say-hotel-renovation-wage-theft-case-just-one-of-many/stories/201801060108,,,,,
San Francisco,Alabama St.,CA,US,2018-01-06,FB: 55,55,,55,,,SF Right to Protest Coalition,Protesting evictions,0,,protest,0,0,0,0,1,1,https://www.facebook.com/events/1741737492801067/,,,,,
Beverly Hills,The Beverly Hilton ,CA,US,2018-01-07,most female attendees,,,,,,Celebrities,Protest Sexual Harrasment,0,,protest,0,0,0,0,1,1,http://cnycentral.com/news/entertainment/gadot-ronan-janney-join-golden-globes-black-dress-protest,http://www.slate.com/blogs/xx_factor/2018/01/08/why_the_2018_golden_globes_black_out_protest_fell_flat.html,,,,
Beverly Hills,The Beverly Hilton ,CA,US,2018-01-07,Photo: 10,10,,10,,,Hollywoode Handmaids,Protesting sexual assault,1,,protest,0,0,0,0,0,1,http://www.seattlepi.com/entertainment/the-wrap/article/Handmaid-s-Tale-Protesters-at-Golden-12480330.php,,,,,
Boise,Statehouse,ID,US,2018-01-07,,,,,,,generl protestors,Rallying for more thoughtful legislation,0,,rally,0,0,0,0,1,1,https://www.kivitv.com/news/progressive-religious-leaders-hold-prayer-vigil-at-idaho-statehouse,,,,,
New York,E. 56th St.,NY,US,2018-01-07,FB: 21,21,,21,,,Rise and Resist,Protesting 'independent democratic conference',0,,protest,0,0,0,0,1,1,https://www.facebook.com/events/202311670340417/,,,,,
Newton,Sussex County Jail,NJ,US,2018-01-07,about 20,20,,20,,,Animal Protection League of New Jersey,Protesting jailing of anti-bear hunting activist Bill Crain; protesting New Jersey black bear hunt,0,,protest,0,0,0,0,1,1,http://www.njherald.com/20180108/bear-hunt-protesters-brave-weather-to-support-crain#//,,,,,
San Diego,Schwartz Federal Building,CA,US,2018-01-07,FB: 53,53,,53,,,San Diego Climate Mobilization Coalition,Protesting inaction toward climate change,1,,protest,0,0,0,0,1,1,https://www.facebook.com/events/845320522317070/,,,,,
San Francisco,Civici Cenrer Plaza,CA,US,2018-01-07,FB: 275,275,,275,,,general protestors,Rallying in support of Iranian people,0,,rally,0,0,0,0,1,1,https://www.facebook.com/events/209529209615470/,,,,,
Westwood,Federa Building,CA,US,2018-01-07,nearly 6000,6000,,6000,,,general protestors,Rallying behind Iranian protestors,0,,rally,0,0,0,0,1,1,http://jewishjournal.com/news/los_angeles/229551/iranian-americans-rally-freedom/,,,,,
Abbeville,City Hall,LA,US,2018-01-08,NA,1,,1,,,Deysha Hargrave,Protesting superintendent's salary,0,,protest,1,0,0,0,1,1,https://www.cbsnews.com/news/vermilion-louisiana-teacher-handcuffed-superintendent-defends-raise/,,,,,
Ann Arbor,City Hall,MI,US,2018-01-08,photo,9,,13,,,general protestors,Protesting to protect deer,0,,protest,0,0,0,0,1,1,http://www.mlive.com/news/ann-arbor/index.ssf/2018/01/ann_arbor_protesters_spell_sav.html,,,,,
Arlington,The Pentagon,VA,US,2018-01-08,FB: 40,40,,40,,,general protestors,Protesting seually assault (specifically in the military),1,,protest,0,0,0,0,1,1,http://thehill.com/policy/defense/367941-pentagon-officials-endorse-demonstration-against-military-sexual-assault,,,,,
Atlanta,CNN World Headquarters,GA,US,2018-01-08,about 30,30,,30,,,Refuse Fascism ,Kneeling Protest Trump Visit to Atlanta,1,,protest,0,0,0,0,0,1,http://www.al.com/news/index.ssf/2018/01/naacp_organizing_anti-trump_pr.html,https://www.denverpost.com/2018/01/08/trump-protests-at-college-football-championship-game/,,,,
Atlanta,Mercedes-Benz Stadium,GA,US,2018-01-08,a few dozen,24,,24,,,general protestors,anti-Trump,1,,protest,0,0,0,0,0,1,http://www.mysanantonio.com/news/local/article/Trump-attending-college-football-s-championship-12483970.php,,,,,
Atlanta,,GA,US,2018-01-08,,,,,,,NAACP,Protest Trump Visit to Atlanta,1,,protest,0,0,0,0,1,1,http://www.al.com/news/index.ssf/2018/01/naacp_organizing_anti-trump_pr.html,https://www.denverpost.com/2018/01/08/trump-protests-at-college-football-championship-game/,,,,
Brooklyn,NYC Housing Bronxdale Plaza,NY,US,2018-01-08,FB: 5,5,,5,,,New York City Council candidate Michael Beltzer,Protesting New York Housing water crisis,0,,rally,0,0,0,0,1,1,https://www.facebook.com/events/2448002762091854/,,,,,
Buffalo,Shoreline Apartments,NY,US,2018-01-08,,,,,,,general protestors,Protesting gentrification,0,,protest,0,0,0,0,1,1,http://news.wbfo.org/post/protesters-rally-holdout-tenant-shoreline-apartments,,,,,
Chicago,,IL,US,2018-01-08,Photo: dozens,24,,24,,,general protestors,Protesting appearance by Ben Carson,1,,protest,0,0,0,0,1,1,http://www.newsweek.com/housing-protester-ben-carson-chicago-775366,,,,,
Encinitas,,CA,US,2018-01-08,1,1,,1,,,general protestor,Protesting two members of Encinitas Traffic and Parking Comission sitting for the Pledge of Allegience,0,,protest,0,0,0,0,1,1,http://www.sandiegouniontribune.com/communities/north-county/sd-no-pledge-update-20180109-story.html,,,,,
Glens Falls,Crandall Public Library,NY,US,2018-01-08,,,,,,,general protestors,Protesting Govenor Cuomo proposal to pool tips,1,,protest,0,0,0,0,1,1,http://www.saratogian.com/business/20180108/restaurant-workers-protest-cuomo-plan-to-replace-tips-with-higher-minimum-wage,,,,,
Nashville,Opryland Resort & Convention Center,TN,US,2018-01-08,about 75,75,,75,,,Clarksville Indivisible,Protesting appearance from President Trump,1,,protest,0,0,0,0,1,1,https://www.facebook.com/events/403377680100036/,https://www.tennessean.com/story/news/2018/01/08/smattering-trump-supporters-gather-greet-president-opryland/1009246001/,,,,
Nashville,Opryland Resort & Convention Center,TN,US,2018-01-08,about 25,25,,25,,,general protestors,Counter-protestp; support Trump,2,,protest,0,0,0,0,1,1,https://www.tennessean.com/story/news/2018/01/08/smattering-trump-supporters-gather-greet-president-opryland/1009246001/,,,,,
New York,,NY,US,2018-01-08,hundreds,200,,200,,,Black Lives Matter,Protesting police brutality,0,,protest,1,0,0,0,1,1,http://www.newsweek.com/i-cant-breathe-nypd-officers-arrest-protester-erica-garner-rally-right-after-775027,,,,,
O'Fallon,W State St.,IL,US,2018-01-08,FB: 15,15,,15,,,Indivisible IL 12th,Protesting GOP Tax Bill,1,,protest,0,0,0,0,1,1,https://www.facebook.com/events/748702345321716/?notif_t=plan_user_associated&notif_id=1514426844998680,,,,,
Oak Park,N. Ave.,IL,US,2018-01-08,FB: 14,14,,14,,,generl protestors,Rallying for DREAM Act,1,,rally,0,0,0,0,1,1,https://www.facebook.com/events/1981371638777777/,,,,,
Olympia,State Capitol,WA,US,2018-01-08,several hundred,200,,200,,,350 Eastside,Rallying for stronger climate policy,1,,rally,0,0,0,0,1,1,https://www.facebook.com/events/1969448093273005/,http://www.theolympian.com/news/local/article193665754.html,,,,
Omaha,Walnut St.,NE,US,2018-01-08,about 20,20,,20,,,general protestors,Protesting proposed housing development,0,,protest,0,0,0,0,1,1,https://www.3newsnow.com/news/local-news/neighborhood-rallies-to-oppose-development-before-decision,,,,,
Oswego,City Hall,NY,US,2018-01-08,,,,,,,Indivisible Oswego,Protesting GOP Tax Bill,1,,protest,0,0,0,0,1,1,https://twitter.com/IndivisibleOsw/status/938450777349197826,,,,,
Phoenix,,AZ,US,2018-01-08,,,,,,,Center for Arizona Policy,Pro-Life March,0,,march,0,0,0,0,1,1,http://www.azpolicy.org/pw2018/,,,,,
Richmond,Redevelopment and Housing authority offices,VA,US,2018-01-08,,,,,,,general protestors,Protesting living conditions in certain units,0,,protest,0,0,0,0,1,1,http://wtvr.com/2018/01/08/community-rally-challenges-public-housing-leadership-after-heat-issues-1/,,,,,
Sacramento,State Capitol,CA,US,2018-01-08,about 150,150,,150,,,Femle lawmakers,Rallying in solidarity with the TimesUp movement,1,,rally,0,0,0,0,1,1,http://www.sacbee.com/news/politics-government/capitol-alert/article193637714.html,,,,,
Springfield,S 6th St.,IL,US,2018-01-08,FB: 23,23,,23,,,Indivisible Springfield,Protesting GOP Tax Bill,1,,protest,0,0,0,0,1,1,https://www.facebook.com/events/191195361474370,,,,,
Washington,White House,DC,US,2018-01-08,,,,,,,General Protestors,Protesting the end of Temporary Protected Status for Savadorans,1,,protest,0,0,0,0,1,1,http://www.miamiherald.com/news/local/article193558669.html,,,,,
Wilmington,Chase Center on the Waterfront,DE,US,2018-01-08,FB: 4,4,,4,,,Delaware Nature Society,Protesting inaction toward climate change,1,,protest,0,0,0,0,1,1,https://www.facebook.com/events/126465288151659/,,,,,
Annapolis,,MD,US,2018-01-09,,,,,,,general protestors,"Protesting Trump, rallying against a Democratic pushback",1,,protest,0,0,0,0,1,1,http://www.baltimoresun.com/news/maryland/politics/bs-md-democrats-rally-20180108-story.html,,,,,
Austin,Railroad Comission of Texas,TX,US,2018-01-09,FB: 48,48,,48,,,General Protestors; Save Our Springs Too; Camp Toyahvale; ATXEJ - Austin Environmental Justice Team,Protest against fracking ,0,,protestors,0,0,0,0,1,1,https://www.facebook.com/events/467278847000245/,,,,,
Baltimore,Municipal office building,MD,US,2018-01-09,,,,,,,Not Without Black Women,Protesting frigid temperatures within public schools,0,,protest,0,0,0,0,1,1,https://thinkprogress.org/baltimore-parents-protest-freezing-classrooms-9e4b36e63eda/,,,,,
Chicago,Center On Halsted,IL,US,2018-01-09,FB: 32,32,,32,,,general protestors,Rallying for net neutrality,1,,rally,0,0,0,0,1,1,https://www.facebook.com/events/178833932862681/,,,,,
Fayetteville,Cumberland County Courthouse,NC,US,2018-01-09,,,,,,,general protestors,Rallying for more judicial transparency,0,,rally,0,0,0,0,1,1,http://www.fayobserver.com/news/20180109/rally-today-will-protest-plans-to-end-or-change-judge-elections,,,,,
Fort Lauderdale,Bubier Park,FL,US,2018-01-09,FB: 21,21,,21,,,SEIU Florida,Protesting Gov. Rick Scott,1,,protest,0,0,0,0,1,1,https://www.facebook.com/events/1993453394246399/,,,,,
Geneva,Exchange St.,NY,US,2018-01-09,FB: 8 ,8,,8,,,"Brian Ashdown, General Protestors",Protesting GOP Tax Bill,1,,protest,0,0,0,0,1,1,https://www.facebook.com/events/2092573650975663/,,,,,
Georgetown,The Circle,DE,US,2018-01-09,,,,,,,generl protestors,Protesting proposed right-to-work ordinance,0,,protest,0,0,0,0,1,1,http://www.capegazette.com/article/right-work-ordinance-draws-protest-circle/149046,,,,,
Huntongton Beach,Main St.,CA,US,2018-01-09,about 20,20,,20,,,generqal protestors,Protesting Trump's proposal to increase offshore drilling,1,,protest,0,0,0,0,1,1,http://www.latimes.com/socal/daily-pilot/news/tn-dpt-me-drilling-protest-20180109-story.html,,,,,
Laredo,U.S. Rep. Cueller's office,TX,US,2018-01-09,Photo: a dozen,12,,12,,,The Laredo Immigrant Alliance,Protesting Trump's decision to end DACA; rallying for immigrants,1,,protest,0,0,0,0,1,1,http://www.lmtonline.com/local/article/Dreamers-march-down-the-streets-of-Laredo-in-12487455.php,,,,,
Massillon,Affinity Medical Center,OH,US,2018-01-09,as many as 75,75,,75,,,National Nurses United,Rallying support to save hospital,0,,rally,0,0,0,0,1,1,https://www.ohio.com/akron/business/nurses-rally-to-try-to-save-affinity-medical-center-in-massillon,,,,,
Medford,Vogel Plaza,OR,US,2018-01-09,,,,,,,general protestors,Rallying support for health care,0,,rally,0,0,0,0,1,1,https://twitter.com/ORD2Indivisible/status/950610802993594368,,,,,
Milwaukee,School board meeting,WI,US,2018-01-09,,,,,,,Public school teachers,Rallying for raises,0,,rally,0,0,0,0,1,1,https://www.tmj4.com/news/local-news/milwaukee-public-schools-teachers-protest-backdoor-raises,,,,,
Montpelier,Statehouse,VT,US,2018-01-09,,,,,,,general protestors,Rallying to leghalize marijuana,1,,rally,0,0,0,0,1,1,http://www.mynbc5.com/article/marijuana-reform-advocates-rally-at-vt-statehouse/15045162,,,,,
