CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,Source5,Source6,Source7
Evansville,Ford Center,IN,US,2018-08-30,11500 people with another 2000 unable to get in,13500,,13500,,,Trump administration; GOP,"pro-Trump, pro-Republican candidates' rally",2,rally,0,0,0,0,1,1,https://www.tristatehomepage.com/election/your-local-election/republican-us-senate-candidate-mike-braun-speaks-at-president-trump-rally/1408097271,https://eu.courierpress.com/story/news/2018/08/31/trump-rally-got-ford-centers-largest-ever-crowd/1160816002/,https://www.courierpress.com/story/news/2018/08/31/trump-rally-got-ford-centers-largest-ever-crowd/1160816002/,feat. President Trump,,,,
Evansville,Ford Center,IN,US,2018-08-30,500-600; around 1000,500,,1000,,,general protestors,against President Trump,1,counter-protest,0,0,0,0,0,1,https://eu.courierpress.com/story/news/2018/08/31/trump-rally-got-ford-centers-largest-ever-crowd/1160816002/,https://www.courier-journal.com/story/news/politics/elections/indiana/2018/08/31/trump-protesters-evansville-president-against-minorities/1155202002/,https://www.courierpress.com/story/news/2018/08/31/trump-rally-got-ford-centers-largest-ever-crowd/1160816002/,,,,,
Gary,outside Gary Works,IN,US,2018-08-30,,,,,,,United Steelworkers Union,Rallying for a fair work contract,0,rally,0,0,0,0,1,1,https://www.nwitimes.com/business/lake-newsletter/usw-planning-rally-outside-gary-works-in-downtown-gary/article_24766cc2-ad90-53d9-b8f9-7254adfe960e.html,,,,,,,
Fort Worth,outside American Airlines headquarters,TX,US,2018-08-30,,,,,,,Association of Professional Flight Attendants,"protest airline uniforms, cabin fumes and a new scheduling system",0,protest,,,,,1,1,https://www.nbcdfw.com/news/business/Flight-Attendants-Plan-Protest-at-American-Airlines-Headquarters-492069861.html,,,,,,,
Hillsborough,outside Orange County court,NC,US,2018-08-30,,,,,,,general protestors,against confederate statue at UNC,1,protest,,,,,1,1,https://www.wral.com/news/video/17806602/,,,,,,,
Kalamazoo,Bronson Park,MI,US,2018-08-30,,,,,,,general protestors,Protesting changes to city policies towards the homeless,0,protest,0,0,0,0,1,1,https://www.mlive.com/news/kalamazoo/index.ssf/2018/08/artist_to_sleep_in_sculpture_a.html,,,,,,,
Lakewood,Western State Hospital,WA,US,2018-08-30,more than 80,80,,80,,,Workers at Western State Hospital,demanding changes in the way officials assign dangerous patients to wards and calling for an increase in staffing,0,rally; protest,0,0,0,0,1,1,https://www.seattletimes.com/seattle-news/western-state-hospital-staff-question-officials-after-2nd-attack-in-a-week/,,,,,,,
Lorain,U.S. Steel mill on East 28th Street,OH,US,2018-08-30,,,,,,,United Steelworkers Local 1104,Rallying for a fair work contract,1,rally,0,0,0,0,1,1,http://www.chroniclet.com/Local-News/2018/08/31/Lorain-steelworkers-rally-in-solidarity-as-contract-talks-continue.html,,,,,,,
Olympia,Intersection of Trosper Road and Capitol Way,WA,US,2018-08-30,over 100,100,,100,,,teachers,Marching for a fair work contract,0,march,0,0,0,0,1,1,https://www.theolympian.com/news/local/education/article217587195.html,,,,,,,
Portland,outside ICE building,OR,US,2018-08-30,FB: 67,67,,67,,,Interfaith Movement for Immigrant Justice,against ICE detaining immigrants,1,protest,21,0,0,0,1,1,https://www.koin.com/news/local/multnomah-county/faith-leaders-return-to-ice-for-another-protest/1407126257,https://www.facebook.com/events/464804030671707/,https://www.kgw.com/article/news/local/21-faith-leaders-arrested-in-protest-at-portland-ice-facility/283-589781142,civil dis,,,,
