CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,Source5,Source6,Source7
Highlands,Veterans Memorial Park,NJ,US,2018-08-07,about 40,40,,40,,,general protestors,rally for tougher animal abuse laws,0,rally,0,0,0,0,1,1,https://www.app.com/story/news/local/animals/2018/08/08/highlands-rallies-tougher-animal-abuse-laws-after-caged-dog-rescue/930231002/,,,,,,,
Macon,Bibb government center,GA,US,2018-08-07,count vid: 5,5,,5,,,general protestors,protesting property tax increase,0,protest,0,0,0,0,1,1,https://www.13wmaz.com/video/news/tax-increase-protest-outside-bibb-government-center/93-8212694,,,count vid,,,,
McAllen,"from Archer Park to the bus depot, and then to the Catholic Charities-run respite center in downtown McAllen",TX,US,2018-08-07,more than 150,150,,150,,,Grannies Respond,protesting family separation,1,protest,0,0,0,0,1,1,https://www.themonitor.com/news/local/article_f68ddf66-99e3-11e8-866d-1729efbb1075.html,,,,,,,
Modesto,outside Red Event Center,CA,US,2018-08-07,about 50,50,,50,,,coalition of organizations,protesting Rep. Jeff Denham,1,protest,0,0,0,0,1,1,https://www.modbee.com/news/politics-government/election/article216254075.html,https://www.facebook.com/events/317513822150449/,,,,,,
Nashville,,TN,US,2018-08-07,,,,,,,faith leaders,protesting death penalty,1,protest,0,0,0,0,1,1,https://www.tennessean.com/videos/news/2018/08/07/faith-leaders-gather-protest-executions-tennessee/929316002/,,,,,,,
New York,Harriet Tubman Memorial in Harlem,NY,US,2018-08-07,,,,,,,general protestors,protesting bill that caps e-hail taxis; anti-racist,0,protest,0,0,0,0,1,1,https://twitter.com/rachelnoerd/status/1027207548309528576,,,,,,,
New York,City Hall,NY,US,2018-08-07,,,,,,,general ralliers,rallying in support of bill that caps e-hail taxis,0,rally,0,0,0,0,0,1,https://twitter.com/rachelnoerd/status/1027207548309528576,,,,,,,
Portland,outside ICE facility,OR,US,2018-08-07,about 60,60,,60,,,general protestors,protesting ICE; calling for release of 123 detainees,1,protest,3,0,0,0,1,1,https://www.kgw.com/video/news/local/religious-leaders-arrested-after-ice-protest/283-8213155,https://kcby.com/news/local/federal-officers-arrest-reverend-two-others-during-rally-at-portland-ice-facility,,civil dis,,,,
St. Paul,outside the St. Paul Police Department's Western District building,MN,US,2018-08-07,around 100,100,,100,,,general protestors,demanding charges be brought against police officers who killed local Native American man,1,protest,0,0,0,0,1,1,https://www.mprnews.org/story/2018/08/07/protesters-police-fatal-shooting-billy-hughes,,,,,,,
Stamford,Intersection of Tresser Blvd and Washington Blvd,CT,US,2018-08-07,FB: 8,8,,8,,,Bloodstained Men; general protestors,protest infant circumcision,0,protest,,,,,1,1,https://www.facebook.com/events/429643324132793/,,,,,,,
Tucson,Sentinel Peak Brewing Company,AZ,US,2018-08-07,,,,,,,general protestors,rally to engage democratic youth voters,1,rally,,,,,1,1,https://www.kgun9.com/news/local-news/josh-gad-to-appear-in-tucson-at-democratic-voting-event,,,,,,,
Chicago,James R. Thompson Center,IL,US,2018-08-08,,,,,,,"PASO - West Suburban Action Project, Asian Americans Advancing Justice-Chicago, Illinois Coalition for Immigrant and Refugee Rights, JCUA - Jewish Council on Urban Affairs",rallying to ask Governor to sign Immigration Safe Zones Act (SB 35),1,rally,,,,,1,1,https://www.protestchicago.com/,,,,,,,
Colorado Springs,corner of Cresta Road and Cheyenne Boulevard,CO,US,2018-08-08,a dozen or so,12,,12,,,general protestors,protesting Broadmoor Seven Falls shuttle,0,protest,0,0,0,0,1,1,https://www.csindy.com/TheWire/archives/2018/08/08/residents-protest-broadmoor-seven-falls-shuttles,,,,,,,
Cottage Grove,Opal Park,OR,US,2018-08-08,over 30,30,,30,,,general protestors,demanding answers about missing money from Special Olympics account,0,protest,0,0,0,0,1,1,http://www.kezi.com/content/news/Protesters-demand-Special-Olympics-Oregon-return-missing-money-490415091.html,,,,,,,
Detroit,Motor City Casino,MI,US,2018-08-08,,,,,,,general protestors,rally for unity within the Democratic party,1,rally,,,,,1,1,https://www.woodtv.com/news/elections/whitmer-rallies-support-at-democratic-event-in-detroit/1355151320,,,,,,,
Duluth,Industrial Weldors & Machinists,MN,US,2018-08-08,,,,,,,general protestors,rally for Congressional candidate Pete Stauber; appearance by Mike Pence ,2,rally,,,,,1,1,https://blogs.mprnews.org/capitol-view/2018/08/pence-to-make-duluth-fundraising-stop-for-stauber/,,,,,,,
East Orange,South 16th Street,NJ,US,2018-08-08,about 60,60,,60,,,general protestors,protesting gun violence in the community,0,rally,0,0,0,0,1,1,http://newjersey.news12.com/story/38844951/anti-violence-rally-held-following-deadly-shooting-of-teacher,,,,,,,
Evesham,outside Teddy Bear Academy,NJ,US,2018-08-08,about 150,150,,150,,,general protestors,rally against closure of Evesham child care center,0,rally,0,0,0,0,1,1,https://www.courierpostonline.com/story/news/local/south-jersey/2018/08/08/parents-rally-keep-teddy-bear-academy-open/922345002/,,,,,,,
Indianapolis,outside AT&T Building on Meridian ,IN,US,2018-08-08,na,20,,20,,,Communication Workers of America; Broken Promises Tour,protesting AT&T job cuts following Trump tax cuts,1,protest,0,0,0,0,1,1,https://www.indystar.com/story/news/2018/08/08/t-workers-protest-job-outsourcing-cuts-made-since-gop-tax-overhaul/935984002/,,,Partial count estimated from photo,,,,
Grand Island,in front of Super Acapulco Restaurant,NE,US,2018-08-08,about 85,85,,85,,,general protestors,anti-ICE; protesting family separation,1,protest,0,0,0,0,1,1,https://www.theindependent.com/news/local/detainees-arrive-demonstrators-protest/article_c0d0a832-9b72-11e8-b3de-07d30f3856f5.html,,,,,,,
Grand Island,outside Hall County Jail,NE,US,2018-08-08,,,,,,,general protestors,anti-ICE; protesting family separation,1,vigil,0,0,0,0,0,1,https://www.theindependent.com/news/local/detainees-arrive-demonstrators-protest/article_c0d0a832-9b72-11e8-b3de-07d30f3856f5.html,,,,,,,
Grand Rapids,Amway Grand Plaza Hotel,MI,US,2018-08-08,,,,,,,GOP supporters; general protestors,rally for GOP unity,2,rally,,,,,1,1,https://www.detroitnews.com/story/news/local/michigan/2018/08/08/pence-michigan-gop-unity-calley-schuette/930960002/,,,,,,,
Grand Rapids,outside Amway Grand Plaza Hotel,MI,US,2018-08-08,about 35,35,,35,,,general protestors,protesting GOP and appearance by Mike Pence,1,protest,,,,,1,1,https://www.mlive.com/news/grand-rapids/index.ssf/2018/08/protesters_upset_with_trump_ag.html,,,,,,,
Kearny,175 Central Ave,NJ,US,2018-08-08,FB: 2,2,,2,,,Young Progressives of America,rally for the release of Edison Barro,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/1991439210906637/,,,,,,,
Los Angeles,Hall of Justice,CA,US,2018-08-08,,,,,,,Black Lives Matter LA,"against police brutality, for police accountability, Black Lives Matter, against District Attorney Jackie Lacey",1,protest,,,,,1,1,https://www.cnn.com/2020/07/10/us/jackie-lacey-la-da-black-lives-matter/index.html,https://www.newyorker.com/magazine/2020/11/16/after-years-of-protests-every-wednesday-la-activists-welcome-a-new-da,,,,,,
New Haven,Goffe Street Park,CT,US,2018-08-08,FB: 51,51,,51,,,"New Haven Rising; Ice the Beef, Local 34 UNITE HERE; Local 33 UNITE HERE","rally for jobs, neighborhood safety, and more  affordable housing",0,rally,0,0,0,0,1,1,https://www.facebook.com/events/2670015819678473/,,,,,,,
New Orleans,Hilton Riverside,LA,US,2018-08-08,na,15,,15,,,general protestors,protesting ALEC,1,protest,4,0,0,0,1,1,https://www.theadvocate.com/new_orleans/news/crime_police/article_df17a0be-9c28-11e8-a230-abe1aa2326c8.html,https://www.youtube.com/watch?v=qC1nS0RVz3M&feature=youtu.be,,Partial count estimated from video,,,,
New York,City Hall,NY,US,2018-08-08,FB: 56,56,,56,,,general protestors,protesting Inwood rezoning plan,0,protest,0,0,0,0,1,1,https://www.facebook.com/events/693972537645522/,,,,,,,
Oklahoma City,State Capitol,OK,US,2018-08-08,FB: 1,1,,1,,,general protestor,Protest GTV and Isaac Caviness ,0,protest,,,,,1,1,https://www.facebook.com/events/225103318076816/,,,,,,,
Portland,city hall,OR,US,2018-08-08,scores,40,,40,,,general protestors,protest police treatment of far-right protestors,0,protest,2,0,2,0,1,1,https://www.usnews.com/news/best-states/oregon/articles/2018-08-08/protesters-clash-with-guards-at-portland-city-hall,,,arrests not civil dis,,,,
Pullman,outside Pullman High School,WA,US,2018-08-08,about 80,80,,80,,,teachers,rally for salary increase,0,rally,0,0,0,0,1,1,http://dnews.com/local/pullman-teachers-rally-demand-pay-bump/article_a6f85d3c-662e-5f1d-9c45-5cbed3eebaca.html,,,,,,,
Racine,parking lot across from Horlick High School to Douglas Avenue,WI,US,2018-08-08,more than 100,100,,100,,,general protests; Racine Interfaith Network,Protesting ICE and immigrant family separation,1,protest; march,0,0,0,0,1,1,https://fox6now.com/2018/08/08/stop-picking-up-our-people-protesters-march-streets-of-racine-after-4-community-members-arrested-by-ice/,https://journaltimes.com/news/local/reports-ice-arrests-four-undocumented-immigrants/article_5c49ff54-8fd6-50cd-8fff-68ea47d458b4.html,,,,,,
San Francisco,Phillip Burton Federal Building,CA,US,2018-08-08,FB: 93,93,,93,,,The International Campaign to Defend Professor Rabab Abdulhadi,rallying in support of pro-Palestinian professor; pro justice for Palestine,1,rally,,,,,1,1,https://www.facebook.com/events/248247629297399/,,,,,,,
San Francisco,outside City Hall,CA,US,2018-08-08,,,,,,,Democratic Socialists of America,protesting exclusion from announcement of Prop F bill funding,0,protest,0,0,0,0,0,1,https://www.sfchronicle.com/bayarea/article/Tenant-activists-turn-up-at-SF-Mayor-Breed-s-13142138.php,,,,,,,
Spokane Valley,outside Central Valley High School District office,WA,US,2018-08-08,hundreds,200,,200,,,teachers,rally for salary increase,0,rally,0,0,0,0,1,1,http://www.khq.com/story/38845225/educators-rally-for-better-pay-in-spokane-valley,,,,,,,
Tallahassee,Bethel Missionary Baptist Church to office of Gov. Rick Scott,FL,US,2018-08-08,na,12,,12,,,general protestors,protesting Stand Your Ground Law after shooting death of Markeis McGlockton,1,protest; march,0,0,0,0,1,1,https://www.floridatoday.com/story/news/2018/08/08/pastors-crump-elected-officials-rail-against-stand-your-ground/933976002/,,,Partial count estimated from photos,,,,
Apex,Fairview Baptist Church,NC,US,2018-08-09,dozens,24,,24,,,general protestors,rally to save community fire station,0,rally,0,0,0,0,1,1,https://www.newsobserver.com/news/local/article216253070.html,,,,,,,
Baltimore,Baltimore Marriott Waterfront,MD,US,2018-08-09,FB: 55,55,,55,,,hotel workers,striking for fair wage,0,strike,0,0,0,0,1,1,https://www.facebook.com/events/263828417748147/,,,,,,,
Boston,L Street Bathhouse  to Joseph P. Tynan School Auditorium,MA,US,2018-08-09,na,60,,60,,,general protestors,protest and march for safer traffic conditions,0,protest; march,0,0,0,0,1,1,https://www.necn.com/news/new-england/Pedestrian-Safety-Improvements-in-South-Boston-490519571.html,,,Partial count estimated from video,,,,
Elyria,Laborers Hall,OH,US,2018-08-09,at least 60,60,,60,,,general protestors,rally for Sen. Sherrod Brown,1,rally,0,0,0,0,1,1,https://www.morningjournal.com/news/ohio/sherrod-brown-rallies-supporters-in-elyria-for-mid-term-elections/article_6be291f0-710c-5216-92a9-ee096e725524.html,,,,,,,
Flint,outside McDonalds located on Dort Highway near Lapeer Road,MI,US,2018-08-09,more than 50,50,,50,,,Fight for $15; general protestors,protest for minimum wage increase,0,protest,0,0,0,0,1,1,https://www.mlive.com/news/flint/index.ssf/2018/08/flint_police_break_up_minimum.html,,,,,,,
Holyoke,outside Providence Behavioral Health Hospital,MA,US,2018-08-09,dozens,24,,24,,,nurses,protesting staff reduction,0,protest,0,0,0,0,1,1,https://www.wwlp.com/news/local-news/hampden-county/nurses-protest-staff-reduction-at-providence-behavioral-health-in-holyoke/1357390889,,,,,,,
Jacksonville,TIAA Bank Field,FL,US,2018-08-09,na,4,,4,,,players on Jacksonville Jaguars,protest police brutality and racial inequality,0,protest,0,0,0,0,1,1,http://www.jacksonville.com/sports/20180809/jaguars-among-nfl-teams-with-players-that-resumed-national-anthem-protests-on-thursday-night,,,left field during anthem,,,,
Jersey City,at Hudson County Freeholders meeting,NJ,US,2018-08-09,dozens,24,,24,,,general protestors,rally to end county contract with ICE,1,rally,0,0,0,0,1,1,https://www.northjersey.com/story/news/2018/08/10/faith-leaders-urge-hudson-county-end-ice-contract-immigration-detainees/928863002/,,,,,,,
Kent,outside Kent Education Building,WA,US,2018-08-09,more than 100,100,,100,,,Kent teachers,rally for higher salaries,0,rally,0,0,0,0,1,1,https://www.kiro7.com/news/local/kent-teachers-rallying-to-demand-better-pay/809481270,,,,,,,
Lee’s Summit,outside AT&T building,MO,US,2018-08-09,about 45,45,,45,,,Communications Workers of America union members,protest AT&T job cuts,0,protest,0,0,0,0,1,1,https://www.kansascity.com/news/business/workplace/article216364800.html,,,,,,,
Macon,448 Mulberry St,GA,US,2018-08-09,FB: 24,24,,24,,,Georgia Women (And Those Who Stand With Us),protesting appearance by Jeff Sessions,1,protest,0,0,0,0,1,1,https://www.macon.com/news/local/article216293335.html,https://www.facebook.com/events/297313590829866/,,,,,,
Marquette,Marquette County Courthouse,MI,US,2018-08-09,FB: 53,53,,53,,,We Are The Marquette Movement,rally for sexual assault awareness,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/1797512576998745/,,,,,,,
Miami,Hard Rock Stadium,FL,US,2018-08-09,na,3,,3,,,players on Miami Dolphins of the NFL,protest police brutality and racial inequality,0,protest,0,0,0,0,1,1,https://www.usatoday.com/story/sports/nfl/2018/08/11/miami-dolphins-national-anthem-protest-police-ticket-boycott/969000002/,,,,,,,
Norfolk,intersection of Norfolk Avenue and 13th Street,NE,US,2018-08-09,more than 70,70,,70,,,general protestors,against ICE immigration raids,1,protest,0,0,0,0,1,1,http://norfolkdailynews.com/news/area-women-organize-protest-in-wake-of-ice-raids/article_0b5d8c62-9c27-11e8-a11d-a776d441c8b2.html,,,,,,,
Philadelphia,Lincoln Financial Field,PA,US,2018-08-09,na,1,,1,,,player on Philadelphia Eagles,protest police brutality and racial inequality,0,protest,0,0,0,0,1,1,https://www.marketwatch.com/story/nfl-preseason-kicks-off-with-scattered-protests-during-anthem-2018-08-09,,,raised fist during anthem,,,,
Port Angeles,Veterans Memorial Park to Port Angeles School District Office,WA,US,2018-08-09,hundreds,200,,200,,,general protestors,rally for funding to be used to support educator salaries,0,rally; march,0,0,0,0,1,1,http://www.peninsuladailynews.com/news/issue-of-teacher-salaries-prompts-rally-on-thursday/,http://www.peninsuladailynews.com/education/port-angeles-teachers-seek-full-2-3-million-from-state-for-raises/,,,,,,
San Jose,outside Silvery Towers,CA,US,2018-08-09,hundreds,200,,200,,,general protestors,"protesting slave labor, wage theft, and human trafficking",0,protest,0,0,0,0,1,1,https://www.mercurynews.com/2018/08/09/silvery-towers-labor-woes-draw-accusations-of-human-trafficking-and-slave-labor/,,,,,,,
Seattle,CenturyLink Field,WA,US,2018-08-09,na,3,,3,,,players on Seattle Seahawks,protest police brutality and racial inequality,0,protest,0,0,0,0,1,1,https://www.indystar.com/story/sports/nfl/colts/2018/08/10/national-anthem-controversy-nfl-star-spangled-banner-indianapolis-colts-preseason/952886002/,,,left field during anthem,,,,
Stuart,outside Patrick County Courthouse,VA,US,2018-08-09,,,,,,,Patrick County High School JROTC members,protesting cut of high school JROTC program,0,protest,,,,,1,1,https://www.martinsvillebulletin.com/news/this-program-saves-lives-students-protest-end-of-patrick-county/article_d9931f24-9c4b-11e8-8603-f72d683cc543.html,,,,,,,
Wilmington,Rodney Square to Gov. John Carney's office,DE,US,2018-08-09,,,,,,,general protestors,protesting dismantling of Rodney Square bus hub,0,protest; march,0,0,0,0,1,1,https://www.delawareonline.com/story/news/local/2018/08/09/rodney-square-bus-hub-advocates-march-carneys-office-thursday/938418002/,,,,,,,
Canton,outside City Hall,OH,US,2018-08-09,a dozen,12,,12,,,general protestors,calling for justice in dog abuse case,0,protest,0,0,0,0,1,1,http://www.indeonline.com/news/20180812/dog-abuse-case-sparks-canton-protest,,,,,,,
Chicago,"Aloha Poke Company headquarters; 303 W Madison St, ",IL,US,2018-08-10,,,,,,,general protestors,against Aloha Poke Co's effort to block use of word Aloha,0,protest,,,,,1,1,https://chicago.eater.com/2018/8/6/17655772/aloha-poke-co-chicago-protest-native-hawaiians,https://www.facebook.com/events/1794033060715382/?active_tab=discussion,,,,,,
Dallas,AT&T offices,TX,US,2018-08-10,,,,,,,Communications Workers of America union members,protest AT&T job cuts,0,protest,,,,,1,1,https://www.kansascity.com/news/business/workplace/article216364800.html,,,,,,,
Jackson,Phil Baux Park,WY,US,2018-08-10,about 30,30,,30,,,Wyo Say No,rallying against a proposed immigration prison,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/698848293781097/,https://www.jhnewsandguide.com/news/features/article_689c2f14-1126-55d9-9bcd-99e899614842.html,,,,,,
Maspeth,outside City Hall,NY,US,2018-08-10,,,,,,,general protestors,rally to end deportation proceedings against Edison Barros,1,rally,0,0,0,0,1,1,https://qns.com/story/2018/08/10/family-members-pols-rally-city-hall-release-maspeth-man-facing-deportation/,,,,,,,
Royal Oak,outside former site of Mark Twain Elementary School,MI,US,2018-08-10,na,16,,16,,,general protestors,protesting a high density development project,0,protest,0,0,0,0,1,1,https://www.dailytribune.com/news/neighbors-protest-development-on-former-royal-oak-school-land/article_2c06481c-9cd8-11e8-8876-67699a8d4282.html,,,Partial count taken from photo,,,,
Steamboat Springs,Routt County Court,CO,US,2018-08-10,about 1400,1400,,1400,,,general protestors,calling on Interior Secretary Ryan Zinke to defend public lands,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/510945982640782/,https://www.steamboatpilot.com/news/1400-gather-for-stand-for-our-land-rally-against-interior-secretarys-policies-in-steamboat/,,,,,,
Charlottesville,University of Virginia's campus; other locations,VA,US,2018-08-11,more than 200,200,,200,,,general protestors,against racism; against white supremacy,1,march,0,0,0,0,1,1,https://www.cbsnews.com/news/charlottesville-virginia-peaceful-events-heavy-security-mark-anniversary-of-deadly-white-nationalist-rally-2018-08-11/,,,,,,,
Chicago,Northeast Corner of N Wabash and E Wacker on the sidewalk across the river from the Trump Tower,IL,US,2018-08-11,,,,,,,Stand To Save and Stand to Save Chicago,"protesting gun violence, rallying for gun control",1,protest,,,,,1,1,https://www.protestchicago.com/,,,,,,,
Chicago,E Oakwood Blvd & S Vincennes Ave,IL,US,2018-08-11,,,,,,,"Refuse Fascism, Refuse Fascism Chicago, Degenerate Artists Against Fascism",protesting Trump,1,protest,,,,,0,1,https://www.protestchicago.com/,,,,,,,
Fayetteville,outside Chemours Plant,NC,US,2018-08-11,FB: 11,11,,11,,,general protestors,"Protest Chemours; communities demand clean water, air and soil",0,protest,0,0,0,0,1,1,https://www.facebook.com/events/228021111101508/,http://www.fayobserver.com/news/20180811/protesters-blame-chemours-dupont-for-health-problems,,,,,,
Lawrence,Downtown,KS,US,2018-08-11,around 600,600,,600,,,counter-protestors,counter-protesting defend the flag march,0,counter-protest,0,0,0,0,1,1,https://www.wibw.com/content/news/Nearly-600-people-gather-in-downtown-Lawrence-for-silent-protest-490655701.html,,,,,,,
Lawrence,South Park,KS,US,2018-08-11,about a dozen,12,,12,,,general protestors,Rallying against desecrating the US flag in art,0,march; rally,0,0,0,0,0,1,https://www.wibw.com/content/news/Nearly-600-people-gather-in-downtown-Lawrence-for-silent-protest-490655701.html,,,,,,,
Littleton,Seaquest,CO,US,2018-08-11,na,10,,10,,,general protestors,Protesting Seaquest; Animal abuse,0,protest,0,0,0,0,1,1,https://kdvr.com/2018/08/11/protesters-rally-against-seaquest-in-littleton/,,,count from video,,,,
Madison,Capitol Square,WI,US,2018-08-11,,,,,,,National Constitutional Coalition of Patriotic Americans,pro-second amendment; pro guns,2,rally,0,0,0,0,1,1,https://www.channel3000.com/news/im-pro-gun-change-my-mind-nccpa-activists-hold-rally-at-capitol/780286237,,,,,,,
Middletown,,NJ,US,2018-08-11,na,17,,17,,,general protestors,Protesting bear hunting,0,protest,0,0,0,0,1,1,http://newjersey.news12.com/story/38866415/animal-rights-activists-protest-nj-bear-hunt,,,partial count from video,,,,
Meriden,meriden Green,CT,US,2018-08-11,FB: 59,59,,59,,,general public; democrats,WFP Rally; Jahana Hayes for Congress (Democratic Primary),0,rally,,,,,1,1,https://www.facebook.com/events/268663787060087/,,,,,,,
Nashville,Charlotte Avenue,TN,US,2018-08-11,roughly 100,100,,100,,,Black Lives Matter Nashville; Community Oversight Now,protesting police shooting; demand change in police tactics,0,protest; march,0,0,0,0,1,1,https://www.tennessean.com/story/news/2018/08/11/video-nashville-police-daniel-hambrick-shooting-black-lives-matter-protest/958704002/,,,,,,,
New York,Metropolitan Pavilion,NY,US,2018-08-11,,,,,,,Rise Up For Roe Tour,rallying against Supreme Court nominee Brett Kavanaugh; pro-choice,1,rally,,,,,1,1,https://www.riseupforroe.com/nyc/,,,,,,,
Salem,State Capitol,OR,US,2018-08-11,more than a dozen,12,,12,,,Students for Life of America,anti-abortion; pro-Kavanaugh,2,rally,0,0,0,0,1,1,https://www.kgw.com/article/news/politics/anti-abortion-rally-at-the-oregon-state-capitol-held-saturday/283-583013561,,,,,,,
Troy,outside Our Lady of Victory Church,NY,US,2018-08-11,na,4,,4,,,general protestors,rally to save Immaculate Conception Church,0,rally,0,0,0,0,1,1,https://www.timesunion.com/news/article/Hoosick-Falls-parishioners-to-rally-in-Troy-to-13147649.php,https://www.facebook.com/events/240109633301595/?active_tab=discussion,,Partial count estimated from photo,,,,
Wichita,Petland West,KS,US,2018-08-11,FB: 2,2,,2,,,general protestors,"protesting petland;""puppy mills""",0,protest,,,,,1,1,https://www.facebook.com/events/1642298229230122/,,,,,,,
Allentown,Resurrected Life Community Church,PA,US,2018-08-12,FB: 64,64,,64,,,general protestors,protest police shooting of Joseph Santos,0,rally,0,0,0,0,1,1,https://philadelphia.cbslocal.com/2018/08/12/police-involved-shooting-sparks-two-opposing-protests-allentown/,https://www.facebook.com/events/232953614090590/,,,,,,
Allentown,Hamilton Boulevard near Dorney Park,PA,US,2018-08-12,FB: 147,147,,147,,,general protestors,support police officer who shot Santos,0,rally,0,0,0,0,0,1,https://philadelphia.cbslocal.com/2018/08/12/police-involved-shooting-sparks-two-opposing-protests-allentown/,https://www.facebook.com/events/826840067505760/,,,,,,
Bismarck,outside state Capitol building,ND,US,2018-08-12,FB: 24,24,,24,,,The Lakota People's Law Project; DEM-NPL Renewable Energy Caucus,rally for renewable energy,1,rally,0,0,0,0,1,1,http://www.westfargopioneer.com/news/government-and-politics/4484445-renewable-energy-rally-be-held-state-capitol,https://www.facebook.com/events/2116795278561646/,,,,,,
Bonita Springs,Bonita Public Beach,FL,US,2018-08-12,FB: 122,122,,122,,,Hands Along the Water,rallying for clean water,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/929214413928587/,,,,,,,
Beverly Beach,,FL ,US,2018-08-12,FB: 8,8,,8,,,Hands Along the Water,rallying for clean water,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/296475560918947/,,,,,,,
Bradenton Beach,Anna Maria Island,FL,US,2018-08-12,FB: 292,292,,292,,,Hands Along the Water,rallying for clean water,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/1249938965143236/,,,,,,,
Cape Coral,Cape Coral Yacht club beach,FL,US,2018-08-12,FB: 309,309,,309,,,Hands Along the Water,rallying for clean water,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/229999957840999/,,,,,,,
Cincinnati,Hamilton County Fair,OH,US,2018-08-12,FB: 12,12,,12,,,The Clockwork Orange House,Protest Rodeo,0,protest,,,,,1,1,https://www.facebook.com/events/264412484291769/,,,,,,,
Clearwater,Pier 60,FL,US,2018-08-12,FB: 132,132,,132,,,Hands Along the Water,rallying for clean water,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/207758819921380/,,,,,,,
Charlottesville,Washington Park,VA,US,2018-08-12,more than 100,100,,100,,,general protestors,against racism; against white supremacy,1,protest,1,0,0,0,1,1,http://www.foxnews.com/us/2018/08/12/charlottesville-anniversary-protests-expected-to-draw-hundreds.html,https://www.wmtw.com/article/portland-woman-arrested-in-charlottesville-va-protests-update/22708757,,arrest not civil dis,,,,
Charlottesville,Washington Park,VA,US,2018-08-12,dozens,24,,24,,,Unite the Right,white supremacist rally,2,rally,0,0,0,0,1,1,https://slate.com/news-and-politics/2018/08/unite-the-right-2-rally-counterprotesters-far-outnumber-white-supremacists.html,,,,,,,
Chicago,Federal Plaza,IL,US,2018-08-12,,,,,,,Friends Who March,"rallying to remember Charlottesville violence, anti-racism",1,rally,,,,,1,1,https://www.protestchicago.com/,,,,,,,
Columbia,South Carolina State House,SC,US,2018-08-12,FB: 38,38,,38,,,Showing Up For Racial Justice - Columbia,rally for racial justice,1,rally,,,,,1,1,https://www.facebook.com/events/1979703512321225/,,,,,,,
Cocoa Beach,Lori Wilson Park,FL,US,2018-08-12,FB: 88,88,,88,,,Hands Along the Water,rallying for clean water,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/299780260569248/,,,,,,,
Guilford,outside City Hall,CT,US,2018-08-12,more than 30,30,,30,,,general protest,rallying for pitbull scheduled to be put down,0,rally,0,0,0,0,1,1,https://www.nhregister.com/news/article/30-plus-rally-in-Guilford-to-get-pit-bull-Simon-13150653.php#photo-16004250,,,,,,,
Englewood,Englewood beach,FL,US,2018-08-12,FB: 291,291,,291,,,Hands Along the Water,Rallying for clean water,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/1874811519222011/,,,,,,,
Englewood,Manasota Beach,FL,US,2018-08-12,FB: 53,53,,53,,,Hands Along the Water,rallying for clean water,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/511585445968835/,,,,,,,
Fort Myers,Fort Myers beach,FL,US,2018-08-12,FB: 503,503,,503,,,Hands Along the Water,rallying for clean water,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/423358528160549/,,,,,,,
Fort Lauderdale,Fort Lauderdale Beach,FL,US,2018-08-12,FB: 87,87,,87,,,Hands Along the Water,rallying for clean water,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/688622271490876/,,,,,,,
Huntington Park,McDonalds,CA,US,2018-08-12,FB: 30,30,,30,,,The Humane League- LA; general protestors,Protest McDonald's supply chain animal cruelty,0,protest,,,,,1,1,https://www.facebook.com/events/1877272275902931/,,,,,,,
Melbourne,outside Lizzy's Restaurant,FL,US,2018-08-12,na,21,,21,,,general protestors,rallying against gun violence,1,rally; march,0,0,0,0,1,1,https://www.floridatoday.com/story/news/crime/2018/08/12/rallygoers-march-melbourne-end-gun-violence-solutions/973275002/,,,,,,,
Naples,Naples beach,FL,US,2018-08-12,FB: 1000,1000,,1000,,,Hands Along the Water,rallying for clean water,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/196835864515962/,,,,,,,
Naples,Vanderbilt beach,FL,US,2018-08-12,FB: 129,129,,129,,,Hands Along the Water,rallying for clean water,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/1817623728324515/,,,,,,,
Newtown,"on grounds of former state psychiatric hospital, Fairfield Hills",CT,US,2018-08-12,roughly 2000,2000,,2000,,,March for Our Lives; Sandy Hook Promise,support gun control; anti-NRA,1,rally,0,0,0,0,1,1,https://ctmirror.org/2018/08/12/parkland-students-take-last-leg-national-bus-tour-newtown/,,,,,,,
Niagara Falls,Unitarian Universalist Church to Rust bar building,NY,US,2018-08-12,around two dozen,24,,24,,,Showing up For Racial Justice,Protesting white supremacy,1,march,0,0,0,0,1,1,http://news.wbfo.org/post/niagara-falls-protesters-warn-white-supremacy-groups-organizing-wny,,,,,,,
