CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,
Atlanta,from Woodruff Park to Centennial Olympic Park,GA,US,2018-07-04,30 to 50,30,,50,,,general protestors,protesting ICE and family separation,1,protest,6,0,0,0,1,1,https://www.ajc.com/news/crime--law/protesters-clash-with-atlanta-police-during-july-fourth-march-arrested/Dh3OTs0IKWjbg3vglyj4EP/,,,,
Aurora,outside ICE detention facility,CO,US,2018-07-04,about 100,100,,100,,,general protestors,protesting ICE and separating immigrant families; abolish ICE,1,protest,0,0,0,0,1,1,https://www.denverpost.com/2018/07/04/protest-family-separation-ice-facility/,,,,
East Grand Rapids,intersection of Bagley and Wealthy,MI,US,2018-07-04,about 50,50,,50,,,Movimiento Cosecha GR ,protesting Kent County's contract with ICE,1,protest,0,0,0,0,1,1,https://therapidian.org/parades-protest-politicians-fourth-july-greater-grand-rapids,https://griid.org/2018/07/05/cosecha-gr-confronts-the-contradictions-of-july-4th-in-america/,https://www.wzzm13.com/article/news/local/east-grand-rapids/its-a-moral-issue-not-a-legal-issue-immigration-group-protests-during-4th-of-july-parade/69-570643145,,
Evanston,,IL,US,2018-07-04,FB: 7,7,,7,,,North and Northwest Suburban IL NOW,Pro-choice,1,march,,,,,1,1,https://www.facebook.com/events/1918468748427030,https://www.bustle.com/p/6-4th-of-july-protests-marches-to-celebrate-independence-day-with-activism-9642221,,,
Los Angeles,Hall of Justice,CA,US,2018-07-04,,,,,,,Black Lives Matter LA,"against police brutality, for police accountability, Black Lives Matter, against District Attorney Jackie Lacey",1,protest,,,,,1,1,https://www.cnn.com/2020/07/10/us/jackie-lacey-la-da-black-lives-matter/index.html,https://www.newyorker.com/magazine/2020/11/16/after-years-of-protests-every-wednesday-la-activists-welcome-a-new-da,,,
New York,Statue of Liberty; Liberty Island,NY,US,2018-07-04,na,40,,40,,,Rise and Resist,protesting ICE and separating immigrant families,1,protest,0,0,0,0,1,1,https://www.npr.org/2018/07/05/626052069/activists-arrested-protesting-trumps-immigration-policies-at-statue-of-liberty,,,,
New York,Statue of Liberty; Liberty Island,NY,US,2018-07-04,na,1,,1,,,general protestors,protesting ICE and separating immigrant families,1,protest,1,0,0,0,1,1,https://www.npr.org/2018/07/05/626052069/activists-arrested-protesting-trumps-immigration-policies-at-statue-of-liberty,,,climbed statue,
Polebridge,Polebridge to Les Masons State Park,MT,US,2018-07-04,na,4,,4,,,veterans,60km trek in support of public lands,0,rally; march,0,0,0,0,1,1,http://www.dailyinterlake.com/local_news/20180704/veterans_march_60k_to_support_public_lands,,,,
Portland,ICE office on Macadam Ave,OR,US,2018-07-04,na,3,,3,,,general protestors,protesting ICE and separating immigrant families,1,protest; hunger strike,0,0,0,0,1,1,https://www.wweek.com/news/city/2018/07/05/protesters-at-portlands-occupy-ice-camp-start-hunger-strike-to-pressure-city-officials/,,,,
Webster,outside Trump's' Team Deplorable store,NY,US,2018-07-04,na,10,,10,,,general protestors,protesting the opening of a pro-Trump store,1,protest,0,0,0,0,1,1,http://spectrumlocalnews.com/nys/rochester/community/2018/07/05/team-deplorable-protest-webster,,,count estimated from video in article,
