CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro2Anti1,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Misc.,TearGas,Source1,Source2,Source3,Source4,Source5,Source6,Source7,Source8,Source9,Source10,Source11,Source12,,,,,,,
Sherman Oaks,"Sherman Oaks Galleria, Sepulveda Blvd and Ventura Blvd",CA,CA,US,2020-12-01,,,,,,,The Valley of Change,"Black Lives Matter, against police brutality",1,demonstration,,,,,1,1,,,,https://twitter.com/ACatWithNews/status/1423588411227611136,,,,,,,,,,,,,,,,,,
Spokane,Spokane Regional Health District Office,,WA,US,2020-12-01,count pic,4,,4,,,general protesters,"against Board of Health's ousting of members, healthcare",0,protest,0,0,0,0,1,1,,,,https://www.spokesman.com/stories/2020/dec/06/health-advisory-members-resign-in-protest-of-dr-bo/,,,,,,,,,,,,,,,,,,
Washington,outside home of Sen. Mitch McConnell,,DC,US,2020-12-01,,,,,,,SPACEs in Action; Shut Down DC,"for federal financial relief from COVID-19 pandemic, against Senator McConnell",1,demonstration,0,0,0,0,1,1,,,,https://www.newsweek.com/activists-drop-body-bags-outside-homes-mitch-mcconnell-lindsey-graham-protest-congress-failure-1551587,https://twitter.com/ShutDown_DC/status/1333882350439108609,https://twitter.com/SPACEsInAction/status/1333820266934308865,,,,,,,,,,,,,,,,
Wooster,Market St and Liberty St,,OH,US,2020-12-01,,,,,,,general protesters,"against racism, against police brutality",1,protest,,,,,1,1,,,,https://twitter.com/desireejweber/status/1357411129488769028,,,,,,,,,,,,,,,,,,
Worcester,St. Vincent Hospital,,MA,US,2020-12-01,more than 100,100,,100,,,Massachusetts Nurses Association,for safer staffing levels and working conditions for nurses at St. Vincent Hospital during coronavirus pandemic,0,picket,0,0,0,0,1,1,,,,https://www.prnewswire.com/news-releases/st-vincent-nurses-to-protest-lack-of-safe-staffing-protection-and-support-during-covid-19-by-tenet-healthcare-with-dec-1st-informational-picket-301181537.html,https://whdh.com/news/st-vincent-hospital-nurses-in-worcester-to-protest-working-conditions-amid-pandemic/,https://patch.com/massachusetts/worcester/worcester-nurses-protest-over-pandemic-working-conditions,https://whdh.com/news/st-vincent-hospital-nurses-in-worcester-to-protest-working-conditions-amid-pandemic/,,,,,,,,,,,,,,,
Alpharetta,Wills Park,,GA,US,2020-12-02,hundreds,200,,200,,,Stop the Steal,"for President Trump, against election fraud, against Governor Kemp",2,rally,0,0,0,0,1,1,,,,https://twitter.com/ali/status/1333833430459686914,https://twitter.com/bluestein/status/1334214846020202496,https://www.yahoo.com/news/stop-steal-rally-asks-trump-205600130.html,https://www.dailykos.com/stories/2020/12/2/1999523/-Good-news-Sydney-Powell-and-Lin-Wood-tell-Georgians-not-to-vote-for-Loeffler-Perdue,https://www.washingtonexaminer.com/politics/sidney-powell-and-lin-wood-host-trump-style-rally-in-georgia-urging-boycott-of-january-runoffs,https://www.al.com/news/2020/12/bama-student-cj-pearson-speaks-at-stop-the-steal-rally.html,,,,,,,,,,,,,
Boston,Boston City Hall,,MA,US,2020-12-02,about 75; about 100,75,,100,,,Voices for BPS Families; Massachusetts Parents United,for reopening Boston public schools during coronavirus pandemic,0,rally,0,0,0,0,1,1,,,,https://whdh.com/news/parents-young-students-rally-in-boston-as-timeline-for-return-to-in-person-learning-remains-unclear/,https://www.bostonglobe.com/2020/12/02/metro/boston-parents-rally-city-hall-school-reopening/,,,,,,,,,,,,,,,,,
Bozeman,outside home of Gallatin City-County Health Officer Matt Kelley,,MT,US,2020-12-02,,,,,,,general protesters,against county mandates in response to coronavirus pandemic,2,protest,0,0,0,0,1,1,,,,https://www.bozemandailychronicle.com/coronavirus/our-county-officials-are-being-harassed-supporters-rally-for-gallatin-county-health-officer/article_4a6dee5c-be57-5335-ae6e-90bec12902ef.html,,,,,,,,,,,,,,,,,,
Cayce,Brookland-Cayce High School,,SC,US,2020-12-02,more than 20,20,,20,,,school staff,"against reopening schools during coronavirus pandemic, for safer workplace for teachers and school staff",0,sickout,0,0,0,0,1,1,,,,https://www.thestate.com/news/local/education/article247561915.html,,,,,,,,,,,,,,,,,,
Chicago,Lakeview Rehabilitation & Nursing Center,,IL,US,2020-12-02,about 30,30,,30,,,SEIU HCII,"for higher wages for certified nursing assistants at Infinity Healthcare, for hazard pay and more PPE during coronavirus pandemic",0,strike; picket,0,0,0,0,1,1,,,,https://chicago.cbslocal.com/2020/12/02/caregivers-strike-continues-at-infinity-healthcare-nursing-homes-workers-want-better-wages-pandemic-pay/,https://chicago.suntimes.com/business/2020/12/2/22064815/infinity-nursing-home-strike-seiu-healthcare,,,,,,,,,,,,,,,,,
