CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro2-Anti1,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Source1,Source2,Source3,Misc.,TearGas,CountLove,AdHoc,Source4,Source5,Source6,Source7,Source8,Source9,,,,,,,,
Folsom,Frederick L. Mann Memorial Park; Ridley Township Police Station,,PA,US,2020-08-01,,,,,,,"Stars, Stripes, Bars & Pipes","against Black Lives Matter, in support of veterans and first responders, for President Trump, for patriotism, Confederate flag, All Lives Matter",2,counter-protest,0,0,0,0,0,1,20200801-folsom-blm,https://www.phillytrib.com/news/state_and_region/delco-black-caucus-calls-for-change-after-heated-blm-protest/article_2ebaf210-d031-5362-a99b-62e562789069.html,https://www.delcotimes.com/news/black-lives-matter-march-turns-tense-in-ridley-township/article_c612917a-d43c-11ea-befb-934f56f1aa53.html,https://philadelphia.cbslocal.com/2020/08/02/tensions-rise-between-two-groups-at-black-lives-matter-march-in-delaware-county/,verbally confronted protesters with threats and racial slurs; rolled coal at protesters; revved motorcycle engines; charged at protesters; shoved and scuffled with protesters; harassed journalist,,1,,,,,,,,,,,,,,,
Fort Wayne,Downtown Fort Wayne,,IN,US,2020-08-01,,,,,,,community members,"justice for Thae Ohu, for immigrants' rights",1,rally,,,,,1,1,,https://www.journalgazette.net/news/local/20200802/burmese-hold-rally-for-marine,,,,,,,,,,,,,,,,,,,,
Galloway,Galloway Police Department,,NJ,US,2020-08-01,about 3 dozen,36,,36,,,general protesters,for racial and environmental justice,1,protest,0,0,0,0,1,1,,https://pressofatlanticcity.com/news/young-voices-demand-social-environmental-justice-at-galloway-protest/article_cc04c3d3-4ba7-587d-ad90-9c1c1ca213c8.html,,,,,,,,,,,,,,,,,,,,
Graham ,Alamance County Courthouse,,NC,US,2020-08-01,,,,,,,general protesters,for removal of Confederate monument ,1,protest,0,0,0,0,1,1,20200801-graham-confederacy,https://www.thetimesnews.com/story/news/2020/08/05/protestors-clash-alamance-courthouse/5572261002/,,,verbal clashes and fighting with counter-protesters,,,,,,,,,,,,,,,,,
Graham ,Alamance County Courthouse,,NC,US,2020-08-01,,,,,,,general protesters,"against removal of Confederate monument, for freedom, Confederate flag",2,counter-protest,0,0,0,0,0,1,20200801-graham-confederacy,https://www.thetimesnews.com/story/news/2020/08/05/protestors-clash-alamance-courthouse/5572261002/,,,verbal clashes and fighting with protesters,,,,,,,,,,,,,,,,,
Greenfield,Hancock County Courthouse,,IN,US,2020-08-01,over 250,250,,250,,,general protesters,"in support of police, Back the Blue",0,rally,0,0,0,0,1,1,,http://www.greenfieldreporter.com/2020/07/31/back_the_blue_rally_to_be_held_in_greenfield/,http://www.greenfieldreporter.com/2020/08/05/vocal_support_community_members_rally_in_support_of_law_enforcement/,,,,1,,,,,,,,,,,,,,,
Greenville,Greenville City Hall,,OH,US,2020-08-01,more than a dozen,12,,12,,,general protesters,"in support of women serving in the military, for change in how military handles allegations of sexual assault",0,rally,0,0,0,0,1,1,,https://www.wdtn.com/news/greenville-rally-supports-military-women-calls-for-changes-to-how-military-handles-sexual-assault/,,,,,,,,,,,,,,,,,,,,
Greenville,County Square,,SC,US,2020-08-01,,,,,,,general protesters,Back the Blue; in support of law enforcement,0,rally,0,0,0,0,1,1,,https://www.wspa.com/news/back-the-blue-rally-held-in-downtown-greenville/,,,,,,,,,,,,,,,,,,,,
Greenwich,,,NY,US,2020-08-01,,,,,,,general protesters,"in remembrance of George Floyd, against police brutality, for racial justice, Black Lives Matter",1,vigil,,,,,1,1,,https://www.timesunion.com/news/article/How-one-woman-kept-George-Floyd-s-story-alive-in-16210166.php,,,,,,1,,,,,,,,,,,,,,
Greenwood Village,Greenwood Village City Hall,,CO,US,2020-08-01,,,,,,,Cherry Creek Students for Justice,"for police accountability, in support of local police accountability resolution, Black Lives Matter",1,rally,0,0,0,0,1,1,,https://denver.cbslocal.com/2020/08/01/greenwood-village-protest-rally-students/,,,,,,,,,,,,,,,,,,,,
Hartford,Connecticut State Capitol,,CT,US,2020-08-01,about 50,50,,50,,,general protesters,"Back the Blue, against state police accountability legislation, for patriotism, Thin Blue Line",2,rally,0,0,0,0,1,1,20200801-hartford-backtheblue,https://www.fox61.com/article/news/local/police-back-blue-protest-rally-accountability-law-qualified-immunity/520-90bca8b0-b81d-4fda-8523-bb223de3a016,,,argued with counter-protesters,,,,,,,,,,,,,,,,,
