CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro2-Anti1,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Source1,Source2,Source3,Misc.,TearGas,CountLove,AdHoc,Source4,Source5,Source6,Source7,Source8,Source9,,,,,,,,
Wooster,Market St and Liberty St,Wayne,OH,US,2020-08-19,,,,,,,general protesters,"against racism, against police brutality",1,protest,,,,,1,1,,https://twitter.com/desireejweber/status/1357411129488769028,,,,,,1,,,,,,,,,,,,,,
Akron,United Steelworkers Local 2 Office,,OH,US,2020-08-20,more than a 100,100,,100,,,union representatives; state reps; Goodyear workers/retirees/union members,against President Trump's boycott of Goodyear tires,1,rally,0,0,0,0,1,1,,https://www.pennlive.com/politics/2020/08/akron-workers-elected-officials-rally-in-support-of-goodyear-after-president-trump-called-for-boycott.html,,,,,,,,,,,,,,,,,,,,
Albany,New York State Capitol,,NY,US,2020-08-20,about 200,200,,200,,,casino workers,for opening casinos during coronavirus pandemic,0,rally,0,0,0,0,1,1,,https://www.recordonline.com/story/news/politics/albany/2020/08/20/new-york-casinos-still-closed-why-workers-going-bust/5616267002/,,,,,,,,,,,,,,,,,,,,
Anchorage,,,AK,US,2020-08-20,hundreds,200,,200,,,general protesters,"in support of police, against defunding police, for patriotism",2,rally,0,0,0,0,1,1,20200820-anchorage-backtheblue,https://www.alaskasnewssource.com/2020/08/21/back-the-blue-rally-draws-supporters-protestors/,,,,0,,,,,,,,,,,,,,,,
Anchorage,,,AK,US,2020-08-20,,,,,,,general protesters,"against police brutality, for banning police choke holds, for AO 2020-80",1,counter-protest,0,0,0,0,0,1,20200820-anchorage-backtheblue,https://www.alaskasnewssource.com/2020/08/21/back-the-blue-rally-draws-supporters-protestors/,,,,0,,,,,,,,,,,,,,,,
Athens,"the Arch, University of Georgia",,GA,US,2020-08-20,,,,,,,students,against University of Georgia’s reopening during coronavirus pandemic and exploitation of the Black community,1,protest,0,0,0,0,1,1,,https://www.onlineathens.com/photogallery/GA/20200821/PHOTOGALLERY/821009999/PH/1,,,,,,,,,,,,,,,,,,,,
Bismarck,City/County Building,,ND,US,2020-08-20,about 20,20,,20,,,general protesters,"against name of Custer Park, for listening to indigenous peoples' voices",1,protest,0,0,0,0,1,1,,https://bismarcktribune.com/news/local/bismarck-park-board-tables-custer-park-marker-discussion-following-demonstration/article_015c959c-7f4a-5f6e-a8b0-280e6aff9839.html,,,,,,,,,,,,,,,,,,,,
Boise,State St,,ID,US,2020-08-20,,,,,,,general protesters,"against racism, against hate, for American values, for equality, Black Lives Matter, for voting rights, in support of veterans and active-duty military, respect science",1,demonstration,,,,,1,1,,https://www.kivitv.com/news/honk-for-american-values-demonstration-continues-for-100-straight-days,https://www.idahopress.com/news/local/honk-for-american-values-demonstrators-near-100-consecutive-days/article_088f414c-ac84-5f55-b84e-b3f811add6be.html,,,,,1,,,,,,,,,,,,,,
Canandaigua,near the route 332 intersection,,NY,US,2020-08-20,about 50,50,,50,,,general protesters,for Biden for president,1,rally,0,0,0,0,1,1,,https://www.mpnnow.com/story/news/politics/elections/presidential/2020/08/21/biden-backers-rally-in-canandaigua/42274657/,,,,,,,,,,,,,,,,,,,,
Charlottesville,"to Washington, DC",,VA,US,2020-08-20,,,,,,,clergy; community members,against white supremacy and social hierarchy,1,march,0,0,0,0,1,1,,https://dailyprogress.com/news/local/activists-kick-off-march-to-washington-with-prayer-and-messages/article_e1129e6f-ce0d-52a2-9fd9-42bf98aad7bc.html,,,,,,,,,,,,,,,,,,,,
Columbus,Ohio Statehouse; Franklin County Government Center,,OH,US,2020-08-20,,,,,,,nephews of George Floyd; general protesters,"against racism, against police brutality, for justice for George Floyd",1,demonstration; protest,0,0,0,0,1,1,,https://www.dispatch.com/story/news/local/2020/08/20/nephews-of-george-floyd-stop-in-columbus-to-protest-police-brutality-and-demand-change/42265391/,,,,,,,,,,,,,,,,,,,,
Germantown Hills,,,IL,US,2020-08-20,hundreds,200,,200,,,general protesters,"in support of police, for patriotism, for President Trump",2,rally,0,0,0,0,1,1,,https://www.pjstar.com/photogallery/IP/20200820/PHOTOGALLERY/821009999/PH/11,,,,,,,,,,,,,,,,,,,,
Gilbert,Gilbert Rd & Warner Rd,,AZ,US,2020-08-20,,,,,,,general protesters,"in support of police, for President Trump, All Lives Matter",2,demonstration,unspecified,unspecified,0,0,1,1,20200820-gilbert-backtheblue,https://www.youtube.com/watch?v=foko8KQLiZc,https://www.azfamily.com/news/protests-remain-peaceful-between-blm-pro-police-groups-at-gilbert-intersection/article_d2216ec4-e8d6-11ea-b199-732bf17f83c3.html,https://www.gilbertaz.gov/Home/Components/News/News/4216/17,some protesters carried firearms and knives; one scuffle broken up by police,0,,1,,,,,,,,,,,,,,
Gilbert,Gilbert Rd & Warner Rd,,AZ,US,2020-08-20,,,,,,,general protesters,Black Lives Matter,1,counter-protest,unspecified,unspecified,0,0,0,1,20200820-gilbert-backtheblue,https://www.youtube.com/watch?v=foko8KQLiZc,https://www.azfamily.com/news/protests-remain-peaceful-between-blm-pro-police-groups-at-gilbert-intersection/article_d2216ec4-e8d6-11ea-b199-732bf17f83c3.html,https://www.gilbertaz.gov/Home/Components/News/News/4216/17,some counter-protesters carried firearms and knives; one scuffle broken up by police,0,,1,,,,,,,,,,,,,,
Greensburg,Westmoreland County Courthouse,,PA,US,2020-08-20,,,,,,,general protesters,Black Lives Matter,1,march,0,0,0,0,1,1,,https://triblive.com/local/westmoreland/black-lives-matter-protest-march-in-greensburg-planned-for-thursday-evening/,,,,,,,,,,,,,,,,,,,,
Hamtramck,Veterans Park,,MI,US,2020-08-20,,,,,,,Yemeni Liberation Movement; Palestinian Youth Movement; Anakbayan Detroit; Detroit Will Breathe,for justice for Yemen,0,march,0,0,0,0,1,1,,https://detroitwillbreathe.info/events.html,,,Justice for Yemen March,,,1,,,,,,,,,,,,,,
Harrisburg,Pennsylvania State Capitol,,PA,US,2020-08-20,count video,200,,200,,,general protesters,for continuing school sports during coronavirus pandemic,0,rally,0,0,0,0,1,1,,https://www.yourerie.com/news/western-pa-news/watch-live-let-our-kids-play-in-pa-rally-on-capitol-steps/,,,,,,,,,,,,,,,,,,,,
Holyoke ,Beech St & Northhampton St,,MA,US,2020-08-20,,,,,,,Coalition for Birthing Care Access,"against closure of birthing center, for healthcare access",0,protest,0,0,0,0,1,1,,https://www.gazettenet.com/Community-protests-Holyoke-Medical-Center-Birthing-Center-closure-35839584,,,,,,,,,,,,,,,,,,,,
Indianapolis,Mayor Joe Hogsett's home,,IN,US,2020-08-20,about 30 cars,30,,30,,,Indy10 BLM,"against racism, against police brutality, Black Lives Matter",1,protest; funeral procession,0,0,0,0,1,1,,https://www.indystar.com/story/news/2020/08/20/dreasjon-reed-mchale-rose-car-protest-remembers-black-men-shot-police/3403077001/,,,,,,,,,,,,,,,,,,,,
Iowa City,University of Iowa,,IA,US,2020-08-20,,,,,,,Iowa Student Action,against in-person instruction at University of Iowa amid the covid pandemic,0,march,0,0,0,0,1,1,,https://dailyiowan.com/2020/08/20/iowa-student-action-cogs-continue-to-protest-in-person-instruction/,,,,,,,,,,,,,,,,,,,,
Kansas City,City Hall,,MO,US,2020-08-20,about 3,3,,3,,,general protesters,"against racism, against police violence",1,protest,0,0,0,0,1,1,,https://www.kansascity.com/news/politics-government/article245120245.html,,,,,,,,,,,,,,,,,,,,
Kutztown,School President's House,,PA,US,2020-08-20,,,,,,,faculty members,against in-person schooling during coronavirus pandemic,0,protest,0,0,0,0,1,1,,https://www.pennlive.com/news/2020/08/kutztown-university-faculty-stage-protest-over-shortcomings-in-campus-reopening-plan-as-classes-are-set-to-start-on-monday.html,,,,,,,,,,,,,,,,,,,,
Las Vegas,LGBTQ Center of Southern Nevada,,NV,US,2020-08-20,sixty,60,,60,,,general protesters,"against violence against transgender people, against racism",1,vigil,,,,,1,1,,https://www.reviewjournal.com/local/local-las-vegas/las-vegas-vigil-remembers-transgender-homicide-victims-in-us-2100213/,,,,,,1,,,,,,,,,,,,,,
Livonia,Livonia City Hall,,MI,US,2020-08-20,a few hundred,300,,300,,,general protesters,"in support of police, for patriotism",0,rally,0,0,0,0,1,1,,https://www.hometownlife.com/story/news/local/livonia/2020/08/20/hundreds-rally-livonia-back-blue/3404078001/,,,,,,,,,,,,,,,,,,,,
Louisville,AG Daniel Cameron's Lawn,,KY,US,2020-08-20,seven,7,,7,,,senior citizens,"against racism, against police violence, for police accountability, for justice for Breonna Taylor",1,demonstration,1,0,0,0,1,1,,https://www.courier-journal.com/picture-gallery/news/2020/08/20/senior-citizens-protest-for-breonna-taylor-at-daniel-camerons-home/5618280002/,,,sit-in,,,,,,,,,,,,,,,,,
Milwaukee,Wisconsin Center,,WI,US,2020-08-20,,,,,,,general protesters,"against racism, against police brutality",1,march; protest,0,0,0,0,1,1,,https://www.wisn.com/article/protesters-march-on-dnc-calling-for-end-to-police-brutality/33661037#,,,,,,,,,,,,,,,,,,,,
Mlwaukee,Red Arrow Park,,WI,US,2020-08-20,500,500,,500,,,general protesters,in support of Black Lives Matter and against police brutality,1,march,0,0,0,0,0,1,,http://www.fightbacknews.org/2020/8/22/hundreds-march-dnc-milwaukee-we-can-t-breathe-0,,,,,,,,,,,,,,,,,,,,
Mount Joy,Mount Joy Township building,,PA,US,2020-08-20,dozens,24,,24,,,general protesters,"against Florida-based NextEra Energy Resources Brookview Solar 1 proposal, for environmental protection",1,protest,0,0,0,0,1,1,,https://www.gettysburgtimes.com/news/local/image_1d62d951-c6e6-50bc-b8bd-6c85585ab2f1.html,,,,,,,,,,,,,,,,,,,,
New York,"Carl Schurz Park, Manhattan",,NY,US,2020-08-20,,,,,,,Upper East Side for Black Lives Matter,antiracism; against police brutality,1,vigil; march,,,,,0,1,,https://www.instagram.com/p/CEHDWVpD6q5/,,,,,,1,,,,,,,,,,,,,,
New York,"McCarren Park, Brooklyn",,NY,US,2020-08-20,,,,,,,general protesters,"against racism, against police brutality",1,vigil,,,,,0,1,,https://www.instagram.com/p/CEAuHZPD9_x/,,,,,,1,,,,,,,,,,,,,,
New York,"Prospect Park, Brooklyn",,NY,US,2020-08-20,,,,,,,"teachers, parents, United Federation of Teachers",against in-school learning during coronavirus pandemic,0,protest,0,0,0,0,0,1,,https://www.dailykos.com/stories/2020/8/26/1972480/-As-massive-school-district-readies-to-reopen-amid-pandemic-teachers-march-with-fake-skeletons,,,"teachers carried fake caskets, guillotines, and skeletons",0,1,,,,,,,,,,,,,,,
New York,"The Stonewall Inn, Manhattan",,NY,US,2020-08-20,,,,,,,The Stonewall Protests,"for Black trans liberation, for community building",1,march,,,,,0,1,,https://www.instagram.com/p/CQMyh8yDOZB/?utm_source=ig_web_copy_link,,,,,,1,,,,,,,,,,,,,,
Oak Creek,Oak Creek School District,,WI,US,2020-08-20,count video,100,,100,,,parents; students,for in-person schooling during coronavirus pandemic,0,protest,0,0,0,0,1,1,,https://www.fox6now.com/news/im-not-worried-parents-students-protest-oak-creek-franklin-schools-all-virtual-learning-decision,,,,,,,,,,,,,,,,,,,,
Old Forge,Mariotti Building Products,,PA,US,2020-08-20,,,,,,,general protesters,for President Trump,2,rally,0,0,0,0,1,1,,https://www.yourerie.com/news/watch-live-president-trump-arrives-at-wilkes-barre-scranton-international-airport/,https://www.wnep.com/article/news/local/lackawanna-county/president-donald-trump-old-forge-mariotti-building-products-campaign-rally/523-8f42a7cb-b58d-46d1-af91-dd1050d397b5,,feat. President Trump,,,,,,,,,,,,,,,,,
Philadelphia,home of Philadelphia Housing Authority President/CEO Kelvin Jeremiah,,PA,US,2020-08-20,,,,,,,Philadelphia Housing Action,for housing rights,0,protest,,,,,1,1,,https://itsgoingdown.org/occupy-takeover-how-philadelphia-housing-action-turned-vacant-buildings-into-homes/,,,,,,,,,,,,,,,,,,,,
Portland,Portland Police Association; Kenton Park,,OR,US,2020-08-20,more than 100,100,,100,,,Portland Black Youth,Black Lives Matter,1,march,0,0,0,0,1,1,,https://www.kptv.com/news/portland-black-youth-movement-leads-peaceful-march-past-police-association-building/article_71b6d718-e36d-11ea-8f4d-f7b99a0ed5d6.html,,,,,,,,,,,,,,,,,,,,
Portland,Portland Police Department North Precinct,,OR,US,2020-08-20,,,,,,,Justice for Patrick Kimmons,"for justice for Patrick Kimmons, against racism, against police brutality",1,rally; march,,,,,0,1,,https://www.instagram.com/p/CEDdaeMhM6q/,,,,,,1,,,,,,,,,,,,,,
Rockland,Knox County Courthouse,,ME,US,2020-08-20,,,,,,,general protesters,demanding prosecution of accused killer,0,protest,0,0,0,0,1,1,,https://bangordailynews.com/2020/08/20/news/midcoast/state-drops-case-against-man-who-allegedly-taunted-vinalhaven-protesters/,,,,,,,,,,,,,,,,,,,,
Seattle,Space Needle,,WA,US,2020-08-20,,,,,,,Morning March Seattle,"against racism, against police violence, for defunding police",1,march,,,,,1,1,,https://www.instagram.com/p/CEFj8cBJPzf/,,,,,,1,,,,,,,,,,,,,,
Seattle,,,WA,US,2020-08-20,,,,,,,Picket 4 Change Seattle,"against racism, against police violence, for defunding police, against Mayor Durkan",1,picket,,,,,0,1,,https://www.instagram.com/p/CEIjeTApQhH/,,,Day 31 [with gaps],,,1,,,,,,,,,,,,,,
Sherman Oaks,"Sherman Oaks Galleria, Sepulveda Blvd and Ventura Blvd",,CA,US,2020-08-20,,,,,,,The Valley of Change,"Black Lives Matter, against police brutality",1,demonstration,,,,,1,1,,https://twitter.com/ACatWithNews/status/1423588411227611136,,,,,,1,,,,,,,,,,,,,,
Statesville,Broad St & Center St,,NC,US,2020-08-20,,,,,,,Statesville4Change,"for removal of Confederate statue, Black Lives Matter",1,demonstration,,,,,1,1,,https://statesville.com/news/local/as-protests-near-100-days-elowehi-onole-said-there-is-no-plan-to-stop-in/article_5dd17c3a-fe66-11ea-a0e8-4b7d70be3639.html,,,,,,1,,,,,,,,,,,,,,
Stockton,Stockton City Hall,,CA,US,2020-08-20,,,,,,,family and friends of Antwane Burrise,"against police violence, against racism, for justice for Antwane Burrise",1,demonstration,0,0,0,0,1,1,,https://www.recordnet.com/story/news/2020/08/23/family-demonstrates-after-antwane-burrise-shot-killed-by-stockton-police/3403463001/,,,,0,1,,,,,,,,,,,,,,,
Swampscott,Humphrey St & Monument Ave,,MA,US,2020-08-20,,,,,,,general protesters,"for President Trump, against Black Lives Matter",2,demonstration,,,,,1,1,20200820-swampscott-trump,https://www.boston.com/news/local-news/2020/10/28/swampscott-trump-black-lives-matter-dueling-rallies,,,,,,1,,,,,,,,,,,,,,
Swampscott,Humphrey St & Monument Ave,,MA,US,2020-08-20,,,,,,,general protesters,for Black Lives Matter,1,counter-protest,,,,,0,1,20200820-swampscott-trump,https://www.boston.com/news/local-news/2020/10/28/swampscott-trump-black-lives-matter-dueling-rallies,,,,,,1,,,,,,,,,,,,,,
Wilmington,Wilmington Riverfront,,DE,US,2020-08-20,more than 100,100,,100,,,Delaware Trump Campaign; Delaware Republicans,"for President Trump, against Joe Biden",2,protest,0,0,0,0,1,1,,https://www.delawareonline.com/story/news/2020/08/20/trump-supporters-protest-biden-wilmington-dnc-delaware/5621320002/,,,,,,,,,,,,,,,,,,,,
Wooster,Market St and Liberty St,Wayne,OH,US,2020-08-20,,,,,,,general protesters,"against racism, against police brutality",1,protest,,,,,1,1,,https://twitter.com/desireejweber/status/1357411129488769028,,,,,,1,,,,,,,,,,,,,,
Worcester,Grove St,,MA,US,2020-08-20,dozens,24,,24,,,Educational Association of Worcester,for safer working conditions for school bus drivers and staff during coronavirus pandemic,0,rally,0,0,0,0,1,1,,https://www.masslive.com/worcester/2020/08/worcester-educators-at-union-rally-say-more-safety-measures-needed-for-bus-drivers-and-monitors-during-coronavirus-pandemic.html,,,,,,,,,,,,,,,,,,,,
Ames,,,IA,US,2020-08-21,approximately 50,50,,50,,,general protesters,Black Lives Matter,1,protest,0,0,0,0,1,1,,https://www.iowastatedaily.com/news/ames-black-lives-matter-covid-19-social-distancing-policy-face-covering-lynette-kwaw-mensah-wendy-wintersteen-poni-lejukole-iowa-state-university-students-police-brutality-racism-brookside-park-suspension/article_eeef936e-e421-11ea-8ebd-03d393a5a350.html,,,,0,1,,,,,,,,,,,,,,,
Asheboro,Bicentennial Park,,NC,US,2020-08-21,,,,,,,Back the Blue,in support of police,0,rally,0,0,0,0,1,1,,https://www.courier-tribune.com/story/news/local/2020/08/22/asheboro-holds-rally-back-blue/3418545001/,,,,,,,,,,,,,,,,,,,,
Beaufort,Ribaut Rd & Boundary St,,SC,US,2020-08-21,,,,,,,parents of Beaufort students,against virtual format for Beaufort County school district due to coronavirus pandemic,1,protest,0,0,0,0,1,1,,https://www.islandpacket.com/news/local/education/article245079490.html,,,Two day event until Saturday 08-22,0,1,,,,,,,,,,,,,,,
Berkeley Springs,Berkeley Springs State Park,,WV,US,2020-08-21,between 500 and 600,500,,600,,,general protesters,Black Lives Matter,1,rally,0,0,0,0,1,1,,https://www.heraldmailmedia.com/news/tri_state/west_virginia/berkeley-springs-rallies-attract-hundreds/article_3156f49f-27c8-5442-b67d-6f766c8b8e13.html,,,,,,,,,,,,,,,,,,,,
Bethlehem ,"Bethlehem Town Hall, 445 Delaware Ave",,NY,US,2020-08-21,,,,,,,Bethlehem NY Indivisible,for transparency in hiring of new police chief,0,demonstration,,,,,1,1,,https://spotlightnews.com/towns/bethlehem/2020/08/19/bethlehem-nears-choice-for-police-chief-while-transparency-advocates-plan-rally-at-town-hall/,,,,,1,,,,,,,,,,,,,,,
Binghamton,downtown,,NY,US,2020-08-21,nearly 100,100,,100,,,general protesters,against child sexual abuse and alleged police inaction,0,vigil,0,0,0,0,1,1,,https://www.pressconnects.com/story/news/local/2020/08/22/save-our-children-vigil-black-lives-matter-mural-leads-march-binghamton/3417386001/,,,,,,,,,,,,,,,,,,,,
Boise,State St,,ID,US,2020-08-21,,,,,,,general protesters,"against racism, against hate, for American values, for equality, Black Lives Matter, for voting rights, in support of veterans and active-duty military, respect science",1,demonstration,,,,,1,1,,https://www.kivitv.com/news/honk-for-american-values-demonstration-continues-for-100-straight-days,https://www.idahopress.com/news/local/honk-for-american-values-demonstrators-near-100-consecutive-days/article_088f414c-ac84-5f55-b84e-b3f811add6be.html,,,,,1,,,,,,,,,,,,,,
Bowling Green,Wooster Green,,OH,US,2020-08-21,,,,,,,Safe Communities of Wood County,"against drunk driving, for safer roads",0,rally,0,0,0,0,1,1,,http://bgindependentmedia.org/safe-communities-law-enforcement-rally-to-raise-awareness-of-drunk-drivings-death-toll/,,,,,,,,,,,,,,,,,,,,
Brandon,in front of the old courthouse,,MS,US,2020-08-21,,,,,,,general protesters,for moving Confederate statue to Brandon Cemetery,1,rally,0,0,0,0,1,1,,https://www.wlbt.com/2020/08/22/brief-fight-breaks-out-peaceful-protest-brandon/,,,,,,,,,,,,,,,,,,,,
Charlotte,Marshall Park; uptown,,NC,US,2020-08-21,approximately 60,60,,60,,,general protesters,"Black Lives Matter, against President Trump, against the Republican National Convention",1,demonstration,4,0,unspecified,0,1,1,,https://www.wcnc.com/article/news/politics/rnc/cmpd-make-multiple-arrests-overnight-during-protest/275-94cfbaad-addc-4aec-b380-80b5a988488d,https://www.heraldsun.com/news/local/article245198720.html,,Pepper spray,1,,,,,,,,,,,,,,,,
Clayton ,,,MO,US,2020-08-21,dozens,24,,24,,,general protesters,in support of Hazel Erby who was the director of diversity for St. Louis County who spoke out against racism ,1,rally,0,0,0,0,1,1,,https://www.ksdk.com/article/news/local/hazel-erby-rally-st-louis-county/63-d926ba73-abf3-49d1-a888-7a031c4f249c,,,,,,,,,,,,,,,,,,,,
DeKalb,outside the post office,,IL,US,2020-08-21,about 40,40,,40,,,general protesters,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",1,rally,0,0,0,0,1,0,,https://www.shawlocal.com/2020/08/22/dekalb-county-residents-protest-defunding-the-united-states-postal-service/a17fr81/,,,,,,,,,,,,,,,,,,,,
Duluth ,Chester Park,,MN,US,2020-08-21,dozens,24,,24,,,general protesters,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",1,picket,0,0,0,0,1,1,,https://kbjr6.com/2020/08/21/group-rallies-against-changes-to-usps-supports-workers/,,,,,,,,,,,,,,,,,,,,
Eau Claire,Madison St,,WI,US,2020-08-21,20,20,,20,,,general protesters,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",1,rally,0,0,0,0,1,1,,https://www.leadertelegram.com/covid-19/locals-rally-in-support-of-usps/article_eef76c7a-e7f5-57d3-8c4c-4475df6c5147.html,,,,,,,,,,,,,,,,,,,,
Eugene,Wayne L. Morse U.S. Federal Courthouse,,OR,US,2020-08-21,,,,,,,Black Unity,"against racism, against police violence, for justice for Breonna Taylor",1,protest,0,0,0,0,1,1,,https://www.dailyemerald.com/news/eugene-community-stands-in-solidarity-with-kenosha-in-12th-protest-week/article_66a2aade-e8de-11ea-9c50-f3718e637523.html,,,,,,,,,,,,,,,,,,,,
Green Bay,118 N Monroe Avenue,,WI,US,2020-08-21,,,,,,,general protesters,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",1,rally,0,0,0,0,1,1,,https://www.greenbaypressgazette.com/picture-gallery/news/2020/08/21/protesters-rally-support-u-s-postal-service/3414448001/,,,,,,,,,,,,,,,,,,,,
Indianapolis,parking lot outside IMPD's Northwest district headquarters,,IN,US,2020-08-21,,,,,,,general protesters,"against racism, against police violence, for police accountability, for justice for Dreasjon Reed",1,protest,0,0,0,0,1,1,,https://fox59.com/news/occupy-protest-held-at-impd-northwest-district-headquarters/,,,,,,,,,,,,,,,,,,,,
Iowa City,downtown,,IA,US,2020-08-21,more than 200; at least 100,100,,200,,,Iowa Freedom Riders civil rights group,"against racism, against police violence, in support of anti-racism protesters injured in van attack",1,protest,0,0,0,0,1,1,,https://apnews.com/article/46a54ae0ebfd7e2a2107aa1816f25be9,https://littlevillagemag.com/iowa-freedom-riders-return-iowa-city/,https://www.thegazette.com/subject/news/public-safety/iowa-city-police-seek-out-protesters-struck-by-car-friday-night-after-locating-the-vehicle-and-driver-20200822,Reports of protesters hit by a car but no serious injuries,0,1,,https://www.kimt.com/content/news/Car-drives-through-protesters-in-Iowa-City-on-Friday-572199921.html,,,,,,,,,,,,,
Jersey City,,,NJ,US,2020-08-21,,,,,,,Blue WAveNJ,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",1,protest,0,0,0,0,0,1,,https://www.nj.com/politics/2020/08/nj-residents-rally-across-state-to-save-our-mail-as-postmaster-general-promises-election-ballots-will-be-delivered-on-time.html,,,,0,1,,,,,,,,,,,,,,,
Kansas City,12th St & Oak St,,MO,US,2020-08-21,,,,,,,Black Rainbow,"against police brutality, for police accountability, Black Lives Matter",1,protest; march,,,,,1,1,,https://fox4kc.com/news/one-year-later-group-continues-to-hold-protests-outside-kcpd-headquarters/,,,,,,1,,,,,,,,,,,,,,
Kansas City,Overland Park,,MO,US,2020-08-21,approximately 80,80,,80,,,general protesters,"for police reform, against racism",1,protest,,,,,0,1,,https://www.thepitchkc.com/overland-park-was-the-unusual-site-of-last-fridays-peaceful-police-protest/,,,,,,1,,,,,,,,,,,,,,
Lafayette,El Curtola Blvd & Highway 24,,CA,US,2020-08-21,,,,,,,Contra Costa County Patriots,for President Trump,2,demonstration,,,,,1,1,,https://www.sfgate.com/news/bayarea/article/Council-To-Ask-State-To-Remove-Highway-Overpass-16006373.php,,,,,,1,,,,,,,,,,,,,,
Lafayette,"Engineering Fountain, Purdue University",,IN,US,2020-08-21,hundreds,200,,200,,,general protesters,In support of Black Lives Matter,1,march,0,0,0,0,1,1,,https://www.purdueexponent.org/campus/article_aa591a48-e3fb-11ea-8c3c-bf36e06b2606.html,,,,,,,,,,,,,,,,,,,,
Lancaster,Lancaster Rotary Park,,PA,US,2020-08-21,about 30 demonstrators,30,,30,,,senior citizens,for racial justice,1,demonstration,0,0,0,0,1,1,,https://lancasteronline.com/news/local/old-folks-arising-takes-to-lancaster-streets-seeking-racial-justice/article_10c22570-e40d-11ea-b7a5-138b2b9ae5fb.html,,,Old Folks Arising Lancaster,,,,,,,,,,,,,,,,,
Los Angeles,6200 Foothill Blvd,,CA,US,2020-08-21,,,,,,,general protesters,for President Trump,2,rally,0,1,0,0,1,1,20200821-la-trump,https://www.dailynews.com/2020/08/22/trump-supporters-and-counter-protesters-face-off-in-tujunga-2-people-arrested/,,,,0,,,,,,,,,,,,,,,,
Los Angeles,6200 Foothill Blvd,,CA,US,2020-08-21,about 200,200,,200,,,general protesters,against President Trump,1,counter-protest,2,0,0,0,0,1,20200821-la-trump,https://www.dailynews.com/2020/08/22/trump-supporters-and-counter-protesters-face-off-in-tujunga-2-people-arrested/,,,approached and attacked protesters; one struck protester with a pipe; smoke bombs,0,,,,,,,,,,,,,,,,
Montclair,,,NJ,US,2020-08-21,,,,,,,Blue WAveNJ,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",1,protest,0,0,0,0,0,1,,https://www.nj.com/politics/2020/08/nj-residents-rally-across-state-to-save-our-mail-as-postmaster-general-promises-election-ballots-will-be-delivered-on-time.html,,,,0,1,,,,,,,,,,,,,,,
Morris Township,Convent Station Post Office,,NJ,US,2020-08-21,more than a hundred,100,,100,,,11th for Change,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",1,protest,0,0,0,0,1,1,,https://www.dailyrecord.com/picture-gallery/news/local/morris-county/2020/08/21/protest-convent-station-supports-postal-workers/3411840001/,https://www.nj.com/politics/2020/08/nj-residents-rally-across-state-to-save-our-mail-as-postmaster-general-promises-election-ballots-will-be-delivered-on-time.html,,,,1,,,,,,,,,,,,,,,
New York,"Carl Schurz Park, Manhattan",,NY,US,2020-08-21,,,,,,,Upper East Side for Black Lives Matter,"against racism, against police brutality",1,vigil; march,,,,,1,1,,https://www.instagram.com/p/CEJpw4cD7Wg/,,,,,,1,,,,,,,,,,,,,,
New York,"McCarren Park, Brooklyn",,NY,US,2020-08-21,,,,,,,general protesters,"against racism, against police brutality",1,vigil,,,,,0,1,,https://www.instagram.com/p/CEAuHZPD9_x/,,,,,,1,,,,,,,,,,,,,,
Newburgh,outside the post office on Broadway,,NJ,US,2020-08-21,,,,,,,general protesters,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",1,rally,0,0,0,0,1,0,,https://www.recordonline.com/story/news/2020/08/21/postal-workers-protest-changes-affecting-delivery-times/5615714002/,,,,,,,,,,,,,,,,,,,,
Oak Grove,Oak Grove High School,,MS,US,2020-08-21,dozens,24,,24,,,students,"against racism, against school administrators' response to racism",1,protest,,,,,1,1,,https://www.mississippifreepress.org/5625/good-trouble-in-a-white-flight-suburb-oak-grove-high-kids-confront-racism/,,,,,,1,,,,,,,,,,,,,,
Palm Desert,College of the Desert,,CA,US,2020-08-21,a dozen,12,,12,,,nursing students ,protesting the postponement of on-site clinical rotations for nursing programs at College of the Desert amid the covid pandemic,0,protest,0,0,0,0,1,1,,https://www.desertsun.com/story/news/2020/08/21/college-of-desert-nursing-students-protest-postponement-of-classes/3405606001/,,,,,,,,,,,,,,,,,,,,
Penn Hills,administration building,,PA,US,2020-08-21,,,,,,,United Neighborhood Defense Movement,"against evictions from Valmar Gardens, for city action against slumlords",0,protest,0,0,0,0,1,1,,https://triblive.com/local/penn-hills/penn-hills-protest-targets-officials-for-lack-of-action-in-valmar-gardens-tenants-plight/,,,,,,,,,,,,,,,,,,,,
