City,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,
Manchester,NA,Hillsborough,NH,US,2019-07-02,na,50,,50,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/RightsNH/status/1146098924001869824,https://twitter.com/EsqPhillips/status/1146074059471540226,,,,
Miami,outside US Sen Rubio's office,Miami-Dade,FL,US,2019-07-02,,,,,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/dazyjane410/status/1146096358014816256,,,,,
Milwaukee,Federal building,Milwaukee,WI,US,2019-07-02,hundreds,200,,200,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://twitter.com/jimbretzke/status/1146105771861696518,https://twitter.com/voces_milwaukee/status/1146102943583789057,https://www.jsonline.com/story/news/local/milwaukee/2019/07/02/hundreds-milwaukee-protest-migrant-detentions-centers-deportations/1633602001/,,,
Mineola,Nassau County Courthouse,Nassau,NY,US,2019-07-02,count pic,34,,34,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/NathanStange/status/1146173588610961413,https://twitter.com/IndivisibleRVC/status/1146138423608188928,,,,
Minneapolis,Sen. Amy Klobuchar's Office,Hennepin,MN,US,2019-07-02,hundreds,200,,200,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://twitter.com/NickGjerde/status/1146110909758287874,https://www.mprnews.org/story/2019/07/02/hundreds-attend-minneapolis-protest-cruel-immigration-holding-facilities,https://www.mprnews.org/story/2019/07/02/hundreds-attend-minneapolis-protest-cruel-immigration-holding-facilities,,,
Miramar,outside ICE facility,Broward,FL,US,2019-07-02,count pic,35,,35,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://twitter.com/tomaskenn/status/1146077538025988103,https://wsvn.com/news/politics/lawmakers-visit-homestead-detention-center-as-protesters-meet-around-south-florida/,,,,
Morris,outside public library,Stevens,MN,US,2019-07-02,over 60,60,,60,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,1,1,https://twitter.com/IndivisiMorris/status/1146211273824231424,https://www.stevenscountytimes.com/news/4632972-morris-protesters-join-nationwide-rally-against-ice-detention-centers#.XRwUGt1SpxU.twitter,,,,
Mount Prospect,NA,Cook,IL,US,2019-07-02,na,15,,15,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/caro_88_/status/1146407587002441728,,,,,
Naples,Congressman Francis Rooney's Office,Collier,FL,US,2019-07-02,,,,,,,general protestors ,protesting what they say are inhumane conditions at migrant detention centers.,1,protest,0,0,0,0,1,1,https://www.fox4now.com/news/state/protesters-across-the-country-gather-to-protest-migrant-camps,,,,,
New Orleans,Federal Building,Orleans,LA,US,2019-07-02,,,,,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/RevMelanieNOLA/status/1146105056594419714,,,,,
Newport,outside Newport City Hall,Lincoln,OR,US,2019-07-02,30-35,30,,35,,,general protesters,protesting policy at border to seperate children from families in detention centers,1,protest,0,0,0,0,1,1,https://newportnewstimes.com/article/locals-protest-putting-children-in-cages,,,,,
New York,"Middle Collegiate Church, East Village, Manhattan",New York,NY,US,2019-07-02,more than 600,600,,600,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,1,1,https://twitter.com/B52Malmet/status/1146096539888181253,https://twitter.com/B52Malmet/status/1146173013441884161,https://twitter.com/RevJacquiLewis/status/1146193768766464000,,,
New York,619 Lorimer St; Brooklyn; outside US Rep Maloney office,Kings,NY,US,2019-07-02,,,,,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,0,1,https://twitter.com/WritingLiYakira/status/1146113116150910977,,,,,
New York,US Rep. Max Rose’s Brooklyn office; 8203 3rd Ave.,Kings,NY,US,2019-07-02,nearly 200,200,,200,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,protest,0,0,0,0,0,1,https://www.wendybrandes.com/blog/2019/07/closethecamps-take-to-the-streets-on-july-2/,https://twitter.com/mcnelis/status/1146131054048055296,https://twitter.com/Natalie_DeVito/status/1146236795681738755,,,
