CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Misc.,Source1,Source2,Source3,Source4,Source5,Source6,
Fort Meade,outside the gate at Fort Meade,,MD,US,2020-07-02,,4,,4,,,veterans and former NSA employees,against Trump's foreign policy; against handling of Russian bounties on US troops,1,protest,0,0,0,0,1,1,,,https://www.capitalgazette.com/news/ac-cn-veterans-trump-russia-protest-20200702-fpoyxqknbvhwxdqsd65wdqasfy-story.html,,,,,,
Fountain Valley,Fountain Valley Regional Hospital,,CA,US,2020-07-02,at least 40,40,,40,,,healthcare workers,for more personal protective equipment for healthcare workers during coronavirus pandemic,0,protest,0,0,0,0,1,1,,,https://www.ocregister.com/2020/07/02/fountain-valley-hospital-workers-protest-for-widespread-patient-testing-and-protection-against-coronavirus-spread/,,,,,,
Glens Falls,Centennial Circle,,NY,US,2020-07-02,about three dozen,36,,36,,,general protesters,"against a city law restricting gatherings of more than 25 people due to COVID-19, for the First Amendment, for President Trump",2,protest,0,0,0,0,1,1,,,https://poststar.com/blogs/i_think_not/blog-experiencing-anger-and-cordiality-at-a-rally/article_f68fd95b-42bb-5d6e-8420-6e9c08e3333e.html,https://poststar.com/news/local/apex-return-to-centennial-circle-in-a-peaceful-rally/article_14f12a14-0a39-597f-a05f-8b62eeb2dcb1.html,,,,,
Honolulu,State Capitol,,HI,US,2020-07-02,,,,,,,hospitality workers,against job cuts in hospitality industry due to Covid 19,0,protest,0,0,0,0,1,1,,,https://www.kitv.com/story/42321759/hospitality-workers-protest-job-cuts-as-hotels-plan-to-reopen,,,,,,
Jersey City,The Ethical Community Charter School,,NJ,US,2020-07-02,,,,,,,students and faculty,against departure of school principal,0,protest,0,0,0,0,1,1,,,https://www.nj.com/hudson/2020/07/parents-staff-protest-abrupt-departure-of-beloved-charter-school-principal.html,,,,,,
Lexington,Old Davidson County Courthouse,,NC,US,2020-07-02,,,,, ,,We The People Made Davidson County NC a Second Amendment Protection County,"against removal of Confederate monument, for honoring history",2,rally,0,0,0,0,1,1,20200702-lexington-confederacy,,https://www.the-dispatch.com/story/special/2020/07/02/supporters-of-confederate-statue-in-lexington-hold-demonstration/41717509/,,,,,,
New York,"Carl Schurz Park, Manhattan",,NY,US,2020-07-02,40-60,40,,60,,,general protesters,"Back the Blue, for police reform without defunding, for patriotism, Thin Blue Line",2,rally,0,0,0,0,1,1,20200702-nyc-backtheblue,argued and scuffled with counter-protesters,https://freedomnews.tv/2020/07/03/back-the-blue-faces-off-with-black-lives-matter/,,,,,,
Novato,DeLong Avenue Overpass,,CA,US,2020-07-02,more than 50,50,,50,,,Trump supporters,for President Trump,2,rally,0,0,0,0,1,1,,,https://www.mercurynews.com/2020/07/03/marin-conservatives-stage-novato-flag-wave-to-support-trump/,,,,,,
Oakland,outside Alameda County Public Health Department,Alameda,CA,US,2020-07-02,,,,,,,Tesla workers,for workplace safety and protective measures at Tesla factory during COVID-19 pandemic,0,rally,0,0,0,0,1,1,,,https://www.ktvu.com/news/tesla-workers-rally-call-for-health-department-protections-during-covid-19-pandemic,,,,,,
Pittsburgh,Pittsburgh City-County Building,,PA,US,2020-07-02,more than 40; about 50,40,,50,,,general protesters,"against county-mandated bar closures and ban on on-site alcohol consumption at restaurants due to COVID-19, for President Trump",2,protest,0,0,0,0,1,1,,,https://www.pghcitypaper.com/pittsburgh/dozens-protest-in-downtown-pittsburgh-some-for-bars-to-reopen-others-to-ease-on-site-alcohol-restrictions/Content?oid=17579254,https://www.wtae.com/article/bar-owners-protest-in-downtown-pittsburgh/33085369,https://triblive.com/local/valley-news-dispatch/protest-on-allegheny-county-alcohol-ban-will-go-on-without-bar-owner-who-organized-it/,https://triblive.com/local/valley-news-dispatch/west-deer-bar-owner-organizing-protest-over-covid-19-drink-sales-ban/,,,
San Antonio,outside U.S. Army recruitment office (north side),,TX,US,2020-07-02,count pic,30,,35,,,Circle of Arms; family and friends of Vanessa Guillen,for transparency around sexual assault in military; for better handilng of case of Vanessa Gullien,0,protest,0,0,0,0,1,1,,,https://www.kens5.com/article/news/local/texas/san-antonio-protesters-speak-up-following-harrowing-developmetns-in-vanessa-guillen-case/273-a9329466-c96b-48f6-90fc-677a52ef3849,,,,,,
Saint George,,,UT,US,2020-07-02,about 200,200,,200,,,general protesters,"against removal of name Dixie from town buildings, for preserving markers of Confederate history",2,protest,0,0,0,0,1,1,,,https://www.stgeorgeutah.com/news/archive/2020/07/02/rmw-youre-not-going-to-get-rid-of-racism-80-year-old-woman-organizes-protest-to-protect-utahs-dixie/#.X5ZCSBKSlPY,,,,,,
