CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,,
Centennial,Arapahoe County jail,Arapahoe,CO,US,2019-09-05,,,,,,,General protesters,opponents of a new Arapahoe county jail,0,protest,0,0,0,0,1,1,https://www.thedenverchannel.com/news/front-range/centennial/rally-for-protest-against-new-arapahoe-county-jail,,,,,,
Centennial,Arapahoe County jail,Arapahoe,CO,US,2019-09-05,,,,,,,General protesters,proponents of a new Arapahoe county jail,0,protest,0,0,0,0,1,1,https://www.thedenverchannel.com/news/front-range/centennial/rally-for-protest-against-new-arapahoe-county-jail,,,,,,
Santa Fe, BLM’s New Mexico State Office,Santa Fe,NM,US,2019-09-05,,,,,,,general protesters,protesting the federal Bureau of Land Management’s September lease sale,0,protest,0,0,0,0,1,1,https://www.currentargus.com/story/news/local/2019/09/06/activists-protest-lease-sale-federal-land-oil-and-gas-industry/2231331001/,,,,,,
Baton Rough,Woodlawn Baptist Church,East Baton Rouge,LA,US,2019-09-05,more than 100,100,,150,,,general protesters,protesting to create a new city in southeast East Batouge,0,protest,0,0,0,0,1,1,https://www.theadvocate.com/baton_rouge/news/article_9e71cf56-cff5-11e9-869d-37b6b476c6b1.html,,,,,,
South Bend,St. Joseph County Public Library,St. Joseph,IL,US,2019-09-05,hundreds,200,,200,,,general protesters,protesting against budget chances,0,protest,0,0,0,0,1,1,https://www.southbendtribune.com/news/local/library-supporters-lead-march-in-opposition-to-proposed-funding-change/article_603aaeb1-3b93-5321-860f-088e9e5f651c.html,,,,,,
Westminster,along Center Street,Carroll,MD,US,2019-09-05,about 15,15,,15,,,religious protesters,againdt religious tolerance: the ending of commissioner-led prayer at public meetings,0,protest; march,0,0,0,0,1,1,https://www.baltimoresun.com/maryland/carroll/news/cc-prayer-protest-20190905-xejf2i3tlbhtzeaqvfl5oyzw7i-story.html,,,,,,
Marquette,US Postal Service Building,Marquette,MI,US,2019-09-05,count pic,1,,1,,,"""Take a Knee Peaceful Protest"" Organization",Against police brutality and voilence against black and brown communities,0,protest,0,0,0,0,1,1,https://www.miningjournal.net/news/front-page-news/2019/09/peaceful-protest-staged/,,,,,,
Milford,along US Highway 71,New Haven,CT,US,2019-09-05,about 50,50,,50,,,general protesters,DEAD LINK,DEAD LINK,DEAD LINK,DEAD LINK,DEAD LINK,DEAD LINK,DEAD LINK,DEAD LINK,DEAD LINK,https://www.spencerdailyreporter.com/story/2632164.html,,,,,,
Boston,dowtown Boston to Amazon's Cambridge Office,Suffolk,MA,US,2019-09-05,hundreds,200,,200,,,Never Again Action,Against private companies doing business with ICE,1,march,12,0,0,0,1,1,https://www.bostonglobe.com/metro/2019/09/05/boston-activists-march-protest-companies-doing-business-with-ice/O7lKOIdOz0I8UPUp58YU6N/story.html,,,,,,
Salt Lake City,Utah Board of Education Meeting,Salt Lake,UT,US,2019-09-05,about 30,30,,30,,,Utah Eagle Forum and Pro-Life Utah,against students asking ‘spontaneous questions’ about sex,0,protest; rally,0,0,0,0,1,1,https://www.sltrib.com/news/education/2019/09/05/conservative-groups-storm/,,,,,,
