CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,
Washington,Lincoln Memorial,DC,US,2017-06-25,,,,,,,D.C. United Against Hate,Oppose far-right Freedom of Speech Rally,1,counter protest,0,0,0,0,1,1,http://wtop.com/dc/2017/06/4-rallies-scheduled-for-sunday-in-dc/,http://wtop.com/dc/2017/06/steps-lincoln-memorial-dueling-rallies-free-speech-hate/slide/1/,http://www.rawstory.com/2017/06/alt-right-pro-trump-rallies-in-washington-drew-less-than-100-marchers-combined/,,
Washington,White House,DC,US,2017-06-25,a few dozen,24,24,24,26,22,Mike Cernovich; Corey Stewart; Roger Stone; Michael Flynn Jr.,anti-political-violence rally,2,protest,0,0,0,0,1,1,http://wtop.com/dc/2017/06/4-rallies-scheduled-for-sunday-in-dc/,http://www.washingtonexaminer.com/anti-defamation-league-deeply-troubled-by-alt-right-rallies/article/2627036,http://mobile.reuters.com/article/BigStory12/idUSKBN19G0VV,,
Albuquerque,outside of the ICE field office,NM,US,2017-06-26,around 300,300,300,300,330,270,ACLU of New Mexico; New Mexico Faith Coalition,against deportation of Iraqi immigrants,1,protest,0,0,0,0,1,1,http://gazette.com/supporters-rally-for-iraqi-refugee-amid-deportation-threat/article/feed/472140,http://www.kob.com/albuquerque-news/rally-held-to-support-iraqi-resident-facing-deportation/4525446/?cat=500,http://www.lcsun-news.com/story/news/2017/06/26/supporters-rally-iraqi-refugee-albuquerque/430481001/,,
Asheville,Vance Monument,NC,US,2017-06-26,about 300,300,300,300,330,270,Campaign for Southern Equality; Pisgah Legal Services; Western North Carolina AIDS Project; ACLU of NC – Western NC Chapter; League of Women Voters of Asheville-Buncombe County; Western North Carolina Community Health Services,Oppose ACA repeal,1,protest,0,0,0,0,1,1,https://mountainx.com/blogwire/rally-for-23-million-in-asheville-to-protest-senate-health-care-bill/,http://wlos.com/news/local/hundreds-turn-out-to-protest-new-republican-led-healthcare-plan,http://wlos.com/news/local/hundreds-turn-out-to-protest-new-republican-led-healthcare-plan,,
Athens,outside the Arch at the University of Georgia,GA,US,2017-06-26,about 100; hundreds,100,145,200,110,180,Athens For Everyone; Protect Our Care Georgia,Oppose ACA repeal,1,protest,0,0,0,0,1,1,http://onlineathens.com/local-news/national-news/2017-06-26/senate-grapples-health-bill-locals-protest-uga-arch,http://www.redandblack.com/athensnews/update-athens-residents-rally-to-protest-proposed-senate-health-care/article_2099278a-5aec-11e7-8cef-9f2c65fd161e.html,,,
Birmingham,outside the Robert S. Vance Federal Building and Courthouse,AL,US,2017-06-26,,,,,,,general protesters,Oppose ACA repeal,1,sit-in,0,0,0,0,1,1,http://www.al.com/news/index.ssf/2017/06/mobile_healthcare_rally_airs_f.html,,,,
Bloomington,lawn of the Monroe County Courthouse,IN,US,2017-06-26,dozens,24,24,24,26,22,Hoosiers for a Commonsense Health Pla,Oppose ACA repeal,1,die-in,0,0,0,0,1,1,http://www.journalgazette.net/news/local/local-politics/20170626/30-protest-gop-health-care-legislation,,,,
Bristow,,OK,US,2017-06-26,,10,10,10,11,9,general protesters,Demand state law prohibiting sex offenders from living near victims,0,demonstration,0,0,0,0,1,1,http://www.newschannel10.com/story/35747128/victim-family-hold-protest-after-sex-offender-moves-in-next-door,,,Count from picture,
Charleston,U.S. senator Shelley Moore Capito's office,WV,US,2017-06-26,about a half dozen,6,6,6,7,5,general protesters,Oppose ACA repeal,1,sit-in; rally,6,0,0,0,1,1,http://www.wsaz.com/content/news/Health-care-protesters-taken-into-police-custody-in-Charleston-430941413.html,http://www.wvgazettemail.com/news-kanawha-county/20170627/charleston-mayor-danny-jones-critical-of-health-care-protesters,,,
Concord,"James W. Dent Center, 1936 Carlotta Drive",CA,US,2017-06-26,about 70,70,70,70,77,63,Mount Diablo Peace and Justice Center; Northgate Uncapped ,oppose proposal to break up the Mt. Diablo Unified School District,0,rally,0,0,0,0,1,1,http://www.eastbaytimes.com/2017/06/23/northgate-secession-opponents-plan-monday-rally-in-concord/,http://www.eastbaytimes.com/2017/06/26/northgate-secession-opposition-holds-rally-to-fight-what-they-say-is-a-national-movement/,,,
El Paso,local GOP HQ,TX,US,2017-06-26,dozens,24,24,24,26,22,disability rights advocates,Oppose ACA repeal,1,protest; sit-in,0,1,0,0,1,1,http://www.elpasoproud.com/news/police-respond-to-protest-at-el-paso-gop-hq/751564134,,,,
Fort Collins,Sen. Cory Gardner's office,CO,US,2017-06-26,about 350,350,350,350,385,315,Fort Collins for Progress; IndivisbleNOCO,Oppose ACA repeal,1,protest,0,0,0,0,1,1,http://www.coloradoan.com/story/news/2017/06/27/hundreds-rally-against-gop-health-care-bill-fort-collins-protest-resurgence/429698001/,,,,
Fort Wayne,outside the E. Ross Adair Federal Building and U.S. Courthouse,IN,US,2017-06-26,about 30,30,30,30,33,27,Hoosiers for a Commonsense Health Plan,Oppose ACA repeal,1,protest,0,0,0,0,1,1,http://www.journalgazette.net/news/local/local-politics/20170626/30-protest-gop-health-care-legislation,,,,
Fort Wright,outside U.S. Senator Mitch McConnell's Northern Kentucky office,KY,US,2017-06-26,about 100,100,100,100,110,90,Kentuckians for the Commonwealth; Indivisible NKY District 4,Oppose ACA repeal,1,protest,0,0,0,0,1,1,http://www.courier-journal.com/story/news/2017/06/26/mcconnell-protesters-say-health-care-debate-matter-life-and-death/428773001/,http://www.cincinnati.com/story/news/2017/06/26/mcconnell-protesters-say-health-care-debate-matter-life-and-death/428773001/,,,
Greenfield,outside Baystate Franklin Medical Center,MA,US,2017-06-26,about 100,100,100,100,110,90,Massachusetts Nurses Association; supporters,Demand better pay and working conditions for nurses; hospital,0,strike; rally,0,0,0,0,1,1,http://www.masslive.com/business-news/index.ssf/2017/06/baystate_franklin_nurses_union_rallies_m.html,http://www.recorder.com/Baystate-Franklin-Medical-Center-nurses-begin-one-day-strike-10938867.aspx,,,
Greensboro,outside the federal courthouse on West Market Street,NC,US,2017-06-26,,10,10,10,11,9,Common Cause North Carolina,Demand non-partisan redistricting,0,rally,0,0,0,0,1,1,http://www.greensboro.com/news/government/greensboro-mayor-nancy-vaughan-others-rally-for-non-partisan-redistricting/article_1f72ccbe-e6ef-5652-9c8f-d8522d3a7e5f.html,,,Count from picture,
Hackensack,,NJ,US,2017-06-26,,,,,,,PBA Local 49 ,Oppose police layoffs; support worker rights,0,rally,0,0,0,0,1,1,http://www.nj.com/bergen/index.ssf/2017/06/bergen_county_officers_turn_in_equipment_after_layoffs_photos.html,,,,
Harrisburg,in front of the Jimmy John's at 219 N. 2nd St. ,PA,US,2017-06-26,,,,,,,Fight for $15,Demand $15/hr minimum wage; support workers,1,demonstration,0,0,0,0,1,1,http://www.pennlive.com/news/2017/06/fight_for_15_group_rally_in_ha.html,,,,
Kearney,outside Hudson County's jail ,NJ,US,2017-06-26,about 50,50,50,50,55,45,Immigrant and civil rights advocates; faith groups ,Protest death in ICE custody,1,protest,0,0,0,0,1,1,http://www.nj.com/hudson/index.ssf/2017/06/activists_demand_answers_after_immigrant_detainees.html,http://www.nj.com/jjournal-news/index.ssf/2017/06/immigrant_detainees_death_prom.html,,,
McAllen,,TX,US,2017-06-26,,,,,,,general protesters (incl. friends of the accused),Oppose inclusion of Sen. Ted Cruz in Fourth of July celebrations,1,protest,0,0,0,0,1,1,http://www.brownsvilleherald.com/news/local/article_0fbf096f-d981-595b-b1ec-89d0a714c941.html,,,,
Mobile,in front of the federal courthouse ,AL,US,2017-06-26,about 100,100,100,100,110,90,organizer Henry Brewster; Planned Parenthood; ARC Alabama; local elected officials,Oppose ACA repeal,1,protest,0,0,0,0,1,1,http://www.al.com/news/index.ssf/2017/06/mobile_healthcare_rally_airs_f.html,,,,
Portland,above Portland,ME,US,2017-06-26,,1,1,1,1,1,UltraViolet,Oppose ACA repeal,1,aircraft flyover,0,0,0,0,1,1,http://wgme.com/news/local/womens-group-takes-healthcare-protest-to-the-air,,,Count from picture,
San Antonio,federal courthouse,TX,US,2017-06-26,hundreds,200,200,200,220,180,general protesters,Oppose state bill punishing sanctuary cities,1,protest,0,0,0,0,1,1,http://www.mysanantonio.com/news/media/Hundreds-protest-sanctuary-cities-bill-at-federal-921442.php,http://www.kens5.com/news/local/hundreds-rally-in-protest-of-sb4/452256077,http://www.expressnews.com/news/local/article/Sanctuary-cities-bill-protest-draws-hundreds-11247481.php,https://www.sanmarcosrecord.com/news-news-mobile/locals-join-san-antonio-rally,
San Antonio,federal courthouse,TX,US,2017-06-26,,,,,,,general protesters,Support state bill punishing sanctuary cities,2,counter protest,0,0,0,0,1,1,http://www.mysanantonio.com/news/media/Hundreds-protest-sanctuary-cities-bill-at-federal-921442.php,,,,
Tuscon,near the Evo A. DeConcini Federal Building and U.S. Courthouse ,TX,US,2017-06-26,,18,18,18,20,16,United Non-discriminatory Individuals Demanding Our Studies,Oppose state bill banning Mexican American Studies,0,protest,0,0,0,0,1,1,http://www.wildcat.arizona.edu/article/2017/06/students-community-rally-around-support-for-mexican-american-studies-on-day-trial-begins,,,Count from picture,
Warren,Courthouse Square,OH,US,2017-06-26,,,,,,,Valley Voices United For Change; Rust Belt Progressives; Progress MV; Ohio Women’s Action Network; For Our Future; Indivisible Youngstown,Healthcare Rally in the Valley; Oppose ACA repeal,1,protest,0,0,0,0,1,1,http://www.vindy.com/news/2017/jun/26/rally-to-protest-gop-health-care-bill/,,,,
Washington,outside US Capitol,DC,US,2017-06-26,hundreds,200,200,200,220,180,Sen. Cory Booker and Rep. John Lewis,against GOP Senate health care bill,1,protest,0,0,0,0,1,1,https://twitter.com/benwikler/status/879547242310504452,https://twitter.com/benwikler/status/879553953297510400,,,
Watsonville ,Watsonville City Plaza ,CA,US,2017-06-26,roughly 50,50,50,50,55,45,SEIU Local 521; OE3 ,Demand better wages and affordable benefits for municipal workers.,0,rally,0,0,0,0,1,1,http://www.santacruzsentinel.com/social-affairs/20170626/watsonville-union-workers-rally-for-wages,,,,
Bettendorf,Women's Choice Center of the Quad Cities,IA,US,2017-06-27,,80,80,80,88,72,Planned Parenthood of the Heartland,Oppose state defunding Planned Parenthood,1,rally,0,0,0,0,1,1,http://www.qconline.com/multimedia/planned-parenthood-of-the-heartland-rally/collection_e94a9bb6-5bad-11e7-94c6-a37a1d453dcc.html#1,http://www.qconline.com/news/local/planned-parenthood-rally-gets-emotional/article_03dc7543-7f47-5a98-ab0e-442fa4cf5646.html,,,
Coal Run,near the Kentucky Power office,KY,US,2017-06-27,more than 20,20,20,20,22,18,general protesters,Demand better pay for Asplundh employees in Eastern Kentucky; support worker rights,0,rally,0,0,0,0,1,1,http://www.wymt.com/content/news/Group-rallies-for-better-pay-for-Asplundh-employees-in-Eastern-Kentucky-431135543.html,,,,
Denver,Sen. Cory Gardner's office,CO,US,2017-06-27,a dozen,12,12,12,13,11,ADAPT,"Oppose ACA repeal, for disability rights",1,sit-in,10,0,0,0,1,1,https://www.denverite.com/live-disability-rights-protesters-occupied-sen-cory-gardners-office-day-38381/,http://www.thedenverchannel.com/news/politics/some-face-police-interference-charges-in-protest-at-cory-gardners-office-building-manager-idd,http://www.denverpost.com/2017/06/29/cory-gardner-office-protest-removal/,three-day die-in in senator's office that ended with forcible removal of protesters by police,
Hays,,CT,US,2017-06-27,,,,,,,ADAPT,"Oppose ACA repeal, for disability rights",1,protest,0,0,0,0,0,1,http://www.morningsun.net/news/20170627/bcra-protest-community-members-protest-gop-health-care-bill-at-sen-morans-office,,,,
High Point,Oak Hollow Festival Park,NC,US,2017-06-27,several dozen,24,24,24,26,22,general protesters,Oppose ACA repeal,1,protest,0,0,0,0,1,1,http://www.hpenews.com/news/possible-obamacare-repeal-sparks-local-protest/article_5d4d5b84-5b95-11e7-a7a4-0ffec8b82e82.html,,,,
Houston,across the street from Ted Cruz's offices; Houston City Council meeting; University of Houston Metro station to Medical Center station,TX,US,2017-06-27,nearly two dozen,24,24,24,26,22,Indivisible Houston; Southeast Texas Progressives; SEIU Texas,Oppose ACA repeal,1,protest; die-in/death train,0,0,0,0,1,1,http://www.houstonchronicle.com/news/houston-texas/texas/article/Protesters-rally-at-Cruz-Houston-office-on-eve-of-11250433.php,,,,
Jefferson City,outside Gov. Eric Greitens's office,MO,US,2017-06-27,roughly 40,40,40,40,44,36,Missouri NAACP,Oppose state bill making it more difficult to sue for discrimination.,0,protest,0,0,0,0,1,1,http://www.semissourian.com/story/2423788.html,,,,
Knoxville,outside the Federal Building,TN,US,2017-06-27,,10,10,10,11,9,general protesters,Oppose ACA repeal,1,protest,0,0,0,0,1,1,http://www.knoxnews.com/picture-gallery/news/2017/06/27/group-gathers-to-protest-lifetime-cap-bill/103232012/,,,Count from picture,
