City/Town,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),protest,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.
Los Angeles,Rep. Knight's office,CA,US,2017-12-06,FB: 12,12,,12,,,general protestors,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/790742824467039/,,,
Memphis,Clayborn Temple,TN,US,2017-12-06,FB: 13,13,,13,,,Tennessee Immigrant and Refugee Rights Coalition,Protesting Trump's decision to end DACA; rallying for immigrants,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/1538461356248699/,,,
Missoula,Missoula Courthouse ,MT,US,2017-12-06,150 strong; FB: 55; several hundred,55,,200,,,general protestors,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/1269945076442635/,http://missoulian.com/news/local/missoulians-protest-tax-bill-with-signs-speeches/article_5ebd6fb5-4660-530b-af9e-25616347e020.html,https://twitter.com/Indivisible_MT/status/938503752813654016,https://missoulacurrent.com/government/2017/12/protesters-tax-reform-plan/
Modesto,Outside Rep. Dunham's office,CA,US,2017-12-06,,,,,,,general protestors,Protesting Trump's decision to end DACA; rallying for immigrants,1,protest,0,0,0,0,1,1,http://www.kcra.com/article/dreamers-in-modesto-hold-rally-at-rep-denham-s-office/14277028,,,
Muskegon,Former B.C. Cobb Power Plant,MI ,US,2017-12-06,about 30,30,,30,,,Michigan Building and Construction Trades Council West Michigan,Protesting use of out of state workers to decommission B.C. Cobb,0,protest,0,0,0,0,1,1,http://www.mlive.com/news/muskegon/index.ssf/2017/12/union_protests_use_of_out-of-s.html,,,
Nashville,Outside Sen. Corker's office,LA,US,2017-12-06,about 150,150,,150,,,general protestors,Rallying for DREAM Act,1,rally,0,0,0,0,1,1,http://www.tennessean.com/story/news/education/2017/12/06/nashville-daca-recipients-congress-dream-act-march-corker-alexander/928018001/,,,
Nashville,Centennial Performing Arts Studio,TN,US,2017-12-06,FB: 115,115,,115,,,Tennessee Immigrant and Refugee Rights Coalition,Rallying for DREAM Act,1,rally,0,0,0,0,0,1,https://www.facebook.com/events/376601566117391/,,,
New York ,Trump Tower,NY ,US,2017-12-06,FB: 28,28,,28,,,Refuse Fascism,Protesting sexual assault/harrassment,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/935687173254111/,,,
Normal,Illinois State University,IL,US,2017-12-06,more than 150,150,,150,,,general protestors,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://www.pantagraph.com/news/local/education/isu-student-arrested-at-rally-against-tax-bill/article_941c6364-5a08-501b-a235-16b5b99a9ad8.html,,,
Norman,Oklahoma University,OK,US,2017-12-06,,,,,,,Students for Justice in Palestine,Protesting Trump's decision to recognize Jerusalem as the capital of Israel,1,protest,0,0,0,0,1,1,http://www.oudaily.com/news/ou-students-faculty-protest-trump-s-declaration-of-jerusalem-as/article_3eeb13f8-dabf-11e7-8409-f7137c16c41b.html,,,
Olathe,Johnson County Courthouse,KS,US,2017-12-06,about a dozen,12,,12,,,general protestors,Protesting council's decision not to renew town manager,0,protest,0,0,0,0,1,1,http://fox4kc.com/2017/12/06/johnson-county-employees-protest-commissions-vote-to-not-renew-county-managers-contract/,,,
Pawtucket,City Hall,RI,US,2017-12-06,nearly 100,100,,100,,,general protestors,Protesting new transfer station,0,protest,0,0,0,0,1,1,http://www.pawtuckettimes.com/news/fairlawn-residents-protest-transfer-station/article_30e1d0e4-dc54-11e7-aa4c-33e70d4f49ed.html,,,
Phoenix,,AZ,US,2017-12-06,,,,,,,general protestors,Protesting Trump's decision to end DACA; rallying for immigrants,1,protest,0,0,0,0,1,1,http://www.12news.com/news/local/arizona/community-march-to-protect-daca/497458011,,,
Pittsburgh,Outside Sen. Toomey's office,PA,US,2017-12-06,,,,,,,Graduate students,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://www.post-gazette.com/news/education/2017/12/06/Pitt-Graduate-students-protesting-tax-legislation-Senator-Pat-Toomey/stories/201712060128,,,
Portland ,Temple St.,ME,US,2017-12-06,more than 100; FB: 113,100,,113,,,general protestors,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/163214420952501/,http://mainepublic.org/post/protesters-rally-against-susan-collins-support-gop-tax-plan#stream/0,,
Raleigh,Fayetteville St.,NC,US,2017-12-06,,,,,,,general protestors,Protesting Trump's decision to end DACA; rallying for immigrants,1,protest,0,0,0,0,1,1,http://www.newsobserver.com/news/local/article188487089.html,,,
Saratoga Springs,Post office on Broadway,NY ,US,2017-12-06,more than 20,20,,20,,,The Saratoga Immogration Coalition,Rallying for the DREAM Act,1,rally,0,0,0,0,1,1,https://dailygazette.com/article/2017/12/06/the-immigrant-community-is-so-important-to-saratoga-springs,,,
Shreveport,Youree Dr.,LA,US,2017-12-06,FB: 5,5,,5,,,general protestors,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/171801293417455/?active_tab=about,,,
South Bend,Main St.,IN,US,2017-12-06,less than a handful,5,,5,,,general protestors,Rallying for rights of homeless,0,rally,0,0,0,0,1,1,https://www.southbendtribune.com/news/local/homeless-protest-fizzles-as-south-bend-mayor-defends-city/article_c1216004-12e9-5be8-8b9d-6bcc011ea590.html,,,
Stafford,Dunn Dr.,VA,US,2017-12-06,FB: 8,8,,8,,,general protestors,Protesting potential end to net neutrality,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/130586357626722/,,,
Stamford,Stamford Superior Court,CT,US,2017-12-06,FB: 27,27,,27,,,CT Students for a Dream,Rallying for immigrants protection,1,rally,0,0,0,0,1,1,http://www.stamfordadvocate.com/local/article/Immigrants-leaders-push-for-clean-Dream-12410657.php,https://www.facebook.com/events/317654875381970/,,
Syracuse,Outside Rep. Katko's office,NY ,US,2017-12-06,,,,,,,general protestors,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://dailyorange.com/2017/12/protesters-rally-outside-rep-katkos-office-bringing-along-giant-chicken-resembling-president-donald-trump/,,,
Washington ,Capitol Hill,DC,US,2017-12-06,thousands; over 10000; Estimated 15000,2000,,15000,,,The Center for Community Change,Rallying for DREAM Act,1,rally,200,0,0,0,0,1,https://www.commondreams.org/news/2017/12/06/picturesvideo-hundreds-arrested-peaceful-protest-thousands-march-demanding-clean,http://www.newhavenindependent.org/index.php/archives/entry/professor_arrests/,https://splinternews.com/democratic-lawmakers-among-200-activists-arrested-at-da-1821069473,https://yaledailynews.com/blog/2017/12/07/three-profs-arrested-at-d-c-protest/
Washington ,Saint Marks Episcopal Church,DC,US,2017-12-06,,,,,,,"the Newtown Foundation; Brady Campaign to Prevent Gun Violence; Everytown Survivor Network; Faiths United to Prevent Gun Violence; Moms Demand Action for Gun Sense in America; Organizing for Action; States United to Prevent Gun Violence,\; St Marks Episcopal Church; and Women's March ",Protesting gun violence on the 5 year anniversary of Sandy Hook,1,protest,0,0,0,0,1,1,https://www.eventbrite.com/e/5th-annual-national-vigil-for-all-victims-of-gun-violence-tickets-37457233594,https://twitter.com/CAPActionGuns,,
Washington ,west side of the Capitol grounds,DC,US,2017-12-06,,,,,,,general protestors,Rallying for preservation of the Arctic Refuge,1,vigil ,0,0,0,0,0,1,https://www.alaskapublic.org/2017/12/19/long-anwr-battle-ending-quietly/,,,
Asheville,Vance Monument,NC,US,2017-12-07,a small group,,,,,,general protestors,Protesting potential end to net neutrality,1,protest,0,0,0,0,1,1,http://wlos.com/news/local/protesters-rally-at-vance-monument-to-support-net-neutrality,,,
Austin,City Hall,TX,US,2017-12-07,FB: 273,273,,273,,,Indivisible Austin,Protesting GOP tax plan,1,protest,0,0,0,0,0,1,https://www.facebook.com/events/337959526680212/,,,
Austin,Sen. Cruz's office,TX,US,2017-12-07,FB: 6,6,,6,,,Resistance Choir of South Central Texas,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/710558075800565/,,,
Bennington,Verizon store on Main St.,VT,US,2017-12-07,some 10,10,,10,,,general protestors,Protesting potential end to net neutrality,1,protest,0,0,0,0,1,1,"http://www.benningtonbanner.com/stories/protesters-rally-against-net-neutrality-repeal,526516",,,
Berkeley,Campus,CA,US,2017-12-07,about 20,20,,20,,,College Republicans,Protesting acquittal of immigrant man who killed American woman,0,vigil ,0,0,0,0,1,1,http://www.dailycal.org/2017/12/11/berkeley-college-republicans-vigil-for-kate-steinle-sparks-controversy/,,,
Berwyn,Verizon on Cermak Rd.,IL,US,2017-12-07,FB: 12,12,,12,,,Indivisible Illinois,Protesting potential end to net neutrality,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/306662133163888,,,
Boise,Verizon store near mall,ID,US,2017-12-07,over 40,40,,40,,,general protestors,Protesting potential end to net neutrality,1,protest,0,0,0,0,1,1,http://www.kivitv.com/news/protesters-take-a-stand-for-net-neutrality-in-boise,,,
Boston ,Verizon on Boylston Street,MA,US,2017-12-07,,,,,,,general protestors,Protesting potential end to net neutrality,1,protest ,0,0,0,0,1,1,https://www.bizjournals.com/boston/news/2017/12/08/protesters-take-net-neutrality-fight-to-verizon.html?ana=RSS&s=article_search,,,
Carbondale,E. Main St.,IL,US,2017-12-07,FB: 4,4,,4,,,Indivisible Illinois,Protesting potential end to net neutrality,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/1116080251827809,,,
Chicago,Federal Plaza,IL,US,2017-12-07,some 200,200,,200,,,general protestors,Protesting Trump's decision to recognize Jerusalem as the capital of Israel,1,protest,0,0,0,0,0,1,http://www.charlotteobserver.com/news/politics-government/national-politics/article188689244.html,,,
Chicago,N. Michigan Ave.,IL,US,2017-12-07,FB: 9,9,,9,,,Indivisible Illinois,Protesting potential end to net neutrality,1,protest,0,0,0,0,0,1,https://www.facebook.com/events/145625959419774,,,
Chicago,State St.,IL,US,2017-12-07,FB: 110,109,,110,,,Indivisible Illinois,Protesting potential end to net neutrality,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/132392097466800,,,
Claremont,Pomona College,CA,US,2017-12-07,,,,,,,general protestors,Protesting college's handling of sexual assault allegations,0,protest,0,0,0,0,1,1,http://www.dailybulletin.com/2017/12/07/pomona-college-protesters-blast-schools-handling-of-sexual-assault-complaints/,,,
Denver,City Hall,CO,US,2017-12-07,about 350,350,,350,,,Frontier pilots,Protesting wages,0,protest,0,0,0,0,1,1,http://www.denverpost.com/2017/12/07/frontier-airlines-pilots-protest-denver/,,,
Durango,,CO,US,2017-12-07,Photo: dozens,24,,24,,,general protestors,Protesting potential end to net neutrality,1,protest,0,0,0,0,1,1,https://www.huffingtonpost.com/entry/net-neutrality-fcc-protests_us_5a2a147ce4b069ec48ac307e,,,
Eau Claire,,WI,US,2017-12-07,,,,,,,general protestors,Protesting potential end to net neutrality,1,protest,0,0,0,0,1,1,http://www.weau.com/content/news/Protesters-rally-against-proposed-net-neutrality-changes--462650013.html,,,
Evanston,Fountain Square Park,IL,US,2017-12-07,FB: 17,17,,17,,,Indivisible Illinois,Protesting potential end to net neutrality,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/150702985464077,,,
Fairview Heights,N. Illinois St.,IL,US,2017-12-07,FB: 4,4,,4,,,Indivisible Illinois,Protesting potential end to net neutrality,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/320079121802650,,,
Falmouth,Falmouth Village,MA,US,2017-12-07,about a dozen,12,,12,,,general protestors,Protesting potential end to net neutrality,1,protest,0,0,0,0,1,1,http://www.capecodtimes.com/news/20171207/falmouth-protesters-fight-for-net-neutrality,,,
Houston,Main St.,TX,US,2017-12-07,FB: 32,32,,32,,,Houston Indivisible,Protesting potential end to net neutrality,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/1504045089703324/,,,
Houston,Main St.,TX,US,2017-12-07,FB: 32,32,,32,,,Houston Handmaids,Protesting potential end to net neutrality,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/1504045089703324/,,,
Jacksonville,Duval County Courthouse,FL,US,2017-12-07,,,,,,,general protestors,Protesting for economic justice,0,protest,0,0,0,0,1,1,http://jacksonville.com/news/metro/2017-12-07/protest-courthouse-says-home-foundations-are-sinking-because-neighborhood,,,
Jefferson City,Missouri Blvd.,MO,US,2017-12-07,more than a dozen,12,,12,,,general protestors,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://www.newstribune.com/news/local/story/2017/dec/08/residents-protest-luetkemeyers-support-tax-plan/703355/,,,
Jefferson City,Rep. Luetkemeyer's office,MO,US,2017-12-07,FB: 16,16,,16,,,Jefferson City Area Indivisible,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/368562920271353/,,,
Keene,Keene High School,NH,US,2017-12-07,at least 30,30,,30,,,Students,Protesting potential end to net neutrality,1,protest,0,0,0,0,1,1,http://www.sentinelsource.com/news/local/local-high-school-students-protest-proposed-rollback-of-net-neutrality/article_204cec19-3104-58f4-930a-404c65d84e65.html,,,
Kutztown,Kutztown University,PA,US,2017-12-07,,,,,,,APSCUF members,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://www.berksmontnews.com/general-news/20171211/kutztown-university-faculty-union-students-rally-for-higher-education,,,
Lawrence,Kansas University,KS,US,2017-12-07,about half a dozen,6,,6,,,graduate students,Protesting erosion of rights,0,protest,0,0,0,0,1,1,http://www2.ljworld.com/news/2017/dec/07/all-i-want-christmas-living-wage-graduate-students/,,,
Louisville,Downtown,KY,US,2017-12-07,over 100,100,,100,,,general protestors,Protesting potential end to net neutrality,1,protest,0,0,0,0,1,1,https://www.courier-journal.com/picture-gallery/news/local/2017/12/08/net-neutrality-supporters-rally-outside-federal-building/108437022/,,,
Madison,University Ave.,WI,US,2017-12-07,,,,,,,general protestors,Protesting potential end to net neutrality,1,protest,0,0,0,0,1,1,http://www.wkow.com/story/37022107/2017/12/07/madison-protesters-join-nationwide-demonstrations-against-changes-to-net-neutrality,,,
Monterey,Monterey Peninsula College,CA,US,2017-12-07,about a dozen,12,,12,,,Students,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://www.montereyherald.com/article/NF/20171207/NEWS/171209849,,,
Nashville,Cumberland Park,TN,US,2017-12-07,FB: 157,157,,157,,,Tennessee Citizen Action,Protesting American Legislative Exchange Council conference,0,protest,0,0,0,0,1,1,https://www.facebook.com/events/1948905245434737/,,,
New York ,Borough Hall,NY ,US,2017-12-07,,,,,,,general protestors,Protesting ICE officials ,1,protest,0,0,0,0,1,1,http://www.nydailynews.com/new-york/brooklyn/activists-hold-nyc-rally-banning-ice-agents-n-y-courts-article-1.3684540,,,
New York ,Verizon on 42nd St.,NY ,US,2017-12-07,Photo: hundreds,200,,200,,,general protestors,Protesting potential end to net neutrality,1,protest,0,0,0,0,0,1,https://www.theverge.com/2017/12/8/16751244/net-neutrality-verizon-protests-photos-fight-for-the-future,,,
New York ,Wall St.,NY ,US,2017-12-07,FB: 68,68,,68,,,Rise and Resist,Protesting Trump administration,1,protest,0,0,0,0,0,1,https://www.facebook.com/events/143831119602706/,,,
New York ,Washington Square Park,NY ,US,2017-12-07,FB: 738,738,,738,,,MPower Change,"Protesting GOP tax plan, Muslim ban",1,protest,0,0,0,0,0,1,https://www.facebook.com/events/1677785855601097/,,,
Oakland,Ogowa Plaza,CA,US,2017-12-07,FB: 20,20,,20,,,general protestors,Protesting Libyan slave trade,0,protest,0,0,0,0,1,1,https://www.facebook.com/events/353912655080124/,,,
Pembroke Pines,Pines Blvd.,FL,US,2017-12-07,FB: 41,41,,41,,,general protestors,Protesting potential end to net neutrality,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/1467727776609568/,,,
Philadelphia,Verizon store on Market St.,PA,US,2017-12-07,at least 250,250,,250,,,general protestors,Protesting potential end to net neutrality,1,protest,0,0,0,0,0,1,http://www.philly.com/philly/business/comcast/philly-net-neutrality-protesters-fcc-internet-comcast-verizon-streaming-20171208.html,https://technical.ly/philly/2017/12/08/net-neutrality-rally-verizon/,,
Philadelphia,Verizon store on Race St.,PA,US,2017-12-07,about a dozen,12,,12,,,general protestors,Protesting potential end to net neutrality,1,protest,0,0,0,0,1,1,http://www.philly.com/philly/business/comcast/philly-net-neutrality-protesters-fcc-internet-comcast-verizon-streaming-20171208.html,,,
Phoenix,Walmart,AZ,US,2017-12-07,,,,,,,Making Change at Walmart,Protesting holiday pay policy,0,protest,0,0,0,0,1,1,https://www.azcentral.com/story/news/local/phoenix/2017/12/08/labor-groups-protest-walmarts-holiday-pay-policy-phoenix/932061001/,,,
Plover,Outside Verizon store,WI,US,2017-12-07,a handful,5,,5,,,general protestors,Protesting potential end to net neutrality,1,protest,0,0,0,0,1,1,http://www.waow.com/story/37021349/2017/12/07/protest-in-plover-for-net-neutrality,,,
Portland ,Sen. Collins' office,ME,US,2017-12-07,,,,,,,general protestors,Protesting GOP tax plan,1,protest,9,0,0,0,1,1,http://www.penbaypilot.com/article/belfast-minister-joins-clergy-protest-sen-susan-collins-portland-office/95458,http://www.pressherald.com/2017/12/08/more-protests-expected-at-susan-collins-portland-office/,,
Roseburg,Verizon store on Garden Valley Blvd,OR,US,2017-12-07,approximately 20,20,,20,,,general protestors,Protesting potential end to net neutrality,1,protest,0,0,0,0,1,1,https://www.nrtoday.com/news/douglas-county-residents-rally-in-favor-of-net-neutrality/article_71faa09f-211b-59bc-92cd-670ac60a9a8f.html,,,
Salt Lake City ,Sugar House Verizon store,UT,US,2017-12-07,,,,,,,general protestors,Protesting potential end to net neutrality,1,protest,0,0,0,0,1,1,https://www.deseretnews.com/article/900005362/net-neutrality-supporters-protest-verizon-for-supporting-fcc-changes.html,,,
San Francisco ,Verizon store,CA,US,2017-12-07,,,,,,,general protestors,Protesting potential end to net neutrality,1,protest,0,0,0,0,1,1,http://goldengatexpress.org/2017/12/08/protesters-fight-for-net-neutrality/,,,
Sarasota ,U.S. 41,FL,US,2017-12-07,about 100,100,,100,,,general protestors,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://www.heraldtribune.com/news/20171207/tax-bill-protest-draws-crowd-to-downtown-sarasota,,,
Sioux Falls,Verizon store on W. 21st St.,SD,US,2017-12-07,about two dozen,24,,24,,,general protestors,Protesting potential end to net neutrality,1,protest,0,0,0,0,1,1,http://www.argusleader.com/story/news/business-journal/2017/12/07/net-neutrality-protest-sioux-falls-fcc/930819001/,,,
St. George,Verizon store on W. 21st St.,UT,US,2017-12-07,a handful; (2 from photo),2,,2,,,general protestors,Protesting potential end to net neutrality,1,protest,0,0,0,0,1,1,https://www.stgeorgeutah.com/news/archive/2017/12/09/mgk-net-neutrality-advocates-protest-fccs-proposed-rollback-on-regulations/#.WjrbfFWnG1s,,,
Tuscon,Federal courthouse,AZ,US,2017-12-07,,,,,,,LUPE Action Committee,Protesting shooting of Mexican boy by border patrol agent,0,protest,0,0,0,0,1,1,http://www.fightbacknews.org/2017/12/12/tucson-holds-vigil-victim-border-patrol-killing,,,
Washington ,Capitol Hill,DC,US,2017-12-07,FB: 21,21,,21,,,Moms Clean Air Force,Protesting Scott Pruitt,1,protest,0,0,0,0,0,1,https://www.facebook.com/events/524713291219255/,,,
Washington ,Georgetown University ,DC,US,2017-12-07,,,,,,,Graduate students,Protesting University decesion to recognize graduate student union; labor protest,0,rally,0,0,0,0,1,1,https://www.insidehighered.com/quicktakes/2017/12/07/graduate-students-protest-georgetowns-position-union,,,
Washington ,U.S. Supreme Court,DC,US,2017-12-07,FB: 227,227,,227,,,Justice For Muslims Collective,Protesting Trump's Muslim ban,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/567380216926904/,,,
West Hartford,Verizon store on Farmington Ave.,CT,US,2017-12-07,about 15,15,,15,,,general protestors,Protesting potential end to net neutrality,1,protest,0,0,0,0,1,1,Observation,,,
Albany,State Capitol,NY ,US,2017-12-08,FB: 30,30,,30,,,Citizen Action  ,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,https://www.northcountrypublicradio.org/news/story/35231/20171210/rally-against-federal-tax-overhaul-held-in-albany,https://www.facebook.com/events/1310707629034897/,,
Albuquerque,,NM,US,2017-12-08,,,,,,,UNM Students for Justice in Palestine,Protesting Trump's decision to recognize Jerusalem as the capital of Israel,1,protest,0,0,0,0,1,1,http://krqe.com/2017/12/08/local-demonstrators-protest-president-trumps-jerusalem-declaration/,,,
Beaufort,Rep. Sanford's office,SC,US,2017-12-08,dozens,24,,24,,,Indivisible Beaufort,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://www.blufftontoday.com/news/2017-12-08/beaufort-county-groups-protest-gop-tax-plan,,,
Boise,N. Maidstone Way,ID,US,2017-12-08,FB: 14,14,,14,,,Stop the Tax Scam,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/1884531728528374/,,,
Columbus,Ohious Statehouse,OH,US,2017-12-08,,,,,,,The Council on American-Islamic Relations,Protesting Trump's decision to recognize Jerusalem as the capital of Israel,1,protest,0,0,0,0,1,1,http://abc6onyourside.com/news/local/activist-groups-rally-outside-of-ohios-statehouse,,,
Detroit,Hart Plaza,MI ,US,2017-12-08,hundreds,200,,200,,,general protestors,Protesting Trump's decision to recognize Jerusalem as the capital of Israel,1,protest,0,0,0,0,1,1,http://www.detroitnews.com/story/news/local/detroit-city/2017/12/08/hundreds-rally-trump-jerusalem-declaration/108446606/,,,
Duluth,Rep. Enbridge's office,MN,US,2017-12-08,NA,3,,3,,,general protestors,Protesting Line 3 replacement project,0,protest,3,0,0,0,1,1,http://www.grandforksherald.com/news/4371636-protesters-occupy-enbridge-offices-duluth,,,
La Palma,Freedom Tower,CA,US,2017-12-08,FB: 52,52,,52,,,Florida Student Power Network,Rallying for DREAM Act,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/1907376362610185/,,,
Lincoln,Verizon Store ,NE,US,2017-12-08,,,,,,,general protestors ,Protesting potential end to net neutrality,1,protest ,0,0,0,0,1,1,http://www.klkntv.com/story/37029023/net-neutrality-protest-in-lincoln,,,
Lowell,Umass-Lowell,MA,US,2017-12-08,,,,,,,Adjunct professors,Protesting low wages for adjunct professors; labor protest,0,protest,0,0,0,0,1,1,http://www.lowellsun.com/breakingnews/ci_31516312/umass-lowell-adjunct-faculty-protests-over-pay-benefits,,,
Macomb,W. Jackson St.,IL,US,2017-12-08,FB: 9,9,,9,,,Invisible Illinois,Protesting potential end to net neutrality,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/146175269441184/,,,
Miami Beach,North Shore Park and Youth center,FL,US,2017-12-08,FB: 14,14,,14,,,Miami Greenpeace,Protesting Coca-Cola's ocean pollution,0,protest,0,0,0,0,1,1,https://www.facebook.com/events/128117877885227/,,,
Needham,Needham High School,MA,US,2017-12-08,approximately 300,300,,300,,,Students,Protesting racist graffiti,0,protest,0,0,0,0,1,1,https://www.bostonglobe.com/metro/2017/12/08/needham-high-principal-says-students-have-reported-harrassment-past/zs6ngNgCUmpgdTS2WzOlqL/story.html,,,
New York ,City Hall,NY ,US,2017-12-08,more than a dozen,12,,12,,,Vulcan Society firefighters,Protesting promotion of racist man,0,protest,0,0,0,0,1,1,http://www.nydailynews.com/new-york/firefighters-protest-emt-promotion-racist-sexist-tweets-article-1.3686341,,,
New York ,Times Square,NY ,US,2017-12-08,hundreds,200,,200,,,general protestors,Protesting Trump's decision to recognize Jerusalem as the capital of Israel,1,protest,0,0,0,0,0,1,http://www.northjersey.com/story/news/2017/12/08/hundreds-fill-times-square-protest-trumps-jerusalem-decision/935561001/,,,
New York ,Trump Tower,NY ,US,2017-12-08,FB: 4,4,,4,,,Learn As Protest,Protesting Trump administration,1,protest,0,0,0,0,0,1,https://www.facebook.com/events/382082352251077/,,,
New York ,Wooster St.,NY ,US,2017-12-08,,,,,,,general protestors,Protesting pornhub pop-up store,0,protest,0,0,0,0,0,1,http://newyork.cbslocal.com/2017/12/08/pornhub-pop-up-shop-soho-protest/,,,
Ocean Park,Bay Ave.,WA,US,2017-12-08,,,,,,,general protestors,Protesting ICE  ,1,protest,0,0,0,0,1,1,http://www.chinookobserver.com/co/local-news/20171212/protesters-put-ice-arrests-on-ice,,,
Pensacola ,Pensacola Bay Center,FL,US,2017-12-08,thousands,2000,,2000,,,Roy Moore campaign ,for Roy Moore for U.S. Senate,2,rally,0,0,0,0,1,1,http://www.sfgate.com/business/article/Trump-to-Hold-Rally-on-Alabama-s-Doorstep-Ahead-12399236.php,http://www.pnj.com/story/news/2017/12/06/donald-trump-pensacola-protests-planned-rally/927441001/,http://weartv.com/news/local/allies-story-12-08-2017,feat. President Trump
Pensacola ,Pensacola Bay Center,FL,US,2017-12-08,FB: 142,142,,142,,,general protestors,counter-protest ,1,protest ,0,0,0,0,0,1,http://www.pnj.com/story/news/2017/12/06/donald-trump-pensacola-protests-planned-rally/927441001/,https://www.facebook.com/events/1677516978967872/,,
Portland ,Sen. Collins' office,ME,US,2017-12-08,about 30,30,,30,,,general protestors,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://www.pressherald.com/2017/12/08/more-protests-expected-at-susan-collins-portland-office/,http://www.timesrecord.com/news/2017-12-11/Front_Page/Bowdoin_students_others_protest_tax_bill_at_Collin.html,,
Richmond ,Virgina Commonwealth University,VA,US,2017-12-08,about 100,100,,100,,,general protestors,Protesting low wages for adjunct professors; labor protest,0,protest,0,0,0,0,1,1,http://www.richmond.com/news/vcu-adjunct-arts-professors-community-protest-low-wages/article_1e7c52ad-bf82-5635-9f41-297596b5739e.html,,,
Rochester,Keating Federal Building,NY ,US,2017-12-08,about 100,100,,100,,,general protestors,Protesting Trump's decision to recognize Jerusalem as the capital of Israel,1,protest,0,0,0,0,1,1,http://www.democratandchronicle.com/story/news/2017/12/08/local-protesters-decry-donald-trump-jerusalem-israel-capital-declaration-announcement/936460001/,,,
Rowland,,NC,US,2017-12-08,,6,,6,,,high school cheerleaders,Kneeling Protest,1,protest,0,0,0,0,1,1,http://www.detroitnews.com/story/news/nation/2017/12/09/trump-country-racial-divide-north-carolina/108479248/,,,
San Antonio,727 Ceasar Chavez St.,TX,US,2017-12-08,FB: 54,54,,54,,,general protestors,Protesting to keep Net Neutrality,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/745531812311907/,,,
St. Paul,Summit Rd.,MN,US,2017-12-08,FB: 31,31,,31,,,Anti-War Committee ,Protesting Trump's decision to recognize Jerusalem as the capital of Israel,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/2070178673201952/,,,
Stafford,Dunn Dr.,VA,US,2017-12-08,FB: 10,10,,10,,,general protestors,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/511743939212825/,,,
Tampa,Fowler St.,FL,US,2017-12-08,FB: 94,94,,94,,,Tampa DSA,Protesting Trump's decision to recognize Jerusalem as the capital of Israel,1,protest,0,0,0,0,0,1,https://www.facebook.com/events/2017627081855810/,,,
Tampa,Lake Eola Park,FL,US,2017-12-08,FB: 104,104,,140,,,Florida Student Power Network,Protesting Trump's decision to recognize Jerusalem as the capital of Israel,1,protest,0,0,0,0,0,1,https://www.facebook.com/events/1857845674545873/,,,
Tampa,University of South Florida ,FL ,US,2017-12-08,hundreds,200,,200,,,CAIR Florida ,Protesting GOP tax plan,1,protest ,0,0,0,0,1,1,http://www.tampabay.com/news/Tampa-Hundreds-protest-Trump-s-decision-on-Jerusalem_163427545,,,
