CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4
Grand Junction ,,Mesa,CO,US,2020-01-02,,,,,,,general protestors,"against acting director of Bureau of Land Management, for conservation of public lands",1,protest,0,0,0,0,1,1,https://sentinelcolorado.com/news/state-and-region/demonstrators-protest-blm-leaders-at-new-grand-junction-location/,,,,
Scarborough ,City Hall,Cumberland,ME,US,2020-01-02,,,,,,,general protestors,for more rights and better pay for teachers,0,rally,0,0,0,0,1,1,https://mainebeacon.com/scarborough-teachers-rally-for-more-rights-better-pay/,,,,
Winston-Salem ,federal Building,Forsyth,NC,US,2020-01-02,around 50 ,50,,50,,,general protestors,"against district court ruling blocking state voter ID law, for stricter voting requirements",2,protest,0,0,0,0,1,1,https://myfox8.com/2020/01/02/blocked-voter-id-law-sparks-protest-in-winston-salem/,,,,
Detroit,Campus Martius Park,Wayne,MI,US,2020-01-03,hundreds,200,,200,,,Michigan Emergency Committee Against War and Injustice,against war with Iran,1,protest,0,0,0,0,1,1,https://www.clickondetroit.com/news/local/2020/01/04/anti-war-demonstration-held-at-campus-martius/,,,,
Georgetown ,Legacy Hills Park,Williamson,TX,US,2020-01-03,,,,,,,general protestors,against removal or trees in Legacy Hills Park ,0,protest,0,0,0,0,1,1,https://www.statesman.com/news/20200103/sun-city-protest-spurs-cancellation-of-pickleball-courts,,,,
Miami ,King Jesus International Ministry church,Miami-Dade,FL,US,2020-01-03,dozens ,24,,24,,,Broward for Progress; Women's March Miami,for impeaching President Trump,1,protest,0,0,0,0,1,1,https://wsvn.com/news/politics/anti-trump-demonstrators-protest-outside-sw-miami-dade-mega-church-during-rally/,,,,
Palm Beach,Royal Park Bridge,Palm Beach,FL,US,2020-01-03,,1,,1,,,Florida Carry,for Second Amendment rights,2,protest,0,0,0,0,1,1,https://www.palmbeachdailynews.com/news/20200103/pro-gun-advocate-on-royal-park-bridge-ahead-of-scheduled-demonstration,,,,
Peekskill,outside Sen. Schumer's office,Westchester,NY,US,2020-01-03,,,,,,,general protestors,against war with Iran,0,protest,0,0,0,0,1,1,westchester.news12.com/story/41519361/antiwar-demonstrators-to-rally-in-hastings-for-deescalation-between-us-iran,,,,
Portland ,Terry Schrunk Plaza,Multnomah,OR,US,2020-01-03,,,,,,,Portland Democratic Socialists of America ,against war with Iran,1,protest,0,0,0,0,1,1,https://www.oregonlive.com/pacific-northwest-news/2020/01/portland-group-to-host-no-war-on-iran-protest-downtown-on-friday-afternoon.html,,,,
Washington,Capitol,DC,DC,US,2020-01-03,5 arrested,5,,5,,,general protesters,against climate change inaction,1,protest,5,0,0,0,1,1,https://abcnews.go.com/Politics/jane-fonda-marches-capitol-hill-finale-fire-drill/story?id=68194683,,,,
