CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4
Washington DC,National Mall,DC,DC,US,2020-04-04,,,,,,,conservative activists,protest stay-at-home measures due to Covid-19,2,protest,,,,,1,1,https://www.washingtontimes.com/news/2020/apr/3/activists-say-they-will-protest-coronavirus-restri/,,,this article detailed an event that had not happened yet,
Adelanto,Adelanto ICE Processing Center,,CA,US,2020-04-05,120-180,120,,180,,,detainees,for release of detainees from ICE facility due to COVID-19 pandemic,0,hunger strike,0,0,0,0,1,1,https://perilouschronicle.com/2020/04/05/hunger-strike-at-adelanto-ice-processing-center-california/,,,,
Baldwin,North Lake Correctional Facility,,MI,US,2020-04-05,,10,,10,,,detainees,for release of detainees from ICE facility due to COVID-19 pandemic,0,hunger strike,0,0,0,0,1,1,https://www.michiganradio.org/post/prisoners-go-hunger-strike-baldwin-s-north-lake-correctional-facility,,,,
Los Angeles,McDonald's on 2838 Crenshaw Boulevard ,Los Angeles,CA,US,2020-04-05,count pic,5,,7,,,Fight for $15,protest working while workers have been diagnosed with Covid-19,0,walkout,0,0,0,0,1,1,https://la.eater.com/2020/4/6/21210092/mcdonalds-walkout-protest-south-la-crenshaw-coronavirus-covid-19-los-angeles,,,,
Chicago,Provident Hospital,Cook ,IL,US,2020-04-06,around 30,30,,30,,,healthcare workers,for keeping emergency room open at Provident Hospital during coronavirus pandemic,0,protest; rally,0,0,0,0,1,1,https://chicago.suntimes.com/politics/2020/4/6/21211311/provident-nurses-healthcare-protest-hospital-er-emergency-coronavirus-covid-19,,,,
Hartford,governor's mansion,Hartford,CT,US,2020-04-06,nearly 100,100,,100,,,"Katal Center for Health, Equality, and Justice",seek release of inmates due to Covid-19,0,car protest,0,0,0,0,1,1,https://ctmirror.org/2020/04/06/a-noisy-protest-then-prison-chief-confirms-he-has-been-reducing-inmate-population/,https://www.wtnh.com/news/health/coronavirus/families-protest-outside-governors-mansion-on-easter-say-loved-ones-should-be-released-from-prison-during-pandemic/,,,
New York,Harlem Hospital,New York,NY,US,2020-04-06,dozens,24,,24,,,health care workers,for more PPE for healthcare workers during coronavirus pandemic,0,rally,0,0,0,0,1,1,https://nypost.com/2020/04/06/healthcare-workers-rally-for-coronavirus-gear-at-harlem-hospital/,,,,
North San Jose,McDonald's on First Street,Santa Clara,CA,US,2020-04-06,half a dozen,6,,6,,,employees,for safer workplace for McDonald's workers during coronavirus pandemic,0,strike,0,0,0,0,1,1,https://www.mercurynews.com/2020/04/06/coronavirus-mcdonalds-workers-strike-in-san-jose-for-masks-other-ppe/,,,,
Philadelphia,MOM's Organic Market S. 11th St.,Philadelphia,PA,US,2020-04-06,around 10,10,,10,,,grocery store workers,seek COVID hazard pay for essential workers,0,protest,0,0,0,0,1,1,https://whyy.org/articles/dont-call-them-heroes-philly-grocery-store-workers-allege-unsafe-conditions/,,,,
Yonkers,St Joseph's Medical Center,Westchester,NY,US,2020-04-06,,,,,,,nurses,for more PPE for nurses during coronavirus pandemic,0,protest,0,0,0,0,1,1,westchester.news12.com/story/41983736/nurses-protest-for-more-personal-protective-equipment,,,,
Chicago,Cook County Jail,Cook,IL,US,2020-04-07,at least 34,34,,34,,,inmates,for better protections against COVID-19 in prison,0,hunger strike,0,0,0,0,0,1,https://perilouschronicle.com/2020/05/06/documents-reveal-a-series-of-protests-and-uprisings-at-cook-county-jail-chicago/,,,,
Chicago,ICE Headquarters,Cook,IL,US,2020-04-07,,,,,,,"A Just Harvest; All of Us Or None Chicago; American Friends Service Committee; Assata’s Daughters; Believers Bail Out; Chicago Alliance Against Racist and Political Repression; Chicago Community Bond Fund; Circles & Ciphers; Community Renewal Society; Equity and Transformation (EAT); Liberation Library; Love & Protect; Moms United Against Violence and Incarceration; Organized Communities Against Deportations (OCAD); The People’s Lobby; Southsiders Organized for Unity and Liberation (SOUL); South Side Workers Center; Trinity United Church of Christ – Chicago, Unitarian Universalist Prison Ministry of Illinois; Westside Justice Center; Women’s Justice Institute; and Parole Illinois",for mass decarceration during COVID-19 pandemic,1,car protest,0,0,0,0,0,1,https://chicagobond.org/2020/04/07/statement-on-the-solidarity-caravan-calling-for-mass-release-of-incarcerated-people-in-the-name-of-public-health/,https://twitter.com/comradething/status/1247595511655383041,,,
Chicago,Juvenile Temporary Detention Center ,Cook,IL,US,2020-04-07,,,,,,,"A Just Harvest; All of Us Or None Chicago; American Friends Service Committee; Assata’s Daughters; Believers Bail Out; Chicago Alliance Against Racist and Political Repression; Chicago Community Bond Fund; Circles & Ciphers; Community Renewal Society; Equity and Transformation (EAT); Liberation Library; Love & Protect; Moms United Against Violence and Incarceration; Organized Communities Against Deportations (OCAD); The People’s Lobby; Southsiders Organized for Unity and Liberation (SOUL); South Side Workers Center; Trinity United Church of Christ – Chicago, Unitarian Universalist Prison Ministry of Illinois; Westside Justice Center; Women’s Justice Institute; and Parole Illinois",for mass decarceration during COVID-19 pandemic,1,car protest,0,0,0,0,1,1,https://chicagobond.org/2020/04/07/statement-on-the-solidarity-caravan-calling-for-mass-release-of-incarcerated-people-in-the-name-of-public-health/,https://twitter.com/comradething/status/1247595511655383041,,,
