CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,Source5,Source6
Farmington Hills,outside Holocaust Memorial Center ,Oakland,MI,US,8/20/2019,about 100; over 150,100,,150,,,general protestors,pro-refugee; pro-immigrant; anti-ICE,1,protest,0,0,0,0,1,1,https://m.metrotimes.com/news-hits/archives/2019/08/21/without-a-trace-of-irony-israeli-flag-waving-trump-supporting-white-supremacists-rallied-in-front-of-the-holocaust-memorial-center,https://www.freep.com/story/news/local/michigan/2019/08/20/immigration-divides-jewish-community-metro-detroit/2060648001/,,,,,
Farmington Hills,outside Holocaust Memorial Center ,Oakland,MI,US,8/20/2019,,,,,,,Conference on Jewish Affairs; Proud Boys,pro-Trump; against calling camps concentration camps,2,counter-protest,0,0,0,0,0,1,https://m.metrotimes.com/news-hits/archives/2019/08/21/without-a-trace-of-irony-israeli-flag-waving-trump-supporting-white-supremacists-rallied-in-front-of-the-holocaust-memorial-center,https://www.freep.com/story/news/local/michigan/2019/08/20/immigration-divides-jewish-community-metro-detroit/2060648001/,,,,,
West Hartford,outside town hall,Hartford,CT,US,8/20/2019,more than 100,100,,100,,,"First Church West Hartford, Metropolitan Community Church of Hartford, B’nai Tikvoh-Sholom, The Neshama Center for Lifelong Learning; the Charter Oak Cultural Center.",pro-refugee; pro-immigrant; anti-ICE,1,march; vigil,0,0,0,0,1,1,https://www.courant.com/community/west-hartford/hc-news-west-hartford-immigration-talk-vigil-20190820-ku3lqdc32fabnbn5pjntbtpacm-story.html,,,,,,
Los Angeles,Hall of Justice,Los Angeles,CA,US,8/21/2019,,,,,,,Black Lives Matter LA,"against police brutality, for police accountability, Black Lives Matter, against District Attorney Jackie Lacey",1,protest,,,,,1,1,https://www.cnn.com/2020/07/10/us/jackie-lacey-la-da-black-lives-matter/index.html,https://www.newyorker.com/magazine/2020/11/16/after-years-of-protests-every-wednesday-la-activists-welcome-a-new-da,,,,,
Miami,Torch of Friendship; 301 Biscayne Boulevard,Miami-Dade,FL,US,8/21/2019,,,,,,,SOS America2017,anti-Trump; pro-immigrant; support election integrity,1,protest,,,,,,1,https://www.sosamerica2019.com/2019/08/16/actions-on-8-21/,,,,,,
New York,Madison Square Park,New York,NY,US,8/21/2019,count video,5,,5,,,SOS America2018,anti-Trump; pro-immigrant; support election integrity,1,protest,,,,,,1,https://www.sosamerica2019.com/2019/08/16/actions-on-8-21/,https://twitter.com/JoshuaPotash/status/1164316259389005824,,,,,
San Francisco,outside the Intercontinental SF Hotel; 888 Howard St.,San Francisco,CA,US,8/21/2019,,,,,,,SOS America2019; CREDO action; Vigil for Democracy,anti-Trump; pro-immigrant; support election integrity,1,protest,,,,,,1,https://www.sosamerica2019.com/2019/08/16/actions-on-8-21/,,,,,,
Washington,Lafayette Square Park,,DC,US,8/21/2019,,,,,,,SOS America2020,anti-Trump; pro-immigrant; support election integrity,1,protest,,,,,,1,https://www.sosamerica2019.com/2019/08/16/actions-on-8-21/,,,,,,
San Francisco,past San Francisco Federal Building @ 90 7th St; ICE Building @ 630 Sansome St; City Hall @ 1 Dr. Carlton B. Goodlett Pl,San Francisco,CA,US,8/22/2019,,,,,,,SOS America2021,anti-Trump; pro-immigrant; support election integrity,1,caravan,,,,,,1,https://www.sosamerica2019.com/2019/08/16/actions-on-8-21/,,,drive to San Jose,,,
San Francisco,,San Francisco,CA,US,8/22/2019,20+,20,,20,,,Sunrise Movement,against climate change; against DNC debate decisions,0,protest,,,,,,1,https://twitter.com/sunrisebayarea/status/1164601805398929409,https://www.mercurynews.com/2019/08/22/climate-debate-democratic-national-committee-fight/,,drive to San Jose,,,
Boston,Boston City Hall to Brazilian Consultate,Suffolk,MA,US,8/24/2019,FB: 161,161,,161,,,"Ayni Institute, Sunrise Movement, Extinction Rebellion",defend the Amazon,0,march,0,0,0,0,1,1,https://www.facebook.com/events/479558722776619,,,,,,
Greenville,,Washington,MS,US,8/24/2019,,,,,,,Communication Workers of America,for a fair contract for AT&T employees,0,strike; walkout,,,,,1,1,https://www.deltanews.tv/news/at-t-local-strike/article_07844dbe-c931-11e9-a763-efd857430ac8.html,"https://en.wikipedia.org/wiki/2019_AT%26T_strike#:~:text=The%202019%20AT%26T%20strike%20was,agree%20to%20new%20employment%20contracts.",https://www.usatoday.com/story/money/2019/08/27/at-t-workers-strike-union-south/2128154001/,,,,
Greenwood,,Leflore,MS,US,8/24/2019,,,,,,,Communication Workers of America,for a fair contract for AT&T employees,0,strike; walkout,,,,,1,1,https://www.deltanews.tv/news/at-t-local-strike/article_07844dbe-c931-11e9-a763-efd857430ac8.html,"https://en.wikipedia.org/wiki/2019_AT%26T_strike#:~:text=The%202019%20AT%26T%20strike%20was,agree%20to%20new%20employment%20contracts.",https://www.usatoday.com/story/money/2019/08/27/at-t-workers-strike-union-south/2128154001/,,,,
Hillsborough,Courthouse,Orange,NC,US,8/24/2019,15,15,,15,,,Ku Klux Klan,for white supremacy,2,rally,0,0,0,0,1,1,https://twitter.com/GraigMeyer/status/1165387810888650753?s=20,,,,,,
Modesto,"Planned Parenthood-Modesto Health Center, 1431 McHenry Ave",,CA,US,8/24/2019,around 15; dozens,15,,24,,,National Straight Pride Coalition,"for straight pride, for Christian values, for Western civilization, against LGBTQ+ rights, for patriotism, for President Trump, against immigration, for white supremacy",2,demonstration,0,0,0,0,1,1,https://www.youtube.com/watch?v=PLb224y2fwY,https://www.abc10.com/article/news/local/modesto/modesto-straight-pride-event/103-f91e54c4-659b-4c09-b887-8816d2877624,https://itsgoingdown.org/modesto-straight-white-pride/,,,,
Modesto,"Enslen Park; Planned Parenthood-Modesto Health Center, 1431 McHenry Ave",,CA,US,8/24/2019,hundreds,200,,200,,,general protesters,"for LGBTQ+ rights, against homophobia, against racism, against Proud Boys, no more Nazis",1,counter-protest,0,0,0,0,0,1,https://www.youtube.com/watch?v=PLb224y2fwY,https://www.abc10.com/article/news/local/modesto/modesto-straight-pride-event/103-f91e54c4-659b-4c09-b887-8816d2877624,https://itsgoingdown.org/modesto-straight-white-pride/,,,,
Louisville,Armory Place,,KY,US,8/25/2019,,,,,,,Communication Workers of America,for a fair contract for AT&T employees,0,strike; picket,0,0,0,0,1,1,https://www.wave3.com/2019/08/26/bernie-sanders-visits-striking-att-workers-louisville/,,,,,,
Seattle,2701 Alki Ave SW,,WA,US,8/25/2019,,,,,,,Community and Labor Against Fascism; Emerald City Antifa; and the Gender Justice League; Puget Sound John Brown Gun Club,for LGBTQ+ pride,1,rally,,,,,1,1,https://westseattleblog.com/event/fifth-annual-alki-beach-lgbtqi-pride-event/,https://psjbgc.org/blog/thanks-for-an-awesome-alki-beach-pride/,,,,,
Seattle,International Fountain at Seattle Center,King,WA,US,8/25/2019,,15000,,15000,,,Warren campaign,pro-Warren,1,rally,0,0,0,0,0,1,https://twitter.com/mattmfm/status/1165748798011912193?s=20,https://thehill.com/homenews/campaign/458766-warren-says-15000-attended-her-seattle-rally,,,,,
Newark,Prudential Center,Essex,NJ,US,8/26/2019,about 200,200,,200,,,Newark Water Coalition,clean water access,0,protest,5,0,0,0,1,1,https://thehill.com/homenews/state-watch/458959-protesters-gather-outside-mtv-vmas-to-demand-clean-water-in-newark,,,,,,
Los Angeles,Hall of Justice,Los Angeles,CA,US,8/28/2019,,,,,,,Black Lives Matter LA,"against police brutality, for police accountability, Black Lives Matter, against District Attorney Jackie Lacey",1,protest,,,,,1,1,https://www.cnn.com/2020/07/10/us/jackie-lacey-la-da-black-lives-matter/index.html,https://www.newyorker.com/magazine/2020/11/16/after-years-of-protests-every-wednesday-la-activists-welcome-a-new-da,,,,,
Boston,from Copley Square to City Hall Plaza,Suffolk,MA,US,8/31/2019,a few hundred,300,,300,,,Super Happy Fun America,Straight Pride Parade,2,parade,0,0,0,0,1,1,https://www.bostonglobe.com/metro/2019/08/31/counterprotesters-rally-across-city-from-straight-pride-parade-starting-point/qFStqXFPcWoOWAaxkDyDfI/story.html,,,,,,
Boston,from Copley Square to City Hall Plaza,Suffolk,MA,US,8/31/2019,thousands,2000,,2000,,,general protestors,counter-protestors,1,counter-protest,0,0,0,0,1,1,https://www.bostonglobe.com/metro/2019/08/31/counterprotesters-rally-across-city-from-straight-pride-parade-starting-point/qFStqXFPcWoOWAaxkDyDfI/story.html,,,,,,
Boston,City Hall Plaza,Suffolk,MA,US,8/31/2019,about 200,200,,200,,,Resist Marxism,Straight Pride Rally,2,rally,0,0,0,0,0,1,https://www.bostonglobe.com/metro/2019/08/31/counterprotesters-rally-across-city-from-straight-pride-parade-starting-point/qFStqXFPcWoOWAaxkDyDfI/story.html,,,,,,
Boston,City Hall Plaza,Suffolk,MA,US,8/31/2019,about 600,600,,600,,,Hands Off Our Pride,counter-protestors,1,counter-protest,36,3,4,0,0,1,https://www.bostonglobe.com/metro/2019/08/31/counterprotesters-rally-across-city-from-straight-pride-parade-starting-point/qFStqXFPcWoOWAaxkDyDfI/story.html,,,,,,
