CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,Source5,Source6
Birmingham,Birmingham Crossplex,,AL,US,8/6/2019,,,,,,,Metro Birmingham chapter of the NAACP,support voting rights; strengthen Voting Rights Act post-Shelby,0,vigil,,,,,,1,https://www.al.com/news/2019/08/birmingham-naacp-holds-voting-rights-vigil-on-anniversary-of-landmark-law.html?utm_medium=social&utm_campaign=aldotcom_sf&utm_source=twitter,,,,,,
Boonville,in front of the Fairgrounds,,CA,US,8/6/2019,,,,,,,general protestors,against white supremacy; for gun reform,1,vigil,,,,,,1,https://actionnetwork.org/event_campaigns/elpasofirme-a-call-to-action-against-white-supremacy?ms=20190805_elpaso,,,#ElPasoFirme Vigil,,,
Huntsville,,,AL,US,8/6/2019,,,,,,,general protestors,support voting rights; strengthen Voting Rights Act post-Shelby,0,vigil,,,,,,1,https://www.al.com/news/2019/08/birmingham-naacp-holds-voting-rights-vigil-on-anniversary-of-landmark-law.html?utm_medium=social&utm_campaign=aldotcom_sf&utm_source=twitter,,,,,,
Las Vegas,,,NV,US,8/6/2019,,,,,,,Progressive Leadership Alliance of Nevada; Make It Work Nevada ,support voting rights; strengthen Voting Rights Act post-Shelby,0,vigil,,,,,,1,https://twitter.com/PLANevada/status/1158441339589222400,,,,,,
Louisville,outside US sen. McConnell office; 601 W Broadway,,KY,US,8/6/2019,,,,,,,Kentucky March for Our Lives,against gun violence; for gun reform,1,vigil,,,,,,1,https://twitter.com/MFOLKentucky/status/1158253942167486464,https://twitter.com/funder/status/1158929368003043332,,,,,
Mobile,,,AL,US,8/6/2019,,,,,,,general protestors,support voting rights; strengthen Voting Rights Act post-Shelby,0,vigil,,,,,,1,https://www.al.com/news/2019/08/birmingham-naacp-holds-voting-rights-vigil-on-anniversary-of-landmark-law.html?utm_medium=social&utm_campaign=aldotcom_sf&utm_source=twitter,,,,,,
Montgomery,,,AL,US,8/6/2019,,,,,,,general protestors,support voting rights; strengthen Voting Rights Act post-Shelby,0,vigil,,,,,,1,https://www.al.com/news/2019/08/birmingham-naacp-holds-voting-rights-vigil-on-anniversary-of-landmark-law.html?utm_medium=social&utm_campaign=aldotcom_sf&utm_source=twitter,,,,,,
New Port Richey,"office of US Rep. Gus Bilirakis; 7132 Little Road,",,FL,US,8/6/2019,,,,,,,general protestors,support voting rights; strengthen Voting Rights Act post-Shelby,0,vigil,,,,,,1,https://twitter.com/02Cents0/status/1158451972648898561,,,,,,
San Francisco,at the ICE building,,CA,US,8/6/2019,,,,,,,T’ruah; Bend the Arc; J Street; the National Council of Jewish Women; local organizations,pro-refugee; pro-immigrant,1,protest,,,,,,1,https://www.truah.org/solidarity-with-immigrants-on-tisha-bav-2/,,,,,,
Seattle,El Centro De Raza,,WA,US,8/6/2019,FB: 116,116,,116,,,El Centro De Raza,against gun violence; for gun reform,0,vigil,,,,,,1,https://www.facebook.com/events/2435251986526117/,,,,,,
