CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.
Hoover,Interstate 459,Jefferson,AL,US,2018-12-04,more than 100,100,,100,,,general protestors,protest police shooting of Emantic Bradford Jr.,0,protest,0,0,0,0,1,1,https://www.al.com/news/birmingham/2018/12/hoover-officials-say-no-to-school-protests-asks-public-to-avoid-expressions-of-anger.html,,,
Lansing,State Capitol,Ingham,MI,US,2018-12-04,FB: 238,238,,238,,,MI-8 Indivisible,"protesting ""gutting of minim wage and paid sick time"" and lame duck government",1,protest,,,,,1,1,https://twitter.com/MI8indivisible/status/1069684802125737990,https://www.facebook.com/events/199454644322354/,,
Madison ,inside the capitol ,Dane,WI,US,2018-12-04,,,,,,,general protestors,protesting Gov. Walker's support of the anti-democratic lame duck measures,1,protest ,0,0,0,0,1,1,https://www.wisn.com/article/walker-lights-capitol-christmas-tree-amid-boos-protests/25400906,,,
Upper Darby,Upper Darby Performing Arts Center ,Delaware,PA,US,2018-12-04,hundreds,200,,200,,,union members of the Upper Darby Education Association,"rallying for better wages, working conditions and benefits",0,rally;protest,0,0,0,0,1,1,https://www.delcotimes.com/news/upper-darby-teachers-reject-contract-offer-will-rally-tonight/article_fc230e06-f7fd-11e8-8369-8bc1907e9f4e.html,,,
Selinsgrove,Susquehanna University,Snyder,PA,US,2018-12-04,more than 75,75,,75,,,university students,protesting admin decision to permit campus security officers to carry guns,0,protest,0,0,0,0,1,1,https://www.dailyitem.com/news/susquehanna-students-protest-decision-to-arm-security-officers/article_dd2d199e-f7f1-11e8-a807-33cbe4ea3b2d.html,,,
Novato,Novato Education Center,Marin,CA,US,2018-12-04,na,35,,35,,,Novato School District teachers,protesting stalled talks with the district over salaries and benefits,0,protest,0,0,0,0,1,1,https://www.marinij.com/2018/12/05/novato-teachers-protest-wage-offers-in-contract-talks/,,,
Santa Maria,outside the Board of Supervisors meeting room,Santa Barbara,CA,US,2018-12-04,na,15,,15,,,general protestors,protesting Sheriff's Office's cooperation with federal immigration authorities (ICE),1,protest,0,0,0,0,1,1,https://santamariatimes.com/news/local/protesters-call-for-an-end-to-santa-barbara-sheriff-s/article_0841d86f-bf60-50d0-994f-61fa5f47d60b.html,,,
Gettysburg,Lincoln Square,Adams,PA,US,2018-12-04,,,,,,,Gettysburg for Gun Sense,rallying for renewal of assault weapons ban,0,rally;protest,0,0,0,0,1,1,http://www.gettysburgtimes.com/news/local/image_832802e0-b757-53d5-8249-35ade7c1f0aa.html,,,
Chicago ,Federal Plaza Square,Cook,IL,US,2018-12-05,over 250,250,,250,,,general protestors,pro-immigrant rights,1,protest,,,,,1,1,https://twitter.com/icirr/status/1070462821610196993,,,
Fairfield,Fairfield Grace United Methodist Church,Fairfield,CT,US,2018-12-05,FB: 1,1,,1,,,Connecticut Against Gun Violence,vigil against gun violence,0,vigil,,,,,1,1,https://www.facebook.com/events/2252037295026878/,,,
Irondequoit,in front of Wilson Dental,,NY,US,2018-12-05,half-dozen,6,,6,,,general protestors,protest request not to breastfeed in dental office,0,protest,0,0,0,0,1,1,https://www.democratandchronicle.com/story/news/2018/12/05/irondequoit-wilson-dental-breastfeeding-moms-protest-tiffany-elliott/2214107002/,https://13wham.com/news/local/mothers-hold-protest-outside-business-following-breastfeed-shaming,,
Los Angeles,Hall of Justice,Los Angeles,CA,US,2018-12-05,,,,,,,Black Lives Matter LA,"against police brutality, for police accountability, Black Lives Matter, against District Attorney Jackie Lacey",1,protest,,,,,1,1,https://www.cnn.com/2020/07/10/us/jackie-lacey-la-da-black-lives-matter/index.html,https://www.newyorker.com/magazine/2020/11/16/after-years-of-protests-every-wednesday-la-activists-welcome-a-new-da,,
Madison ,inside the capitol ,Dane,WI,US,2018-12-05,,,,,,,general protestors,protesting Gov. Walker's support of the anti-democratic lame duck measures,1,protest ,0,0,0,0,1,1,https://twitter.com/ecwschaeffer/status/1070461493622292480,,,
New York City,outside Charter/Spectrum's Manhattan headquarters,New York,NY,US,2018-12-05,more than 1000,1000,,1000,,,IBEW Local 3 Union,protesting Spectrum; pro-labor rights,1,protest,0,0,0,0,1,1,http://www.ibew.org/media-center/Articles/18Daily/1812/181211_NewYork,,,
Oakland ,homeless encampment at Edes and Elmhurst in Deep East Oakland,Alameda,CA,US,2018-12-05,about 40,40,,40,,,general protestors,protesting planned eviction of homeless encampment,1,protest,0,0,0,0,1,1,https://twitter.com/RickPaulas/status/1070829865224437760,https://www.eastbaytimes.com/2018/12/06/city-shuts-down-oakland-encampment-day-after-protest/,,
Washington ,,DC,DC,US,2018-12-05,,,,,,,CPD Action,"pro-immigrant rights, anti-ICE",1,protest,,,,,1,1,https://twitter.com/julesp__/status/1070462853990227970,,,
Geneva,outside Geneva High School ,Kane,IL,US,2018-12-05,hundreds,200,,300,,,Geneva Education Association union,strike for teacher salary increases,0,strike;rally,0,0,0,0,1,1,https://www.chicagotribune.com/suburbs/elgin-courier-news/ct-ecn-geneva-teachers-strike-wednesday-st-1207-story.html,,,
