CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Source4,Misc
Midland,,TX,US,2017-04-22,,,,,,,general protestors,March for Science,1,march,0,0,0,0,1,1,http://www.cbs7.com/content/news/Grassroots-group-marches-for-science-420188443.html,,,,
Milwaukee,Red Arrow Park,WI,US,2017-04-22,hundreds; about 2000,200,1010,2000,220,1800,general protestors,March for Science,1,march; rally,0,0,0,0,1,1,http://www.wisn.com/article/hundreds-march-for-science-in-milwaukee/9545838,http://www.channel3000.com/news/thousands-participate-in-madison-march-for-science/459100188,,,
Minocqua,Calvary Lutheran Church in Minocqua and headed southbound to Torpy Park,WI,US,2017-04-22,over 200,200,200,200,220,180,general protestors,March for Science,1,march; rally,0,0,0,0,1,1,http://www.lakelandtimes.com/main.asp?SectionID=9&SubSectionID=9&ArticleID=35253,,,,
Missoula,Caras Park to the Orange Street Bridge and along the Kim Williams Trail,MT,US,2017-04-22,hundreds,200,200,200,220,180,general protestors,March for Science,1,march; rally,0,0,0,0,1,1,http://missoulian.com/news/local/rallying-for-fact-based-policies-at-missoula-march-for-science/article_81bceff4-74da-5c41-82e3-a31fb18b94fd.html,,,,
Moab,Swanny City Park; marched up 100 North and around downtown,UT,US,2017-04-22,more than 100,100,100,100,110,90,general protestors,March for Science,1,march; rally,0,0,0,0,1,1,http://www.moabtimes.com/pages/full_story/push?article-Moab+March+for+Science+draws+large+crowd%20&id=27405855&instance=home_news_1st_left,,,,
Mobile,downtown,AL,US,2017-04-22,hundreds,200,200,200,220,180,general protestors,March for Science,1,rally,0,0,0,0,1,1,http://wkrg.com/2017/04/22/hundreds-march-for-science-on-earth-day-in-mobile/,,,,
Modesto,starting at Modesto Junior College east campus and ending at Graceada,CA,US,2017-04-22,,,,,,,general protestors,March for Science,1,march,0,0,0,0,1,1,http://www.modbee.com/news/article146205394.html,,,,
Monroe,outside city hall; Ouachita Parish courthouse to city hall,LA,US,2017-04-22,more than 50,50,50,50,55,45,general protestors,March for Science,1,march; rally,0,0,0,0,1,1,http://www.thenewsstar.com/picture-gallery/news/local/louisiana/2017/04/22/photos--thousands-come-out-across-louisiana-to-march-for-science/100786490/,,,,
Monterey,Monterey Bay Aquarium,CA,US,2017-04-22,,,,,,,penguins; general protestors,March for Science,1,march,0,0,0,0,0,1,http://thehill.com/blogs/blog-briefing-room/news/330055-penguins-hold-their-own-science-march-of-the-penguins,https://www.facebook.com/montereybayaquarium/videos/10155185097032482/,,,
Monterey,,CA,US,2017-04-22,more than 1000,1000,1000,1000,1100,900,general protestors,March for Science,1,march; rally,0,0,0,0,1,1,https://www.facebook.com/events/237860989995522,http://www.montereyherald.com/science/20170422/march-for-science-monterey-marchers-join-thousands-around-world-in-support-of-science-environment,,,
Montgomery,Oak Park; 1010 Forest Avenue,AL,US,2017-04-22,approx 200,200,200,200,220,180,general protestors,March for Science,1,rally,0,0,0,0,1,1,http://www.theplainsman.com/article/2017/04/march-for-science-sweeps-downtown-auburn,https://www.facebook.com/ScienceMarchMGM/photos/a.1946671898902859.1073741828.1910230289213687/1947172808852768/,,,
Montpelier,statehouse,VT,US,2017-04-22,hundreds,200,200,200,220,180,general protestors,March for Science,1,,,,,,1,1,http://digital.vpr.net/post/vermonters-join-global-march-science-events-across-state,http://www.houstonchronicle.com/news/science/article/The-Latest-March-for-Science-attracts-thousands-11091330.php,,,
Moorhead,Minnesota State University Moorhead campus to Veteran's Memorial Bridge,MN,US,2017-04-22,almost 200,200,200,200,220,180,general protestors,March for Science,1,march,0,0,0,0,1,1,http://www.inforum.com/news/4255376-about-200-rally-moorhead-part-march-science-events-across-us,,,,
Morganton,Stearling Street to Courthouse lawn; in front of the Burke County Democratic Party Headquarters ,NC,US,2017-04-22,,,,,,,general protestors,March for Science,1,march; rally,0,0,0,0,1,1,http://www.journalnow.com/news/local/triad-residents-join-global-protests-to-show-of-support-for/article_84749f8e-122c-53c6-805d-4dec92054b88.html,https://www.facebook.com/events/1883868008492362/?active_tab=discussion,http://www.morganton.com/gallery/march-for-science/collection_f8dd5018-295e-11e7-9077-0301ed0641e0.html,,
Morgantown,West Virginia University’s Woodburn Hal,WV,US,2017-04-22,about 500,500,500,500,550,450,general protestors,March for Science,1,march; rally,0,0,0,0,1,1,http://www.wvgazettemail.com/news-politics/20170422/hundreds-turn-out-for-science-marches-in-morgantown-huntington,,,,
Morris ,"University of Minnesota, Morris campus, traveled down Fourth Street to Atlantic Avenue, down Atlantic and ending at the Morris Theatre",MN,US,2017-04-22,approx 225,225,225,225,248,203,general protestors,March for Science,1,march,0,0,0,0,1,1,http://www.morrissuntribune.com/news/local/4255294-march-science-has-225-participate-morris,,,,
Morristown,Vail Mansion,NJ,US,2017-04-22,,,,,,,BluewaveNJ; NJ 11th for Change; 32BJ SEIU; general protestors,persuade Rep. Frelinghuysen to support EPA funding,1,protest; rally; demonstration,0,0,0,0,1,1,http://www.dailyrecord.com/picture-gallery/news/2017/04/22/photos-earth-day-rally-urges-rep-frelinghuysen-to-support-epa/100787600/,,,,
Mount Vernon,Public Square,OH,US,2017-04-22,,,,,,,general protestors,March for Science,1,march,,,,,1,1,https://www.facebook.com/events/203962680095008/,,,,
Nashville,Legislative Plaza,TN,US,2017-04-22,estimated 4000,4000,4000,4000,4400,3600,general protestors,March for Science,1,march; rally,0,0,0,0,1,1,http://www.tennessean.com/story/news/2017/04/22/thousands-turn-out-nashville-march-science/100718776/,,,,
New Haven,Orange Street,CT,US,2017-04-22,between 1000 and 2000,1000,1450,2000,1100,1800,general protestors,March for Science,1,march; rally,0,0,0,0,1,1,http://www.nhregister.com/general-news/20170422/more-than-1000-march-in-new-haven-in-support-of-science,,,,
New Orleans,City Hall down Poydras Street to South Peters Street,LA,US,2017-04-22,hundreds,200,200,200,220,180,general protestors,March for Science,1,march; rally,0,0,0,0,1,1,https://www.bestofneworleans.com/thelatest/archives/2017/04/22/hundreds-attend-new-orleans-march-for-science-slideshow,,,,
New Philadelphia,Courthouse on the square to Tuscora Park,OH,US,2017-04-22,,,,,,,Coexistence Movement,March for Science,1,march,,,,,1,1,http://www.waynebargainhunter.com/article/20170421/NEWS/704219997/0/wbh,,,,
