CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Source4,Misc
Modesto,,CA ,US ,2017-04-15,around 400,400,400,400,440,360,general protestors,demand Trump tax returns,1,,,,,,1,1,https://www.facebook.com/events/1850125631867041/?active_tab=discussion,,,,
Mooresville,,NC,US ,2017-04-15,,,,,,,general protestors,demand Trump tax returns,1,protest,,,,,1,1,http://www.citizen-times.com/story/news/local/2017/04/15/protesters-say-trump-keeping-tax-returns-secret-worrying/100504246/,,,,
Morro Bay,,CA ,US ,2017-04-15,,,,,,,general protestors,demand Trump tax returns,1,protest,,,,,1,1,https://twitter.com/Ekwhiteslo/status/853461160942723072,http://www.sanluisobispo.com/news/local/article144733469.html,,,
Myrtle Beach,in Valor Park at The Market Common,SC,US ,2017-04-15,dozens,24,24,24,26,22,Grand Strand Action Together,demand Trump tax returns,1,march,0,0,0,0,1,1,https://www.facebook.com/events/1850125631867041/?active_tab=discussion,https://www.myhorrynews.com/news/myrtle-beach-protesters-demand-transparency-from-president-trump/article_f0a882ae-222a-11e7-8029-671a8ebe5c80.html,,,
Naperville,"public sidewalks – east on Jackson Avenue, south on Main Street, west on Aurora Avenue and north on Eagle Street",IL  ,US ,2017-04-15,na,300,435,600,330,540,Naperville Women's March Action group,demand Trump tax returns,1,march,0,0,0,0,1,1,http://www.chicagotribune.com/suburbs/naperville-sun/news/ct-nvs-trump-tax-rally-naperville-st-0416-20170415-story.html,,,,
New Hartford,,NY,US ,2017-04-15,na,80,80,80,88,72,"Central New York Citizens in Action, Inc.,",demand Trump tax returns,1,protest,0,0,0,0,1,1,http://cnycia.org/uncategorized/cny-citizens-join-in-utica-rally-on-tax-day/,,,,
New Orleans,City Hall at Duncan Park,LA,US ,2017-04-15,approx 100,100,100,100,110,90,Indivisible NOLA,demand Trump tax returns,1,protest,0,0,0,0,1,1,http://www.wdsu.com/article/protesters-demand-president-trump-release-tax-returns/9281261,http://wgno.com/2017/04/15/protesters-in-new-orleans-call-for-trump-to-release-tax-returns/,,,
New Orleans,,LA,US ,2017-04-15,handful,,,,,,general protestors,pro-Trump,2,protest,0,0,0,0,0,1,http://www.wdsu.com/article/protesters-demand-president-trump-release-tax-returns/9281262,,,,
New York City,"Bryant Park, then up Sixth Avenue to Central Park",NY,US ,2017-04-15,,,,,,,general protestors,demand Trump tax returns,1,protest,,,,,1,1,,,,,
Newark,New Ark United Church of Christ,DE,US ,2017-04-15,dozens,30,39,50,33,45,general protestors ,Sikh Awareness and Appreciation Month,0,march,0,0,0,0,1,1,http://www.newarkpostonline.com/news/article_e5ed0344-9f3e-5061-99ef-c809de649896.html,,,,
Newark,,NJ,US ,2017-04-15,,,,,,,general protestors,demand Trump tax returns,1,protest,,,,,1,1,https://twitter.com/Edmund_BT/status/853415590312243204,,,,
Norfolk,Norfolk Federal Building,VA,US ,2017-04-15,over 25,25,25,25,28,23,general protestors,demand Trump tax returns,1,protest,0,0,0,0,1,1,http://wavy.com/2017/04/15/protesters-march-in-virginia-beach-to-demand-trump-release-tax-returns/,,,,
Northhampton,town hall,MA,US ,2017-04-15,,11,11,11,12,10,general protestors,demand Trump tax returns,1,protest,,,,,1,1,https://twitter.com/i/moments/853405220415705091,twitter pic count,,,
Novato ,,CA ,US ,2017-04-15,,,,,,,general protestors,demand Trump tax returns,1,protest; march,,,,,1,1,http://www.mercurynews.com/2017/04/15/san-jose-protesters-join-national-push-for-trump-tax-returns/,,,,
Olympia,steps of the Legislative Building,WA,US ,2017-04-15,hundreds; 800 to 1000,200,560,1000,220,900,general protestors,demand Trump tax returns,1,protest,0,0,0,0,1,1,http://www.theolympian.com/news/politics-government/article144841354.html,,,,
Omaha,Turner Park,NE ,US ,2017-04-15,na,53,53,53,58,48,general protestors,demand Trump tax returns,1,protest,0,0,0,0,1,1,http://www.ketv.com/article/protest-in-turner-park-calls-on-president-donald-trump-to-release-tax-returns/9280646,pic at link,,,
Orlando ,Lake Eola Park to US Sen Rubio office,FL ,US ,2017-04-15,several hundred,300,300,300,330,270,general protestors,demand Trump tax returns,1,march,0,0,0,0,1,1,https://www.facebook.com/events/1850125631867041/?active_tab=discussion,https://www.facebook.com/events/163633880792985/,http://orlando-politics.com/2017/04/16/donald-trump-blasts-tax-return-protests-he-says-were-paid-for/,,
Palm Beach,"Trump Plaza to Bingham Island, near Mar-A-Lago",FL ,US ,2017-04-15,hundreds,200,200,200,220,180,general protestors,demand Trump tax returns,1,march,0,0,0,0,1,1,https://www.nytimes.com/2017/04/15/us/politics/tax-day-protests-trump-returns.html?_r=0,http://cbs12.com/news/local/local-residents-contribute-to-nationwide-protest-demanding-trumps-tax-returns,,,
Palm Harbor,,FL ,US ,2017-04-15,over 700,700,700,700,770,630,general protestors,demand Trump tax returns,1,protest,,,,,1,1,https://twitter.com/i/moments/853405220415705090,https://twitter.com/alexisagirl/status/853929889401122816,,,
Palm Springs ,,CA ,US ,2017-04-15,,,,,,,general protestors,demand Trump tax returns,1,protest,,,,,1,1,http://www.kesq.com/news/palm-springs-one-of-many-sites-for-nationwide-trump-tax-return-protest-saturday/451581471,,,,
Palmer,,AK,US ,2017-04-15,nearly a hundred,85,92,100,94,90,Veterans,oppose Funding cuts to Pioneer Homes,0,rally,0,0,0,0,1,1,http://www.youralaskalink.com/news/dozens-rally-in-palmer-to-show-support-for-pioneer-homes/article_28ec1904-22f4-11e7-ad92-1f8134cb8546.html,,,,
Palo Alto,,CA ,US ,2017-04-15,,,,,,,general protestors,demand Trump tax returns,1,protest; march,,,,,1,1,http://www.mercurynews.com/2017/04/15/san-jose-protesters-join-national-push-for-trump-tax-returns/,,,,
Pentwater,,MI,US ,2017-04-15,,,,,,,general protestors,demand Trump tax returns,1,protest,,,,,1,1,http://www.detroitnews.com/story/news/local/detroit-city/2017/04/15/tax-day-protest-demand-trump-release-returns/100503060/,,,,
Peterborough,,NH,US ,2017-04-15,,,,,,,general protestors,demand Trump tax returns,1,protest,,,,,1,1,https://www.facebook.com/events/1850125631867041/?active_tab=discussion,,,,
Philadelphia,City Hall to an area in front of historic Independence Hall,PA,US ,2017-04-15,,2000,2000,2000,2200,1800,general protestors; Philadelphia Jobs with Justice,demand Trump tax returns,1,protest; march,0,0,0,0,1,1,http://www.philly.com/philly/blogs/real-time/Philly-protesters-to-call-for-Trump-to-release-tax-returns.html,,,,
Phoenix,capitol,AZ,US ,2017-04-15,about 400,400,400,400,440,360,general protestors,demand Trump tax returns,1,protest,0,0,0,0,1,1,http://www.azcentral.com/story/news/local/phoenix/2017/04/15/phoenix-400-converge-arizona-capitol-demand-trump-tax-returns/100504270/,,,,
Pittsburgh,start at City-County Building on Grant Street to Market Square,PA,US ,2017-04-15,,,,,,,general protestors,demand Trump tax returns,1,protest; march,0,0,0,0,1,1,http://pittsburgh.cbslocal.com/2017/04/15/protesters-nationwide-call-on-trump-to-release-tax-returns/,,,,
Pittsfield,,MA,US ,2017-04-15,,,,,,,general protestors,demand Trump tax returns,1,protest,,,,,1,1,https://twitter.com/i/moments/853405220415705090,,,,
Port Orford,,OR,US ,2017-04-15,,,,,,,general protestors,demand Trump tax returns,1,protest,,,,,1,1,https://twitter.com/i/moments/853405220415705092,,,,
Portland,,ME,US ,2017-04-15,,,,,,,general protestors,demand Trump tax returns,1,protest,,,,,1,1,https://twitter.com/nontoxicme/status/853385705082560512,,,,
Portland,Terry Schrunk Plaza i,OR,US ,2017-04-15,hundreds,200,200,200,220,180,general protestors,demand Trump tax returns,1,protest,0,0,0,0,1,1,http://www.oregonlive.com/portland/index.ssf/2017/04/brace_for_delays_in_downtown_p.html,,,,
Prineville,,OR,US ,2017-04-15,,13,13,13,14,12,general protestors,demand Trump tax returns,1,protest,0,0,0,0,1,1,https://twitter.com/i/moments/853405220415705090,twitter pic count,,,
Pueblo,Steelworkers Union Hall,CO,US ,2017-04-15,,,0,,,,general protestors,demand Trump tax returns,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/1850125631867041/?active_tab=discussion,https://youtu.be/4aGMl_nauCo,,,
Raleigh,a downtown Raleigh plaza between the state history and natural sciences museums,NC,US ,2017-04-15,about 200,200,200,200,220,180,general protestors,demand Trump tax returns,1,protest,0,0,0,0,1,1,http://registerguard.com/rg/news/local/35488117-75/eugene-tax-day-rally-part-of-national-protest-that-brought-out-thousands-in-dozens-of-cities.html.csp,http://www.citizen-times.com/story/news/local/2017/04/15/protesters-say-trump-keeping-tax-returns-secret-worrying/100504246/,,,
Reno,Wingfield Park,NV,US ,2017-04-15,at least 400,400,445,500,440,450,general protestors; Get Involved Nevada,demand Trump tax returns,1,protest,0,0,0,0,1,1,http://thisisreno.com/2017/04/photos-tax-day-rally-held-downtown-reno/,,,,
Rochester,,MN,US ,2017-04-15,hundreds,200,200,200,220,180,general protestors,demand Trump tax returns,1,protest,0,0,0,0,1,1,http://www.wxow.com/story/35160824/2017/04/16/hundreds-march-through-downtown-rochester-for-trumps-taxes,,,,
Sacramento,"marching from South Side Park, up to Capitol Mall and then Capitol",CA ,US ,2017-04-15,around 500; around 2000,500,1175,2000,550,1800,general protestors,demand Trump tax returns,1,protest; march,0,0,0,0,1,1,http://fox40.com/2017/04/15/sacramento-protesters-call-for-president-trump-to-release-tax-returns/,,,,
Salt Lake City,Salt Lake City and County Building step,UT,US ,2017-04-15,hundreds,200,200,200,220,180,general protestors,demand Trump tax returns,1,protest,0,0,0,0,1,1,http://www.sltrib.com/home/5181030-155/with-trump-chicken-as-their-mascot-hundreds,http://www.deseretnews.com/article/865677919/Utahns-join-thousands-across-US-in-call-for-Trump-to-release-tax-returns.html,,,
San Diego,"started on Harbor Drive, wound down Broadway and ended at City Hall",CA ,US ,2017-04-15,"thousands; as many as 3,000 marchers; 2000 to 3000 ",2000,2450,3000,2200,2700,Organize San Diego; San Diego Protests,demand Trump tax returns,1,protest; march,0,0,0,0,1,1,http://www.sandiegouniontribune.com/news/politics/sd-me-tax-protest-20170414-story.html,,,,
San Francisco,"Civic Center Plaza, City Hall; march down Market Street to the Embarcadero",CA ,US ,2017-04-15,thousands,2000,2000,2000,2200,1800,general protestors,demand Trump tax returns,1,protest; march,0,0,0,0,1,1,http://www.sfgate.com/bayarea/article/Protesters-take-to-the-streets-in-SF-for-11075725.php,,,,
San Jose,from City Hall  through the downtown to a rally at Plaza de Cesar Chavez,CA ,US ,2017-04-15,hundreds; na,200,358,550,220,495,general protestors,demand Trump tax returns,1,protest; march,0,0,0,0,1,1,http://www.mercurynews.com/2017/04/15/san-jose-protesters-join-national-push-for-trump-tax-returns/,eyewitness count,,,
San Luis Obispo,Laguna Lake Park,CA ,US ,2017-04-15,,,,,,,general protestors,demand Trump tax returns,1,group photo,,,,,1,1,http://www.sanluisobispo.com/news/local/article144733469.html,https://womensmarchslo.com/event/tax-march-morro-bay-flashmob-photo-op/,,,
Santa Barbara,gathered at the US Bankruptcy Court on State Street and marched to De La Guerra Plaza,CA ,US ,2017-04-15,,,,,,,general protestors,demand Trump tax returns,1,protest; march,0,0,0,0,1,1,http://www.keyt.com/news/santa-barbara-s-county/santa-barbara-protesters-demand-trump-release-tax-returns/452000287,,,,
Santa Cruz,,CA ,US ,2017-04-15,,,,,,,general protestors,demand Trump tax returns,1,protest; march,,,,,1,1,http://www.mercurynews.com/2017/04/15/san-jose-protesters-join-national-push-for-trump-tax-returns/,,,,
Santa Fe,,NM,US ,2017-04-15,300+,300,300,300,330,270,general protestors,demand Trump tax returns,1,protest,,,,,1,1,https://twitter.com/melissavecina/status/853417162085683200,,,,
Santa Maria,intersection of Miller Street and Betteravia Road in front of the Santa Barbara County Government Center,CA ,US ,2017-04-15,large crowd,,,,,,Citizens for Transparency; North County Coalition; House of Pride and Equality; the Central Coast Alliance United for a Sustainable Economy,demand Trump tax returns,1,rally,0,0,0,0,1,1,http://santamariatimes.com/news/local/features/show-your-taxes-protesters-urge-trump/article_264f4229-320f-5941-a1c5-f7e3ced2731a.html,,,,
Sarasota,Bayfront Park,FL ,US ,2017-04-15,nearly 2000,2000,2000,2000,2200,1800,general protestors,demand Trump tax returns,1,protest,0,0,0,0,1,1,http://wfla.com/2017/04/15/thousands-rally-in-sarasota-as-protests-across-country-call-for-trump-to-release-tax-returns/,,,,
Seattle,(2 pm start),WA,US ,2017-04-15,,4000,4000,4000,4400,3600,Black Lives Matter,demand Trump tax returns,1,protest; march,0,0,0,0,1,1,https://patch.com/washington/seattle/photos-thousands-march-tax-day-protests-seattle,,,,
Seattle,at 10 a.m. in front of the Internal Revenue Service offices along 2nd Avenue; 2nd and Marion Street to the Seattle Center,WA,US ,2017-04-15,thousands; about 2000,2000,2000,2000,2200,1800,general protestors,demand Trump tax returns; decry Washington state's regressive tax system,1,protest; march,0,0,0,0,1,1,https://patch.com/washington/seattle/photos-thousands-march-tax-day-protests-seattle,,,,
Springfield,corners of Battlefield and Glenstone,MO,US ,2017-04-15,at least 50,50,55,60,55,54,general protestors,demand Trump tax returns,1,protest,0,0,0,0,1,1,http://www.ozarksfirst.com/news/springfield-residents-march-for-trumps-tax-returns/692753341,,,,
St. Paul,outside capitol,MN,US ,2017-04-15,several hundred; more than 500,200,335,500,220,450,general protestors,demand Trump tax returns,1,protest,0,0,0,0,1,1,http://www.startribune.com/show-us-the-money-rally-draws-about-200-to-minnesota-state-capitol/419535923/,,,,
Staunton,march from the Augusta County Courthouse to Rep. Bob Goodlatte's downtown office,VA,US ,2017-04-15,na,22,22,22,24,20,Staunton Indivisible,demand Trump tax returns,1,march; protest,0,0,0,0,1,1,http://www.whsv.com/content/news/Valley-group-joins-nationwide-Tax-Day-protest-419541733.html,pic at link,,,
Syracuse,Outside the James M. Hanley Federal Building in downtown,NY,US ,2017-04-15,several hundred,300,300,300,330,270,New Feminists for Justice with help from the CNY Solidarity Coalition and other groups,demand Trump tax returns,1,protest; march,0,0,0,0,1,1,http://www.syracuse.com/politics/index.ssf/2017/04/tax_day_demonstrators_in_syracuse_demand_that_trump_release_tax_returns.html,,,,
Tampa,Ohio,FL ,US ,2017-04-15,dozens,24,24,24,26,22,general protestors,demand Trump tax returns,1,protest,0,0,0,0,1,1,http://www.wtsp.com/news/local/the-tax-march-locals-protest-for-the-president-to-release-tax-returns/431626221,,,,
Thomaston,Main St,ME,US ,2017-04-15,large number,,,,,,Midcoast Maine Indivisible,demand Trump tax returns,1,protest; march,0,0,0,0,1,1,http://knox.villagesoup.com/p/midcoast-lens-tax-march-thomaston/1643572,,,,
Tucson,,AZ,US ,2017-04-15,over 700,700,700,700,770,630,general protestors,demand Trump tax returns,1,,,,,,1,1,https://twitter.com/robertagale/status/853351292130873344,,,,
Ventura,,CA ,US ,2017-04-15,,,,,,,general protestors,demand Trump tax returns,1,,,,,,1,1,https://twitter.com/i/moments/853405220415705093,,,,
Vineyard Haven,5 Corners,MA,US ,2017-04-15,na,7,7,7,8,6,general protestors,demand Trump tax returns,1,protest,0,0,0,0,1,1,Facebook,counted from FB pic,,,
Virginia Beach,Town Center,VA,US ,2017-04-15,,,,,,,general protestors,demand Trump tax returns,1,protest,0,0,0,0,1,1,http://wavy.com/2017/04/15/protesters-march-in-virginia-beach-to-demand-trump-release-tax-returns/,,,,
Walnut Creek,march and rally starting at Mt. Diablo Boulevard and Main Street,CA ,US ,2017-04-15,,,,,,,general protestors,demand Trump tax returns,1,march; rally,,,,,1,1,http://www.mercurynews.com/2017/04/15/san-jose-protesters-join-national-push-for-trump-tax-returns/,https://patch.com/california/walnutcreek/trump-tax-release-protests-set-saturday-walnut-creek-bay-area,,,
Washington,outside Capitol to National Mall,DC,US ,2017-04-15,more than 1500; several thousand,1500,2175,3000,1650,2700,general protestors,demand Trump tax returns,1,protest; march,0,0,0,0,1,1,https://www.nytimes.com/2017/04/15/us/politics/tax-day-protests-trump-returns.html?_r=0,http://www.reuters.com/article/us-usa-trump-taxes-idUSKBN17H0FW,,,
Wilkes-Barre,marched from Public Square to the Luzerne County Courthouse,PA,US ,2017-04-15,about 60,60,60,60,66,54,Action Together of Northeastern Pennsylvania,demand Trump tax returns,1,march; rally,0,0,0,0,1,1,http://citizensvoice.com/news/w-b-protest-joins-call-for-release-of-trump-s-taxes-1.2181177,,,,
Youngstown,,OH,US ,2017-04-15,around 120,120,120,120,132,108,general protestors,demand Trump tax returns,1,protest,0,0,0,0,1,1,http://www.wfmj.com/story/35160585/valley-residents-protest-against-president-trumps-taxes,,,,
Yuma,,AZ,US ,2017-04-15,,,,,,,general protestors,demand Trump tax returns,1,protest,,,,,1,1,https://twitter.com/DoctorRhetorica/status/853640103188545536,,,,
New York City,Castle Clinton Monument in Battery Park,NY,US ,2017-04-16,na,11,11,11,12,10,Open Hillel,"support B'nai Keshet, the queer Jewish group that was expelled from Hillel",0,protest,0,0,0,0,1,1,https://www.facebook.com/openhillel/,counted from FB pic,,,
Seattle,Federal Courthosue,WA,US ,2017-04-16,thousands,2000,2000,2000,2200,1800,Black Lives Matter,against police violence; Black Lives Matter,0,march; rally,0,0,0,0,1,1,http://www.kiro7.com/news/local/thousands-march-and-rally-in-black-lives-matter-protest/513078349,,,,
Albuquerque,University of NM ,NM,US ,2017-04-17,about 150,150,150,150,165,135,general protesters,anti-abortion; oppose alleged relationship between UNM and Southern Women's Options Clinic,0,protest; rally,0,0,0,0,1,1,https://www.abqjournal.com/990511/antiabortion-rally-targets-unm.html,,,,
Detroit,outside of the U.S. federal courthouse,MI,US ,2017-04-17,,,,,,,general protesters,outlaw of male circumcision,0,protest,0,0,0,0,1,1,http://www.freep.com/story/news/local/michigan/detroit/2017/04/17/genital-mutilation-circumcision-protest/100562504/,,,,
Horace,across Cass County Road 17,ND,US ,2017-04-17,about a dozen,12,12,12,13,11,general protesters,anti- Fargo-Moorhead water diversion project,0,protest,0,0,0,0,1,1,http://bismarcktribune.com/news/state-and-regional/f-m-diversion-breaks-ground-amid-protest/article_cceb2e81-94a7-5592-a827-999be60d6c18.html,,,,
La Crosse,University of Wisconsin-La Crosse,WI,US ,2017-04-17,more than 50,50,50,50,55,45,UW-L Hmong Organization Promoting Education and their allies,protest language program,0,march,0,0,0,0,1,1,http://lacrossetribune.com/news/local/hmong-students-protest-university-s-handling-of-heritage-language-course/article_3cfb6e41-950a-59b9-a137-5ed5d260f147.html,,,,
Los Angeles,outside LA County Sheriff's Department HQ,CA,US ,2017-04-17,,,,,,,Caravan Against Fear,against sheriff's pro-Trump stance; anti-Trump; anti-deportation ,1,protest,8,0,0,0,1,1,http://abc7.com/news/demonstrators-protest-la-sheriffs-stance-on-sanctuary-state-bill/1884841/,,,,
Northampton,Bridge Street School to First Churches of Northampton,MA,US ,2017-04-17,more than 100,100,100,100,110,90,general protesters,anti-war; anti-military spending,1,march,0,0,0,0,1,1,http://www.gazettenet.com/At-anti-war-protest-local-activist-continues-her-work-9331884.aspx,,,,
San Francisco,Town Hall,CA,US ,2017-04-17,,,,,,,general protesters,against Senator Feinstein's support of Trump policy; anti-Trump; ,1,protest,0,0,0,0,1,1,http://www.fresnobee.com/news/politics-government/politics-columns-blogs/political-notebook/article145047594.html,,,,
Santa Barbara,Reagan Ranch Center,CA,US ,2017-04-17,Over 100,100,100,100,110,90,Santa Barbara Sierra Club,Protesting Zinke,1,protest,0,0,0,0,1,1,http://dailynexus.com/2017-04-18/environmentalists-protest-arctic-oil-drilling-naysayers-wine-about-it/,,,,
several,statewide,DE,US ,2017-04-17,roughly 200,200,200,200,220,180,prison officers,pressure for more pay; support labor rights,0,sick out; strike,0,0,0,0,1,1,http://www.delawareonline.com/story/news/2017/04/17/prison-officers-stage-sick-out-statewide/100575650/,,,,
Topeka,outside St. Francis Health ,KS,US ,2017-04-17,several hundred,300,300,300,330,270,general protestors,against possible closure of St. Francis Health in Topeka; medical,0,protest,0,0,0,0,1,1,http://kmuw.org/post/hundreds-rally-against-closure-topeka-hospital-center-medicaid-expansion-debate,,,,
Winston-Salem,City Hall,NC,US ,2017-04-17,about 100,100,100,100,110,90,general protesters,pro-immigrant; pro-sanctuary,1,demonstration; rally; protest,0,0,0,0,1,1,http://www.journalnow.com/news/local/about-demonstrators-urge-winston-salem-city-council-to-pass-the/article_55837236-be35-574e-bbde-d7f06d1176bc.html,,,,
Auburn,Auburn University,AL,US ,2017-04-18,,,,,,,general protesters ,protest response to Richard Spencer speech,1,protest,3,0,0,0,1,1,http://www.myajc.com/news/state--regional/white-nationalist-richard-spencer-riles-auburn-campus-three-arrested/5HeaD0TCfvfNI7DuXDUciJ/,https://www.nytimes.com/2017/04/18/us/judge-rules-auburn-must-allow-richard-spencer-to-speak.html?_r=0,,,
Birmingham,post office; 1221 Bowers Street,MI,US ,2017-04-18,,,,,,,Michigan Conservative Coalition,support lower State income tax,0,rallies,,,,,1,1,http://detroit.cbslocal.com/2017/04/18/conservatives-protest-against-republicans-who-opposed-michigan-income-tax-cut/,,,,
Cleveland,Outside Kelvin Smith Library,OH,US ,2017-04-18,about 15,15,15,15,17,14,Students,Administrative failure to properly warn students of harm; education,1,protest,0,0,0,0,1,1,http://www.cleveland.com/metro/index.ssf/2017/04/case_western_reserve_universit_80.html,,,,
Deming,corner of Spruce and Copper St.,FL,US ,2017-04-18,na,5,5,5,6,5,advocates of Granmothers for Peace,support release of Trump tax returns,1,demonstration,0,0,0,0,1,1,http://www.demingheadlight.com/story/news/2017/04/19/grandmothers-peace-catch-heat-tax-day/100667066/,,,,
Edwardsville,Southern Illinois University Edwardsville,IL,US ,2017-04-18,,,,,,,School counseling services,support survivors and end sexual assault,0,rally,0,0,0,0,1,1,https://www.riverbender.com/articles/details/silent-protest-raises-sexual-assault-awareness-20125.cfm,,,,
Fort Collins,outside city hall,CO,US ,2017-04-18,about 20 ,20,20,20,22,18,general protestors,support police accountability following violent arrest,0,protest; rally,0,0,0,0,1,1,http://www.coloradoan.com/story/news/2017/04/18/protesters-demand-details-old-town-arrest/100604400/,,,,
Hartford,US District Court to Capitol Building,CT,US ,2017-04-18,at least 150,150,150,150,165,135,Connecticut Citizens Action Group; general protesters,anti-Trump; release of Trump tax returns,1,march; protest,0,0,0,0,1,1,http://www.courant.com/community/hartford/hc-tax-day-protest-0419-20170418-story.html,,,,
Holland,post office; 190 E 8th Street,MI,US ,2017-04-18,,,,,,,Michigan Conservative Coalition,support lower State income tax,0,rallies,,,,,1,1,http://detroit.cbslocal.com/2017/04/18/conservatives-protest-against-republicans-who-opposed-michigan-income-tax-cut/,,,,
Houston,Across Hilton America Hotel,TX,US ,2017-04-18,,,,,,,American Patriot Vanguard,pro-Trump,2,rally,0,0,0,0,1,1,http://www.houstonpress.com/news/gov-abbott-target-of-houston-protest-9369374,,,,
Houston,Hilton America - Houston Hotel,TX,US ,2017-04-18,,,,,,,Houston Socialist Movement,Anti-Governon Abbott,1,protest,0,0,0,0,1,1,http://www.houstonpress.com/news/gov-abbott-target-of-houston-protest-9369374,,,,
Hudsonville,post office; 3333 Central Blvd,MI,US ,2017-04-18,,,,,,,Michigan Conservative Coalition,support lower State income tax,0,rallies,,,,,1,1,http://detroit.cbslocal.com/2017/04/18/conservatives-protest-against-republicans-who-opposed-michigan-income-tax-cut/,,,,
Jacksonville,outside Sen. Marco Rubio's (R) offices,FL,US ,2017-04-18,dozens,24,24,24,26,22,general protesters,support release of Trump tax returns,1,protest,0,0,0,0,1,1,http://www.news4jax.com/news/politics/protesters-want-rubio-to-demand-trumps-tax-returns,,,,
Kenosha,outside Snap-On Tools,WI,US ,2017-04-18,hundreds,200,200,200,220,180,general protesters,pro-immigrants; against Trump visit,1,march; demonstration,,,,,1,1,http://www.wisn.com/article/protesters-greet-trump-in-kenosha/9524567,http://wisconsingazette.com/2017/04/17/immigrant-rights-advocates-to-protest-at-trump-walker-visit-in-kenosha/,http://fox6now.com/2017/04/18/what-are-you-afraid-of-protesters-in-kenosha-urge-president-trump-to-release-tax-returns/,,
Kenosha,outside Snap-On Tools,WI,US ,2017-04-18,hundreds,200,200,200,220,180,general protesters,pro-Trump,2,rally,,,,,0,1,http://www.wisn.com/article/protesters-greet-trump-in-kenosha/9524567,http://fox6now.com/2017/04/18/what-are-you-afraid-of-protesters-in-kenosha-urge-president-trump-to-release-tax-returns/,,,
Minneapolis,John B. Davis Education and Service Center,MN,US ,2017-04-18,about 100,100,100,100,110,90,Social Justice Education Movement,racial inequality; rehire of minority educators fired during budget cuts,0,protest,0,0,0,0,1,1,http://www.startribune.com/anger-over-layoffs-of-educators-of-color-erupts-at-minneapolis-school-board-meeting/419786143/,,,,
Mount Clemens,post office; 155 South Main Street ,MI,US ,2017-04-18,,,,,,,Michigan Conservative Coalition,support lower State income tax,0,rallies,,,,,1,1,http://detroit.cbslocal.com/2017/04/18/conservatives-protest-against-republicans-who-opposed-michigan-income-tax-cut/,https://www.facebook.com/events/1769235526725277/?hc_location=ufi,,,
Nashville,Vanderbilt,TN,US ,2017-04-18,totaling 12,12,12,12,13,11,students,Against Wendy's worker's rights violations; support labor rights,0,hunger strike,0,0,0,0,1,1,http://www.vanderbiltpoliticalreview.com/vanderbilt-students-launch-week-long-fast-in-protest-of-wendys/,,,,
New York,NYC streets,NY,US ,2017-04-18,More than 200,200,200,200,220,180,Bloomingdale union workers,Protesting low pay and poor working conditions; support labor rights,0,protest,0,0,0,0,1,1,http://www.amny.com/news/bloomingdale-s-union-workers-rally-in-manhattan-for-better-pay-benefits-1.13488124,,,,
New York,outside Fox News Headquarters,NY,US ,2017-04-18,,,,,,,UltraViolet,support firing Bill O'Reilly,0,rally; demonstration,0,0,0,0,1,1,http://fortune.com/2017/04/18/bill-oreilly-protest/,http://variety.com/2017/tv/news/bill-oreilly-fox-news-protest-ultraviolet-1202033455/,,,
Novi,post office; 24875 Novi Road between 10 Mile and Grand River,MI,US ,2017-04-18,,,,,,,Michigan Conservative Coalition,support lower State income tax,0,rallies,,,,,1,1,http://detroit.cbslocal.com/2017/04/18/conservatives-protest-against-republicans-who-opposed-michigan-income-tax-cut/,,,,
Palm Beach Gardens,,FL,US ,2017-04-18,2 dozen,24,24,24,26,22,Palm Beach County Tea Party,pro-Trump,2,rally,0,0,0,0,1,1,http://www.palmbeachpost.com/news/local-govt--politics/local-pro-trump-rally-put-spotlight-tax-reform-trump-returns/nfqLFV9WVCn56KTW5Qn71N/,,,,
Portland,Hannaford Hall; University of Southern ME,ME,US ,2017-04-18,about 25,25,25,25,28,23,general protesters,against racial inequality,0,protest; demonstration,0,0,0,0,1,1,http://www.pressherald.com/2017/04/18/about-25-protesters-disrupt-lepages-town-hall-at-usm/,,,,
Portland,Monument Square,ME,US ,2017-04-18,,,,,,,Peace Action Main,protest excessive Pentagon spending,1,protest,0,0,0,0,1,1,http://wgme.com/news/local/marchers-protest-excessive-spending-at-the-pentagon,,,,
San Diego,Ellen Browning Scripps Elementary School,CA,US ,2017-04-18,,,,,,,"Parents, staff and students",protest budget cuts,0,protest,0,0,0,0,1,1,http://fox5sandiego.com/2017/04/18/parents-students-protest-sdusd-budget-cuts/,,,,
St. Paul,Capitol rotunda,MN,US,2017-04-18,nearly 100,100,100,100,110,90,ERAMN; general protestors,support of Minority Leader Melissa Hortman; against racism,0,rally,0,0,0,0,1,1,http://www.eramn.org/home/rally-to-support-rep-melissa-hortman,,,,
Stuart,Memorial Park,FL,US ,2017-04-18,dozens,24,24,24,26,22,Food and Water,anti-fracking,1,protest,0,0,0,0,1,1,http://www.wptv.com/news/region-martin-county/stuart/dozens-come-out-to-protest-frakcing-in-stuart,http://www.wpbf.com/article/anti-fracking-protest-held-in-stuart/9525897,,,
