City/Town,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,
Philadelphia,Paine Plaza,PA,US,2018-04-08,FB: 225,225,,225,,,general protestors,Protesting police shooting of Stephon Clark,0,protest,0,0,0,0,1,1,https://www.facebook.com/events/627372347606380/,,,,,
Philadelphia,Pete's Poultry,PA,US,2018-04-08,FB: 15,15,,15,,,Philly Animal Save,Protesting the slaughtering of animals,0,protest,0,0,0,0,0,1,https://www.facebook.com/events/149591382403674/,,,,,
Phoenix,,AZ,US,2018-04-08,Estimated 13000,13000,,13000,,,general protestors,Pride parade,1,rally,0,0,0,0,1,1,https://www.azcentral.com/story/news/local/phoenix/2018/04/08/phoenix-pride-parade-draws-13-000-supporters-trans-queer-pueblo-protest/497568002/,,,,,
Phoenix,,AZ,US,2018-04-08,,,,,,,Trans Queer Pueblo,protesting Pride parade; protesting exclusion of undocumented LGBTQ ,0,protest,0,0,0,0,0,1,https://www.azcentral.com/story/news/local/phoenix/2018/04/08/phoenix-pride-parade-draws-13-000-supporters-trans-queer-pueblo-protest/497568002/,,,,,
Portland,Southeast homeless shelter,OR,US,2018-04-08,about two dozen,24,,24,,,general protestors,Protesting police shooting of local man,0,protest,0,0,0,0,1,1,http://katu.com/news/local/vigil-attendees-upset-over-police-shooting-that-left-man-dead-at-shelter,,,,,
Salinas,Cesar Chavez Plaza,CA,US,2018-04-08,more than 1000,1000,,1000,,,United Farm Workers Union,Labor protest,0,protest,0,0,0,0,1,1,http://www.santacruzsentinel.com/article/NE/20180408/NEWS/180409711,,,,,
Stillwater,Hall of Fame Ave.,OK,US,2018-04-08,around 200,200,,200,,,general protestors,Rallying for teachers,0,rally,0,0,0,0,1,1,http://www.chickashanews.com/oklahoma/news/education-supporters-line-streets-of-stillwater-for-candlelight-vigil/article_347ee97d-c020-5ab0-b430-b2ab5b8ce459.html,,,,,
Carlisle,Old Cumberland County Courthouse,PA,US,2018-04-09,more than 100,100,,100,,,general protestors,Rallying for crime victim's rights,0,rally,0,0,0,0,1,1,http://www.pennlive.com/news/2018/04/more_than_100_marchers_turn_ou.html,,,,,
Cedar Rapids,Bever Building,IA,US,2018-04-09,,,,,,,general protestors,Protesting demolition of historic building,0,protest,0,0,0,0,1,1,http://www.kcrg.com/content/news/Demonstration-held-to-preserve-historic-Cedar-Rapids-building-479208553.html,,,,,
Champaign,University of Illinois,IL,US,2018-04-09,,,,,,,Students for Justice in Palestine,Rallying for Palestinians ,0,rally,0,0,0,0,1,1,https://dailyillini.com/news/2018/04/09/students-hold-demonstration-for-israel-apartheid-week/,,,,,
Cleveland,Euclid Ave.,OH,US,2018-04-09,,,,,,,general protestors,Protesting child abuse,0,protest,0,0,0,0,1,1,http://www.wkyc.com/article/news/local/cuyahoga-county/demonstrators-hold-overnight-protest-for-aniya-day-garrett-video/95-536502556,,,,,
Danville,Danville Municipal Building,VA,US,2018-04-09,more than 100,100,,100,,,general protestors,Protesting police shooting of local man,0,protest,0,0,0,0,1,1,http://www.godanriver.com/news/danville/crowd-storms-municipal-building-to-protest-police-involved-shooting-in/article_1bf36060-3c46-11e8-8215-8b5e66e6adb2.html,http://www.godanriver.com/news/danville/protesting-police-involved-fatal-shooting-more-than-march-to-city/article_1bf36060-3c46-11e8-8215-8b5e66e6adb2.html,,,,
DeKalb,Northern Illinois University,IL,US,2018-04-09,more than 200,200,,200,,,general protestors,Rallying for DREAM Act,1,rally,0,0,0,0,1,1,http://northernpublicradio.org/post/student-groups-rally-end-legality-debate,,,,,
Des Moines,State Capitol,IA,US,2018-04-09,about 75,75,,75,,,general protestors,Rallying for a state constitutional convention,0,rally,0,0,0,0,1,1,http://qctimes.com/news/local/government-and-politics/capitol-digest-rally-for-constitutional-convention-draws/article_9682ba85-e3f4-58fa-a498-f15b14037e5b.html,,,,,
Duluth,Pipeline construction site,MN,US,2018-04-09,about 60,60,,60,,,general protestors,Protesting pipeline,1,protest,0,0,0,0,1,1,https://www.ncronline.org/news/environment/midwest-catholic-workers-hold-retreat-and-pipline-protest,,,,,
Fairbanks,Barnette St. Bridge,AK,US,2018-04-09,about 20,20,,20,,,general protestors,Protesting proposed demolition of local pool,0,protest,0,0,0,0,1,1,http://www.newsminer.com/news/alaska_news/seniors-hold-save-our-pool-protest-as-assembly-mulls-mary/article_4cc1f312-3c57-11e8-8136-1f5a52126add.html,,,,,
Holden,Wachusett Regional School Committee meeting,MA,US,2018-04-09,more than 100,100,,100,,,Teachers,Protesting for teachers,0,protest,0,0,0,0,1,1,http://www.telegram.com/news/20180410/wachusett-teachers-protest-contract-rejection,,,,,
Honolulu,State Capitol,HI,US,2018-04-09,around 80,80,,80,,,general protestors,Rallying for anti-pesticide bill,0,rally,0,0,0,0,1,1,http://www.khon2.com/news/local-news/rally-held-to-protect-students-from-pesticides/1110756790,http://www.thegardenisland.com/2018/04/10/hawaii-news/honolulu-rally-supports-pesticide-bill/,,,,
Indianapolis,Friendship Church,IN,US,2018-04-09,,,,,,,general protestors,Rallying for crime victim's rights,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/182265672424188/,,,,,
Lansing,City Council,MI,US,2018-04-09,,,,,,,Let Lansing Vote,Pro-cannabis protest,1,protest,0,0,0,0,1,1,https://www.lansingstatejournal.com/story/news/2018/04/09/police-remove-several-let-lansing-vote-members-council-meeting-disruption/501388002/,,,,,
Los Alamitos,City Hall,CA,US,2018-04-09,more than 50,50,,50,,,general protestors,Rallying for immigrant rights,1,rally,0,0,0,0,1,1,https://www.ocregister.com/2018/04/09/some-in-los-alamitos-rally-for-immigrants-while-orange-newport-beach-and-westminster-consider-anti-sanctuary-stance/,,,,,
Marysville,Yuba County Courthouse,CA,US,2018-04-09,more than 50,50,,50,,,general protestors,Protesting deportation of local man,1,protest,0,0,0,0,1,1,http://www.abc10.com/article/news/local/were-here-for-the-family-dozens-rally-for-auburn-father-of-three-detained-by-ice/103-536511827,,,,,
Memphis,City Hall,TN,US,2018-04-09,about 20,20,,20,,,general protestors,Protesting eviction of local couple,0,protest,0,0,0,0,1,1,http://wreg.com/2018/04/09/supporters-rally-to-prevent-artists-eviction-by-madison-hotel/,,,,,
Morristwon,Hillcrest Elementary School,TN,US,2018-04-09,about 50,50,,50,,,TN Immigrant and Refugee Rights Coalition,Rallying for immigrant rights,1,rally,0,0,0,0,1,1,https://www.knoxnews.com/story/news/2018/04/09/protests-vigils-decry-immigration-raid-arrests-grainger-slaughterhouse/498527002/,,,,,
New York,Bronx Criminal Court,NY,US,2018-04-09,,,,,,,general protestors,Protesting ICE detention of local man,1,protest,0,0,0,0,1,1,http://www.nydailynews.com/new-york/bronx/lawyers-protest-bronx-court-ice-arrests-immigrant-article-1.3924058,,,,,
New York,Sen. Schumer's office,NY,US,2018-04-09,NA,40,,40,,,IfNotNow,Protesting Israel's use of force against Palestinians,0,protest,8,0,0,0,0,1,https://www.rt.com/usa/423636-protesters-arrested-schumer-gaza/,,,,,
New York,,NY,US,2018-04-09,dozens,24,,24,,,general protestors,Protesting MTA line closure,0,protest,0,0,0,0,0,1,http://abc7ny.com/politics/harlem-uws-residents-protest-mtas-station-enhancement-plan/3320051/,,,,,
Norristown,Montgomery County Court,PA,US,2018-04-09,Ms. Rochelle and about a dozen others,13,,13,,,general protestors,Protesting Bill Cosby; protesting sexual assault,0,protest,1,0,0,0,1,1,https://www.nytimes.com/2018/04/09/arts/cosby-trial-juror-protest.html,,,,,
Oklahoma City,State Capitol,OK,US,2018-04-09,as many as 40000,40000,,40000,,,general protestors,Rallying for teachers,0,rally,0,0,0,0,1,1,https://www.usatoday.com/story/news/2018/04/09/oklahoma-teacher-strike-massive-protests-enter-second-week/498259002/,https://www.reuters.com/article/us-oklahoma-education/oklahoma-teachers-press-lawmakers-for-tax-plan-to-end-strike-idUSKBN1HG240,,,,
Omaha,University of Nebraska - Omaha,NE,US,2018-04-09,NA,1,,1,,,general protestors,Protesting new university speech policy,0,protest,0,0,0,0,1,1,http://www.omaha.com/news/education/retired-uno-professor-stages-protest-against-regents-new-freedom-of/article_741a5b55-ff47-521a-b8e1-9c452577b24b.html,,,,,
Pasadena,Chesapeake High School,MD,US,2018-04-09,,,,,,,general protestors,Protesting racism on campus,0,protest,0,0,0,0,1,1,https://www.abc2news.com/news/region/anne-arundel-county/parents-residents-rally-at-chesapeake-high-school,,,,,
Portsmouth,,VA,US,2018-04-09,,,,,,,general protestors,Rallying for crime victim's rights,0,rally,0,0,0,0,1,1,http://www.wavy.com/news/local-news/portsmouth/vigil-held-for-victims-of-violence-in-portsmouth/1110287271,,,,,
Queens,Bronx County Hall of Justice,NY,US,2018-04-09,,,,,,,Legal Aid and Bronx Defenders attorneys,Protesting ICE,1,protest,0,0,0,0,1,1,https://www.amny.com/news/ice-court-arrest-nyc-1.17942936,,,,,
Roanoke,Mountain Valley pipeline construction site,VA,US,2018-04-09,around a dozen,12,,12,,,general protestors,Protesting Mountain Valley Pipeline,1,protest,0,0,0,0,1,1,https://www.wsls.com/news/virginia/roanoke/police-respond-to-pipeline-protesters-as-objections-continue,,,,,
Rochester ,Oakland University,MI,US,2018-04-09,,,,,,,Oakland County Sexual Assault Response Team,Rallying against sexual violence,0,rally,0,0,0,0,1,1,http://www.theoaklandpress.com/general-news/20180410/oakland-county-sexual-assault-response-team-holds-first-rally-at-oakland-university,,,,,
Sacramento,State Capitol,CA,US,2018-04-09,a couple dozen,24,,24,,,general protestors,Protesting police shooting of Stephon Clark,0,protest,0,0,0,0,0,1,http://www.sacbee.com/news/local/article208403994.html,,,,,
Sacramento,State Capitol,CA,US,2018-04-09,dozens,24,,24,,,Moms Demand Action,Rallying for gun control,1,rally,0,0,0,0,0,1,http://fox40.com/2018/04/09/mothers-rally-against-gun-violence-at-state-capitol/,,,,,
Sacramento,State Capitol,CA,US,2018-04-09,about 200,200,,200,,,Crime Victims United of CA,Rallying for victims of violent crimes,0,rally,0,0,0,0,1,1,http://www.sacbee.com/news/local/article208403994.html,,,,,
Seattle,University of Washington,WA,US,2018-04-09,about 20,20,,20,,,Students Against Sweatshops,Protesting the outsourcing of university labor,0,protest,0,0,0,0,1,1,https://www.thestranger.com/slog/2018/04/09/26019424/uw-students-occupy-building-to-protest-closure-of-unionized-laundry,,,,,
Spartanburg,W. O. Ezell Blvd and West Blackstock Road,SC,US,2018-04-09,FB: 11,11,,11,,,Carolina Circumcision Crisis Protest; Bloodstained Men,Protesting child circumcision,0,protest,0,0,0,0,1,1,https://www.facebook.com/events/142725349691373/,http://www.bloodstainedmen.com/upcoming-events,,,,
State College,Penn State University,PA,US,2018-04-09,about a dozen,12,,12,,,general protestors,Protesting cmapus hate groups,1,protest,0,0,0,0,1,1,http://www.centredaily.com/news/local/education/penn-state/article208330049.html,,,,,
Syracuse,Syracuse University,NY,US,2018-04-09,about 50,50,,50,,,Syracuse Graduate Employees United,Rallying for graduate students,0,rally,0,0,0,0,1,1,http://dailyorange.com/2018/04/syracuse-university-graduate-students-protest-insurance-plan-vote/,,,,,
Tampa,Hixon Park,FL,US,2018-04-09,FB: 55,55,,55,,,For Our Future FL,Protesting Gov. Scott,0,protest,0,0,0,0,1,1,https://www.facebook.com/events/641907269473679/,,,,,
Tulsa,37th St.,OK,US,2018-04-09,,,,,,,general protestors,Rallying for teachers,0,rally,0,0,0,0,1,1,https://www.kjrh.com/news/local-news/international-visitors-in-tulsa-attended-an-education-rally-and-weighed-in-on-education-crisis,,,,,
Waukegan,Lake County Courthouse,IL,US,2018-04-09,about 15,15,,15,,,general protestors,Protesting sexual violence,0,protest,0,0,0,0,1,1,http://www.chicagotribune.com/suburbs/lake-county-news-sun/news/ct-lns-sex-assault-protest-st-0410-story.html,,,,,
Wylie,Olde City Park,TX,US,2018-04-09,,,,,,,Wylie PD,Rallying for victims of violent crimes,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/1647294795384903/,,,,,
York,Colonial Courthouse,PA,US,2018-04-09,FB: 30,30,,30,,,general protestors,Rallying for victim's rights,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/217424008814891/,,,,,
Automba,Enbridge Pipeyard,MN,US,2018-04-10,25,25,,,,,general protestors,protesting reconstruction of Enbridge pipeline,1,protest,0,0,0,0,1,1,http://www.grandforksherald.com/business/energy-and-mining/4429572-new-voices-join-enbridge-pipeline-protest-northeastern-minn,,,,,
Barstow,Barstow Police Department,CA,US,2018-04-10,about 80 to 100,80,,100,,,general protestors,Protesting police violence,1,protest,0,0,0,0,1,1,http://www.vvdailypress.com/news/20180410/no-justice-no-peace-barstow-residents-rally-to-honor-slain-man-protest-police-shooting,,,,,
Bloomington,Center for Performing Arts,IN,US,2018-04-10,,,,,,,Students,Rallying for gun control,1,rally,0,0,0,0,0,1,http://www.wjbc.com/2018/04/11/high-school-students-speak-at-gun-violence-vigil-in-bloomington/,,,,,
Bloomington,Holiday Inn,IN,US,2018-04-10,FB: 23,23,,23,,,League of Women Voters,Rallying for equal pay,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/190498364893924/,,,,,
Boston,Statehouse,MA,US,2018-04-10,about 200,200,,200,,,The Every Voice Coalition,Protesting sexual violence,0,protest,0,0,0,0,1,1,https://www.facebook.com/events/810907702427695/,http://triblive.com/local/westmoreland/13520678-74/seton-hill-students-march-in-greensburg-on-equal-pay-day,,,,
Charlotte,Trade Street and Tyron Street,NC,US,2018-04-10,FB: 13,13,,13,,,Carolina Circumcision Crisis Protest; Bloodstained Men,Protesting circumcision,0,protest,0,0,0,0,1,1,https://www.facebook.com/events/917191925126667/,http://www.bloodstainedmen.com/upcoming-events,,,,
Chicago,Daley Plaza,IL,US,2018-04-10,,,,,,,general protestors,Rallying for gender equality,1,rally,0,0,0,0,1,1,http://abc7chicago.com/society/women-rally-in-chicago-on-equal-pay-day-/3325572/,,,,,
Cincinnati,Kroger Headquarters,OH,US,2018-04-10,,,,,,,general protestors,Protesting Kroger business practices,1,protest,0,0,0,0,1,1,https://www.mydaytondailynews.com/business/jesse-jackson-protest-kroger-cincinnati-today/mnNZWvZqYoaX5HeZGUjkXM/,,,,,
Columbus,Ohio State University,OH,US,2018-04-10,,,,,,,OSU Multicultural Center,Protesting sexual violence,0,protest,0,0,0,0,1,1,https://bklyner.com/candlelight-vigil-held-to-save-gowanus-station/,,,,,
East Hampton,East Hampton High School,CT,US,2018-04-10,more than 100 residents,100,,100,,,general protestors,rallying for education funding,0,protest,0,0,0,0,1,1,https://www.middletownpress.com/news/article/Despite-big-protest-East-Hampton-leaders-pass-12826334.php,,,,,
Enid,YWCA,OK,US,2018-04-10,FB: 9,9,,9,,,general protestors,Rallying for victims of violent crimes,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/150130445812298/,,,,,
Fort Wayne,Allen County Courthouse,IN,US,2018-04-10,,,,,,,general protestors,Rallying for crime victim's rights,0,rally,0,0,0,0,1,1,http://www.news-sentinel.com/news/local-news/2018/04/11/crime-victims-remembered-at-vigil-in-allen-county-courthouse/,,,,,
Glendale,E. Broadway,CA,US,2018-04-10,FB: 80,80,,80,,,Glendale Environmental Coalition,Rallying for clean air/water,1,rally,0,0,0,0,1,1,https://m.facebook.com/events/2055654731424858?acontext=%7B%22action_history%22%3A%22[%7B%5C%22surface%5C%22%3A%5C%22page%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22main_list%5C%22%2C%5C%22extra_data%5C%22%3A[]%7D]%22%7D&aref=0&ref=page_internal,,,,,
Greenburg,Courthouse Square,PA,US,2018-04-10,about 40,40,,40,,,Seton Hall Feminist Collective,Rallying for gender equality,1,rally,0,0,0,0,1,1,http://triblive.com/local/westmoreland/13520678-74/seton-hill-students-march-in-greensburg-on-equal-pay-day,,,,,
Harrisburg,State Capitol,PA,US,2018-04-10,,,,,,,general protestors,Rallying against school bullying,0,rally,0,0,0,0,1,1,http://www.pahouse.com/InTheNews/NewsRelease/?id=97763,,,,,
Hattiesburg,,MS,US,2018-04-10,,,,,,,general protestors,Rallying for peace,0,rally,0,0,0,0,1,1,http://www.wmcactionnews5.com/story/37927532/community-hosts-peace-rally-for-pineview-murder-victim,,,,,
Irvine,City Hall,CA,US,2018-04-10,about 100,100,,100,,,general protestors,Protesting homeless people moving to Irvine,0,protest,0,0,0,0,1,1,http://www.latimes.com/local/lanow/la-me-ln-irvine-homeless-protest-20180410-story.html,,,,,
Lansing,State Capitol,MI,US,2018-04-10,approximately 100,100,,100,,,general protestors,Rallying for gender equality,1,rally,0,0,0,0,1,1,http://www.wlns.com/news/equal-pay-day-rally-held-at-state-capitol/1111965322,,,,,
Lawton,Cache Rd.,OK,US,2018-04-10,,,,,,,general protestors,Rallying for teachers,0,rally,0,0,0,0,1,1,http://www.kswo.com/story/37924937/teachers-continue-to-rally-on-cache-road,,,,,
Medford,KTVL News 10 station,OR,US,2018-04-10,,,,,,,Indivisible Medford,Protesting Sinclair Broadcasting Group,0,protest,0,0,0,0,1,1,https://kobi5.com/news/r-v-residents-protest-ktvl-sinclair-broadcast-group-75298/,,,,,
Memphis,El Mercadito,TN,US,2018-04-10,dozens,24,,24,,,general protestors,Protesting ICE detention of journalism,1,protest,0,0,0,0,1,1,http://www.wmcactionnews5.com/story/37927422/supporters-hold-vigil-for-journalist-detained-by-ice-facing-deportation,,,,,
Miami,Northwestern High School,FL,US,2018-04-10,hundreds,200,,200,,,Students,Protesting gun violence,1,protest,0,0,0,0,1,1,https://wsvn.com/news/local/northwestern-high-students-walk-out-in-protest-of-shooting-that-killed-classmate/,http://www.wsav.com/news/national-news/miami-students-walk-out-to-protest-off-campus-gun-violence/1111762948,,,,
Milwaukee,City Hall,WI,US,2018-04-10,,,,,,,United Latin American Citizens,Protesting Trump's immigration policy,1,protest,0,0,0,0,1,1,http://www.wisn.com/article/civil-rights-leaders-protest-sending-troops-to-mexican-boarder/19739335,,,,,
Milwaukee,Riverside University High School,WI,US,2018-04-10,dozens,24,,24,,,general protestors,Protesting state budget cuts to education,0,protest,0,0,0,0,1,1,https://www.tmj4.com/news/local-news/riverside-high-school-students-teachers-protest-proposed-budget-cuts-to-milwaukee-public-schools,,,,,
Minneapolis,The Capitol Rotunda,MN,US,2018-04-10,More than 150,150,,150,,,University of Minnesota Students,Rally for legislative support,0,rally,0,0,0,0,0,1,http://www.startribune.com/umn-students-rally-for-legislative-support-at-capitol/479328943/,,,,,
Minneapolis,,MN,US,2018-04-10,,,,,,,general protestors,Protesting bodycam policy and lack of accountability,0,protest,0,0,0,0,1,1,http://minnesota.cbslocal.com/2018/04/10/minneapolis-safety-meeting/,,,,,
Muskogee,Civic Center,OK,US,2018-04-10,between 400 and 500,400,,500,,,Muskogee Education Association,Rallying for teachers,0,rally,0,0,0,0,1,1,http://www.muskogeephoenix.com/news/rally-energizes-muskogee-educators/article_b8b14189-04c1-595c-862e-b13440faa3de.html,,,,,
Nacogdoches,Stephen F. Austin University,TX,US,2018-04-10,photo: about 100,100,,100,,,Family Crisis Center of East Texas,Marching against violence against women,0,rally,0,0,0,0,1,1,http://dailysentinel.com/gallery/collection_79478708-3d1a-11e8-8ade-5735a73ec612.html/?mode=gallery,,,,,
New Brunswick,Rutgers University,NJ,US,2018-04-10,more than 400,400,,400,,,general protestors,Protesting tuition raise; rallying for higher-paying on-campus jobs,0,protest,0,0,0,0,1,1,https://www.mycentraljersey.com/story/news/education/college/rutgers/2018/04/10/contract-tuition-wage-rally-rutgers/503551002/,,,,,
New Paltz,SUNY New Paltz,NY,US,2018-04-10,dozens,24,,24,,,SUNY New Paltz faculty and professional staff members ,Rallying for higher wages,0,rally,0,0,0,0,1,1,http://www.dailyfreeman.com/general-news/20180410/suny-new-paltz-faculty-and-professional-staff-rally-for-new-contract-higher-wages,,,,,
New York,Butler St.,NY,US,2018-04-10,dozens,24,,24,,,general protestors,Protesting proposed demolition of local historic building,0,protest,0,0,0,0,0,1,https://bklyner.com/candlelight-vigil-held-to-save-gowanus-station/,,,,,
New York,City Hall Park,NY,US,2018-04-10,FB: 20,20,,20,,,PowHer NY,Rallying for equal pay,1,rally,,,,,0,1,https://www.facebook.com/events/196502577614950/,,,,,
New York,Queens Courthouse,NY,US,2018-04-10,dozens,24,,24,,,general protestors,Protesting ICE,1,protest,0,0,0,0,1,1,https://patch.com/new-york/kew-gardens-briarwood/ice-arrest-2-men-queens-courthouse-prompting-protests,https://www.law.com/newyorklawjournal/2018/04/10/public-defenders-stage-walkouts-to-protest-ice-courthouse-arrests/?slreturn=20180311142425,,,,
Oklahoma City,State Capitol,OK,US,2018-04-10,more than 40,40,,40,,,general protestors,Rallying for teachers,0,rally,0,0,0,0,1,1,http://okcfox.com/news/walkout-watch/tulsa-teachers-wrap-up-110-mile-march-to-the-capitol-in-support-of-education-funding,,,,,
Orlando,Plaza Parking Lot,FL,US,2018-04-10,FB: 24,24,,24,,,Organize FL,Protesting fake abortion clinics; rallying for reproductive rights,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/171419190246473/,,,,,
Orlando,University of Central Florida,FL,US,2018-04-10,10,10,,10,,,general protestors,protesting conservative speaker,1,protest,0,0,0,0,0,1,http://www.orlandosentinel.com/features/education/school-zone/os-charlie-kirk-ucf-20180409-story.html,,,,,
Phoenix,Outside KTAR Studios,AZ,US,2018-04-10,,,,,,,Teachers,Education Reform,0,rally,0,0,0,0,1,1,https://www.azcentral.com/picture-gallery/news/local/arizona-education/2018/04/10/teachers-protest-outside-gov-ducey-radio-station-appearance/33721719/,,,,,
Portland,Salmon St.,OR,US,2018-04-10,FB: 16,16,,16,,,Indivisible Oregon,Protesting Trump ,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/172803460197456/,,,,,
Providence,Statehouse,RI,US,2018-04-10,FB: 219,219,,219,,,RI Second Amendment Coalition,Rallying for gun rights,2,rally,0,0,0,0,1,1,http://www.sacbee.com/news/local/education/article208521534.html,,,,,
Queens,Queens County Criminal Court building,NY,US,2018-04-10,,,,,,,attorneys,Protesting ICE detentions,1,protest,0,0,0,0,1,1,https://www.amny.com/news/ice-court-arrest-nyc-1.17942936,,,,,
Rocklin,Rocklin High School,CA,US,2018-04-10,about 40,40,,40,,,Students,Protesting abortion,2,protest,0,0,0,0,1,1,http://www.sacbee.com/news/local/education/article208521534.html,,,,,
Rocklin,Rocklin High School,CA,US,2018-04-10,about 10,10,,10,,,Students,Rallying for reproductive rights,1,rally,0,0,0,0,0,1,http://www.newsweek.com/pompeo-protest-war-hearing-state-883602,,,,,
Rockville,County Administrative building,MD,US,2018-04-10,about 50,50,,50,,,general protestors,Rallying for more resources to fight climate change,1,rally,0,0,0,0,1,1,http://www.bethesdamagazine.com/Bethesda-Beat/2018/Police-Continue-Attempted-Kidnapping-Investigation-Activists-Rally-For-Climate-Office-in-Montgomery-County/,,,,,
Seattle,Amazon Spheres,WA,US,2018-04-10,FB: 276,276,,276,,,Seattle Democratic Socialists of America,Rallying for higher taxes for corporations,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/158946398136811/,https://www.geekwire.com/2018/video-affordable-housing-activists-storm-amazon-hq-demanding-higher-taxes-corporations/,,,,
Seattle,Bennett Federal Building,WA,US,2018-04-10,FB: 5,5,,5,,,Seattle Indivisible,Protesting Trump,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/779978248855155/,,,,,
Springfield,Willard High School,MO,US,2018-04-10,about 80,80,,80,,,general protestors,Protesting firing of choir teacher,0,protest,0,0,0,0,1,1,https://www.news-leader.com/story/news/education/2018/04/10/willard-students-protest-removal-popular-award-winning-choir-teacher/504412002/,,,,,
Saint Paul,"Bishop Henry Whipple Building, 1 Federal Dr",MN,US,2018-04-10,,,,,,,Interfaith Coalition on Immigration,"in solidarity with migrant detainees, against inhumane detention practices, abolish ICE, keep families together",1,vigil,,,,,1,1,https://mnicom.org/programs/vigils/,https://mnicom.org/news/page/7/,,second Tuesday of every month,,
St. Paul,State Capitol,MN,US,2018-04-10,more than 150,150,,150,,,general protestors,Rallying for better fudning for University of Minnesota,0,rally,0,0,0,0,1,1,http://www.startribune.com/umn-students-rally-for-legislative-support-at-capitol/479328943/,,,,,
Stuart,Martin County Courthouse,TX,US,2018-04-10,dozens,24,,24,,,general protestors,Rallying for crime victim's rights,0,rally,0,0,0,0,1,1,https://www.tcpalm.com/picture-gallery/news/local/martin-county/2018/04/10/first-ever-martin-county-victims-rights-coalition-candlelight-vigil/33725277/,,,,,
Vista,1800 Thibodo Rd,CA,US,2018-04-10,,,,,,,general protesters,"against President Trump, against U.S. Representative Darryl Issa",1,demonstration,,,,,1,1,https://www.latimes.com/politics/la-pol-ca-issa-protest-20180425-htmlstory.html,,,,,
Vista,1800 Thibodo Rd.,CA,US,2018-04-10,,,,,,,general protesters,for President Trump,2,counter-protest,,,,,0,1,https://www.latimes.com/politics/la-pol-ca-issa-protest-20180425-htmlstory.html,,,,,
Washington,U.S. Capitol,DC,US,2018-04-10,about 20,20,,20,,,AVAAZ,Protesting facebook's personal privacy breach,0,protest,0,0,0,0,1,1,http://wjla.com/news/local/facebook-protesters-rally-outside-capitol-hill-for-mark-zuckerberg-testimony-with-congress,http://cnycentral.com/news/nation-world/facebook-protesters-rally-outside-capitol-hill-for-mark-zuckerberg-testimony-with-congress,,,,
York,Colonial Courthouse,PA,US,2018-04-10,FB: 30,30,,30,,,York County Victims' Rights Coalition,Rallying for victims of violent crimes,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/217424008814891/,,,,,
Anchorage,Municipal Building,AK,US,2018-04-11,NA,1,,1,,,Taxi driver,Labor protest,0,protest,0,0,0,0,1,1,https://wsvn.com/news/local/liberty-city-parents-protest-gun-violence-shut-down-street-in-brickell/,,,,,
Athens,University of Georgia,GA,US,2018-04-11,,,,,,,Students for Justice in Palestine,Rallying for Palestinians,0,rally,0,0,0,0,1,1,https://www.redandblack.com/uganews/students-for-justice-in-palestine-at-uga-protest-israeli-th/article_2fdedc7c-3e0c-11e8-bcf6-ff2da6dcacf3.html,,,,,
Augusta,Statehouse,ME,US,2018-04-11,FB: 18,18,,18,,,Maine Council of Churches,Rallying against addiction,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/592057514479850/,,,,,
Bakersfield,from the Liberty Bell downtown to Mill Creek Park,CA,US,2018-04-11,,,,,,,general protestors,Rallying for awareness of crime victims,0,rally,0,0,0,0,1,1,http://bakersfieldnow.com/news/local/mourning-families-march-for-victims-rights,,,,,
Bel Air,Hartford County Courthouse,MD,US,2018-04-11,FB: 15,15,,15,,,general protestors,Protesting child abuse,0,protest,0,0,0,0,1,1,https://www.facebook.com/events/2335983433295046/,,,,,
Bent Mountain,Mountain Valley Pipeline construction site,VA,US,2018-04-11,about 15,15,,15,,,general protestors,Protesting pipeline,1,protest,1,0,0,0,1,1,http://www.roanoke.com/news/local/police-make-arrests-as-protests-of-the-mountain-valley-pipeline/article_c9bf1b11-024b-522a-a03e-cbc2891481e9.html,,,,,
Berlin,Maryland PD HQ,MD,US,2018-04-11,about a dozen,12,,12,,,general protestors,Rallying for fairer police treatment for medical marijuana users,1,rally,0,0,0,0,1,1,https://www.delmarvanow.com/story/news/2018/04/12/medical-marijuana-police-response/498633002/,,,,,
Bowling Green,Bowling Green State University,OH,US,2018-04-11,FB: 9,9,,9,,,Queer/Trans Student Union,Protesting sexual violence,0,protest,0,0,0,0,1,1,https://www.facebook.com/events/372580929925713/,,,,,
