City/Town,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,
Urbana,University of Illinois,IL,US,2018-04-03,,,,,,,"American Federation for State, County and Municipal Emplyees",Labor protest,0,protest,0,0,0,0,1,1,https://dailyillini.com/news/2018/04/03/protest-in-front-of-alumni-center-calls-for-fair-wages/,,,,,
Vista,1800 Thibodo Rd,CA,US,2018-04-03,,,,,,,general protesters,"against President Trump, against U.S. Representative Darryl Issa",1,demonstration,,,,,1,1,https://www.latimes.com/politics/la-pol-ca-issa-protest-20180425-htmlstory.html,,,,,
Vista,1800 Thibodo Rd.,CA,US,2018-04-03,,,,,,,general protesters,for President Trump,2,counter-protest,,,,,0,1,https://www.latimes.com/politics/la-pol-ca-issa-protest-20180425-htmlstory.html,,,,,
Washington,Howard University,DC,US,2018-04-03,,,,,,,Students,Protesting Board of Directors' decision,0,protest,0,0,0,0,1,1,https://wtop.com/education/2018/04/howard-university-student-protests-enter-6th-day/,,,,,
Winston-Salem,Winston Square ,NC,US,2018-04-03,about 100,100,,100,,,general protestors,Rallying for $15 minimum wage for city employees,1,rally,0,0,0,0,1,1,http://www.journalnow.com/news/local/rally-calls-for-city-of-winston-salem-s-workers-to/article_1ac3b289-6e5e-511f-8d19-c3147f031a86.html,,,,,
Ames,Iowa State University,IA,US,2018-04-04,40 to 50,40,,50,,,Students,Rallying for racial equality,0,rally,0,0,0,0,1,1,http://www.iowastatedaily.com/news/article_21200004-3866-11e8-b7ae-0be1e57b472b.html,,,,,
Arlington,First Parish,MA,US,2018-04-04,FB: 11,11,,11,,,general protestors,Rallying for racial equality,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/156036551741957/,,,,,
Athens,Triangle Plaza,GA,US,2018-04-04,,,,,,,general protestors,Rallying for racial equality,0,rally,0,0,0,0,1,1,https://www.redandblack.com/athensnews/athens-vigil-honors-dr-martin-luther-king-jr-on-th/article_915a4db8-386e-11e8-9de0-c3d6db5b3360.html,,,,,
Atlanta,St. Luke's Church,GA,US,2018-04-04,,,,,,,general protestors,Rallying for racial equality,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/196578207615406/,,,,,
Auburn,Auburn University,AL,US,2018-04-04,FB: 15,15,,15,,,general protestors,Rallying for racial equality,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/161701057873377/,,,,,
Augusta,Statehouse,ME,US,2018-04-04,FB: 23,23,,23,,,Maine Conservation Voters,Rallying for clean air/water,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/215738122308656/,,,,,
Beltsville,Ammendale Rd.,MD,US,2018-04-04,,,,,,,Remember MLK Jr.,Rallying for racial equality,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/351238795365593/,,,,,
