CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,S1,S2
Bozeman,,MT,US,2018-10-02,,,,,,,general protestors,Protesting Pence visit,1,protest,0,0,0,0,1,1,https://www.nj.com/news/index.ssf/2018/10/trump_protesters_in_philadelphia_troll_president_with_gritty_the_flyers_creepy_new_mascot.html,,,,,
Detroit,Midtown Detroit,,US,2018-10-02,Several hundred,200,,400,,,general protestors,Raising wages,1,protest,20,8,0,0,1,1,https://kutv.com/news/connect-to-congress/us-house-candidate-arrested-during-wage-protest-in-detroit,https://www.cbsnews.com/news/fight-for-15-rallies-for-higher-minimum-wage-right-to-unionize/,,,1,
Philadelphia,,PA,US,2018-10-02,around 1000,1000,,1000,,,general protestors,anti-Trump,1,protest,0,0,0,0,1,1,https://www.nj.com/news/index.ssf/2018/10/trump_protesters_in_philadelphia_troll_president_with_gritty_the_flyers_creepy_new_mascot.html,,,,,
Southaven,Landers Center,MS,US,2018-10-02,"about 12,000",12000,,12000,,,Trump administration,pro-Trump,2,rally,0,0,0,0,1,1,https://www.cbsnews.com/news/donald-trump-mocks-christine-blasey-ford-testimony-make-america-great-again-rally-mississippi-landers-center-2018-10-02/,http://www.desototimes.com/news/trump-s-southaven-stop-energizes-support/article_cf289eec-c6c6-11e8-b544-dfe9c1e1d6ba.html,,feat. President Trump,7,
Flint,outside restaurant,MI,US,2018-10-02,,,,,,,Fight for $15,support right to form unions,0,protest,0,8,0,0,1,1,https://www.kktv.com/content/news/Truck-drives-into-crowd-of-protesters-in-Flint-Mich-494906181.html,,,,1,
Roswell,Dexter High School,NM,US,2018-10-02,about 40,40,,40,,,Dexter High students,protesting disciplinary action against teacher,0,protest,0,0,0,0,1,1,https://www.easternnewmexiconews.com/story/2018/10/10/news/dexter-students-protest-action-against-teacher/159511.html,,,,,
Washington,outside office of Rep Andy Harris,DC,US,2018-10-02,na,2,,2,,,general protestors,for legalization of marijuana,0,protest,2,0,0,0,1,1,https://www.washingtonpost.com/local/public-safety/pro-marijuana-protesters-arrested-outside-andy-harriss-congressional-office/2018/10/02/142c487c-c672-11e8-b1ed-1d2d65b86d0c_story.html?utm_term=.ae4bf1f27f60,,,,,
Alameda,City Hall,CA,US,2018-10-03,about 75,75,,75,,,general protestors,for sexual assault survivors; against Kavanaugh confirmation,1,protest; vigil,0,0,0,0,1,1,https://alamedasun.com/news/local-activists-hold-vigil-oppose-judge,,,,,
Anchorage,US Sen. Lisa Murkowski's Office,AK,US,2018-10-03,,,,,,,general protestors,for sexual assault survivors; against Kavanaugh confirmation,1,vigil,0,0,0,0,1,1,https://act.moveon.org/event/stop_kavanaugh_vigils/81623/signup/?source=&akid=&zip=&s=,https://www.ktva.com/story/39226321/protests-in-anchorage-dc-to-urge-murkowski-to-vote-no-on-kavanaugh,,,5,
Bend ,Outside City Hall ,OR,US,2018-10-03,nearly hundred ,100,,100,,,general protestors ,for sexual assault survivors; against Councilor Nathan Boddie,1,protest,0,0,0,0,1,1,https://www.bendbulletin.com/localstate/6571413-151/bend-city-council-commits-to-censure-vote-while,,,,,
