CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,
Tuscon,The annual Crossroads of the West Gun show at Pima County Fairgrounds,Pima,AZ,US,2019-11-03,dozens,24,,24,,,Citizens for a Safer Pima County,"against gun shows, for gun reform ",1,protest,0,0,0,0,1,1,https://www.kgun9.com/news/local-news/tucson-gun-show-attracts-protesters-calling-for-gun-reform-legislation,,,,
Atlanta,outside Public Service Commision's office,Fulton,GA,US,2019-11-04,,,,,,,general protesters,against proposed raising of electricity rates by Gieorgia Power,0,protest,0,0,0,0,1,1,https://atlantadailyworld.com/2019/11/04/atlanta-consumers-rally-against-georgia-power/,,,,
Boston,State House,Suffolk ,MA,US,2019-11-04,,,,,,,general protesters,for awareness for veterans suffering from PTSD and homelessness,0,march,,,,,1,1,https://www.wwlp.com/news/local-news/man-makes-fourth-90-mile-march-in-support-of-veterans/,Future.,,,
Enfield,outside Enfield High School,Hartford,CT,US,2019-11-04,twenty students and three teachers,23,,23,,,students from the Current Events Club,call attention to climate change,1,rally,0,0,0,0,1,1,https://www.journalinquirer.com/towns/enfield/a-call-to-action-enfield-students-put-spotlight-on-climate/article_e9f582de-ff15-11e9-83c4-5fe1f4dc0f87.html,,,,
Lexington,along Main Street,Fayette,KY,US,2019-11-04,hundreds,200,,200,,,general protesters,"against Trump administration, against Bevin",1,protest,0,0,0,0,0,1,https://www.lex18.com/news/covering-kentucky/we-vape-we-vote-rally-to-be-held-before-presidential-visit,,,,
Lexington,outside Rupp Arena,Fayette,KY,US,2019-11-04,roughly 50,50,,50,,,American Vaping Association & Kentucky Smoke Free Association,"against proposed ban on e-cigarette flavors, for vaping",0,protest,0,0,0,0,0,1,https://www.lex18.com/news/covering-kentucky/we-vape-we-vote-rally-to-be-held-before-presidential-visit,https://www.courier-journal.com/story/news/politics/elections/kentucky/2019/11/04/trump-visits-lexington-kentucky-campaign-himself-gov-matt-bevin/4154720002/,,,
Lexington,Rupp Arena,Fayette,KY,US,2019-11-04,thousands; several thousand,2000,,3000,,,Trump administration,"for Governor Bevin, for President Trump",2,rally,0,0,0,0,1,1,https://www.kentucky.com/news/politics-government/article236983183.html,https://www.courier-journal.com/story/news/politics/elections/kentucky/2019/11/04/trump-visits-lexington-kentucky-campaign-himself-gov-matt-bevin/4154720002/,https://www.wymt.com/content/news/People-already-in-line-for-Mondays-Trump-rally-in-Lexington-564324961.html,feat. President Trump,
Monterey,outside Senator Monning's office,Monterey,CA,US,2019-11-04,about 50,50,,50,,,general protesters,protesting AB 5 law for threatening heavy trucker's business,0,protest,0,0,0,0,1,1,https://www.montereyherald.com/2019/11/04/truckers-protest-ab-5-in-monterey-seek-exemption-to-continue-being-independent-owner-operators/,,,,
Nassau County,Burney Park un Fernandina Beach,,FL,US,2019-11-04,NA,1,,1,,,local man,continue allowing camping on the beach,0,sit in,0,0,0,0,1,1,https://www.actionnewsjax.com/news/local/man-chains-himself-to-the-beach-in-protest-of-potential-privatization/1008745908/,,,protest will continue indefinitely,
New Rochelle,Alternative High School campus,West Chester,NY,US,2019-11-04,nearly 80,80,,80,,,students,protesting closed campus policy,0,protest,0,0,0,0,1,1,http://westchester.news12.com/story/41268712/new-rochelle-students-protest-closed-campus-policy,,,,
New York,Brooklyn; from Jay St to the 84th Precinct,New York,NY,US,2019-11-04,count vid,15,,15,,,general protesters,for greater police accountability; against police brutality,1,march,0,0,0,0,0,1,https://pix11.com/2019/11/04/police-accountability-rally-in-brooklyn/,,,,
New York,"outside the Philippine Consulate on 5th Ave, Manhattan",New York,NY,US,2019-11-04,several dozen,36,,36,,,BAYAN North East,"against oppression in Phillipines, for the realease of more than 60 activists held prisoner",0,protest,0,0,0,0,1,1,http://www.fightbacknews.org/2019/11/5/nyc-protest-demands-release-activists-union-members-jailed-philippines,,,,
Oakland,,Alameda,CA,US,2019-11-04,,,,,,,general protesters,protesting AB 5 law for threatening heavy trucker's business,0,protest,0,0,0,0,1,1,https://www.montereyherald.com/2019/11/04/truckers-protest-ab-5-in-monterey-seek-exemption-to-continue-being-independent-owner-operators/,,,,
San Francisco,,San Francisco,CA,US,2019-11-04,,,,,,,general protesters,protesting AB 5 law for threatening heavy trucker's business,0,protest,0,0,0,0,1,1,https://www.montereyherald.com/2019/11/04/truckers-protest-ab-5-in-monterey-seek-exemption-to-continue-being-independent-owner-operators/,,,,
San Jose,,Santa Clara,CA,US,2019-11-04,,,,,,,general protesters,protesting AB 5 law for threatening heavy trucker's business,0,protest,0,0,0,0,1,1,https://www.montereyherald.com/2019/11/04/truckers-protest-ab-5-in-monterey-seek-exemption-to-continue-being-independent-owner-operators/,,,,
Sioux Falls,outside State Penitentiary Jameson Annex,Minnehaha,SD,US,2019-11-04,about 25,25,,25,,,general protesters,against the death penalty,0,protest,0,0,0,0,1,1,https://www.argusleader.com/story/news/2019/11/04/charles-rhines-death-penalty-protesters-south-dakota-execution-donnivan-schaeffer/4146477002/,,,,
Sioux Falls,outside State Penitentiary Jameson Annex,Minnehaha,SD,US,2019-11-04,,3,,3,,,general protesters,"support for victims family, for the death penalty",0,counter-protest,0,0,0,0,0,1,https://www.argusleader.com/story/news/2019/11/04/charles-rhines-death-penalty-protesters-south-dakota-execution-donnivan-schaeffer/4146477002/,,,,
Suffolk,intersection of North Main street and West Constance rd,NA,VA,US,2019-11-04,,,,,,,Virginia Marijuana Justice group,against opioid crisis and pharmaceutical companies exploitation; against politicians who are not doing enough,1,protest,0,0,0,0,1,1,https://www.suffolknewsherald.com/2019/11/04/suffolk-delegate-responds-to-demonstration/,,,,
De Pere,St. Norbert College,Brown,WI,US,2019-11-05,dozens,24,,24,,,students,want transparency as to why current President is being replaced and for President Bruess to stay,0,rally,0,0,0,0,1,1,https://www.wbay.com/content/news/St-Norbert-students-rally-in-support-of-President-Bruess-564525221.html,https://www.greenbaypressgazette.com/story/news/2019/11/05/st-norbert-college-students-protest-resignation-brian-bruess/4156799002/,,,
