CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4
New Haven,,New Haven ,CT,US,2020-03-27,,,,,,,general protesters,support action regarding the health of incarcerated individuals with relation to Covid-19,0,protest,0,0,0,0,1,1,https://www.wtnh.com/news/health/coronavirus/third-doc-employee-tests-positive-for-coronavirus-as-protesters-call-for-release-of-prisoners/,,,,
Pittsburgh,,Allegheny,PA,US,2020-03-27,,,,,,,general protesters,against lack of information being provided about Covid-19 to Port Authority employees,0,protest,0,0,0,0,1,1,https://www.wtae.com/article/port-authority-employees-hold-protest-after-colleague-tests-positive-for-coronavirus/31959407,,,,
Saint Paul,Gov. Tim Walz's home,,MN,US,2020-03-27,100+ ,100,,100,,,Never Again Action,anti ICE; free immigrants from detainee camps due to Covid 19,1,car protest,0,0,0,0,1,1,https://twitter.com/UR_Ninja,,,,
Tacoma,Northwest Detention Center,,WA,US,2020-03-27,between 300 and 500,300,,500,,,detainees,"for release of detainees in ICE facility to avoid COVID-19 risk, for stopping all deportation proceedings until coronavirus pandemic ends",0,hunger strike,0,0,0,0,1,1,https://perilouschronicle.com/2020/03/27/breaking-down-borders-hunger-strike-at-northwest-detention-center-in-response-to-covid-19/,,,Breaking Down Borders,
Greensboro,Woman's Choice of Greensboro,Guilford,NC,US,2020-03-28,,,,,,,Love Life,anti abortion; anti stay at home order due to coronavirus pandemic,2,protest,1,0,0,0,1,1,https://www.greensboro.com/news/local_news/abortion-protesters-greensboro-city-officials-battle-over-stay-home-enforcement/article_a47424e7-92fd-59b5-9dd6-eb88f67114c8.html,,,,
Louisville,Outside GE Appliance Park ,Jefferson,KY,US,2020-03-28,estimated 3800,3800,,3800,,,GE Appliance workers,protesting return to work with Covid-19 concerns,0,protest,0,0,0,0,1,1,https://www.courier-journal.com/story/news/local/2020/03/28/coronavirus-kentucky-ge-appliance-workers-protest-return-work/2933698001/,,,,
New York,Jacobi Medical Center; Bronx,Bronx,NY,US,2020-03-28,count pic,5,,5,,,nurses,protesting lack of N95 masks and PPE for nurses during coronavirus pandemic,0,protest,,,,,1,1,https://www.nytimes.com/2020/03/29/world/coronavirus-live-news-updates.html,,,protest mentioned in article photo caption,
New York,Bronx,Bronx,NY,US,2020-03-28,,,,,,,Jacobi Medical Center nurses,demand personal protective equipment to handle Covid-19 patients,0,protest,0,0,0,0,1,1,https://www.pix11.com/news/coronavirus/jacobi-medical-center-nurses-protest-over-access-to-n95-masks-other-ppe,,,,
York,York County Prison,York,PA,US,2020-03-28,several,3,,3,,,detainees,for release of detainees in ICE facility to avoid COVID-19 risk,1,hunger strike,0,0,0,0,1,1,https://www.ydr.com/story/news/crime/2020/03/29/immigrants-york-county-prison-hunger-strike-amid-coronavirus/2935640001/,,,,
Bethesda,Suburban Hospital,Montgomery,MD,US,2020-03-29,about three dozen,36,,36,,,nurses,for more personal protective equipment for nurses during coronavirus pandemic,1,protest,0,0,0,0,1,1,https://wtop.com/montgomery-county/2020/03/rally-outside-hospital-to-bolster-staff/,,,,
Chambersburg,Franklin County Jail,Franklin,PA,US,2020-03-29,,,,,,,inmates,for better protections against COVID-19 in jail,0,hunger strike,0,0,0,0,1,1,https://www.rollingstone.com/culture/culture-features/franklin-county-jail-hunger-strike-inside-story-1005846/,,,,
El Monte,in front of El Monte City Hall,Los Angeles,CA,US,2020-03-29,,,,,,,general protestors,for moratorium on evictions during coronavirus pandemic,0,protest,0,0,0,0,1,1,https://www.sgvtribune.com/2020/03/29/small-el-monte-protest-urges-more-from-coronavirus-eviction-moratorium/,,,,
Kearney,Hudson County Detention Center,Hudson,NJ,US,2020-03-29,nearly 100,100,,100,,,Never Again Action,anti ICE; release immigrants from detainee camps due to covid-19,1,car protest,0,0,0,0,1,1,https://www.indybay.org/newsitems/2020/04/01/18832002.php,,,,
Los Angeles,Windsor Square,Los Angeles,CA,US,2020-03-29,,,,,,,community tenant advocates,for moratorium on evictions during coronavirus pandemic,0,car protest,0,0,0,0,1,1,https://www.dailynews.com/2020/03/29/rolling-la-protest-urges-rent-forgiveness-for-people-hit-hardest-by-coronavirus-crisis/,,,,
Battle Creek,Calhoun County Jail,Calhoun,MI,US,2020-03-30,a dozen,12,,12,,,By Any Means Necessary,for release of inmates due to coronavirus pandemic,0,car protest,0,0,0,0,1,1,https://www.battlecreekenquirer.com/story/news/2020/03/31/protesters-say-calhoun-county-jail-coronavirus-death-camp/5094316002/,,,,
Boston,GE factory,Suffolk,MA,US,2020-03-30,,,,,,,GE workers,demand to make ventilators for use in COVID-19 pandemic,1,protest,0,0,0,0,1,1,https://www.vice.com/en_us/article/y3mjxg/general-electric-workers-walk-off-the-job-demand-to-make-ventilators,,,,
Bristol,Bristol County House of Correction,Bristol,MA,US,2020-03-30,,,,,,,detainees,for release of detainees in ICE facility to avoid COVID-19 risk,0,work stoppage,0,0,0,0,1,1,https://perilouschronicle.com/2020/03/30/work-stoppage-in-bristol-ice-detention/,https://upriseri.com/2020-03-31-julia-rock-sara-van-horn/,,,
