CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Source4,Misc.,
Hudson,,Columbia,NY,US,2019-06-15,,,,,,,LGBTQool Kids ,Pro- LGBTQ,1,Parade,0,0,0,0,1,1,https://www.hudsonvalley360.com/article/lgbtqool-kids-march-hudson-pride-parade,,,,,
Huntington Beach,Huntington Beach Pier,Orange,CA,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,,,,,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124942/signup/,,,,Impeach Trump at the HB Pier.,
Inverness,Downtown Inverness in the vicinity of old Courthouse and Walgreens.,Citrus,FL,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124923/signup/,,,,#ImpeachTrump Day of Action,
Iowa City,interection of N Dubuque and E Washington ,Johnson ,IA,US,2019-06-15,hundreds ,200,,200,,,general protestors,Pro LGBTQ+,1,march,0,0,0,0,1,1,https://www.press-citizen.com/story/news/2019/06/15/how-umbrellas-became-unexpected-symbol-iowa-city-pride/1465658001/,,,,,
Iowa City,interection of N Dubuque and E Washington ,Johnson ,IA,US,2019-06-15,,,,,,,general protestors,anti LGBTQ+,2,counter-protest,0,0,0,0,0,1,https://www.press-citizen.com/story/news/2019/06/15/how-umbrellas-became-unexpected-symbol-iowa-city-pride/1465658001/,,,,,
Irvine,US Rep. Katie Porter Irvine Office,Orange,CA,US,2019-06-15,count pic,20,,20,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124950/signup/,https://twitter.com/wise2all/status/1140157071276437504,http://www.dailybulletin.com/pro-impeachment-rallies-slated-for-saturday-in-southern-california-nation,,#ImpeachTrump,
Irving,Rep. Ken Marchant office,Dallas,TX,US,2019-06-15,count video,17,,17,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125097/signup/,https://twitter.com/indivisibletx24/status/1140073579318525953,,,Impeach Now - National Day Of Action,
Ithaca,DeWitt Park,Tompkins,NY,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125039/signup/,,,,Ithacans for Impeachment,
Jacksonville,,Duval,FL,US,2019-06-15,dozens ,24,,24,,,general protestors,To keep UF Health North open ,0,rally,0,0,0,0,1,1,https://www.actionnewsjax.com/news/local/dozens-of-parents-rally-to-keep-uf-health-north-birth-center-open/958501773,,,,,
Juneau,Delegation Office,Juneau,AK,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124936/signup/,https://www.masslive.com/news/2019/06/rally-calling-for-impeachment-of-president-donald-trump-set-for-saturday-in-northampton-congressman-jim-mcgovern-among-speakers.html,,,Purge Trump,
Kalispell,Depot Park west sidewalk,Flathead,MT,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125056/signup/,,,,ImpeachTrump Rally - Flathead Valley,
Kansas City,JC Nichols Memorial Fountain,Jackson,MO,US,2019-06-15,count pic,14,,14,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125016/signup/,https://twitter.com/SierraCWest/status/1139986940751745029,,,Impeachment Day of Action KC,
King,Medley Meadows Musical Farm,Stokes,NC,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124920/signup/,,,,Impeach Trump,
Kirkland,,King,WA,US,2019-06-15,count pic,17,,17,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124918/signup/,https://twitter.com/AmorahRoss/status/1140003208317657088,,,Kirkland Start Impeachment Inquiry for Trump Rally,
Laguna Beach,Laguna Beach Main Beach,Orange,CA,US,2019-06-15,NA,50,,50,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124951/signup/,https://www.dailynews.com/2019/06/15/rallies-aimed-at-impeaching-trump-to-be-held-around-southern-california-today/,http://www.dailybulletin.com/pro-impeachment-rallies-slated-for-saturday-in-southern-california-nation,,45 Impeachment Rally in the 48th!,
Laguna Beach,,Orange,CA,US,2019-06-15,NA,3,,3,,,general protestors,pro-Trump,2,counter-protest,0,0,0,0,0,1,https://www.dailynews.com/2019/06/15/rallies-aimed-at-impeaching-trump-to-be-held-around-southern-california-today/,https://twitter.com/scgoulding/status/1139965133097033728,,,,
Lancaster,Market square east king street,Lancaster,PA,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,,,,,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125074/signup/,,,,"Scarlet ""i"" Rally for Indictment and incarceration.",
Lansing,Capitol,Ingham ,MI,US,2019-06-15,roughly 200,200,,200,,,Heartbeat Coalition; Right to Life of Michigan,against abortions after a fetal heartbeat is detected; pro-life ,2,rally,0,0,0,0,1,1,https://www.detroitnews.com/story/news/local/michigan/2019/06/15/rally-preps-volunteers-heartbeat-abortion-ban-petition-drive/1465135001/,,,,,
