date,locality,state,location,title,size_text,size_low,size_high,organizations,participants,claims,valence,event_type,police_measures,participant_measures,police_injuries,participant_injuries,arrests,property_damage,police_deaths,participant_deaths,macroevent,notes,coder,source1,source2,source3,source4,source5,source6,source7,source8,source9,source10,source11,source12,source13,source14,source15,source16,source17,source18,source19,source20,source21,source22,source23,source24,source25,source26,source27,source28,source29,source30
2021-09-01,Jacksonville,FL,"Jacksonville City Hall, 117 W Duvall St",The Stand By Your Word Rally,,,,Northside Coalition of Jacksonville,,"for removing the Confederate monument in Springfield Park, against white supremacy",1,rally,,,,,,,,,,,,https://www.instagram.com/p/CTR_mhTLpK2/?utm_source=ig_web_copy_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,Kalamazoo,MI,"Henry Montague House, Western Michigan University",,,,,Western Michigan University-American Association of University Professors,,for pay equity and better protections against COVID-19 for faculty at Western Michigan University,0,protest,,,,,,,,,,,,https://www.mlive.com/news/kalamazoo/2021/09/western-michigan-university-professors-protest-on-campus-as-contract-deadline-looms.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,La Jolla,CA,"Jacobs Medical Center at UC San Diego Health, 9300 Campus Point Dr",Stop the Mandates Rally,,,,America's Healthcare Workers for Medical Freedom,,"against COVID-19 vaccination mandates for healthcare workers, for medical freedom",2,rally,,,,,,,,,,,,https://www.instagram.com/p/CS-9b7hL1st/?utm_source=ig_web_copy_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,La Quinta,CA,"Desert Sands Unified School District, 47-950 Dune Palms Rd",,,,,,,against coronavirus mask mandate in Desert Sands Unified School District schools,2,protest,,disrupted board meeting; verbally confronted board members,,,,,,,,,,https://www.desertsun.com/story/news/education/2021/09/01/desert-sands-school-board-meeting-mask-mandates-protested-again/5679539001/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,Lincoln,NE,University of Nebraska-Lincoln,,,,,,,"against sexual assault and rape at University of Nebraska-Lincolln, for barring Phi Gamma Delta fraternity from campus",0,protest,,,,,,,,,,,,https://journalstar.com/news/local/crime-and-courts/fiji-protesters-diverge-into-two-groups-as-organizers-battle-misinformation-messaging/article_01eddc39-becc-5cac-9d5b-d5108dd1cadf.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,Los Angeles,CA,1313 W 8th St,,,,,Black Lives Matter LA,,"against police violence, for ending police associations, Black Lives Matter",1,rally,,,,,,,,,,,,https://twitter.com/BLMLA/status/1435729316126466048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,Los Angeles,CA,Figueroa St,,hundreds,200,200,SEIU-United Service Workers West; Fight for $15,janitors,"for fair contract for janitors, against unfair labor practices",0,march,closed street for marchers,marched in street,,,,,,,,,,https://twitter.com/bfeinzimer/status/1433155178778140672,https://twitter.com/FrankGirardot/status/1433248017742643205,https://twitter.com/CA_DaveJones/status/1433239306261442561,https://twitter.com/seiu1021/status/1433221192962359296,https://twitter.com/Fightfor15LA/status/1433164993743122434,https://twitter.com/Fightfor15LA/status/1433150130576707584,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,Los Angeles,CA,home of City Council President Nury Martinez,,count video,4,4,,,against coronavirus mask and vaccination mandates,2,demonstration,,,,,,,,,,individuals in video are well known to local activists,,https://www.audacy.com/knx1070/news/local/demonstrators-congregate-at-l-a-city-councilmembers-home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,Louisville,KY,,,,,,Planned Parenthood,,"for abortion rights, for women's rights, our bodies our minds our power",1,demonstration,,,,,,,,,,,,https://www.wdrb.com/news/kentucky-abortion-advocates-rally-in-support-of-abortion-access-in-response-to-texas-ban/article_a657ca3c-0b98-11ec-aa8c-9bc01f0a4eea.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,Midland,MI,"Midland Public Schools, 600 E Carpenter St",,FB: 26,26,26,Parents Against MPS Mask Mandate,parents; children,"against coronavirus mask mandate in schools, for resignation of MPS Superintendent Michael Sharrow, freedom not fear, unmask my smile, educate not mandate, respect our choice",2,protest,,,,,,,,,,,,https://www.ourmidland.com/news/article/Group-to-protest-mask-mandate-for-grades-K-6-16425380.php,https://www.facebook.com/events/883557729257834,https://www.ourmidland.com/news/article/Parents-protest-MPS-mask-mandate-16428367.php,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,New York,NY,"McCarren Park, Brooklyn",,,,,,,"against racism, against police violence",1,vigil,,,,,,,,,,,,https://www.instagram.com/p/CSAgzdYnlP4/?utm_source=ig_web_copy_link,https://www.instagram.com/p/CRzHs47D8fG/?utm_source=ig_web_copy_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,New York,NY,"New York City Hall, Manhattan",,a dozen or so,12,12,,,against city COVID-19 vaccination mandate for school employees,2,protest,ushered protesters out of meeting room,disrupted council meeting,,,,,,,,,,https://www.nydailynews.com/new-york/education/ny-anti-vaccine-protesters-nyc-council-20210901-bivfcqmhx5c5zcz3wfmjwcwvee-story.html,https://apnews.com/article/health-coronavirus-pandemic-nyc-state-wire-5df5fe23b9dd82d8c68e8c335bb47a1a,https://twitter.com/ScooterCasterNY/status/1433141755461910529,,,,,,,,,,,,,,,,,,,,,,,,,,,
