CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.
Charleston,Eastern Illinois University,Coles,IL,US,2019-03-04,,,,,,,Black Lives Matter at Eastern Illinois University,Civil Rights; For greater accountability; For racial justice,1,protest,0,0,0,0,1,1,https://jg-tc.com/news/local/eastern-illinois-university-students-to-protest-black-lives-matter-flag/article_6f2d9b3f-17eb-5403-af24-b441cfe57bb5.html,,,20457
Charleston,Capitol,Kanawha,WV,US,2019-03-04,,,,,,,West Virginia college students,Guns; Against greater gun control,2,protest,0,0,0,0,0,1,https://www.bdtonline.com/news/students-from-across-w-va-march-against-campus-carry/article_7e7dd5c4-3eef-11e9-bb36-a7ca913520b2.html,,,20482
Fort Bend,Fort Bend ISD administrative offices,Fort Bend,TX,US,2019-03-04,more than a dozen,12,,12,,,general protestors,Education; Against redistricting,0,protest,0,0,0,0,1,1,https://www.chron.com/neighborhood/sugarland/news/article/Fort-Bend-ISD-parents-protest-proposed-middle-13664683.php,,,20487
Gilbert,Perry High School,Maricopa,AZ,US,2019-03-04,some 40,40,,40,,,general protestors,Education; Executive; For president; Against dress code,2,protest,0,0,0,0,1,1,https://www.azcentral.com/story/news/local/gilbert/2019/03/04/perry-high-school-protesters-president-trump-maga-gear/3053470002/,,,20463
Key West,Plantation Key School,Monroe,FL,US,2019-03-04,,,,,,,teachers,Education; Against charter schools/vouchers,0,protest,0,0,0,0,1,1,https://www.miamiherald.com/news/local/community/florida-keys/article227092099.html,,,20460
New Haven,Yale University,New Haven,CT,US,2019-03-04,NA,17,,17,,,Students,Anti fossil fuels,1,"protest, sit in",17,0,0,0,1,1,https://www.democracynow.org/2019/3/6/headlines/students_protest_yales_investments_in_fossil_fuels_puerto_rican_debt,,,
New Haven,Yale,New Haven,CT,US,2019-03-04,about 30,30,,30,,,general protestors,Against climate change; Environment,1,protest,0,0,0,0,0,1,https://www.courant.com/news/connecticut/hc-news-yale-investment-protest-0305-20190305-wvoiomppbzhlvm36ezcczmw4ea-story.html,,,20475
Orlando,Lake Eola,Orange,FL,US,2019-03-04,more than 50,50,,50,,,general protestors,Against systemic underfunding; Education,0,protest,0,0,0,0,1,1,https://www.orlandosentinel.com/features/education/school-zone/os-ne-teachers-rally-funding-legislature-20190304-story.html,,,20459
Sacramento,East Sacramento,Sacramento,CA,US,2019-03-04,about 100,100,,100,,,general protestors,Civil Rights; For racial justice; For greater accountability; Police,1,protest,84,0,0,0,0,1,https://napavalleyregister.com/news/local/update-more-than-people----including-sacramento-bee/article_55684a90-1173-5914-81cb-76f280f61c77.html,https://www.sacbee.com/news/article227116989.html,https://www.npr.org/2019/03/05/700317892/police-arrest-84-after-stephon-clark-protest-in-east-sacramento,20466
Sylvester,Worth County High School,Worth,GA,US,2019-03-04,,,,,,,students,Against firing/reassignment; Education,0,march,0,0,0,0,1,1,https://www.albanyherald.com/news/local/worth-high-students-march-after-firing-of-principal/article_5ed5ebb6-ef7d-5fbc-ae43-0579b7bb9e97.html,,,20473
