CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc,Source4,Source5
Albuquerque,North Domingo Baca Park,NM,USA,2017-03-04,66 went,66,66,66,73,59,Main Street Patriots,"March 4 Trump, pro-Trump",2,rally; protest,0,0,0,0,1,1,http://krqe.com/2017/03/04/group-gathers-in-northeast-albuquerque-to-show-support-for-president-trump/,https://www.facebook.com/events/1280142308731804/,,,,
Augusta,Statehouse,ME,USA,2017-03-04,More than 100,100,100,100,110,90,Spirit of America,Pro Trump policies,2,demonstration,0,0,0,0,1,1,http://www.foxnews.com/us/2017/03/05/arrests-made-after-some-march-4-trump-rallies-turn-violent.html?null,http://www.pressherald.com/2017/03/04/more-than-100-attend-march-4-trump-in-augusta/,,,,
Austin,Capitol Building,TX,USA,2017-03-04,About 300; about 500,300,390,500,330,450,March 4 Trump,Pro Trump,2,Rally,0,0,0,0,1,1,http://www.mystatesman.com/news/austin-crowd-300-rallies-for-national-march-trump/qjG0KQ1o1ffBLk8Q2ybdfM/,http://www.kvue.com/news/local/pro-president-trump-march-to-be-peaceful-assembly-saturday/419691380,,,,
Baton Rouge,Capitol building,LA,USA,2017-03-04,a couple hundred,200,200,200,220,180,General protestors,March 4 Trump; pro-Trump,2,rally,0,0,0,0,1,1,http://www.theadvocate.com/baton_rouge/news/politics/article_878b3ba0-0136-11e7-be56-8ba0374fd2e6.html,,,,,
Berkeley,Martin Luther King Jr. Civic Center Park,CA,USA,2017-03-04,200-300 total ralliers and detractors,,,,,,March 4 Trump; By Any Means Necessary,for Trump policies,2,rally,10,7,0,0,1,1,http://www.huffingtonpost.com/entry/trump-rally-california-violence_us_58bb647ae4b0d2821b4ea564,,http://www.washingtontimes.com/news/2017/mar/4/pro-trump-supporters-counter-protesters-clash-in-b/,,,
Berkeley,Martin Luther King Jr. Civic Center Park,CA,USA,2017-03-04,200-300 total ralliers and detractors,,,,,,general protestors,against Trump policies,1,counter-protest,,,0,0,0,1,http://www.huffingtonpost.com/entry/trump-rally-california-violence_us_58bb647ae4b0d2821b4ea564,,http://www.washingtontimes.com/news/2017/mar/4/pro-trump-supporters-counter-protesters-clash-in-b/,,,
Boise,State Capitol,ID,USA,2017-03-04,about 3000; nearly 3000,3000,3000,3000,3300,2700,General protestors,Keep Idaho's public lands under federal management,0,rally,0,0,0,0,1,1,http://www.idahostatejournal.com/news/local/about-gather-at-rally-in-boise-defending-public-lands/article_a73868ed-63cc-5fbc-8ab3-762cd4888f10.html,http://www.ktvb.com/news/local/nearly-3000-rally-for-public-lands-at-idaho-capitol/419826645,,,,
Boston,Boston Common,MA,USA,2017-03-04,Hundreds,200,200,200,220,180,Planned Parenthood,Pro Planned Parenthood,1,rally,0,0,0,0,1,1,https://www.boston.com/news/local-news/2017/03/04/hundreds-rally-for-planned-parenthood-on-boston-common,http://boston.cbslocal.com/2017/03/04/planned-parenthood-rally-boston-common-funding-cut-donald-trump/,,,,
Boulder,State Capitol,CO,USA,2017-03-04,,,,,,,,,,,,,,,1,0,"see Denver, CO",,,,,
Boulder,State Capitol,CO,USA,2017-03-04,,,,,,,,,,,,,,,0,0,"see Denver, CO",,,,,
Canton,march to Nissan factory,MS,USA,2017-03-04,thousands,2000,2000,2000,2200,1800,Mississippi Alliance for Fairness at Nissan,pro-union,0,march; rally,0,0,0,0,1,1,http://www.dnj.com/story/money/business/2017/03/06/bernie-sanders-danny-glover-union-workers-better/98801380/,,,,,
Cody,City Park,WY,USA,2017-03-04,around 140,140,140,140,154,126,General protestors,"March 4 Trump, pro-Trump",2,rally,0,0,0,0,1,1,http://www.codyenterprise.com/news/local/article_03e1e4d2-02b9-11e7-926e-a74b752a3c09.html,,,,,
