CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc,Source4,Source5
Miami,outside US Citizenship and Immigration Services Field Office,FL,USA,2017-03-08,dozens,24,24,24,26,22,general protestors,"A Day Without a Woman, support women's rights",1,rally,0,0,0,0,1,1,http://www.nbcmiami.com/news/local/South-Florida-Groups-Plan-Protests-For-A-Day-Without-A-Woman-415629883.html,,,,,
Mt. Prospect,Main St and Northwest Highway,IL,USA,2017-03-08,at least 65,65,65,65,72,59,general protestors,support International Women's Day,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/1588926087788987/?active_tab=discussion,,,,,
Naples,"Collier County Courthouse, 3315 Tamiami Trl E",FL,USA,2017-03-08,,,,,,,general protestors,support International Women's Day,1,rally,0,0,0,0,1,1,http://www.naplesnews.com/picture-gallery/news/local/2017/03/08/photos-people-gather-for-international-womens-day-rally-in-naples/98919598/,,,,,
New Britain,CCSU,CT,USA,2017-03-08,about 100,100,100,100,110,90,general protesters,"A Day Without a Woman, support women's rights",1,rally,0,0,0,0,1,1,http://www.courant.com/news/connecticut/hc-connecticut-international-womens-day-0309-20170308-story.html,,,,,
New York,Central Park at Fifth Avenue and 58th Street; march to the Trump International Hotel at Columbus Circle,NY,USA,2017-03-08,several thousand,3000,3000,3000,3300,2700,general protestors,"A Day Without a Woman, support women's rights",1,Demonstration; march; sit-in,13,0,0,0,1,1,http://abc7ny.com/society/a-day-without-a-woman-demonstration-held-in-central-park/1790245/,,,,,
New York,Washington Square Park to Zuccotti Park,NY,USA,2017-03-08,hundreds,200,200,200,220,180,general protesters,"A Day Without a Woman, support women's rights",1,march,0,0,0,0,1,1,http://www.nbcnewyork.com/news/local/NYC-Women-Plan-to-Strike-March-Protest-Rally-Day-Without-a-Woman-415650043.html,,,,,
Oakland,na,CA,USA,2017-03-08,,,,,,,general protesters,"A Day Without a Woman, support women's rights",1,rally,0,0,0,0,1,1,http://abc7news.com/news/women-stand-in-solidarity-at-oakland-international-womens-day-event/1791711/,,,,,
Olean,Lincoln Park,NY,USA,2017-03-08,approximately 15,15,15,15,17,14,general protesters,"A Day Without a Woman, support women's rights",1,demonstration,0,0,0,0,1,1,http://www.oleantimesherald.com/news/demonstrators-gather-outside-olean-s-lincoln-park-for-a-day/article_c104255c-04e9-11e7-85b0-8bc288cf1395.html,,,,,
Olympia,Sylvester Park to the steps of the state Capitol,WA,USA,2017-03-08,estimated 225,225,225,225,248,203,general protesters,"A Day Without a Woman, support women's rights",1,march; rally,0,0,0,0,1,1,http://www.theolympian.com/news/local/article137335663.html,,,,,
Orleans,rotary,MA,USA,2017-03-08,more than 70,70,70,70,77,63,Cape and Islands Stronger Together,"A Day Without a Woman, support women's rights",1,demonstration,0,0,0,0,1,1,http://www.capecod.com/newscenter/demonstrations-across-cape-cod-mark-womens-day/,http://www.barnstablepatriot.com/news/20170310/cape-cod-rotary-demonstrations-mark-international-womens-day,,count from video at capecod.com,,
Oxnard,outside City Hall,CA,USA,2017-03-08,nearly 300,300,300,300,330,270,general protesters,"designate Oxnard a ""safe"" city; pro-immigrant",1,rally,0,0,0,0,1,1,http://www.vcstar.com/story/news/local/communities/oxnard/2017/03/08/oxnard-rally-calls-council-declare-safe-city/98905502/,,,,,
Palm Springs,NA,CA,USA,2017-03-08,about 300,300,300,300,330,270,Women's march on Washingont,"A Day Without a Woman, support women's rights",1,protest,0,0,0,0,1,1,http://www.desertsun.com/story/news/2017/03/08/women-rally-equality-palm-springs/98831096/,,,,,
Philadelphia,H.A. Brown Elementary School in Kensington,PA,USA,2017-03-08,about 2 dozen,24,24,24,26,22,general protesters; Philly teachers,"A Day Without a Woman, support women's rights",1,rally,0,0,0,0,1,1,http://philadelphia.cbslocal.com/2017/03/08/organizers-of-womens-march-say-today-is-a-day-without-a-woman/,http://www.nbcphiladelphia.com/news/local/International-Womens-Day-A-Day-Without-a-Woman-Protest-March-Philadelphia-415713823.html,,,,
Philadelphia,Logan Sq to Thomas Paine Plaza,PA,USA,2017-03-08,more than 200,200,200,200,220,180,general protesters,"A Day Without a Woman, support women's rights",1,march,0,0,0,0,1,1,http://philadelphia.cbslocal.com/2017/03/08/organizers-of-womens-march-say-today-is-a-day-without-a-woman/,http://www.nbcphiladelphia.com/news/local/International-Womens-Day-A-Day-Without-a-Woman-Protest-March-Philadelphia-415713823.html,,,,
Philadelphia,McDevitt Park on 3531 Scotts Lane,PA,USA,2017-03-08,,,,,,,Female students in 7th through 9th grade at Eastern University Academy Charter School,"A Day Without a Woman, support women's rights",1,rally,0,0,0,0,1,1,http://www.nbcphiladelphia.com/news/local/International-Womens-Day-A-Day-Without-a-Woman-Protest-March-Philadelphia-415713823.html,,,,,
Phoenix,State Capitol,AZ,USA,2017-03-08,about 100,100,100,100,110,90,general protesters,"A Day Without a Woman, support women's rights",1,rally,0,0,0,0,1,1,http://www.azcentral.com/story/news/local/phoenix/2017/03/08/international-womens-day-strikes-impact-arizona/98904404/,,,,,
Pierre,outside of the Hughes County Courthouse,SD,USA,2017-03-08,,,,,,,general protesters,against Keystone XL pipeline,1,protest,0,0,0,0,1,1,http://kelo.com/news/articles/2017/mar/09/pierre-pipeline-protest/,,,,,
Pittsburgh,City-County Building,PA,USA,2017-03-08,hundreds,200,200,200,220,180,general protesters,"A Day Without a Woman, support women's rights",1,rally; march,0,0,0,0,1,1,http://triblive.com/local/allegheny/12038832-74/women-organizers-trump,http://pghm8.org/2017-2/,https://newsinteractive.post-gazette.com/photos/2017/03/08/international-womens-day-in-pittsburgh/,,,
Portland,outside Rep. Chellie Pingree's office,ME,USA,2017-03-08,na,30,30,30,33,27,general protestors,pro-Planned Parenthood,1,rally,0,0,0,0,1,1,http://wgme.com/news/local/planned-parenthood-supporters-rally-in-portland,,,count from video at link,,
Richland,John Dam Plaza,WA,USA,2017-03-08,approx 200,200,200,200,220,180,Honeypot Huddle,support International Women’s Day,1,rally,0,0,0,0,1,1,http://www.tri-cityherald.com/news/local/article137342853.html,,,,,
San Francisco,NA,CA,USA,2017-03-08,about 1500,1500,1500,1500,1650,1350,Women's march on Washingont,"A Day Without a Woman, support women's rights",1,protest,0,0,0,0,1,1,http://www.unionleader.com/article/20170308/NEWS20/170309345,,,,,
San Juan,na,PR,USA,2017-03-08,more than 100,100,100,100,110,90,general protesters,support International Women’s Day,1,march,0,0,0,0,1,1,http://www.usatoday.com/story/news/2017/03/08/day-without-women-aims-show-female-impact-economy-society/98892938/,,,,,
Seattle,Westlake Park,WA,USA,2017-03-08,several hundred,200,200,200,220,180,general protesters,"A Day Without a Woman, support women's rights",1,rally,0,0,0,0,1,1,http://komonews.com/news/local/international-womens-day-rally-in-seattle,http://www.seattlepi.com/local/article/Hundreds-rally-for-women-s-rights-at-Westlake-Park-10988484.php,,,,
Springfield,capitol rotunda,IL,USA,2017-03-08,,100,100,100,110,90,general protestors,support International Women's Day,1,rally,0,0,0,0,1,1,http://foxillinois.com/news/local/rally-at-the-capitol-celebrates-international-womens-day,,,count from picture at link,,
St. Petersburg,Williams Park,FL,USA,2017-03-08,150+,150,150,150,165,135,general protestors,"A Day Without a Woman, support women's rights",1,rally,0,0,0,0,1,1,http://www.abcactionnews.com/news/region-south-pinellas/st-petersburg/international-womens-day-150-women-rally-in-st-petersburg,,,,,
Terre Haute,ISU; 451 N. 8th St,IN,USA,2017-03-08,,,,,,,general protestors,"A Day Without a Woman, support women's rights",1,rally,0,0,0,0,1,1,https://www.facebook.com/events/410710642599484/?active_tab=discussion,,,,,
Washington,15th Street to Lafayette Square,DC,USA,2017-03-08,in the hundreds,200,200,200,220,180,general protestors,Resist Trump/Kill the Gag rally,1,march; rally,0,0,0,0,1,1,http://www.usatoday.com/story/news/2017/03/08/day-without-women-aims-show-female-impact-economy-society/98892938/,,,,,
West Palm Beach,City Hall,FL,USA,2017-03-08,,,,,,,Women's March Florida West Palm Beach chapter,"A Day Without a Woman, support women's rights",1,candlelight vigil,0,0,0,0,1,1,http://www.wptv.com/news/region-s-palm-beach-county/boynton-beach/women-across-south-florida-rally-for-day-without-a-woman-strike,,,,,
Whitefish,city beach,MT,USA,2017-03-08,,,,,,,general protestors,"A Day Without a Woman, support women's rights",1,demonstration,,,,,1,1,http://www.kpax.com/story/34701351/international-womens-day-demonstrations-reach-whitefish,,,,,
York,Continental Square,PA,USA,2017-03-08,close to 25,25,25,25,28,23,general protesters,"A Day Without a Woman, support women's rights",1,demonstration,0,0,0,0,1,1,http://www.yorkdispatch.com/story/news/2017/03/08/yorkers-rally-womens-rights-international-womens-day/98912080/,,,,,
Bloomington,Illinois Wesleyan University,IL,USA,2017-03-09,About 150,150,150,150,165,135,General protestors,"Pro-love; against intolerance, against racism",1,rally,0,0,0,0,1,1,http://www.pantagraph.com/news/local/message-of-rally-love-will-hold-us-together/article_e001a57d-8d2f-5173-b836-09012f35e977.html,,,,,
College Station,Texas A&M; in front of Rudder Plaza,TX,USA,2017-03-09,about 50,50,50,50,55,45,general protesters,"pro-Transgender rights; against Senate Bill 6, the “bathroom bill""",1,,0,0,0,0,1,1,http://www.theeagle.com/news/local/texas-a-m-students-faculty-gathered-and-shared-testimony-in/article_236d1a7c-2993-5cf3-865a-06f4994d5fbe.html,,,,,
Fort Wayne,outside Citizens Square along Clinton Street,IN,USA,2017-03-09,more than a dozen,12,12,12,13,11,general protestors,protest the city's plans to demolish the former Bowser Pump company's office and buildings on East Creighton Ave,0,protest,0,0,0,0,1,1,http://news-sentinel.com/news/local/Residents-protest-planned-demolition-of-the-historic-Bowser-Pump-office-building-on-Creighton-Ave-,,,,,
Great Falls,Great Falls College Montana State University,MT,USA,2017-03-09,about 110,110,110,110,121,99,candidate for the US House Rob Quist,for Democratic candidate for the US House Rob Quist,1,rally,0,0,0,0,1,1,http://www.greatfallstribune.com/story/news/local/2017/03/09/quist-riffs-rural-roots-great-falls-rally/98982978/,,,,,
Irondequoit,outside Summerville Presbyterian Church,NY,USA,2017-03-09,around 100,100,100,100,110,90,general protesters,opposed ICE detention of José Coyote Pérez; pro-immigration,1,protest,0,0,0,0,1,1,https://www.wsws.org/en/articles/2017/03/14/roch-m14.html,,,,,
Kenosha,Detention center,WI,USA,2017-03-09,about 300,300,300,300,330,270,Kenosha United to Serve Humanity,Pro-immigrants; anti-Trump,1,Protest/rally,0,0,0,0,1,1,http://www.kenoshanews.com/news/immigrant_advocates_rally_on_day_of_action_492218463.php,,,,,
Springfield,JCC,MA,USA,2017-03-09,more than 100,100,100,100,110,90,general protesters,against bomb threat; anti-Hate,1,rally,0,0,0,0,1,1,http://wwlp.com/2017/03/09/residents-of-all-faiths-gathered-at-springfield-jcc-for-interfaith-rally/,,,,,
Augusta,at the Maine State House,ME,USA,2017-03-10,,,,,,,general protestors,against DAPL,1,protest,0,0,0,0,1,1,http://mainepublic.org/post/pipeline-opponents-protest-maine-state-house#stream/0,,,,,
Boston,Boston Common,MA,USA,2017-03-10,Approximately 350,350,350,350,385,315,general protestors,against hate crime; remembering Srinivas Kuchibhotla,1,vigil,0,0,0,0,1,1,http://indianewengland.com/2017/03/350-indian-americans-attend-vigil-memory-srinivas-kuchibhotla-indian-engineer-killed-hate-crime/,,,,,
Cañon City,corner of Ninth Street and Royal Gorge Boulevard,CO,USA,2017-03-10,handful,3,3,3,3,3,Fremont County Democratic Party,anti-Dakota access Pipeline,1,demonstration,0,0,0,0,1,1,http://www.canoncitydailyrecord.com/news/canoncity-local-news/ci_30848831/fremont-county-protesters-gather-standing-rock-demonstrations,,,,,
Denver,Sunken Gardens Parl,CO,USA,2017-03-10,couple hundred,200,200,200,220,180,general protestors,Oppose Dakota Pipeline,1,march,0,0,0,0,1,1,https://www.denverite.com/look-native-protesters-march-speer-capitol-31463/,,,,,
Indianapolis,Statehouse,IN,USA,2017-03-10,,,,,,,general protestors,against DAPL,1,protest,,,,,1,1,http://wishtv.com/2017/03/10/protesters-to-rally-at-statehouse-to-honor-standing-rock-solidarity/,,,,,
Jacksonville,UNF campus,FL,USA,2017-03-10,around two dozen,24,24,24,26,22,Created Equal,pro-life,2,protest,0,0,0,0,1,1,http://unfspinnaker.com/viewpoints-clash-during-abortion-protest-unfpd-called/,,,,,
Jacksonville,UNF campus,FL,USA,2017-03-10,,,,,,,general protestors,pro-choice,1,protest,0,0,0,0,1,1,http://unfspinnaker.com/viewpoints-clash-during-abortion-protest-unfpd-called/,,,,,
Lakawanna,St Anthony's Church,NY,USA,2017-03-10,more than 100,100,100,100,110,90,NY Immigration Coalition;ACCESS,oppose Trump's travel ban,1,rally,0,0,0,0,1,1,http://buffalonews.com/2017/03/10/interfaith-rally-protests-trump-immigration-policy-yemen-travel-ban/,,,,,
Little Neck,Samuel Field YMCA,NY,USA,2017-03-10,,,,,,,general protesters,against anti-Semitic threats and bias crimes,1,rally,0,0,0,0,1,1,http://qns.com/story/2017/03/14/little-neck-rally-community-leaders-urge-queens-residents-stand-hate/,,,,,
Los Angeles,Downtown,CA,USA,2017-03-10,about 100,100,100,100,110,90,general protestors,Oppose Dakota Pipeline,1,march,0,0,0,0,1,1,https://www.usnews.com/news/best-states/california/articles/2017-03-10/100-protesters-march-in-los-angeles-over-dakota-pipeline,,,,,
Memphis,City Hall,TN,USA,2017-03-10,about 100,100,100,100,110,90,General Protestors,Oppose Dakota Pipeline,1,march,0,0,0,0,1,1,http://www.commercialappeal.com/story/news/local/2017/03/10/pipeline-protesters-proceed-minus-permit/99016928/,,,,,
Missoula,County Courthouse,MT,USA,2017-03-10,around 20,20,20,20,22,18,general protestors,Oppose Dakota pipeline,1,march,0,0,0,0,1,1,http://missoulian.com/news/local/missoulians-protest-construction-of-dakota-access-pipeline/article_7944638e-01f1-5ca9-885d-96a6df511aaf.html,,,,,
Port Townsend,through uptown and downtown Port Townsend,WA,USA,2017-03-10,Just over 30,30,30,30,33,27,Jefferson County Stand with Standing Rock group,against DAPL,1,march,0,0,0,0,1,1,http://www.peninsuladailynews.com/news/port-townsend-group-objects-to-dakota-access-pipeline/,,,,,
Salt Lake City,outside State Capitol,UT,USA,2017-03-10,dozens,24,24,24,26,22,Utah Tibetan Association,support 58th Annual Tibetan Uprising Day,0,demonstration,0,0,0,0,1,1,http://www.deseretnews.com/article/865675340/Tibetan-independence-protesters-thank-nations-for-support.html,,,,,
San Francisco,City Hall to Chinese Consulate in Japantown,CA,USA,2017-03-10,,,,,,,general protesters,support 58th Annual Tibetan Uprising Day,0,demonstration; march,0,0,0,0,1,1,http://hoodline.com/2017/03/immigration-ban-free-tibet-protests-take-to-city-hall-native-american-rights-march-to-follow,,,,,
San Francisco,Outside City Hall; Market Street to the Federal Building at 7th and Mission,CA,USA,2017-03-10,,,,,,,general protesters,against Muslim Ban,1,demonstration; march,0,0,0,0,1,1,http://hoodline.com/2017/03/immigration-ban-free-tibet-protests-take-to-city-hall-native-american-rights-march-to-follow,,,,,
Sioux Falls,na,SD,USA,2017-03-10,,,,,,,SD Democratic Party,Oppose Obamacare replacement,1,rally,0,0,0,0,1,1,http://kelo.com/news/articles/2017/mar/10/obamacare-replacement-blasted-at-sioux-falls-rally/,,,,,
Steamboat Springs,outside post office,CO,US,2017-03-10,,,,,,,Steamboat Stands with Standing Rock,anti-Dakota access Pipeline,1,protest,0,0,0,0,1,1,https://www.facebook.com/steamboat4standingrock/,,,,,
Tulsa,City Hall,OK,USA,2017-03-10,More than 225,225,225,225,248,203,Oklahomans for Equality,support LGBTQ protections,1,rally,0,0,0,0,1,1,http://www.tulsaworld.com/news/government/protesters-rally-to-call-for-hate-crime-protection-for-lgbtq/article_1a9f3dff-13b5-51bd-a5c0-124eb699258b.html,,,,,
Washington,na,DC,USA,2017-03-10,hundreds; thousands,200,1010,2000,220,1800,Standing Rock Sioux tribe; general protesters,anti-DAPL,1,march; protest,,,,,1,1,https://time.com/4698608/dakota-access-pipeline-white-house-protest/,http://www.aljazeera.com/news/2017/03/standing-rock-tribe-takes-dapl-protest-washington-170310032032028.html,,,,
Waterbury,in front of the TD Bank parking lot,VT,USA,2017-03-10,between a dozen and 20 people,12,16,20,13,18,general protester,against DAPL; pro-water rights,1,protest,0,0,0,0,1,1,http://www.stowetoday.com/waterbury_record/news/local_news/low-temps-fail-to-deter-water-protest/article_b394e938-0985-11e7-a16e-2bd69ae5af9b.html,,,,,
West Lafayette,Hovde Hall; Purdue Univ,IN,USA,2017-03-10,dozens,12,12,12,13,11,general protestors,Oppose Dakota pipeline,1,rally,0,0,0,0,1,1,http://www.jconline.com/story/news/2017/03/10/locals-march-native-american-rights/98974180/,,,,,
Wichita Falls,na,TX,USA,2017-03-10,about a dozen,12,12,12,13,11,general protester,against GOP health care bill,1,protest,0,0,0,0,1,1,http://www.newschannel6now.com/story/34726495/several-wichita-falls-residents-protest-aca-replacement,,,,,
Algonquin,near Longmeadow Parkway and Barrett Drive in Algonquin,IL,USA,2017-03-11,nearly 100,100,100,100,110,90,general protestors,opposed to Longmeadow Parkway construction project,0,protest,0,0,0,0,1,1,http://patch.com/illinois/algonquin/longmeadow-parkway-protesters-gather-saturday,,,,,
Boston,Boston Common outside the Park Street “T” Station,MA,USA,2017-03-11,small crowd,6,6,6,7,5,general protestors,demand an end to US imperial aggression against Syria and Yemen,1,protest,0,0,0,0,1,1,https://www.liberationnews.org/boston-activists-hold-vigil-and-speakout-against-us-imperialism-in-syria-and-yemen-2/,,,count from pic at link,,
Brownsville,600 East Harrison,TX,USA,2017-03-11,,,,,,,general protesters,support Women's March for Justice,1,march,,,,,1,1,http://www.rgvproud.com/news/local-news/a-day-without-a-woman/668895052,,,,,
Cortez,Cortez Cultural Center,CO,USA,2017-03-11,about 170,170,170,170,187,153,montezuma alliance coalition,pro-women,1,march,0,0,0,0,1,1,https://the-journal.com/articles/32940-saturday-march-in-cortez-highlights-women-x2019-s-history,,,,,
Dallas,outside Omni Dallas Hotel,TX,USA,2017-03-11,about 50,50,50,50,55,45,general protesters,anti-Trump; protest visit by Donald Trump Jr,1,protest,0,0,0,0,1,1,http://www.dallasnews.com/news/politics/2017/03/11/protesters-greet-donald-trumps-son-gop-dinner-downtown-dallas,,,,,
Fort Wayne,Allen County Courthouse lawn,IN,USA,2017-03-11,about two dozen,24,24,24,26,22,Indivisible Indiana,anti-Trump; postcards to Trump,1,protest,0,0,0,0,1,1,http://wane.com/2017/03/11/trump-protesters-gather-downtown-to-appeal-to-state-leaders/,,,,,
Fresno,city hall,CA,USA,2017-03-11,about 100,100,100,100,110,90,general protestors,"for equality, against racism, pro-LGBTQ, against intolerance",1,rally,0,0,0,0,1,1,http://www.fresnobee.com/news/local/education/article137995998.html,,,,,
Grand Junction,downtown,CO,USA,2017-03-11,,,,,,,general protesters,anti-Dakota access Pipeline,1,rally,0,0,0,0,1,1,http://www.westernslopenow.com/news/local-news/standing-rock-support-rally/670756138,,,,,
Jeffersontown,Plantside Drive,KY,USA,2017-03-11,some 600,600,600,600,660,540,Indivisible Kentucky; Kentucky Alliance Against Racism and Oppression; Kentuckians for the Commonwealth; Black Lives Matter; Stand Up Sunday; Jobs for Justice; other members of the Louisville Movement Coalition,protest visit by VP Pence,1,protest,0,0,0,0,1,1,http://www.leoweekly.com/2017/03/39125/,,,,,
Jeffersontown,Plantside Drive,KY,USA,2017-03-11,,,,,,,general protestors,pro-Trump,2,rally,0,0,0,0,1,1,http://www.leoweekly.com/2017/03/39125/,,,,,
Las Vegas,outside senior living community,NV,USA,2017-03-11,more than 100,100,100,100,110,90,general protestors,protect Obamacare,1,demonstration,0,0,0,0,1,1,https://lasvegassun.com/news/2017/mar/11/senator-heller-speaks-at-closed-door-event-in-hend/?utm_source=mostpopular&utm_medium=banner&utm_campaign=mostRead,,,,,
New York,Brooklyn Borough Hall,NY,USA,2017-03-11,,,,,,,Get Organized BK!,"anti-Trumpcare, health care",1,protest; die-in,0,0,0,0,1,1,http://www.ny1.com/nyc/all-boroughs/news/2017/03/12/brooklyn-activists-stage-die-in-at-borough-hall-to-protest-trump-healthcare-propsal.html,,,,,
Oklahoma City,marched to the Oklahoma City Civic Center.,OK,USA,2017-03-11,a few hundred,200,200,200,220,180,general protesters,against construction of the Dakota Access Pipelines,1,protest; march,0,0,0,0,1,1,http://okcfox.com/news/local/oklahomans-take-to-the-streets-to-protest-dakota-access-pipelines,,,,,
Oklahoma City,steps of the state Capitol,OK,USA,2017-03-11,more than a dozen,12,12,12,13,11,general protesters,blind people against a set of bills eg House Bill 2230 which would allow county jails to be exempt from giving the blind priority treatment when hiring managers to run commissaries,0,protest,0,0,0,0,1,1,http://www.news9.com/story/34731846/protesters-claim-house-bills-target-the-blind,,,,,
Raleigh,state capitol,NC,USA,2017-03-11,roughly 35,35,35,35,39,32,general protestors,pro immigration,1,rally,0,0,0,0,1,1,http://www.newsobserver.com/news/politics-government/state-politics/article137983253.html,,,,,
San Diego,Oceanside,CA,USA,2017-03-11,100 plus,100,100,100,110,90,general protestors,for healthcare; against representative,1,protest,0,0,0,0,1,1,http://www.latimes.com/local/lanow/la-me-ln-ca-pol-issa-hunter-townhalls-20170311-story.html,,,,,
San Francisco,Pacific Hts; outside Peter Thiel home,CA,USA,2017-03-11,around 40,40,40,40,44,36,general protesters,"concerns about Palantir, pro-immigration ",0,protest,0,0,0,0,1,1,http://abc7news.com/politics/protesters-target-paypal-co-founder-peter-thiel-over-immigration/1797479/,http://www.sfgate.com/bayarea/article/Pro-immigrant-demonstrators-rally-outside-Peter-10995442.php,,,,
West Ocean City,Rt 50,MD,USA,2017-03-11,roughly 50,50,50,50,55,45,Main Street Patriots of Worcester County,pro-Trump,2,rally,0,0,0,0,1,1,http://www.delmarvanow.com/story/news/local/maryland/2017/03/11/oc-trump-rally-2017/99050502/,,,,,
West Ocean City,Rt 50,MD,USA,2017-03-11,na,2,2,2,2,2,general protesters,anti-Trump,1,rally,0,0,0,0,1,1,http://www.delmarvanow.com/story/news/local/maryland/2017/03/11/oc-trump-rally-2017/99050502/,,,,,
Baltimore,Mt. Vernon Place,MD,USA,2017-03-12,nearly 200,200,200,200,220,180,Council on American-Islamic Relations (CAIR); the immigrant advocacy group CASA; Jews United for Justice (JUFJ),"Maryland Rally Against Bans, Walls, Raids, pro-immigration",1,demonstration,0,0,0,0,1,1,https://baltimorebrew.com/2017/03/13/pro-immigrant-protesters-and-st-patricks-day-parade-goers-share-space/,,,,,
Baltimore,Washington Monument,MD,USA,2017-03-12,dozens,12,12,12,13,11,general protestors,protest Trump,1,rally,0,0,0,0,1,1,http://www.baltimoresun.com/news/maryland/bs-md-immigration-rally-sunday-20170312-story.html,,,,,
Brunswick,Demere rd,GA,USA,2017-03-12,roughly 50,50,50,50,55,45,general protestors,"resist Trump, anti-Trump",1,protest,0,0,0,0,1,1,http://goldenisles.news/news/local_news/conservative-think-tank-visits-golden-isles-some-protest/article_df8053ff-f52f-58fe-9343-e09527daf012.html,,,,,
Des Moines,west side of the Iowa Capitol,IA,USA,2017-03-12,over 200,200,200,200,220,180,general protestors,pro-Transgender rights,1,rally,0,0,0,0,1,1,http://www.desmoinesregister.com/story/news/2017/03/12/rally-transgender-iowans-attracts-hundreds/99100006/,,,,,
Ferguson,outside Ferguson Market & Liquour,MO,USA,2017-03-12,about 100,100,100,100,110,90,general protesters,protest new film 'Stranger Fruit' on Mike Brown,0,riot; protest,2,,1,1,1,1,http://www.stltoday.com/news/local/crime-and-courts/ferguson-market-disputes-claims-as-new-michael-brown-documentary-prompts/article_fc382406-dbd5-5f53-aeda-4de3f2d5d31e.html,http://www.billboard.com/articles/events/sxsw/7720908/ferguson-missouri-protests-sxsw-mike-brown-documentary-stranger-fruit,,,,
Hastings,16th and Burlington,NE,USA,2017-03-12,,50,50,50,55,45,general protestors,celebrate immigrants,1,rally,0,0,0,0,1,1,http://www.hastingstribune.com/news/welcome-to-hastings-rally-draws-participants/article_48c94554-079b-11e7-8e0e-4360c40d7f8e.html,,,,,
Lincoln,outside State Capitol,NE,USA,2017-03-12,na,200,200,200,220,180,general protesters,pro-Transgender rights,1,rally,0,0,0,0,1,1,http://journalstar.com/news/local/rally-gives-transgender-and-lgbtq-community-hope/article_e24fbb07-62ef-5721-b200-d72d68fa6e16.html,,,,,
Los Angeles,Brentwood,CA,USA,2017-03-12,about 200,200,200,200,220,180,general protesters,"anti–Breibart, against Steve Bannon",1,demonstration,0,0,0,0,1,1,http://www.laweekly.com/slideshow/protesters-target-las-only-snowflakes-breitbart-news-local-headquarters-8024602,,,,,
Los Angeles,Brentwood,CA,USA,2017-03-12,10 or so,10,10,10,11,9,general protesters,pro-Trump,2,demonstration,0,0,0,0,1,1,http://www.laweekly.com/slideshow/protesters-target-las-only-snowflakes-breitbart-news-local-headquarters-8024602,,,,,
Louisville,front of JCC,KY,USA,2017-03-12,hundreds,200,200,200,220,180,general protestors,against bomb threats on JCC; against anti-Semitism,1,rally,0,0,0,0,1,1,http://www.leoweekly.com/2017/03/jcc-rally-one-us-gets-hit-step/,,,,,
Milwaukee,Milwaukee Area Technical College,WI,USA,2017-03-12,,6,6,6,7,5,Direct Action Everywhere,"against pro-dairy bill, against Sen T. Baldwin's Dairy Pride Act",0,protest,0,0,0,0,1,1,http://wisconsingazette.com/2017/03/15/animal-liberation-activists-protest-at-baldwin-town-hall-meeting/,,,count from photo at link,,
Newark,Newark Liberty Airport,NJ,USA,2017-03-12,some 200,200,200,200,220,180,United Airlines employees,"protest new Emirates route, economic development, air travel",0,protest,0,0,0,0,1,1,http://www.nj.com/essex/index.ssf/2017/03/united_airlines_protests_launch_of_emerates_newark.html,,,,,
Palo Alto,downtown,CA,USA,2017-03-12,about 75,75,75,75,83,68,general protesters,anti-Hate,1,rally,0,0,0,0,1,1,http://www.mercurynews.com/2017/03/12/anti-hate-rally-ramps-up-after-slur-filled-san-jose-altercation/,,,,,
San Diego,San Diego International Airport,CA,USA,2017-03-12,nearly 3 dozen,36,36,36,40,32,San Diego Indivisible Downtown,anti-Muslim Ban; anti-travel EO,1,protest; march,0,0,0,0,1,1,http://www.cbs8.com/story/34734543/group-holds-travel-ban-protest-at-lindbergh-field,,,number in video,,
Albany,West Capitol Park,NY,USA,2017-03-13,,1000,1000,1000,1100,900,NYCLU,"resist Trump, anti-Trump",1,rally,0,0,0,0,1,1,https://dailygazette.com/article/2017/03/13/trump-has-awakened-a-sleeping-giant-and-it-s-the-american-people,,,,,
Austin,outside State Capitol,TX,USA,2017-03-13,hundreds,200,200,200,220,180,teachers,"against Senate Bill 3, against school voucher bill",1,rally,0,0,0,0,1,1,http://dfw.cbslocal.com/2017/03/13/texas-teachers-rally-against-school-choice-bill/,,,,,
Chelan,Memorial Park,WA,USA,2017-03-13,over 60,60,60,60,66,54,marijuana growers and workers,oppose Chelan County marijuana growing rules,0,rally; march,0,0,0,0,1,1,http://kpq.com/marijuana-industry-workers-rally/,,,,,
Chicago,office of Immigration and Customs Enforcement,IL,USA,2017-03-13,,,,,,,general protestors; US Rep. Luis Gutiérrez,against Trump immigration policies,1,protest; sit-in,,0,0,0,1,1,http://www.truth-out.org/news/item/39874-rep-gutierrez-speaks-out-after-being-handcuffed-for-demanding-answers-on-ice-raids-and-deportations,,,,,
Cortez,na,CO,USA,2017-03-13,,,,,,,general protestors,Oppose Dakota pipeline,1,march,0,0,0,0,1,1,https://the-journal.com/articles/33239-dakota-access-pipeline-protest-in-cortez,,,,,
Frankfort,Capitol Rotunda,KY,USA,2017-03-13,,,,,,,Save our Schools,against Charter schools bill,1,protest,0,0,0,0,1,1,http://www.wlky.com/article/group-rallies-to-protest-school-bills/9128244,,,,,
