CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4
Oklahoma City,NW 63rd and Meridian,Oklahoma,OK,US,2018-11-01,Over 100,100,,100,,,OK teachers, “Remember in November” education rall; rallying to get the 60 OK teachers on the ballots elected,0,rally,0,0,0,0,1,1,https://ktul.com/news/local/oklahoma-teachers-working-to-get-out-the-vote-as-election-day-approaches,https://kfor.com/2018/10/27/remember-in-november-education-rally-at-the-capitol/,,,
Phoenix,Republican stronghold in metro Phoenix,Maricopa,AZ,US,2018-11-01,around 300,300,,300,,,Donald Trump Jr.,for U.S. Senate candidate Martha McSally at a rally aimed at improving GOP voter turnout next week,2,rally,0,0,0,0,1,1,https://www.kgun9.com/news/local-news/trump-jr-campaigns-in-metro-phoenix-for-mcsally,https://www.washingtontimes.com/news/2018/nov/1/presidents-son-campaigns-in-metro-phoenix-for-mcsa/,,,
Pittsburgh,Bakery Square,Allegheny,PA,US,2018-11-01,at least 150,150,,150,,,Google employees,protest sexual harassment and gender inequality at Google,0,protest,0,0,0,0,1,1,http://www.post-gazette.com/business/tech-news/2018/11/01/Google-employees-walk-out-protest-treatment-of-women-sexual-harassment-engineers/stories/201811010119,,,,
Pittsfield,Knesset Israel,Berkshire,MA,US,2018-11-01,about 1000,1000,,1000,,,Jewish Federation of the Berkshires,against violent attack on Pittsburgh synagogue,0,vigil,0,0,0,0,1,1,https://twitter.com/BerkEdge/status/1058480157315530752,https://theberkshireedge.com/in-aftermath-of-pittsburgh-attendees-find-strength-in-interfaith-vigil/,,,
Pittsfield,South Street Memorial Park,Berkshire,MA,US,2018-11-01,about 1000,1000,,1000,,,Jewish Federation of the Berkshires,against violent attack on Pittsburgh synagogue,0,vigil,0,0,0,0,1,1,https://twitter.com/BerkEdge/status/1058480157315530752,"https://www.berkshireeagle.com/stories/at-pittsfield-vigil-honoring-pittsburgh-synagogue-victims-prayers-and-a-call-for-peace,555219",,held second vigil after inside filled up,
San Francisco,near Ferry Building,San Francisco,CA,US,2018-11-01,about 1000,1000,,1000,,,Google employees,protest sexual harassment and gender inequality at Google,0,protest,0,0,0,0,1,1,https://www.chicagotribune.com/business/ct-biz-google-national-employee-sexual-misconduct-walkout-20181101-story.html,https://journalstar.com/news/world/google-employees-leave-work-to-protest-treatment-of-women/article_7cc2c9ba-dc54-5d2c-b544-b95bd069d71b.html,https://www.dcourier.com/news/2018/nov/01/google-employees-walk-out-protest-treatment-women/,,
San Francisco,along the Embarcadero,San Francisco,CA,US,2018-11-01,hundreds,200,,200,,,Google employees,striking against Google's handling of sexual harassment ,0,protest,0,0,0,0,1,2,https://www.sfgate.com/business/article/Thousands-of-Google-workers-protest-company-s-13355539.php?t=9f407800c3,,,,
Sault Ste. Marie,Beth Jacob Synagogue,Chippewa,MI,US,2018-11-01,,,,,,,general protestors,in protest of lives lost during Opioid epidemic,0,vigil,0,0,0,0,1,1,https://twitter.com/TerrySheehanMP/status/1058155065305952256,,,,
Savannah,,Chatham,GA,US,2018-11-01,several thousands,3000,,3000,,,general protestors,rally for Kemp (R) for governor,2,rally,0,0,0,0,1,1,http://www.wrcbtv.com/story/39398836/timeline-vp-pence-makes-campaign-stop-in-dalton-for-brian-kemp,https://www.aikenstandard.com/news/vice-president-mike-pence-to-stump-for-republican-brian-kemp/article_16a20490-dd31-11e8-a5a5-0f1f1a7d4418.html,,VP Pence,
Seattle,Seattle University,King,WA,US,2018-11-01,,,,,,,general protestors,standing against hate,0,vigil,0,0,0,0,1,1,https://twitter.com/SU_DeanStudents/status/1057771076225130496,,,,
Seattle,Fremont,King,WA,US,2018-11-01,hundreds,200,,200,,,Google employees,protest sexual harassment and gender inequality at Google,0,protest,0,0,0,0,0,1,https://www.chicagotribune.com/business/ct-biz-google-national-employee-sexual-misconduct-walkout-20181101-story.html,https://twitter.com/geekwire/status/1058061198900453376,,,
Statesboro,Georgia Southern University's Statesboro campus: begin at the Carroll Building and end at the Marvin-Pittman Building,Bulloch,GA,US,2018-11-01,na,40,,40,,,GSU students,"student-led ""Protest Against Hate""",1,walkout: sit-in; march,0,0,0,0,1,1,http://www.thegeorgeanne.com/news/article_d78db28e-aec9-5df8-afd5-6fce174fb202.html,,,,
Sterling Heights,Villa Penna,Macomb,MI,US,2018-11-01,,,,,,,GOP campaign,rallying Republican support,2,rally,0,0,0,0,1,1,https://www.detroitnews.com/picture-gallery/news/2018/11/02/gop-rally-sterling-heights/1853808002/,,,,
Sun City,,Maricopa,AZ,US,2018-11-01,about 300,300,,300,,,GOP campaign,rally for  U.S. Senate candidate Martha McSally ,2,rally,0,0,0,0,1,1,https://www.wsbtv.com/news/national-news/ap-top-news/presidents-son-stumps-for-mcsally-sinema-rallies-backers/864698771?utm_source=homestream&utm_medium=site_navigation&utm_campaign=homestream_click,,,,
Sun City,Temple Beth Shalom,Maricopa,AZ,US,2018-11-01,approximately 250,250,,250,,,general protestors,against violent attack on Pittsburgh synagogue,0,vigil,0,0,0,0,1,1,https://twitter.com/TBSwestvalley/status/1056587238904074242,https://twitter.com/TBSwestvalley/status/1058490393887756288,,,
Sunnyvale,,Santa Clara,CA,US,2018-11-01,,,,,,,Google employees,protest sexual harassment and gender inequality at Google,0,protest,0,0,0,0,1,1,https://abc7news.com/business/google-workers-in-bay-area-walk-out-over-treatment-of-women/4596806/,,,,
Tustin,intersection of Valencia Ave and Red Hill Ave,Orange,CA,US,2018-11-01,about 60,60,,60,,,parents of Heritage Elementary School students,protesting location of homeless shelter near school,0,protest,0,0,0,0,1,1,https://www.ocregister.com/2018/11/02/residents-protest-tustins-plan-to-open-a-homeless-shelter-near-heritage-elementary/,,,,
Verona,,Augusta ,VA,US,2018-11-01,expecting more than 50 people,50,,50,,,Corey Stewart/VA Republicans,rallying support for Republican Senate candidate Matt Rosendale,2,rally,0,0,0,0,1,1,https://www.newsleader.com/story/news/2018/10/31/corey-stewart-hold-rally-augusta-county-virginia-senate-election/1831081002/,,,,
Washington,in front of the White House,DC,DC,US,2018-11-01,na,30,,30,,,Kremlin Annex,"anti-Trump; protesting corruption, racism, etc.",1,protest,0,0,0,0,1,1,https://twitter.com/KremlinAnnex/status/1058198007169060869,https://www.washingtonpost.com/local/mixing-protest-and-party-nightly-kremlin-annex-rally-outside-the-white-house-reaches-its-third-week/2018/08/02/ffefec9a-94dc-11e8-86ab-42da8f0b33ea_story.html?utm_term=.38413ad00e9a,,"part of ongoing protest - began 7/16/18, as yet unfinished",
Watertown,Redlin Art Center,Codington,SD,US,2018-11-01,,,,,,,Democratic campaign,rallying support for Democratic candidate Bjorkman,1,rally,0,0,0,0,1,1,https://www.thepublicopinion.com/news/local_news/bjorkman-to-hold-rally-in-watertown-on-thursday/article_b5066bd5-bec4-5cfd-9f2e-ffb9a755666f.html?block_id=1300381,,,,
West Chester,courthouse steps,Chester,PA,US,2018-11-01,nearly 300,300,,300,,,Kehillah of Chester County and the Jewish Federation of Greater Philadelphia,against violent attack on Pittsburgh synagogue,0,vigil,0,0,0,0,1,1,https://www.dailylocal.com/news/local/local-officials-lawmakers-and-religious-leaders-remember-victims-at-vigil/article_b70af8fa-de31-11e8-8da5-078d2b729879.html,,,,
West Palm Beach,United Methodist Church of the Palm Beaches,Palm Beach,FL,US,2018-11-01,around 30,30,,30,,,Nuns on the Bus,protesting the 2017 Tax and Jobs Acts,1,Rally and drive by Mar-a-Lago,0,0,0,0,1,1,https://www.palmbeachdailynews.com/news/20181031/nuns-on-bus-protest-to-make-stop-at-mar-a-lago-west-palm-beach-this-week,,,,
Atlanta,Morehouse College,Fulton,GA,US,2018-11-02,na,6000,,6000,,,Obama/Democrats,rally for Abrams,1,rally,0,0,0,0,1,1,https://www.ajc.com/news/state--regional-govt--politics/live-updates-obama-headlines-rally-for-abrams-atlanta-friday/HGcpkGWnafgiOZz6dLF7cM/,https://www.redandblack.com/athensnews/obama-rallies-for-stacey-abrams-in-atlanta/article_068fd1fc-df2c-11e8-b8d3-bbc78bbc402c.html,https://www.11alive.com/article/news/politics/stacey-abrams-gets-help-from-barack-obama-at-morehouse-rally/85-610594499,with Obama,
Bloomfield,Town Hall steps,Hartford,CT,US,2018-11-02,,,,,,,general protestors,against violent attack on Pittsburgh synagogue,0,vigil,0,0,0,0,1,1,https://www.bloomfieldct.gov/home/events/91163,,,,
Bozeman,Baxter Hotel,Gallatin,MT,US,2018-11-02,about 250,250,,250,,,Tester/MT Democrats,rallying for Democratic support,1,rally,0,0,0,0,1,1,https://www.bozemandailychronicle.com/news/politics/tester-rallies-voters-ahead-of-midterm-president-s-visit/article_3b79c1b0-653f-54ad-9107-8bae3a0c037d.html,,,,
Bryan,Brazos County Expo Center,Brazos,TX,US,2018-11-02,hundreds,200,,200,,,Cruz campaign,rallying Republican support,2,rally,0,0,0,0,1,1,https://www.kbtx.com/content/news/Hundreds-attend-Ted-Cruz-rally-at-Brazos-County-Expo--499475661.html,,,,
Bristol,Roger Williams University,Bristol,RI,US,2018-11-02,,,,,,,general protestors,against violent attack on Pittsburgh synagogue,0,vigil,0,0,0,0,1,1,https://twitter.com/myrwu/status/1058469822034518017,,,,
Carson City,The Carson Nugget,Carson City,NV ,US,2018-11-02,more than 300,300,,350,,,Trump Jr with Trump campaign,Rallying for Republican candidates,2,rally,0,0,0,0,1,1,https://www.rgj.com/story/news/politics/2018/10/30/trump-jr-rally-gop-voters-reno-friday/1821994002/,https://apnews.com/a8a0f46551424503a332d12e9360f169,https://thenevadaindependent.com/article/at-carson-city-event-donald-trump-jr-warn-against-apathy,,
Columbia,,Richland,SC,US,2018-11-02,na,200,,200,,,general protestors,against violent attack on Pittsburgh synagogue,0,vigil,0,0,0,0,1,1,https://twitter.com/HannahCDear/status/1058503593467277312,,,,
Crystal Lake,McHenry County Jewish Congregation,McHenry,IL,US,2018-11-02,,,,,,,general protestors,against violent attack on Pittsburgh synagogue,0,vigil,0,0,0,0,1,1,https://twitter.com/KarieAngellLuc/status/1058508635477852161,,,,
