CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4
Auburn ,Auburn University,AL,US,2017-02-02,,190,195,200,209,180,General Protest,Protest immigration ban; anti-Trump,1,March,0,0,0,0,1,1,http://www.oanow.com/news/nearly-auburn-students-faculty-march-to-protest-immigration-ban/article_96a328ba-e970-11e6-984e-b3fc3f91ba72.html,,,,
Austin,Capitol Building,TX,US,2017-02-02,,400,450,500,440,450,General protestors,"Protest Texas Governor Greg Abbott's withholding of state funding to penalize Austin's commitment as a ""sanctuary city"", immigration",1,demonstration,0,0,0,0,1,1,http://www.aljazeera.com/news/2017/02/protests-grow-texas-moves-sanctuary-cities-170202205015258.html,http://www.dallasnews.com/news/texas-legislature/2017/02/02/hundreds-gather-capitol-lawmakers-debate-sanctuary-city-ban,,,
Baltimore,"Ynot Lot, Charles North neighborhood",MD,US,2017-02-02,,30,40,50,33,45,Pride Foundation of Maryland,against potential anti-LGBTQ executive order,1,rally ,0,0,0,0,1,1,http://www.baltimoresun.com/news/maryland/baltimore-city/bs-md-ci-lgbt-rally-20170202-story.html,,,,
Charlotte,Romare Bearden Park,NC,US,2017-02-02,,200,200,200,220,180,Charlotte Interfaith Peace and Unity Coalition,protest immigration ban,1,rally,,0,0,0,1,1,http://www.charlotteobserver.com/living/religion/article130455529.html,,,,
Chicago,Department of Homeland Security ,IL,US,2017-02-02,,200,200,200,220,180,Chicago Alliance Against Racist and Political Repression,protest immigration ban,1,demonstration,0,0,0,0,1,1,http://chicago.cbslocal.com/2017/02/02/hundreds-gather-in-loop-to-protest-trump-order-on-immigration/,,,,
Des Moines,Downtown Des Moines,IA,US,2017-02-02,,200,450,700,220,630,General protestors,protest immigration ban,1,demonstration,0,0,0,0,1,1,http://www.desmoinesregister.com/story/news/politics/2017/02/02/hundreds-gather-iowa-capitol-oppose-trumps-travel-ban/97305768/,http://ban.jo/News/US-Canada/20170203/No-Ban-No-Wall-Protest-At-State-Capitol-In-Des-Moines-IA-Des-Moines/,,,
Drexell Hill,Drexelbrook catering,PA,US,2017-02-02,,100,100,100,110,90,General protest,Sen. Toomey silence,1,demonstration,0,0,0,0,1,1,http://www.phillyvoice.com/activists-gathering-delco-fundraiser-toomey-hopes-he-will-listen/,,,,
Duluth,U.S. Rep. Rick Nolan’s Duluth office,MN,US,2017-02-02,,30,30,30,33,27,Boundary Waters supporters,Congressman support for copper mine,1,rally,0,0,0,0,1,1,http://www.duluthnewstribune.com/video/IjEy57zB,,,,
Fargo,Civic Center,ND,US,2017-02-02,,250,325,400,275,360,general protestors,in support of refugees; oppose proposed state legislation that would allow the governor and cities to temporarily ban refugee resettlement,1,protest,0,0,0,0,1,1,http://bismarcktribune.com/news/state-and-regional/hundreds-turn-out-in-opposition-to-north-dakota-house-bill/article_9069da92-2ac2-5cb8-8c55-688e9014ac88.html,,,,
Flemington,Historic Courthouse,NJ,US,2017-02-02,,200,200,200,220,180,General protest,protest immigration ban,1,demonstration,0,0,0,0,1,1,http://www.mycentraljersey.com/story/news/local/hunterdon-county/2017/02/02/activists-gather-flemington-protest-trumps-travel-ban/97397548/,,,,
