date,locality,state,location,title,size_text,size_low,size_high,organizations,participants,claims,valence,event_type,police_measures,participant_measures,police_injuries,participant_injuries,arrests,property_damage,police_deaths,participant_deaths,macroevent,notes,coder,source1,source2,source3,source4,source5,source6,source7,source8,source9,source10,source11,source12,source13,source14,source15,source16,source17,source18,source19,source20,source21,source22,source23,source24,source25,source26,source27,source28,source29,source30
2021-01-01,Montgomery,AL,statewide,,,,,Free Alabama Movement,prisoners,"against prison labor, for safer conditions in Alabama prisons during coronavirus pandemic",1,strike; boycott,,,,,,,,,,Scheduled to run 30 days.,,https://sfbayview.com/2020/12/fam-launches-30-day-economic-blackout/,https://twitter.com/ShutDownRacism/status/1346193901313531906,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,Albemarle,NC,downtown,,,,,Back the Blue Stanly County,,in support of police,2,rally,,,,,,,,,,,,https://www.thesnaponline.com/2020/12/30/back-the-blue-rally-scheduled-saturday-in-downtown-albemarle/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,Annapolis,MD,Governor's Mansion; teachers' union headquarters,Rally for Our Kids/Re-Open Maryland Schools!,count video,30,40,Rally for Our Kids/Re-Open Maryland Schools,parents; students; teachers,"for reopening schools during coronavirus pandemic, for in-person learning option",0,rally; march,,,,,,,,,,,,https://baltimore.cbslocal.com/2021/01/02/parents-hold-demonstration-in-annapolis-call-for-maryland-schools-to-reopen/,https://www.wbaltv.com/article/protest-demand-maryland-schools-reopen-for-in-person-learning/35111339,https://www.facebook.com/events/832210314284399/,https://www.wbal.com/article/494045/2/protesters-demand-schools-be-reopened-for-in-person-learning,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,Arcadia,CA,Methodist Hospital of Southern California,,count pic,20,25,California Nurses Association,nurses,against use of state waiver to increase patient-to-nurse ratio at hospital during coronavirus pandemic,0,protest,,,,,,,,,,,,https://news.abs-cbn.com/overseas/multimedia/photo/01/03/21/southern-california-nurses-protest-state-waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,Athens,GA,Athens-Clark County City Hall,,,,,,,for Jon Ossoff for U.S. Senate,1,rally,,,,,,,,,,,,https://flagpole.com/news/in-the-loop/2020/12/31/ossoff-holds-gotv-rally-in-athens-saturday/,https://prospect.org/politics/tale-of-two-senate-rallies-loeffler-ossoff-georgia-senate-runoffs/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,Atlanta,GA,Georgia State Capitol,Georgia Prayer March,hundreds,200,200,,religious voters; clergy; elected officials,"for national unity, for Republican candidates for U.S. Senate, for President Trump, against election fraud, against homosexuality, against abortion, for Christian values",2,march,,,,,,,,,,,,https://www.ajc.com/politics/election/voters-hold-prayer-march-at-capitol-ahead-of-tuesdays-runoffs/6HLOYIHGYFCABCWGLDNV4NJC6E/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,Augusta,ME,Maine Statehouse,A Constitutional Call to Action,count video,40,50,Swinging Gate Organization,,"against state coronavirus restrictions, against Governor Mills, for President Trump",2,protest,,,,,,,,,,,,https://bangordailynews.com/2021/01/03/news/augusta/protesters-gather-in-augusta-over-virus-restrictions/,https://www.wabi.tv/2021/01/02/dozens-gather-to-protest-governor-mills-handling-of-pandemic/,https://www.wcax.com/2021/01/04/protests-in-maine-over-virus-more-turkeys-seen-in-nh/,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-02,Boulder,CO,Broadway and Canyon Blvd,,,,,Rocky Mountain Peace & Justice Center,,"in support of Julian Assange and Wikileaks, for a free press",0,demonstration,,,,,,,,,,,,https://twitter.com/rmpjc/status/1345037169774137344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,Cape Coral,FL,"West End Park, Miami, FL; home of Sen. Marco Rubio",,,,,Enough 2021,,"for President Trump, for rejecting presidential election results",2,protest,,,,,,,,,,,,https://floridapolitics.com/archives/391539-protesters-to-convene-on-marco-rubios-rick-scotts-homes-to-demand-challenge-to-joe-biden-win,https://enough2021.org/event-locations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,Cape Girardeau,MO,Supercuts,March for Trump Bus Tour,more than 100,100,100,Women for America First,,"for President Trump, against election fraud",2,rally,,,,,,,,,,,,https://www.semissourian.com/story/2857369.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,Cheyenne,WY,Exxon Mobil gas station,,,,,PETA,,"against Exxon Mobil's financial support for the Iditarod dog sled race, against animal cruelty",0,demonstration,,,,,,,,,,,,https://twitter.com/peta/status/1345488293731971072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,Chicago,IL,Pilsen neighborhood,,two dozen; dozens,24,24,,residents,"against opening Headquarters Beercade bar in Pilsen neighborhood, against gentrification",0,protest,,,,,,,,,,,,https://www.fox32chicago.com/news/pilsen-residents-protest-opening-of-arcade-bar,https://abc7chicago.com/pilsen-chicago-protest-headquarters-beercade/9300790/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,Denver,CO,Five Points; Windsor Gardens,,,,,,,Black Lives Matter,1,caravan,,,,,,,,,,,,https://twitter.com/colpeoplespress/status/1345451351019581440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,Fresno,CA,Fresno City Hall,,,,,California Libertarian Party,,against state stay-at-home order during coronavirus pandemic,0,protest,,,,,,,,,,,,https://www.yourcentralvalley.com/news/local-news/protest-in-fresno-against-states-stay-at-home-orders-set-for-saturday-2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
