CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,
Portland,City Hall,Multnomah,OR,US,2019-01-05,about 100,100,,100,,,"building owners, musician advocates, NAACP",protesting mandated upgrades to city structures/sign ordinance on buildings (free speech argument),0,protest,0,0,0,0,1,1,https://www.kgw.com/article/news/local/building-owners-to-protest-portlands-seismic-mandates/283-278100a1-8f18-464e-9d32-4bc82fa5b47f,https://pamplinmedia.com/pt/9-news/416324-318766-naacp-music-venues-protest-citys-earthquake-sign-rules,https://www.oregonlive.com/portland/2019/01/portland-naacp-others-rally-demanding-city-rescind-earthquake-warning-sign-ordinance.html,,,,
Portland,Oregon Zoo,Multnomah,OR,US,2019-01-05,,,,,,,general protestors ,vigil for elephants who have died in captivity,1,vigil,,,,,1,1,https://www.facebook.com/events/332939500642334/,,,,,,
Storm Lake,,Buena Vista,IA,US,2019-01-05,,,,,,,Elizabeth Warren supporters,campaign event,1,rally,1,0,0,0,1,1,https://www.desmoinesregister.com/story/news/2019/01/05/minnesota-man-arrested-attempting-assault-people-sen-elizabeth-warren-storm-lake-political-rally/2492006002/,https://siouxcityjournal.com/news/local/crime-and-courts/man-arrested-for-disorderly-conduct-at-elizabeth-warren-rally-in/article_4a25e468-26e1-5c2c-9127-21a9cd347675.html,https://www.bostonglobe.com/news/politics/2019/01/07/trump-backer-arrested-after-fracas-elizabeth-warren-rally-iowa/bVWZJBrM7DA9KOuK1CqZcP/story.html,,https://www.bostonherald.com/2019/01/07/trump-backer-arrested-after-fracas-at-warren-rally-in-iowa/,,
Syracuse,,Onondaga,NY,US,2019-01-05,,,,,,,referees,protesting new payment system,0,protest,,,,,1,1,https://www.syracuse.com/highschoolsports/2019/01/indoor-track-and-field-officials-plan-to-stay-home-again-in-protest-over-payment-system.html,,,,,,
Washington,outside of White House,DC,DC,US,2019-01-05,,,,,,,Jovi Val,"a rally in support of James Alex Fields, the man who drove his car into a crowd in Charlottesville, Virginia",2,rally,0,0,0,0,1,1,https://wtop.com/dc/2019/01/4-arrested-after-throwing-paint-filled-water-balloons-at-protesters-outside-white-house/,,,,,,
Washington ,outside of White House,DC,DC,US,2019-01-05,,,,,,,members of an anti-Fascist group,threw paint-filled balloons at a group holding a rally to support “oppressed conservatives” across the U.S,1,counter-protest,4,0,0,0,1,1,https://wtop.com/dc/2019/01/4-arrested-after-throwing-paint-filled-water-balloons-at-protesters-outside-white-house/,,,,,,
El Paso,Pasa Del Norte bridge,El Paso,TX,US,2019-01-06,about a dozen,12,,12,,,general protestors ,against illegal immigration,2,protest,0,0,0,0,1,1,https://www.kvia.com/news/el-paso/el-paso-residents-protest-asylum-seekers/968565013,,,,,,
Mercerberg,in the chapel at Mercersburg Academy,Franklin,PA,US,2019-01-06,,,,,,,Mercersburg Area Churches Inc,commemorative service to celebrate the life of the Rev. Martin Luther King Jr.,1,commemorative service,,,,,1,1,https://www.heraldmailmedia.com/news/tri_state/pennsylvania/mercersburg-mlk-service-planned-with-unity-march/article_8312a17f-8d16-52ab-8b31-bae13b9bdc87.html,,,,,,
Mercerberg,Mercersburg Borough Hall,Franklin,PA,US,2019-01-06,,,,,,,Mercersburg Area Churches Inc,unity march,1,march,,,,,1,1,https://www.heraldmailmedia.com/news/tri_state/pennsylvania/mercersburg-mlk-service-planned-with-unity-march/article_8312a17f-8d16-52ab-8b31-bae13b9bdc87.html,,,,,,
Philadelphia,City Hall,Philadelphia,PA,US,2019-01-06,more than two dozen,24,,24,,,Sudanese community,against Sudanese President Omar al-Bashir,0,protest,0,0,0,0,1,1,https://whyy.org/articles/philly-area-sudanese-community-protests-in-solidarity-with-demonstrators-in-khartoum/,,,,,,
