CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,,
Norman,University of Oklahoma,Cleveland,OK,US,2019-02-12,FB: 74,74,,74,,,The United World OU; Hispanic American Student Association; Arab Student Association OU,For compassionate immigration; Immigration,1,march,0,0,0,0,1,1,http://www.oudaily.com/news/international-groups-to-hold-march-in-solidarity-with-students-facing/article_67bd6062-2d6e-11e9-aac5-7f21c5573dca.html,https://www.facebook.com/events/337797740410587/?active_tab=about,,,,,,
Oklahoma City,State Capitol,Oklahoma,OK,US,2019-02-12,About 400,400,,400,,,general protestors,Against abortion rights,2,protest,0,0,0,0,1,1,https://newsok.com/gallery/6039627/abolish-abortion-rally,,,,,,,
Saint Paul,"Bishop Henry Whipple Building, 1 Federal Dr",Ramsey,MN,US,2019-02-12,,,,,,,Interfaith Coalition on Immigration,"in solidarity with migrant detainees, against inhumane detention practices",1,vigil,,,,,1,1,https://mnicom.org/programs/vigils/,https://mnicom.org/news/page/6/,,second Tuesday of every month,,,,
Salt Lake City,University of Utah,Salt Lake,UT,US,2019-02-12,count video,10,,10,,,general protestors,For president; For greater immigration constraints; Immigration,2,protest,0,0,0,0,1,1,https://fox13now.com/2019/02/12/former-mexican-president-and-trump-critic-speaks-in-utah-small-group-of-protesters-demonstrates/,,,,,,,
Tallahassee,Simply Healthcare's offices,Leon,FL,US,2019-02-12,,,,,,,AIDS Healthcare Foundation,Healthcare; For continuity of coverage,0,protest,0,0,0,0,1,1,https://www.newsherald.com/news/20190212/medicaid-hiv-and-aids-care-spurs-protest,,,,,,,
Washington,White House,DC,DC,US,2019-02-12,hundreds; more than 1000,200,,1000,,,general protestors,Immigration; For Temporary Protected Status,1,protest,0,0,0,0,1,1,https://www.bostonglobe.com/metro/2019/02/11/hundreds-boston-immigrant-advocates-march/UOtTKY8sh8GPJyZv5vcwVJ/story.html,https://thinkprogress.org/ocasio-cortez-pressley-tps-protest-966781857356/,https://www.washingtonpost.com/local/hundreds-protest-at-white-house-to-support-immigrants-with-temporary-protected-status/2019/02/12/7a4757f8-2e34-11e9-813a-0ab2f17e305b_story.html?utm_term=.4a71c2aa2db0,,,,,
Arlington,Outside University Center,Tarrant,TX,US,2019-02-13,Count Pic,6,,6,,,Progressive Student Union,Civil Rights; For greater accountability; For racial justice; Police,0,protest,0,0,0,0,1,1,http://www.theshorthorn.com/news/progressive-student-union-rallies-against-police-brutality/article_a538a69c-2fe7-11e9-bd77-cfdbea3c95b4.html,,,,,,,
Baltimore,Johns Hopkins University Library,Baltimore,MD,US,2019-02-13,more than 100,100,,100,,,Students Against Private Police,Civil Rights; Education; For racial justice; Against police presence; Police,0,protest,0,0,0,0,1,1,https://www.baltimoresun.com/news/maryland/education/higher-ed/bs-md-students-against-jhu-police-20190213-story.html,,,,,,,
Bridgeport,Golden Hill Street courthouse,Fairfield,CT,US,2019-02-13,count pic,10,,10,,,general protestors,For animal welfare; Other,0,protest,0,0,0,0,1,1,https://www.ctpost.com/local/article/Fairfield-woman-arraigned-in-dog-deaths-13613423.php,,,,,,,
Burlington,University of Vermont,Chittenden,VT,US,2019-02-13,around 200,200,,200,,,students and teachers,Education; Against budget; Against curriculum changes,0,protest,0,0,0,0,1,1,https://vtdigger.org/2019/02/14/uvm-students-and-faculty-rally-against-arts-and-sciences-cutbacks/,,,,,,,
Los Angeles,Hall of Justice,Los Angeles,CA,US,2019-02-13,,,,,,,Black Lives Matter LA,"against police brutality, for police accountability, Black Lives Matter, against District Attorney Jackie Lacey",1,protest,,,,,1,1,https://www.cnn.com/2020/07/10/us/jackie-lacey-la-da-black-lives-matter/index.html,https://www.newyorker.com/magazine/2020/11/16/after-years-of-protests-every-wednesday-la-activists-welcome-a-new-da,,,,,,
Portland,City Hall,Multnomah,OR,US,2019-02-13,Dozens,24,,24,,,general protestors,Immigration; For compassionate immigration,1,protest,0,0,0,0,1,1,https://pamplinmedia.com/pt/9-news/419926-323944-city-hall-rally-calls-on-council-to-withdraw-from-terrorism-task-force,,,,,,,
Richmond,Virginia Governor’s Mansion,Richmond,VA,US,2019-02-13,Dozens,24,,24,,,general protestors,Civil Rights; For racial justice; Against state executive,0,protest,0,0,0,0,1,1,https://www.whsv.com/content/news/Ralph-Must-Resign-protest-set-to-take-place-at-governors-mansion-505792641.html,https://www.whsv.com/content/news/With-reception-canceled-protesters-call-for-Gov-Northam-to-resign-505843821.html,,,,,,
Washington,Hart Senate Building,DC,DC,US,2019-02-13,,,,,,,American Federation of Government Employees Union,Against shutdown; Legislative,0,protest,0,0,0,0,1,1,https://www.wusa9.com/article/news/35-minutes-for-35-days-of-the-government-shutdown/65-d52a0525-6e29-4d4d-8e34-a13b58579fd7,,,,,,,
Bemidji,rom the Northwest Indian Community Development Center to the BSU campus,Baltrami,MN,US,2019-02-14,more than 100,100,,100,,,general protestors,Against sexual/domestic violence; Native Americans,0,march,0,0,0,0,1,1,https://www.bemidjipioneer.com/news/4571439-march-remember-more-100-walk-sign-solidarity-indigenous-people,,,,,,,
Buffalo,State Office Building,Erie,NY,US,2019-02-14,,,,,,,Bring it Home Coalition,For affordable housing; Mental health,0,rally,0,0,0,0,0,1,https://news.wbfo.org/post/statewide-rallies-call-more-mental-health-housing-funds,,,,,,,
Burlington,Sen. Rick Gunn’s South Church Street real estate office,,NC,US,2019-02-14,about 16,16,,16,,,general protestors,Healthcare; For expanding coverage,0,protest,0,0,0,0,1,1,https://www.thetimesnews.com/news/20190214/medicaid-demonstrators-in-burlington-miss-sen-gunn,,,,,,,
Durham,CCB Plaza,Durham,NC,US,2019-02-14,,,,,,,general protestors,Anti-LGBTQ,2,vigil,,,,,1,1,https://twitter.com/CFSdemandaction/status/1092027642604371968,,,,,,,
El Paso,Beall Elementary School,El Paso,TX,US,2019-02-14,,,,,,,general protestors,Education; Against closure/relocation,0,protest,0,0,0,0,1,1,https://www.elpasotimes.com/story/news/2019/02/14/beall-elementary-rallies-remain-open/2876537002/,,,,,,,
Fairfield,First Church Congregational,Fairfield,CT,US,2019-02-14,,,,,,,Connecticut Against Gun Violence,Call To Action In Support Of gun violence protection ,1,vigil,,,,,1,1,https://www.facebook.com/events/948486408689148/,,,,,,,
Fargo,Downtown Fargo,Cass,ND,US,2019-02-14,more than 100,100,,100,,,Fargo Native American Commission task force,Native Americans; Against sexual/domestic violence,0,march,0,0,0,0,1,1,https://www.westfargopioneer.com/news/crime-and-courts/4571313-march-through-downtown-fargo-puts-focus-violence-facing-indigenous,,,,,,,
Juneau,Capitol Building,Juneau,AK,US,2019-02-14,,,,,,,Students Demand Action,Guns; For greater gun control,1,rally,0,0,0,0,1,1,https://www.juneauempire.com/news/high-school-students-plan-gun-safety-rally/,,,,,,,
Lame Deer,,Rosebud,MT,US,2019-02-14,,,,,,,Native Americans; advocates,For criminal justice; Native Americans,0,March,0,0,0,0,1,1,https://billingsgazette.com/news/local/supporters-march-for-henny-scott-on-valentine-s-day/article_60f48b2b-52d0-52ab-a6c2-4e1bd736650c.html,,,,,,,https://billingsgazette.com/news/state-and-regional/mmiw/families-investigators-struggle-to-track-down-missing-native-women/article_3fee49c9-913a-593d-96e3-14d03a781caa.html
Long Island,Statewide Protests,Nassau,NY,US,2019-02-14,,,,,,,general protestors,For affordable housing; Mental health,0,protest,,,,,,1,https://news.wbfo.org/post/statewide-rallies-call-more-mental-health-housing-funds,,,,,,,
Medford,Tufts University,Middlesex,MA,US,2019-02-14,around 2 dozen,24,,24,,,students and faculty,in honor of Parkland victims; against NRA; against gun violence,1,walkout,0,0,0,0,1,1,https://tuftsdaily.com/news/2019/02/15/tufts-students-walk-commemorate-parkland-shooting-anniversary/,,,,,,,
Minneapolis,,Hennepin,MN,US,2019-02-14,,,,,,,Native Americans; advocates,Native Americans; Against sexual/domestic violence,0,protest,,0,0,0,1,1,https://www.westfargopioneer.com/news/crime-and-courts/4571313-march-through-downtown-fargo-puts-focus-violence-facing-indigenous,,,,,,,
Morgan Hill,Vineyard Court office,Santa Clara,CA,US,2019-02-14,,,,,,,"Rapid Response Network in Santa Clara County,",Immigration; Against ICE,1,protest,0,0,0,0,1,1,https://www.morganhilltimes.com/2019/02/20/police-called-to-anti-ice-rally/,,,,,,,
New York,4 West 43rd Street Suite 415,New York,NY,US,2019-02-14,,,,,,,general protestors,in honor of Parkland victims,0,vigil,,,,,1,1,https://twitter.com/YouthOverGuns/status/1094723239555805184,,,,,,,
New York,"2347 Lafayette Ave, Bronx",Bronx,NY,US,2019-02-14,,,,,,,general protestors,Other; For city councilor; Local governance,0,rally,0,0,0,0,0,1,https://newyork.cbslocal.com/2019/02/14/supporters-rally-for-diaz-sr-amid-council-feud-flap-over-comments-on-gay-community/,,,,,,,
New York,Court Street; outside State Office Building,New York,NY,US,2019-02-14,,,,,,,Bring it Home Coalition,For affordable housing; Mental health,0,rally,0,0,0,0,0,1,https://news.wbfo.org/post/statewide-rallies-call-more-mental-health-housing-funds,,,,,,,
Oklahoma City,State Capitol,Oklahoma,OK,US,2019-02-14,,,,,,,general protestors,Against sexual/domestic violence; Other,0,rally,0,0,0,0,1,1,https://kfor.com/2019/02/14/sexual-assault-survivors-advocates-rally-behind-several-proposed-bills-at-state-capitol/,,,,,,,
online,,,,US,2019-02-14,,,,,,,Stoneman Douglas HS alumni,in honor of Parkland victims,0,vigil,,,,,1,1,https://www.tapinto.net/towns/parkland/articles/worldwide-msd-alumni-organize-virtual-vigil,,,,,,,
Poughkeepsie,Poughkeepsie High School,Dutchess,NY,US,2019-02-14,,,,,,,Poughkeepsie School District,"Civil Rights; For racial justice; Martin Luther King, Jr.",0,march,0,0,0,0,1,1,https://www.poughkeepsiejournal.com/story/news/education/2019/02/15/poughkeepsie-students-march-perform-celebrate-mlk/2559180002/,,,,,,,
Richmond,State Capitol,Richmond,VA,US,2019-02-14,more than 100,100,,100,,,general protestors,Civil Rights; For women's rights,0,protest,0,0,0,0,1,1,https://www.newsleader.com/story/news/2019/02/15/equal-rights-amendment-fight-brewing-in-virginia-capitol/2882121002/,,,,,,,
Ridgewood,Emmanuel Baptist Church,Bergen,NJ,US,2019-02-14,,,,,,,Bergen County March for Our Lives,Guns; For greater gun control,0,vigil,0,0,0,0,1,1,https://www.northjersey.com/story/news/2019/02/14/parkland-year-later-nj-students-inspired-act-guns-school-safety/2862066002/,,,,,,,
Seattle,University Heights Building,King ,WA,US,2019-02-14,,,,,,,Seattle March for Our Lives,Guns; For greater gun control,0,protest,,,,,1,1,https://www.kuow.org/stories/at-parkland-memorial-activists-plead-with-wa-sheriffs-to-uphold-gun-laws,,,,,,,
Sylva,Jackson County Democratic Party HQ,Jackson,NC,US,2019-02-14,Count Pic,20,,20,,,Down Home North Carolina,Healthcare; For expanding coverage,0,protest,0,0,0,0,1,1,http://www.thesylvaherald.com/news/health_news/article_f76e8a2e-2fb7-11e9-a6f0-7b36b77533a0.html,http://www.thesylvaherald.com/news/article_2cafa31e-355b-11e9-a54b-f7aee1bac3e2.html,,,,,,
Syracuse,,Onondaga,NY,US,2019-02-14,,,,,,,general protestors,For affordable housing; Mental health,0,protest,,,,,1,1,https://news.wbfo.org/post/statewide-rallies-call-more-mental-health-housing-funds,,,,,,,
Taylor,Taylor City Council,Williamson,TX,US,2019-02-14,,,,,,,Advocacy group;formerly detained women; community members,Immigration; For compassionate immigration; Against sexual/domestic violence,1,protest,,,,,1,1,https://www.statesman.com/news/20190213/advocacy-group-to-hold-rally-in-taylor-against-immigrant-detention-facility,https://grassrootsleadership.org/releases/2019/01/williamson-county-pulled-out-contract-t-don-hutto-detention-center-so-why-are-doors,,,,,,
Wilmington,,New Hanover ,NC,US,2019-02-14,,,,,,,general protestors,Civil Rights; For greater accountability; Mental health; Police,1,protest,,,,,1,1,https://www.wwaytv3.com/2019/02/14/community-rallies-around-jailed-man-with-mental-health-issues/,,,,,,,
Martinsburg,Senator Joe Manchin's Office,Berkeley,VA,US,2019-02-14,more than 40,40,,40,,,local protestors,Environmental; Against Business Development,1,protest,11,0,0,0,1,1,https://www.journal-news.net/journal-news/rockwool-demonstrators-arrested-in-washington-d-c/article_823b0b0b-4d2b-5c5d-9189-c7c9d19359ea.html,,,,,,,
Charleston ,outside Charleston gymnasium,Charleston,SC,US,2019-02-15,count pic,4,,4,,,general protestors,anti Kamala Harris; anti 3 strike law,0,protest,0,0,0,0,1,1,https://twitter.com/AsteadWesley/status/1096530923011665921,,,,,,,
Cumberland,C&O Canal Towpath,Allegany,MD,US,2019-02-15,about a dozen,12,,12,,,Cowboys for Trump,"for President Trump, for patriotism",2,horseback ride,0,0,0,0,1,1,https://www.fox5dc.com/news/cowboys-for-trump-riding-horseback-from-cumberland-to-the-white-house,,,,,,,
Dunkirk,Steelworkers Union Hall,Chautauqua,NY,US,2019-02-15,about 70,70,,70,,,Don Williams and Frank Beach,Against closure/relocation; health care,0,rally,0,0,0,0,1,1,http://www.observertoday.com/news/page-one/2019/02/crowd-ralllies-to-keep-brooks-in-dunkirk/,http://www.observertoday.com/news/page-one/2019/02/renovate-vs-relocate-residents-protest-to-keep-brooks-in-dunkirk/,,,,,,
Gardena,186th Street Elementary School,Los Angeles,CA,US,2019-02-15,,,,,,,general protestors ,Against violence; Against war,1,demonstration,0,0,0,0,1,1,http://www.dailybreeze.com/gardena-students-pledge-to-the-cause-of-peace-at-annual-march,,,,,,,
La Crosse,Bullet Cab Company,La Crosse,WI,US,2019-02-15,more than 100,100,,100,,,La Crosse Interfaith Shoulder to Shoulder Network,Civil Rights; For racial justice,0,protest,0,0,0,0,1,1,https://www.weau.com/content/news/Community-rallies-around-vandalized-business-505910551.html,,,,,,,
Lincoln Park,Lincoln Park Court,Wayne,MI,US,2019-02-15,NA,1,,1,,,general protestor,Civil Rights; For racial justice; For greater accountability; Police,0,protest,1,0,0,0,1,1,https://www.clickondetroit.com/news/belleville-man-protests-assault-charges-with-confederate-flag-alleges-racial-discrimination,https://na01.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.clickondetroit.com%2Fnews%2Fbelleville-man-protests-assault-charges-with-confederate-flag-alleges-racial-discrimination&data=02%7C01%7Cjeremy.pressman%40uconn.edu%7C4b502e4bb6c84a1124d008d693b4de34%7C17f1a87e2a254eaab9df9d439034b080%7C0%7C0%7C636858802372559965&sdata=0VP8eONb%2BxOlNxq1ekD1i3fr7IIxe848cAX0j4n3ZVE%3D&reserved=0,,,,,,
Louisville,Wheatley Elementary,Jefferson,KY,US,2019-02-15,,,,,,,general protestors,Education; Against closure/relocation,0,protest,0,0,0,0,1,1,https://www.wdrb.com/news/west-louisville-residents-protest-planned-closure-of-jcps-elementary-school/article_518d07b2-3191-11e9-8f86-0f39e513db5a.html,,,,,,,
New York,Trump Hotel Columbus Circle,New York,NY,US,2019-02-15,FB: 432,432,,432,,,Rise and Resist NY,Against Border Wall,1,protest,0,0,0,0,1,1,https://twitter.com/riseandresistny/status/1096509126048473089,https://www.facebook.com/events/738461629861369/,,,,,,
New York,Union Square,New York,NY,US,2019-02-15,,,,,,,RIse and Resist NY,Against Border Wall,1,protest,0,0,0,0,0,1,https://twitter.com/riseandresistny/status/1096509126048473089,,,,,,,
North Bergen,Ridgefield Park,Hudson,NJ,US,2019-02-15,more than a dozen,12,,12,,,Food & Water Watch- NJ,Against fossil fuels; Environment; Utility,0,protest,0,0,0,0,1,1,https://www.nj.com/hudson/2019/02/residents-officials-rally-against-nj-proposed-power-plant.html,,,,,,,
Olympia,Capitol,Thurston,WA,US,2019-02-15,about 50,50,,50,,,general protestors,pro gun rights,2,protest,0,0,0,0,1,1,http://www.spokesman.com/stories/2019/feb/15/gun-rights-51st-state-are-linked-shea-tells-rally/,,,,,,,
Pittsboro,Historic Courthouse,Chatham,NC,US,2019-02-15,FB:12,12,,12,,,Haw River Assembly,Environment; Against tree removal,1,protest,0,0,0,0,1,1,https://www.newsobserver.com/news/local/article226279615.html,https://www.facebook.com/events/623219838099240/,,,,,,
South Lake Tahoe,Barton Memorial Hospital,El Dorado,CA,US,2019-02-15,,,,,,,California Nurses Association,Collective Bargaining; For better compensation,0,strike,0,0,0,0,1,1,https://www.kolotv.com/content/news/South-Tahoe-nurses-may-strike-protest-lockout-505542191.html,,, Strike cancelled,,,,
La Crosse,Bullet Cab Company,La Crosse,WI,US,2019-02-15,More than 100,100,,100,,,La Crosse residents,Anti-Hate,0,Protest,0,0,0,0,1,1,https://www.weau.com/content/news/Community-rallies-around-vandalized-business-505910551.html,,,,,,,
Albertson,Pups4Love,Nassau,NY,US,2019-02-16,dozens,24,,24,,,general protestors,For animal welfare; Other,0,protest,0,0,0,0,1,1,https://theislandnow.com/new_hyde_park-108/dozens-crowd-curb-at-pups4love-protest/,,,,,,,
Boulder,Central Park,Boulder,CO,US,2019-02-16,more than 100,100,,100,,,general protestors,For animal welfare,0,march,0,0,0,0,1,1,http://www.dailycamera.com/news/boulder/ci_32457605/changing-face-animal-rights-activism-evidence-saturday-at,,,,,,,
Bradford,Veteran's Square,McKean,PA,US,2019-02-16,about 50,50,,50,,,general protestors,Civil Rights; For women's rights; Women's March,1,protest,0,0,0,0,1,1,http://www.oleantimesherald.com/news/crowds-brave-the-cold-to-march-for-women-in-bradford/article_e8fcb718-3273-11e9-8029-3fa1e404544a.html,,,,,,,
El Paso,National Border Patrol Museum,El Paso,TX,US,2019-02-16,about two dozen,24,,24,,,general protestors,For compassionate immigration; Immigration,1,protest,0,0,0,0,1,1,https://www.elpasotimes.com/story/news/crime/2019/02/18/national-border-patrol-museum-el-paso-protest-sparks-vandalism-claims/2907603002/,,,,,,,
Fishers,Hamilton Southeastern High School,Hamilton,IN,US,2019-02-16,,,,,,,general protestors,Against sexual/domestic violence; Other,0,protest,0,0,0,0,1,1,https://fox59.com/2019/02/16/harassment-allegations-surrounding-fishers-high-school-swimmer-spark-controversy-and-protest/,,,,,,,
Hackensack,Bergen County Courthouse,Bergen,NJ,US,2019-02-16,more than 50,50,,50,,,general protestors,Guns; For greater gun control,1,march,0,0,0,0,1,1,https://www.northjersey.com/story/news/2019/02/16/march-against-violence-hackensack/2891594002/,,,,,,,
Hammonton,,Atlantic,NJ,US,2019-02-16,,,,,,,general protestors,For animal welfare,0,protest,,,,,1,1,https://philadelphia.cbslocal.com/2019/02/15/first-annual-family-friendly-squirrel-hunting-competition-causing-uproar-in-south-jersey/,,,,,,,
Holland,Centennial Park,Ottawa,MI,US,2019-02-16,about 40,40,,40,,,Holland United Church of Christ,Immigration; Against border wall,1,rally,0,0,0,0,1,1,https://www.hollandsentinel.com/news/20190216/holland-church-rallies-against-border-wall,,,,,,,
Minneapolis,Walker United Methodist Church,Hennepin,MN,US,2019-02-16,hundreds,200,,200,,,Minnesota Caravan Solidarity coalition; Minnesota Immigrant Rights Action Committee (MIRAC); Anti-War Committee; Hands off Honduras,Immigration; Against border wall,1,protest,0,0,0,0,1,1,http://www.fightbacknews.org/2019/2/18/minneapolis-erupts-protest-over-trump-s-national-emergency-declaration,,,,,,,
Mission,Bentsen Rio Grande Valley State Park,Hidalgo,TX,US,2019-02-16,FB: 150,150,,150,,,Texas Civil Rights Project,Anti Border Wall; national emergency,1,protest,0,0,0,0,1,1,https://twitter.com/TXCivilRights/status/1096533382790549505,https://www.facebook.com/events/255386538709135/,,,,,,
San Diego,San Diego County Family Court ,San Diego,CA,US,2019-02-16,,,,,,,general protestors,Immigration; For greater immigration constraints,0,protest,0,0,0,0,1,1,https://www.10news.com/news/local-news/demonstrators-protest-opening-of-new-migrant-shelter-in-downtown,,,,,,,
Wilmington,Rodney Square,New Castle,DE,US,2019-02-16,,,,,,,general protestors,Immigration; Against border wall,1,protest,0,0,0,0,1,1,https://www.delawareonline.com/story/news/2019/02/16/protesters-denounce-trumps-wall-emergency-declaration-wilmington/2883438002/,,,,,,,
Aurora,,DuPage,IL,US,2019-02-17,more than 1500,1500,,1500,,,general protestors,remember shooting victims,0,prayer vigil,0,0,0,0,1,1,https://newyork.7a7.info/2019/02/18/new-york-news/more-than-1500-attend-vigil-for-aurora-shooting-victims/,,,,,,,
Columbia,Boone County Courthouse,Boone,MO,US,2019-02-17,more than 40,40,,40,,,CoMo for Progress; PeaceWorks; Indivisble; MoveOn,Immigration; Against border wall,1,rally,0,0,0,0,1,1,https://www.columbiamissourian.com/news/local/sunday-rally-draws-crowd-chants-there-s-no-national-emergency/article_e467ca84-32f1-11e9-8eed-332f26191111.html,,,,,,,
El Paso,San Jacinto Plaza,El Paso,TX,US,2019-02-17,,,,,,,Teachers and immigration activists,Teachers and immigration activists,1,protest,0,0,0,0,1,1,https://kfoxtv.com/news/local/teachers-from-us-and-mexico-protest-in-first-rally-of-its-kind,,,,,,,
Kingston,On State Route 104 near the Kingston ferry terminal,Kitsap,WA,US,2019-02-17,,,,,,,general protestors,Against Trump's national emergency declaration,1,protest,,,,,,1,https://www.crisisresponse.us/event/crisis-response/124603/signup/,,,,,,,
New York,Bronx,Bronx,NY,US,2019-02-17,,,,,,,United Bodegas of America,For marijuana; Other,0,rally,0,0,0,0,1,1,https://pix11.com/2019/02/18/ny-bodega-owners-rally-for-right-to-sell-marijuana-if-its-legalized/,,,,,,,
Simpsonville,Five Forks Branch Library,Johnson,SC,US,2019-02-17,dozens,24,,24,,,Greenville Sisters of Perpetual Indulgence,anti-LGBTQ,2,protest,0,0,0,0,1,1,https://www.greenvilleonline.com/story/news/2019/02/17/drag-queen-story-hour-greenville-five-forks/2898711002/,,,,,,,
Simpsonville,Five Forks Branch Library,Johnson,SC,US,2019-02-17,hundreds,200,,200,,,Drag Queen Story Hour; Moms Liberal Happy Hour SC,Civil Rights; Pro-LGBTQ; Counter protest,1,protest,0,0,0,0,0,1,https://www.thestate.com/news/state/south-carolina/article225609940.html,https://www.greenvilleonline.com/story/news/2019/02/17/drag-queen-story-hour-greenville-five-forks/2898711002/,,,,,,
Tornillo,Tornillo Detention Center,El Paso,TX,US,2019-02-17,several hundred,300,,300,,,Teachers Against Child Detention,Immigration; For compassionate immigration,1,rally,0,0,0,0,1,1,https://www.timesunion.com/news/article/Teacher-of-immigrants-is-joining-nationwide-13620459.php,https://www.ktuu.com/content/news/Alaskan-educators-participate-in-national-rally-to-draw-attention-to-border-camps--505992721.html,,,,,,
Towson,Maryland Presbyterian Church,Baltimore,MD,US,2019-02-17,FB: 33,33,,33,,,Maryland Presbyterian Church,For greater inclusion; Civil Rights,0,rally,0,0,0,0,1,1,https://www.baltimoresun.com/news/maryland/baltimore-county/towson/ph-tt-maryland-presbyterian-vandalism-20190214-story.html,https://www.facebook.com/events/249746119236430/,,,,,,
Williamsport,Market Square,Lycoming,PA,US,2019-02-17,,,,,,,general protestors,Against Trump's national emergency declaration,1,protest,,,,,1,1,https://www.crisisresponse.us/event/crisis-response/124574/signup/,,,,,,,
Albany,"Across from Albany Community Center and Library, northeast corner of Marin and Masonic on the Ohlone Greenway",Alameda,CA,US,2019-02-18,,,,,,,general protestors,Against Trump's national emergency declaration,1,protest,,,,,1,1,https://www.crisisresponse.us/event/crisis-response/16312/signup/,,,,,,,
Alpine,Wall of Pioneers at Amtrak Station on Holland,Brewster,TX,US,2019-02-18,,,,,,,general protestors,Against Trump's national emergency declaration,1,protest,,,,,1,1,https://www.crisisresponse.us/event/crisis-response/124445/signup/,,,,,,,
Amherst,Town Common,Hampshire,MA,US,2019-02-18,,,,,,,general protestors,Against Trump's national emergency declaration,1,protest,,,,,1,1,https://www.crisisresponse.us/event/crisis-response/16787/signup/,,,,,,,
Andover,Shawsheen Square - intersection of routes 28 and 133,Essex,MA,US,2019-02-18,about 30,30,,30,,,MoveOn,Against Trump's national emergency declaration,1,protest,0,0,0,0,1,1,https://www.crisisresponse.us/event/crisis-response/124607/signup/,https://www.eagletribune.com/news/merrimack_valley/locals-protest-trump-s-national-emergency/article_2386b8d0-4fcc-57e9-a611-9bed584cb550.html,,,,,,
Ann Arbor,Federal Building,Washtenaw,MI,US,2019-02-18,about 120,120,,120,,,MoveOn,Against Trump's national emergency declaration,1,protest,0,0,0,0,1,1,https://www.crisisresponse.us/event/crisis-response/124554/signup/,https://www.livingstondaily.com/story/news/local/community/howell/2019/02/18/national-emergency-declaration-draws-protest-support-howell-president-donald-trump-border-wall/2906121002/,https://www.mlive.com/news/ann-arbor/2019/02/trumps-national-emergency-is-authoritarian-step-protestors-say.html,,,,,
Asheboro,Old Randolph County Courthouse,Randolph,NC,US,2019-02-18,,,,,,,general protestors,Against Trump's national emergency declaration,1,protest,,,,,1,1,https://www.crisisresponse.us/event/crisis-response/124661/signup/,,,,,,,
Ashland,Ashland Plaza,Jackson,OR,US,2019-02-18,some 200,200,,200,,,MoveOn,Against Trump's national emergency declaration,1,protest,0,0,0,0,1,1,https://www.crisisresponse.us/event/crisis-response/124436/signup/,http://dailytidings.com/news/top-stories/protesters-march-over-trump-action-02-19-2019,,,,,,
Atlanta,Outside Atlanta ICE office,Fulton,GA,US,2019-02-18,more than 100,100,,100,,,MoveOn,Against Trump's national emergency declaration,1,protest,0,0,0,0,1,1,https://www.crisisresponse.us/event/crisis-response/124553/signup/,https://www.ajc.com/news/protesters-demonstrate-atlanta-against-trump-emergency-declaration/OTKz7o13fFQE20usolY85I/,,,,,,
Auburn,Homewood Terrace,King,WA,US,2019-02-18,,,,,,,general protestors,Against Trump's national emergency declaration,1,protest,,,,,1,1,https://www.crisisresponse.us/event/crisis-response/124611/signup/,,,,,,,
Augusta,Federal Building,Kennebec,ME,US,2019-02-18,more than 30,30,,30,,,MoveOn; Capitol Area Indivisible,Against Trump's national emergency declaration,1,protest,0,0,0,0,1,1,https://www.crisisresponse.us/event/crisis-response/124621/signup/,https://www.centralmaine.com/2019/02/18/dozens-protest-trumps-emergency-declaration-in-augusta/,,,,,,
Austin,Republic Square Park,Travis,TX,US,2019-02-18,roughly 300; estimated 350,300,,350,,,MoveOn ,Against Trump's national emergency declaration,1,protest,0,0,0,0,1,1,https://www.crisisresponse.us/event/crisis-response/17646/signup/,https://twitter.com/KoskionFOX7/status/1097558646127439872,https://www.statesman.com/news/20190218/austin-protesters-speak-out-against-trumps-national-emergency-declaration-border-wall,,,,,
Bangor,Federal Building,Penobscot,ME,US,2019-02-18,dozens,24,,24,,,Move On,Against Trump's national emergency declaration,1,protest,0,0,0,0,1,1,https://www.crisisresponse.us/event/crisis-response/124588/signup/,https://bangordailynews.com/2019/02/19/news/state/mainers-rally-to-protest-trumps-border-emergency-declaration/,,,,,,
Bar Harbor,,Hancock,ME,US,2019-02-18,count picture,16,,16,,,general protestors,Against Trump's national emergency declaration,1,protest,,,,,1,1,https://twitter.com/Indivisible_MDI/status/1097499845122838529,,,,,,,
Baton Rouge,State Capitol,East Baton Rouge,LA,US,2019-02-18,,,,,,,general protestors,Against Trump's national emergency declaration,1,protest,,,,,1,1,https://www.crisisresponse.us/event/crisis-response/16782/signup/,,,,,,,
Beacon,Polhill Park,Dutchess,NY,US,2019-02-18,,,,,,,general protestors,Against Trump's national emergency declaration,1,protest,,,,,1,1,https://www.crisisresponse.us/event/crisis-response/124534/signup/,https://www.poughkeepsiejournal.com/story/news/local/2019/02/18/trumps-border-wall-emergency-declaration-protested-supported-locally/2906825002/,,,,,,
Bel Air,Outside Rep. Andy Harris's office,Harford,MD,US,2019-02-18,more than 50,50,,50,,,MoveOn,Against Trump's national emergency declaration,1,protest,0,0,0,0,1,1,https://www.crisisresponse.us/event/crisis-response/124523/signup/,https://www.baltimoresun.com/news/maryland/harford/aegis/ph-ag-bel-air-emergency-protest-0220-story.html,,,,,,
