CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,Source5,Source6,
Boston,outside statehouse,MA,US,2018-06-02,a few dozen,36,,36,,,Resist Marxism,support gun rights and second amendment,2,protest,0,0,0,0,1,1,http://www.bostonherald.com/news/local_coverage/2018/06/gun_activists_protest_proposed_red_flag_legislation,https://www.bostonglobe.com/metro/2018/06/02/gun-rights-demonstrators-clash-with-counterprotesters-state-house-rally/Bpsi26dx0UEzi3IJHjea7J/story.html,,,,,,
Boston,outside statehouse,MA,US,2018-06-02,more than 100,100,,100,,,Showing Up for Racial Justice Boston,support gun reform and gun safety; counter-protest against alt-Right,1,protest,0,0,0,0,1,1,http://www.bostonherald.com/news/local_coverage/2018/06/gun_activists_protest_proposed_red_flag_legislation,https://www.bostonglobe.com/metro/2018/06/02/gun-rights-demonstrators-clash-with-counterprotesters-state-house-rally/Bpsi26dx0UEzi3IJHjea7J/story.html,,,,,,
Bourne,Midway Recreation Area/Cape Cod Canal,MA,US,2018-06-02,,,,,,,Moms Demand Action,support gun reform and gun safety,1,rally,,,,,1,1,everytown.org,,,#wearorange,,,,
Bozeman,outside Gallatin County Courthouse ,MT,US,2018-06-02,,,,,,,Moms Demand Action,support gun reform and gun safety,1,rally; vigil,,,,,1,1,everytown.org,,,#wearorange,,,,
Bridgewater ,Bridgewater Train Station,NJ,US,2018-06-02,,,,,,,Moms Demand Action,support gun reform and gun safety,1,rally,,,,,1,1,everytown.org,,,#wearorange,,,,
Brunswick,Little Dog Coffee Shop; march to the Green Bridge and back,ME,US,2018-06-02,,,,,,,Moms Demand Action,support gun reform and gun safety,1,march,,,,,1,1,everytown.org,,,#wearorange,,,,
Cape Girardeau,Indian Park to Ranney Park,MO,US,2018-06-02,,,,,,,Moms Demand Action,support gun reform and gun safety,1,rally; march,,,,,1,1,everytown.org,,,#wearorange,,,,
Cedar Rapids,Greene Square Park,IA,US,2018-06-02,,,,,,,Moms Demand Action,support gun reform and gun safety,1,rally,,,,,1,1,everytown.org,,,#wearorange,,,,
Charleston,Haddad River Front Park,WV,US,2018-06-02,,,,,,,Moms Demand Action,support gun reform and gun safety,1,walk,,,,,1,1,everytown.org,,,#wearorange,,,,
Chicago,Hadiya Pendleton Park,IL,US,2018-06-02,,,,,,,Moms Demand Action,support gun reform and gun safety,1,rally,,,,,1,1,everytown.org,,,#wearorange,,,,
Chicago,,IL,US,2018-06-02,,,,,,,sex workers; general protestors,support sex workers; end criminalization of sex work; against FOSTA,0,protest,,,,,0,1,https://jezebel.com/hundreds-of-sex-workers-rally-for-international-whores-1826512163,,,,,,,
Cincinnati,Washington Park,OH,US,2018-06-02,FB: 112,112,,112,,,Moms Demand Action,support gun reform and gun safety,1,rally,0,0,0,0,1,1,everytown.org,https://www.facebook.com/events/883097521873460/,,#wearorange,,,,
Cleveland,The Boys and Girls Club of Cleveland,OH,US,2018-06-02,FB: 21,21,,21,,,Moms Demand Action,support gun reform and gun safety,1,rally,,,,,1,1,https://www.facebook.com/events/409750672823666/,,,,,,,
Coos Bay,Boardwalk,OR,US,2018-06-02,,,,,,,Moms Demand Action,support gun reform and gun safety,1,rally,,,,,1,1,everytown.org,,,#wearorange,,,,
Corpus Christi,Cole Park,TX,US,2018-06-02,,,,,,,Moms Demand Action,support gun reform and gun safety,1,walk,,,,,1,1,everytown.org,,,#wearorange,,,,
Cumberland,Allegheny Courthouse to Cumberland City Hall,MD,US,2018-06-02,,,,,,,Moms Demand Action,support gun reform and gun safety,1,rally; march,,,,,1,1,everytown.org,,,#wearorange,,,,
Dallas,Oak Highlands Brewery,TX,US,2018-06-02,,,,,,,Moms Demand Action,support gun reform and gun safety,1,rally,,,,,1,1,everytown.org,,,#wearorange,,,,
Danville,Corner of Main St and Kentucky Ave,IL,US,2018-06-02,,,,,,,Moms Demand Action,support gun reform and gun safety,1,march,,,,,1,1,everytown.org,,,#wearorange,,,,
Denton,Backyard on Bell,TX,US,2018-06-02,,,,,,,Moms Demand Action,support gun reform and gun safety,1,rally,,,,,1,1,everytown.org,,,#wearorange,,,,
Denver,Barnum Park,CO,US,2018-06-02,,,,,,,Moms Demand Action,support gun reform and gun safety,1,rally,,,,,1,1,everytown.org,,,#wearorange,,,,
Des Moines,Union Park,IA,US,2018-06-02,,,,,,,Moms Demand Action,support gun reform and gun safety,1,rally,,,,,1,1,everytown.org,,,#wearorange,,,,
Dothan,Angel of Hope @ Westgate Park,AL,US,2018-06-02,FB: 11,11,,11,,,Moms Demand Action,support gun reform and gun safety,1,demonstration; moment of silence,,,,,1,1,everytown.org,https://www.facebook.com/events/1004638389692930/,,#wearorange,,,,
Duluth,Corner of Lake Avenue and Superior Street,MN,US,2018-06-02,,,,,,,Moms Demand Action,support gun reform and gun safety,1,protest,,,,,1,1,everytown.org,,,#wearorange,,,,
Durango,Buckley Park,CO,US,2018-06-02,,,,,,,Moms Demand Action Durango,support gun reform and gun safety,1,rally,,,,,1,1,everytown.org,,,#wearorange,,,,
Durham,,NC,US,2018-06-02,,,,,,,general protestors,end gun violence,1,march,0,0,0,0,1,1,https://www.wral.com/picnic-protest-draw-awareness-seek-end-to-gun-violence/17599934/,,,,,,,
Eau Claire,First Presbyterian Church,WI,US,2018-06-02,,,,,,,Moms Demand Action,support gun reform and gun safety,1,vigil,,,,,1,1,everytown.org,,,#wearorange,,,,
Ellicott City,VFW Post 7472,MD,US,2018-06-02,,,,,,,Moms Demand Action,support gun reform and gun safety,1,rally,,,,,1,1,everytown.org,,,#wearorange,,,,
Evanston,Fountain Square,IL,US,2018-06-02,,,,,,,Moms Demand Action,support gun reform and gun safety,1,rally,,,,,1,1,everytown.org,https://dailynorthwestern.com/2018/06/01/city/evanston-residents-to-rally-in-fountain-square-for-national-gun-violence-awareness-efforts/,,#wearorange,,,,
Fernandina Beach,Peters Point,FL,US,2018-06-02,na,10,,10,,,general protestors,protest new beach law,0,protest,0,0,0,0,1,1,https://www.actionnewsjax.com/news/local/fernandina-beach-locals-protesting-new-law-that-restricts-beach-access/762038314,,,,,,,
Fredericksburg,St. George Episcopal Church,VA,US,2018-06-02,FB: 25,25,,25,,,Moms Demand Action's Rappahannock-area group,support gun reform and gun safety,1,vigil,0,0,0,0,1,1,everytown.org,https://www.facebook.com/events/1112869522188110/?active_tab=about,,#wearorange,,,,
Great Falls,Gibson Park,MT,US,2018-06-02,,,,,,,Moms Demand Action,support gun reform and gun safety,1,rally,,,,,1,1,everytown.org,,,#wearorange,,,,
Greenville,Pitt Street Brewing Company,NC,US,2018-06-02,about 50,50,,50,,,Moms Demand Action,support gun reform and gun safety,1,rally,0,0,0,0,1,1,http://www.reflector.com/News/2018/06/05/Locals-Wear-Orange-and-rally-for-gun-reform.html,,,,,,,
Greenville,One City Plaza,SC,US,2018-06-02,,,,,,,Moms Demand Action,support gun reform and gun safety,1,rally,,,,,1,1,everytown.org,,,#wearorange,,,,
Hamilton,Hamilton NJ Transit Station,NJ,US,2018-06-02,,,,,,,Moms Demand Action,support gun reform and gun safety,1,rally,,,,,1,1,everytown.org,,,#wearorange,,,,
Hammond,Harrison Park,IN,US,2018-06-02,,,,,,,Moms Demand Action,support gun reform and gun safety,1,walk,,,,,1,1,everytown.org,,,#wearorange,,,,
Hillsboro,First Congregational Church,OR,US,2018-06-02,,,,,,,Moms Demand Action,support gun reform and gun safety,1,rally; march,,,,,1,1,everytown.org,,,#wearorange,,,,
Holyoke,City Hall ,MA,US,2018-06-02,,,,,,,Moms Demand Action,support gun reform and gun safety,1,rally,,,,,1,1,everytown.org,,,#wearorange,,,,
Houston,,TX,US,2018-06-02,,,,,,,general protestors,end gun violence,1,march,0,0,0,0,1,1,http://minnesota.cbslocal.com/2018/06/03/adrian-peterson-gun-protest/,,,,,,,
Inverness,Inverness Government Center,FL,US,2018-06-02,,,,,,,Moms Demand Action,support gun reform and gun safety,1,march,,,,,1,1,everytown.org,,,#wearorange,,,,
Jacksonville,Bruce Park,FL,US,2018-06-02,,,,,,,Moms Demand Action,support gun reform and gun safety,1,rally,,,,,1,1,everytown.org,,,#wearorange,,,,
Johnson City,Carver Park,TN,US,2018-06-02,,,,,,,Moms Demand Action,support gun reform and gun safety,1,rally; walk,,,,,1,1,everytown.org,,,#wearorange,,,,
Juneau,capitol ,AK,US,2018-06-02,,,,,,,Moms Demand Action,support gun reform and gun safety,1,rally,,,,,1,1,everytown.org,,,#wearorange,,,,
Kennebunk,town hall,ME,US,2018-06-02,,,,,,,Moms Demand Action,support gun reform and gun safety,1,rally,,,,,1,1,everytown.org,,,#wearorange,,,,
Kent,Golden Falcon Field,CT,US,2018-06-02,,,,,,,Moms Demand Action,support gun reform and gun safety,1,rally,,,,,1,1,everytown.org,,,#wearorange,,,,
Kittery,John Paul Jones Memorial Park,ME,US,2018-06-02,hundreds,200,,200,,,Moms Demand Action,support gun reform and gun safety,1,walk,,,,,1,1,everytown.org,http://www.fosters.com/news/20180601/hundreds-join-march-to-end-gun-violence,,#wearorange,,,,
Lafayette,Festival Plaza,CO,US,2018-06-02,,,,,,,Moms Demand Action,support gun reform and gun safety,1,rally,,,,,1,1,everytown.org,,,#wearorange,,,,
