CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,Source5,Source6,
Chicago,Saint Sabina Church,IL,US,2018-06-15,several hundred,300,,300,,,March for Our Lives; general protestors,support gun control,1,rally,0,0,0,0,1,1,https://chicago.suntimes.com/news/parkland-chance-the-rapper-jennifer-hudson-gun-violence/,,,,,,,
Chicago,,IL,US,2018-06-15,thousands,2000,,2000,,,March for Our Lives; general protestors,support gun control,1,march,0,0,0,0,0,1,https://www.cnn.com/2018/06/16/us/parkland-students-tour-chicago-rally/index.html,,,,,,,
Fort Worth,University Drive near US Rep. Kay Granger's office; near 1701 River Run,TX,US,2018-06-15,na,79,,79,,,Patriots for the Children; general protestors,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://www.star-telegram.com/news/local/community/fort-worth/article213173829.html,https://www.star-telegram.com/news/local/community/fort-worth/article213173829.html,,,,,,
Jacksonville,,FL,US,2018-06-15,over 60,60,,60,,,general protestors,rallying for police accountability,1,protest,0,0,0,0,1,1,http://www.fightbacknews.org/2018/6/22/baker-county-fl-rallies-police-accountability,,,,,,,
Kelso,Cowlitz County Administrative Building,WA,US,2018-06-15,about 45,45,,45,,,general protestors,protesting Commissioner Dennis Weber's support for the Millennium Bulk Terminals project,1,protest,0,0,0,0,1,1,https://tdn.com/news/local/protesters-to-rally-against-commissioner-s-support-for-millennium-coal/article_7c95ab5f-a4b6-5a18-8272-5e33092698b7.html,https://tdn.com/news/local/anti-coal-protesters-accuse-commissioner-of-going-too-far-on/article_cf05fbcf-23a2-5dfd-8036-ef5d94554335.html,,,,,,
Langhorne,Representative Brian Fitzpatrick's office; 1717 Langhorne Yardley Rd,PA,US,2018-06-15,FB: 65,65,,65,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/2556985247859197/,,,,,,,
Macon,downtown Macon,GA,US,2018-06-15,several hundred,300,,300,,,general protestors,protesting planned opening of Summit Medical Centers; anti-abortion,2,protest; march,0,0,0,0,1,1,https://www.macon.com/latest-news/article213156164.html,,,,,,,
Pensacola,Lee Square,FL,US,2018-06-15,two dozen,24,,24,,,general protestors,Calling for removal of Confederate monument,0,protest,0,0,0,0,1,1,https://www.liberationnews.org/take-em-pensacola-activists-protest-confederate-monument-lee-square/,,,,,,,
Rochester,"Frank Rewold and Son, Inc. Headquarters",MI,US,2018-06-15,about 20,20,,20,,,general protestors,Protesting appearance by Mike Pence,1,protest,0,0,0,0,1,1,http://www.fox2detroit.com/news/local-news/vice-president-mike-pence-visits-rochester-to-talk-tax-cuts,,,,,,,
Roxbury,Whittier Street Health Center,MA,US,2018-06-15,dozens,24,,24,,,health workers,Rallying against layoffs,0,rally,0,0,0,0,1,1,http://workersworldtoday.com/2018/06/16/health-center-workers-rally-against-layoffs/,,,,,,,
San Francisco,ICE headquarters in SF,CA,US,2018-06-15,hundreds,200,,200,,,general protestors,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://www.nbcbayarea.com/news/local/San-Francisco-Residents-Protest-New-Immigration-Laws-485731561.html,,,,,,,
San Jose,outside Adobe headquarters,CA,US,2018-06-15,dozens,24,,24,,,SEUI security officers,Protesting for higher wages,0,protest,0,0,0,0,1,1,https://www.eastbaytimes.com/2018/06/15/these-are-poverty-level-jobs-in-facebook-silicon-valley-security-officers-protest-for-better-wages/,,,,,,,
Scranton,Lackawanna College,PA,US,2018-06-15,more than 100,100,,100,,,general protestors,against jailing and separating immigrant children from their families; protest visit by US AG Sessions,1,protest,0,0,0,0,1,1,http://www.pahomepage.com/news/protest-in-scranton-during-us-attorney-general-s-visit/1241889479,,,,,,,
Springfield,Main Street,MA,US,2018-06-15,more than two dozen,24,,24,,,general protestors,Rally for Puerto Rican independence,0,rally,0,0,0,0,1,1,https://www.masslive.com/news/index.ssf/2018/06/puerto_rican_independence_acti.html,,,,,,,
St Louis,The Muny,MO,US,2018-06-15,about 15,15,,15,,,theater artists,Protesting white actor's role as Tuptim,0,protest,0,0,0,0,1,1,https://www.stltoday.com/entertainment/arts-and-theatre/culture-club/theater-artists-here-for-conference-protest-jerome-robbins-broadway-at/article_800099a8-152a-5799-ab7d-fa0b57dbbef7.html,,,,,,,
The Woodlands,The Westin Hotel,TX,US,2018-06-15,FB: 4,4,,4,,,general protestors,Opposing the proposed Rio Grande LNG terminal at the Port of Brownsville and corresponding 140-mile Rio Bravo pipeline,0,protest,0,0,0,0,1,1,https://www.brownsvilleherald.com/news/local/activists-protest-lng-project/article_8ddcfffe-7113-11e8-9ec9-2b9d964410a7.html,https://www.facebook.com/events/392345377839994/,,,,,,
Twin Falls,Twin Falls County Courthouse,ID,US,2018-06-15,about 40,40,,40,,,Families Belong Together,against jailing and separating immigrant children from their families,1,rally,0,0,0,0,1,1,https://magicvalley.com/news/local/family-values-twin-falls-rally-protests-separation-of-immigrant-children/article_8ffc84a2-423b-5136-bb6a-6df57871ce71.html,,,,,,,
Victorville,Federal Correctional Institution,CA,US,2018-06-15,,,,,,,Prison staff,Protesting transfer of ICE detainees,0,protest,0,0,0,0,1,1,http://www.latimes.com/local/lanow/la-me-ln-victorville-immigration-20180615-story.html,,,,,,,
Aberdeen,City Hall,WA,US,2018-06-16,about 100,100,,100,,,Rev Michael Curry,Rallying for affordable housing,0,rally; vigil,0,0,0,0,1,1,http://www.vashonbeachcomber.com/northwest/bishop-curry-speaks-at-aberdeen-affordable-housing-rally/,,,,,,,
Belchertown,Swift River Sportsman's Club,MA,US,2018-06-16,more than 100,100,,100,,,Gun owners; Flag Day Second Amendment Rally attendees,Pro-Second Amendment ,2,rally,0,0,0,0,1,1,https://www.gazettenet.com/2nd-Amendment-rally-in-Belchertown-18186169,,,,,,,
Belchertown,Town Common,MA,US,2018-06-16,50 to 80,50,,80,,,Belchertown Voices for Justice; Belchertown United Church of Christ; Pioneer Valley Womens March; Springfield Teens for Action; general protestors,protesting gun violence ,1,counter-protest,0,0,0,0,0,1,https://www.gazettenet.com/2nd-Amendment-rally-in-Belchertown-18186169,,,,,,,
Bisbee,High Desert Market,AZ,US,2018-06-16,,,,,,,Bisbee Pride,Pro-LGBTQ,1,rallies; parade,0,0,0,0,1,1,https://www.bisbeepride.com/2018-schedule,,,,,,,
Columbus,Downtown,OH,US,2018-06-16,nearly 10000,10000,,10000,,,Stonewall Columbus,Pro-LGBTQ,1,rallies; parade,0,0,0,0,1,1,https://www.bizjournals.com/columbus/news/2018/06/17/photos-pride-parade-draws-huge-crowd-as-companies.html,http://www.wfmj.com/story/38442503/large-crowd-march-line-streets-for-columbus-pride-parade,,,,,,
Elm Grove,3226 Old Bailey Highway,NC,US,2018-06-16,roughly 50,50,,50,,,Nash Stop the Pipeline,against pipeline,0,protest walk,0,0,0,0,1,1,http://www.reflector.com/News/2018/06/14/Pipeline-opponents-plan-protest-walk.html,"http://www.wilsontimes.com/stories/protesters-rally-near-cooper-homestead,130524",,,,,,
Fort Myers Beach,Matazanas Pass Bridge,FL,US,2018-06-16,several dozen,34,,34,,,Southwest Florida Clean Water Movement,Protesting brown water in the Caloosahatchee River,0,protest,0,0,0,0,1,1,https://www.news-press.com/story/news/2018/06/16/protesters-rally-raise-awareness-movement-cleaner-caloosahatchee/704961002/,,,,,,,
Helena,Last Chance Gulch,MT,US,2018-06-16,hundreds,200,,200,,,Pride Montana,Pro-LGBTQ,1,parade; rallies,0,0,0,0,1,1,https://helenair.com/news/local/show-them-our-hearts-big-sky-pride-marks-th-year/article_63b80587-a843-5288-8908-3ec8c973542f.html,,,,,,,
Hendersonville,outside Historic Courthouse,NC,US,2018-06-16,about 50,50,,50,,,Progressive Organized Women,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,http://www.blueridgenow.com/news/20180616/protestors-rally-at-courthouse-over-immigration-actions,,,,,,,
Jeffersonville,Big Four Station Park,,US,2018-06-16,15 or so,15,,15,,,National Constitutional Coalition of Patriotic Americans; general protestors,Pro-Second Amendment ,2,rally,0,0,0,0,1,1,http://www.newsandtribune.com/news/small-group-rallies-in-jeffersonville-in-support-of-second-amendment/article_b5afd3d6-71b7-11e8-960a-c31b936d5203.html,,,,,,,
Los Angeles,Echo Park Ave,CA,US,2018-06-16,,,,,,,TPS Alliance,Marching for against ending TPS,1,march;rally,,,,,1,1,https://www.facebook.com/events/170140668995,,,,,,,
Mount Vernon,Memorial Field,NY,US,2018-06-16,hundreds,200,,200,,,general protestors,Rally for a more inclusive redevelopment of Memorial Field,0,rally,0,0,0,0,1,1,http://www.fios1news.com/lowerhudsonvalley/local-rally-in-mt-vernon%20#.W1T9VNJKjIU,,,,,,,
Nashville,along the route of the Atlantic Coast Pipeline,TN,US,2018-06-16,,,,,,,Nash Stop the Pipeline,protesting pipeline,0,protest,,,,,1,1,"http://www.wilsontimes.com/stories/pipeline-opponents-plan-protest-walk,129642",,,,,,,
Newburg,Memorial Park,OR,US,2018-06-16,,,,,,,Good Guys With Guns,opposing gun control legislation in oregon,2,rally,,,,,1,1,https://pamplinmedia.com/nbg/142-news/398392-293033-second-amendment-rally-saturday-at-memorial-park,,,,,,,
Norcross,Waffle House Headquarters,GA,US,2018-06-16,FB:14,14,,14,,,general protestors,protesting violent arrests at Waffle House locations ,0,protest,0,0,0,0,1,1,https://www.11alive.com/article/news/phaedra-parks-of-real-housewives-joins-waffle-house-protesters-sparks-race-conversation/85-564769647,https://www.facebook.com/events/379482415898087/,,,,,,
San Luis Obispo,Cal Poly Tech,CA,US,2018-06-16,about 100,100,,100,,,graduating students,Calling attention to perceived negligence by University President Armstrong,0,protest,0,0,0,0,1,1,https://www.keyt.com/news/education/cal-poly-students-refuse-to-handshake-with-president-armstrong-during-graduation/751991340,,,,,,,
Seattle,Waterfront,WA,US,2018-06-16,,,,,,,general protestors ,Rallying for the release of Lolita the whale into the ocean,0,rally,0,0,0,0,1,1,https://www.king5.com/article/news/local/activists-rally-to-bring-lolita-the-orca-home/281-565022567,,,,,,,
Sonora,Courthouse Park,CA,US,2018-06-16,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://actionnetwork.org/events/vigil-for-immigrant-children,,,,,,,
St. Johnsbury,United Community Church ,VT,US,2018-06-16,more than 100,100,,100,,,Vermont Workers Center,rally for medicare expansion,0,rally,0,0,0,0,1,1,http://www.mynbc5.com/article/dozens-rally-in-support-of-medicaid-expansion/21573605,https://www.facebook.com/events/186071102226777/,,,,,,
Staten Island,The Belvedere Club,NY,US,2018-06-16,,,,,,,Campaign for Dan Donovan,rally for Republican Dan Donovan,1,rally,0,0,0,0,1,1,https://www.silive.com/news/2018/06/mayor_rudy_giuliani_to_rally_w.html,,,,,,,
Stuart,Roosevelt Bridge,FL,US,2018-06-16,dozens,24,,24,,,general protestors,Protesting toxic algae,0,protest,0,0,0,0,1,1,https://www.wptv.com/news/region-martin-county/residents-protest-toxic-algae-in-stuart,,,,,,,
Virginia Beach,outside Sunsations,VA,US,2018-06-16,FB: 15,15,,15,,,Plight of the Hermies,protesting sale of wild hermit crabs as pets,0,protest,0,0,0,0,1,1,https://www.facebook.com/events/1042820929205210/,,,,,,,
Watchung,Watchung Town Green around Watchung Lake,NJ,US,2018-06-16,,,,,,,Coalition to Save Watchung Library,rally to save the Watchung Library,0,march; rally,0,0,0,0,1,1,https://www.mycentraljersey.com/story/news/local/somerset-county/2018/06/11/watchung-library-rally-june-16/686466002/,,,,,,,
Weirton,corner of Penco Road and Pennsylvania Avenue,WV,US,2018-06-16,,,,,,,Republican Executive Committee,Rallying for Second Amendment Rights,2,rally,0,0,0,0,1,1,http://www.heraldstaronline.com/news/local-news/2018/06/second-amendment-rally-in-weirton/,,,,,,,
Aurora,,IL,US,2018-06-17,,,,,,,general protestors,Pro-LGBTQ,1,march,,,,,1,1,https://www.thrillist.com/travel/nation/new-pride-parades-events#,,,,,,,
Boston ,outside ICE facility,MA,US,2018-06-17,hundreds,200,,200,,,general protestors,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,http://www.wcvb.com/article/hundreds-protest-family-separation-outside-boston-ice-facility/21580821,,,,,,,
Chicago,"Trinity United Church of Christ, 400 W 95th St",IL,US,2018-06-17,FB: 264,264,,264,,,Chicago Alliance Against Racist and Political Repression,support victims of police violence; celebrate release of wrongfully-convicted black and brown men,1,rally,,,,,1,1,https://www.facebook.com/events/205514776751929/,http://www.fightbacknews.org/2018/6/12/angela-davis-rally-freed-prisoners,,,,,,
Cocoa,Riverfront Park,FL,US,2018-06-17,about 50,50,,50,,,general protestors,Rallying against detaining immigrant children,1,rally,0,0,0,0,1,1,https://www.floridatoday.com/story/news/2018/06/17/organizers-hold-cocoa-rally-detained-immigrant-children/708905002/,,,,,,,
Denver,Civic Park,CO,US,2018-06-17,more than 100000,100000,,100000,,,PrideFest,pro-LBGTQ,1,parade; rallies,0,0,0,0,1,1,http://news.du.edu/thousands-gather-for-denver-pridefest/, https://kdvr.com/2018/06/17/thousands-attend-annual-denver-pridefest-parade/,,,,,,
Elizabeth,ICE Detention Center,NJ,US,2018-06-17,,,,,,,general protestors,Protesting separation of immigrant families,1,rally;protest,0,0,0,0,1,1,http://newjersey.news12.com/story/38442580/lawmakers-advocates-rally-to-support-immigrants-at-nj-detention-center,,,,,,,
Grand Junction,outside federal courthouse,CO,US,2018-06-17,about 150,150,,150,,,general protestors,Protesting Trump admin policy of separating immigrant families,1,protest,0,0,0,0,1,1,https://www.gjsentinel.com/news/western_colorado/locals-rally-to-protest-separating-kids-parents/article_0da1095e-72ba-11e8-a73d-10604b9f7e7c.html,,,,,,,
Harrisonburg,Court Square,VA,US,2018-06-17,dozens,24,,24,,,general protestors,Protesting separation of immigrant families,1,protest,0,0,0,0,1,1,http://www.whsv.com/content/news/People-in-Harrionsburg-rally-against-Trump-administration-separating-families-485784071.html,,,,,,,
McAllen,Border Patrol processing center,TX,US,2018-06-17,about a hundred,100,,100,,,general protestors,protesting the jailing and separation of immigrant children and families,1,protest,0,0,0,0,1,1,http://www.latimes.com/nation/la-na-texas-border-patrol-center-20180617-story.html,,,,,,,
Memphis,Court Square Park,TN,US,2018-06-17,,,,,,,Tri-State Black Pride,Pro-LGBTQ,1,rallies; parade,0,0,0,0,1,1,https://www.localmemphis.com/news/local-news/the-tri-state-black-pride-festival/1245418640,,,,,,,
Minneapolis,Franklin Avenue,MN,US,2018-06-17,na,1350,,1350,,,Minnesota Immigrant Rights Committee,Protesting separation of immigrant families,1,march,0,0,0,0,1,1,http://www.fightbacknews.org/2018/6/18/1350-march-against-separation-immigrant-families-father-s-day-minneapolis,,,,,,,
Patchogue,outside Rep Lee Zeldin's office,NY,US,2018-06-17,over 100,100,,100,,,general protestors,Vigil for separated immigrant families,1,protest; vigil,0,0,0,0,1,1,https://www.newsday.com/long-island/suffolk/immigration-protest-lee-zeldin-1.19274122,,,,,,,
Portland,Downtown,OR,US,2018-06-17,thousands,2000,,2000,,,Pride Portland,Pro-LGBTQ,1,rallies; parade,0,0,0,0,0,1,https://pamplinmedia.com/pt/9-news/398618-293179-rainbows-galore-at-2018-portland-pride-parade,,,,,,,
Portland,ICE office,OR,US,2018-06-17,up to 400,400,,400,,,Occupy ICE,Protesting ICE,1,protest,0,0,0,0,1,1,https://www.aljazeera.com/news/2018/06/occupyicepdx-protesters-occupy-ice-immigration-policy-180622080324188.html,,,Multiple day protest still occuring on the 22th,,,,
Richmond,outside ICE detention center,CA,US,2018-06-17,roughly 80 to 100,80,,100,,,general protestors,Protesting ICE,1,protest,0,0,0,0,1,1,https://www.eastbaytimes.com/2018/06/17/fathers-day-protest-outside-richmond-ice-facility-decries-family-separation-policy/,,,,,,,
Seattle,West Lake,WA,US,2018-06-17,100s,200,,200,,,general protestors,Rallying for immigrant families,1,rally,0,0,0,0,1,1,https://twitter.com/SuzannePhan/status/1008432639198445568,,,,,,,
Tornillo,to tent camp for immigrants,TX,US,2018-06-17,thousands; hundreds,200,,2000,,,general protestors,against jailing and separating immigrant children from their families,1,march,,,,,1,1,https://twitter.com/AmyLSchuh/status/1008933402228264960,https://www.cbsnews.com/news/thousands-protest-tent-city-tornillo-texas-trump-administration-family-separation-policy-2018-06-17/,https://www.npr.org/2018/06/17/620813068/hundreds-march-to-texas-tent-city-holding-detained-immigrant-kids,,,,,
Waterloo,Lincoln Park,IA,US,2018-06-17,about 150,150,,150,,,Cedar Valley Advocates for Immigrant and Refugee Rights; Americans for Democratic Action,Protesting the separation of immigrant families,1,vigil; protest,0,0,0,0,1,1,https://wcfcourier.com/news/local/immigration-rights-rally/article_f0bf83dd-764e-5898-8eff-b8e36de09145.html,,,,,,,
Albuquerque,,NM,US,2018-06-18,,,,,,,New Mexico Faith Coalition for Immigrant Justice,Rallying in support of Exslander Galindo Duarte,1,rally,0,0,0,0,1,1,https://www.krqe.com/news/albuquerque-metro/local-group-rallies-behind-man-who-might-be-deported/1246901261,,,,,,,
Byran,near Texas 8,TX,US,2018-06-18,about 130,130,,130,,,general protestors,Protesting separation of immigrant families,1,protest,0,0,0,0,1,1,https://www.theeagle.com/news/local/immigration-protest-in-bryan-draws--plus/article_6b4192c3-02dc-5240-a200-8ea5f3cd2d5d.html,,,,,,,
Chillcothe,outside Ross County Courthouse,OH,US,2018-06-18,at least 50,50,,50,,,general protestors,Rallying for stronger charges for the death of a local teenager,0,rally,0,0,0,0,1,1,https://www.chillicothegazette.com/story/news/crime/2018/06/18/dozens-rally-chillicothe-teen-found-dead-alley-bid-boost-charges-jason-bartley/712534002/,,,,,,,
Columbus,outside State Capitol building,OH,US,2018-06-18,dozens,24,,24,,,Poor People's Campaign,Protesting harmful legislation,1,protest,0,0,0,0,1,1,https://www.nbc4i.com/news/politics/ohio-statehouse-newsroom/two-perspectives-ohio-job-growth-applauded-while-the-poor-rally-in-the-street-below/1247603484,,,,,,,
Detroit,federal court building,MI,US,2018-06-18,,,,,,,ACLU; Code Legal Aid,Protesting ICE,1,protest,0,0,0,0,1,1,https://www.clickondetroit.com/news/critical-deportation-hearing-sparks-protest-in-downtown-detroit,,,,,,,
Detroit,,MI,US,2018-06-18,,,,,,,Michigan Poor People's Campaign,Protesting water shut-offs in poor neighborhoods,1,protest,23,0,0,0,0,1,https://www.mlive.com/news/detroit/index.ssf/2018/06/23_protesters_arrested_for_blo.html,,,,,,,
Frankfort,outside State Capitol building,KY,US,2018-06-18,,,,,,,Poor People's Campaign,Protesting anti-poor policies,1,protest,,,,,1,1,https://www.courier-journal.com/picture-gallery/news/local/2018/06/18/poor-peoples-campaign-rally-at-kentucky-state-capitol/36149869/,,,,,,,
Fresno,outside Harris Construction,CA,US,2018-06-18,,,,,,,general protestors,Protesting Ivanka Trump fundraiser,1,protest,0,0,0,0,1,1,https://www.visaliatimesdelta.com/story/news/2018/06/18/ivanka-trump-lands-fresno-protesters-greet-daughter-donald-trump/710591002/,,,,,,,
Hillsboro,Washington County courthouse,OR,US,2018-06-18,,,,,,,Interfaith Movement for Immigrant Justice,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://pamplinmedia.com/ht/117-hillsboro-tribune-news/398665-293524-christians-gather-to-protest-zero-tolerance-immigration-policy,,,,,,,
Jackson,Outside Governor's Mansion,MS,US,2018-06-18,Approximately 30,30,,30,,,Poor People's Campaign,Protesting the State Flag; Racism,1,protest,0,0,0,0,1,1,https://www.huffingtonpost.com/entry/mississippi-confederate-flag-burned_us_5b29515fe4b0a4dc99219d94?ncid=tweetlnkushpmg00000051,,,,,,,
Johnson City,City Hall,TN,US,2018-06-18,over a dozen,12,,12,,,general protestors,Protesting Phil Roe's press conference; separation of immigrant families,1,protest,0,0,0,0,1,1,https://www.johnsoncitypress.com/Politics/2018/06/18/Demonstrators-concerned-about-immigration-policies-crash-Roe-s-reelection-campaign-announcement.html?ci=stream&lp=4&p=1,,,,,,,
Lansdowne,Lansdowne Avenue and Baltimore Pike,PA,US,2018-06-18,about 30,30,,30,,,general protestors,Protesting separation of immigrant families,1,protest,0,0,0,0,1,1,http://www.dailylocal.com/general-news/20180619/protesters-rally-against-trumps-child-separation-policy,,,,,,,
Montgomery,State Capitol,AL,US,2018-06-18,FB:34,34,,34,,,Poor People's Campaign,Rallying against poverty,1,rally;demonstration,0,0,0,0,1,1,https://www.facebook.com/events/1922225274477361/,,,,,,,
New Orleans,outside Morial Convention Center,LA,US,2018-06-18,,,,,,,general protestors,Protesting Jeff Sessions; immigrant family separations,1,protest,0,0,0,0,1,1,http://www.kplctv.com/story/38451913/as-ag-sessions-addresses-sheriffs-group-protesters-clash-with-law-enforcement,https://www.nola.com/crime/index.ssf/2018/06/immigration_protestors_detaine.html,,,,,,
New York,corner of West 231st and Kingsbridge Avenue,NY,US,2018-06-18,,,,,,,North Bronx Racial Justice,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,"http://riverdalepress.com/stories/a-neighborhood-comes-together-to-protest-family-separation,66030",,,,,,,
Newhall,outside school district office,CA,US,2018-06-18,about 100,100,,100,,,teachers,Protesting for higher wages,0,protest,0,0,0,0,1,1,https://signalscv.com/2018/06/newhall-teachers-protest-during-contract-negotiations/,,,,,,,
Oklahoma City,outside Senator Lankford's office,OK,US,2018-06-18,,,,,,,general protestors,Protesting separation of immigrant families,1,protest,0,0,0,0,1,1,https://kfor.com/2018/06/18/oklahomans-rally-outside-of-senator-james-lankfords-office-on-separation-of-children-from-immigrant-parents-at-border/,,,,,,,
Palmdale,outside Rep Steve King's office,CA,Us,2018-06-18,,,,,,,general protestors,Protesting separation of immigrant families,1,protest,0,0,0,0,1,1,http://abc7.com/politics/socal-protesters-urge-lawmakers-to-take-action-against-immigration-policy/3621713/,,,,,,,
Pasadena,The Westin,CA,US,2018-06-18,FB:24,24,,24,,,Pasadenans and Altadenans Against Police Violence,Protesting Westin General Manager,0,protest,0,0,0,0,1,1,https://www.facebook.com/events/175946639924145/,,,,,,,
Philadelphia,,PA,US,2018-06-18,,,,,,,general protestors,Rallying for the Meek Mill's freedom,0,rally,0,0,0,0,1,1,https://www.nbcnews.com/news/nbcblk/meek-mill-s-supporters-rally-philadelphia-court-ahead-hearing-case-n884381?cid=par-aff-gray,,,,,,,
Phoenix,Sandra Day O'Connor Courthouse,AZ,US,2018-06-18,dozens;FB: 67,24,,67,,,Puente Arizona,Protesting the separation of immigrant families,1,protest,0,0,0,0,1,1,https://www.azcentral.com/story/news/local/phoenix/2018/06/18/trumps-child-separation-policy-protest-phoenix-courthouse/712257002/,https://www.facebook.com/events/148444676021572/,,,,,,
Sheridan,near federal prison,OR,US,2018-06-18,several hundred,200,,200,,,general protestors,Protesting detention of 123 asylum seekers,1,protest; vigil,0,0,0,0,1,1,https://www.statesmanjournal.com/story/news/2018/06/18/trump-immigration-policy-oregon-vigil-federal-prison/712119002/,,,,,,,
Solvang,Solvang Park,CA,US,2018-06-18,about 75,75,,75,,,general protestors,Protesting separation of immigrant families,1,protest,0,0,0,0,1,1,https://santamariatimes.com/news/local/santa-ynez-valley-residents-rally-in-defense-of-children/article_9bbd6554-2308-56f3-bd1e-d63e460c35bc.html,,,,,,,
Topeka,Statehouse,KS,US,2018-06-18,dozens,24,,24,,,Poor People's Campaign,Rallying against poverty,1,protest,11,0,0,0,1,1,http://www2.ljworld.com/news/2018/jun/18/more-arrests-kansas-statehouse-poor-peoples-campai/,,,,,,,
Washington,National Mall,DC,US,2018-06-18,over 5000,5000,,5000,,,Falun Gong practitioners,protesting the CCP's systemic persecution of their belief system for the last two decades,0,protest,0,0,0,0,0,1,https://twitter.com/VoCommunism/status/1010224596556111872?s=19,,,,,,,
Washington,Outside Speaker Ryan's office,DC,US,2018-06-18,about 10,10,,10,,,students,Demonstrating for Gun Control,1,sit-in; protest,4,0,0,0,1,1,https://www.teenvogue.com/story/police-arrested-student-protesters-paul-ryan-dc-office,,,,,,,
Chicago,Chicago Housing Authority,IL,US,2018-06-19,na,36,,36,,,Jane Addams Senior Caucus,Protesting dangerous living conditions in senior homes,0,protest; die-in,0,0,0,0,0,1,https://chicago.suntimes.com/news/cha-seniors-elevators-protest-sit-in-die-in-public-housing/,,,,,,,
Chicago,King Drive,IL,US,2018-06-19,,,,,,,KOCO Chicago,draw attention to missing black girls and women,0,march,0,0,0,0,1,1,https://twitter.com/sarahdashji/status/1009207548057092096,,,,,,,
Columbus,corner of Broadway and 13th street,GA,US,2018-06-19,about 30,30,,30,,,Indivisible Columbus,Protesting separation of immigrant families,1,protest,0,0,0,0,1,1,https://www.ledger-enquirer.com/news/local/article213492939.html,,,,,,,
El Paso,Edgemere Linear Park to El Paso Processing Center,TX,US,2018-06-19,more than 1000,1000,,1000,,,general protestors,against jailing and separating immigrant children from their families,1,march,0,0,0,0,1,1,https://twitter.com/DRHBashur/status/1008759954025713665,https://www.expressnews.com/news/local/article/Immigration-march-in-El-Paso-part-of-growing-13009026.php,,,,,,
Florence,outside immigrant detention center,AZ,US,2018-06-19,approximately 75,75,,75,,,general protestors,Protesting separation of immigrant families,1,protest,0,0,0,0,1,1,https://www.pinalcentral.com/casa_grande_dispatch/area_news/florence-protesters-decry-separating-children-from-parents/article_dcf9b0af-511a-505a-8e3f-aa11b82d7277.html,,,,,,,
Framingham,intersection of Water St and Edgell Rd,MA,US,2018-06-19,about 20,20,,20,,,general protestors,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,http://www.metrowestdailynews.com/news/20180619/framingham-residents-protest-trump-immigration-policy,,,,,,,
Lafayette,City Council,CO,US,2018-06-19,,,,,,,general protestors,protesting fracking,0,protest,0,0,0,0,1,1,http://www.dailycamera.com/lafayette-news/ci_31956113/anti-fracking-protest-lafayette-city-council-adjourns-early,,,,,,,
Lewiston,Kennedy Park,ME,US,2018-06-19,na,44,,44,,,general protestors,Rallying for peace; anti-violence,0,rally,0,0,0,0,1,1,https://wgme.com/news/local/lewiston-residents-rally-for-peace-in-kennedy-park,,,count from video,,,,
Long Island City,Museum of the Moving Image,NY,US,2018-06-19,dozens,24,,24,,,residents of the Citylights housing co-op,protesting to protect middle- and low-income housing,0,protest,0,0,0,0,1,1,https://qns.com/story/2018/06/20/promised-us-affordable-housing-long-island-city-co-op-owners-rally-save-homes/,,,,,,,
Los Angeles,ICE office,CA,US,2018-06-19,na,4,,4,,,general protestors,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://mobile.twitter.com/thememorypalace/status/1009198150182006785,,,,,,,
Maggie Valley,Maggie Valley Inn,NC,US,2018-06-19,,,,,,,Democrats,rally for Haywood County Democrats,1,rally,0,0,0,0,1,1,https://www.themountaineer.com/news/democrats-to-hold-spring-rally/article_6a189662-6eb3-11e8-b5e9-4b0a5990bc13.html,,,,,,,
Memphis,Department of Homeland Security immigration compound on Virginia Cove,TN,US,2018-06-19,na,8,,8,,,general protestors,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://www.commercialappeal.com/story/news/2018/06/19/memphis-immigration-protest/716428002/,,,,,,,
Midland,down main street to county courthouse,MI,US,2018-06-19,more than 100,100,,100,,,general protestors,Protesting Trump immigration policies,1,march,0,0,0,0,1,1,https://www.ourmidland.com/photos/slideshow/Protest-in-downtown-Midland-against-Trump-border-182632/photo-15747147.php,,,,,,,
Minneapolis,City Hall,MN,US,2018-06-19,,,,,,,ACLU; Black Lives Matter,Protesting emergency responders sedating people against their will,0,protest,0,0,0,0,1,1,https://www.mprnews.org/story/2018/06/19/civil-rights-advocates-rally-against-minneapolis-sedation-cases-ketamine,,,,,,,
