CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.
Richmond,Capitol Square,Richmond City,VA,US,2019-04-03,estimated 6500,6500,,6500,,,Family Foundation; Virginia Catholic Conference; Virginia Society for Human Life,Civil Rights; Against abortion rights,2,rally,0,0,0,0,1,1,https://www.richmond.com/news/virginia/government-politics/estimated-rally-against-abortion-at-virginia-state-capitol/article_4faf0023-fd81-5632-9cc2-b7ce1dcc82eb.htmlhttps://www.richmond.com/news/virginia/government-politics/general-assembly/hundreds-rally-outside-virginia-capitol-to-protest-abortion-legislation/article_6ecee4ed-9b65-5c26-856b-8ac789c861b3.html,https://www.richmond.com/news/virginia/government-politics/general-assembly/hundreds-rally-outside-virginia-capitol-to-protest-abortion-legislation/article_6ecee4ed-9b65-5c26-856b-8ac789c861b3.html,,
Richmond,Monroe Park,Richmond City,VA,US,2019-04-03,roughly 200,200,,200,,,general protestors,Civil Rights; For criminal justice; For greater accountability; Police,0,march; protest,0,0,0,0,0,1,https://www.richmond.com/news/local/education/friends-family-march-at-vcu-in-honor-of-alumnus-bijan/article_01b3dfd5-57ea-50f6-bbe8-259a9ca73f26.html,,21009,
Sacramento,Capitol,Sacramento,CA,US,2019-04-03,about 350,350,,350,,,East Bay Coalition for Public Education,Education; Against budget,0,rally,0,0,0,0,1,1,http://www.dailycal.org/2019/04/08/alameda-county-school-community-rallies-legislators-for-more-funding/,,21114,
St. Louis,McDonald's,St. Louis,MO,US,2019-04-03,,,,,,,McDonald's employees,For higher minimum wage; Collective Bargaining,1,protest,0,0,0,0,1,1,http://nbc25news.com/news/local/mcdonalds-workers-to-hold-nationwide-protest-including-in-flint,,20975,
Tallahassee,State Capitol,Leon,FL,US,2019-04-03,about 150,150,,150,,,Mom's Demand Action,Guns; For greater gun control,1,protest,0,0,0,0,1,1,https://www.tallahassee.com/story/news/2019/04/03/bill-arm-teachers-postponed-parkland-protesters-set-up-gauntlet-capitol/3355493002/,,20989,
Tampa,University of South Florida,Hillsborough,FL,US,2019-04-03,,,,,,,general protestors,Immigration; For border wall; Counter protest,2,protest,0,0,0,0,1,1,http://www.fightbacknews.org/2019/4/5/tampa-bay-students-rally-against-trump-s-wall-and-demand-protections-undocumented-students,,21045,
Tampa,McDonald's,Hillsborough,FL,US,2019-04-03,,,,,,,McDonald's employees,For higher minimum wage; Collective Bargaining,1,protest,0,0,0,0,0,1,http://nbc25news.com/news/local/mcdonalds-workers-to-hold-nationwide-protest-including-in-flint,,20979,
Tampa,University of South Florida,Hillsborough,FL,US,2019-04-03,,,,,,,Students for a Democratic Society,Immigration; For compassionate immigration; Against border wall,1,rally,0,0,0,0,0,1,http://www.fightbacknews.org/2019/4/5/tampa-bay-students-rally-against-trump-s-wall-and-demand-protections-undocumented-students,,21044,
Ashland,Ashland Plaza,Jackson,OR,US,2019-04-04,,,,,,,Ashland Education Association,Education; Against systemic underfunding,0,rally,0,0,0,0,1,1,http://ashlandtidings.com/news/top-stories/teachers-rally-for-funding,,21018,
Auburn,Longley Memorial Bridge,Androscoggin,ME,US,2019-04-04,several dozen,36,,36,,,general protestors,Executive; For greater transparency,1,protest,0,0,0,0,1,1,https://www.sunjournal.com/2019/04/04/trump-critics-protest-in-lewiston/,,21041,
