date,locality,state,location,title,size_text,size_low,size_high,organizations,participants,claims,valence,event_type,police_measures,participant_measures,police_injuries,participant_injuries,arrests,property_damage,police_deaths,participant_deaths,macroevent,notes,coder,source1,source2,source3,source4,source5,source6,source7,source8,source9,source10,source11,source12,source13,source14,source15,source16,source17,source18,source19,source20,source21,source22,source23,source24,source25,source26,source27,source28,source29,source30
2021-07-02,Charlotte,NC,9300 Harris Corners Pkwy,Deadline for Democracy - Coalition Caravan and Press Conference,,,,Indivisible NC District 9,,"for the For the People Act, for voting rights, for democracy",1,caravan; press conference,,,,,,,,,,,,https://act.indivisible.org/event/local-actions/163195/signup/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-02,Chicago,IL,"The Dill Pickle Food Co-op, 2746 N Milwaukee Ave",,count pic,5,10,Industrial Workers of the World,workers,"for hazard pay for Dill Pickle Food Co-op employees during coronavirus pandemic, against unfair labor practices",0,strike; picket,,,,,,,,,,,,https://blockclubchicago.org/2021/07/02/dill-pickle-co-op-workers-go-on-strike-at-the-end-of-the-day-its-standing-up-for-whats-right/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-02,Dearborn,MI,19th District Court,,about 100,100,100,,residents,for accountability and compensation and a full independent investigation of causes of recent widespread flooding,0,protest,,,,,,,,,,,,https://www.freep.com/story/news/local/michigan/wayne/2021/07/02/dearborn-residents-protest-citys-flood-response/7831055002/,https://www.wsws.org/en/articles/2021/07/05/floo-j05.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-02,Eagan,MN,Eagan Outlet Mall,Rally for Isak Aden,,,,,,"for justice for Isak Aden, against police brutality, against racism",1,rally; march; caravan,,,,,,,,,,,,https://twitter.com/TCparkresponder/status/1407108095168368644,https://unicornriot.ninja/2020/isak-aden-one-year-later-a-life-stolen-by-police/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-02,Elizabeth City,NC,,,,,,,,"for justice for Andrew Brown Jr., for police transparency and accountability, against police brutality, against racism",1,march,,,,,,,,,,Day 73,,https://twitter.com/AndreaRovenski/status/1411082492325642249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-02,Everett,WA,41st St & I-5,Deadline for Democracy Rally-Pass the For the People Act,,,,Snohomish County Indivisible,,"for the For the People Act, for voting rights, for democracy",1,rally,,,,,,,,,,,,https://act.indivisible.org/event/local-actions/163419/signup/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-02,Forest Hills,PA,Ardmore Blvd & Braddock Rd,Stand on Every Corner-Deadline for Democracy,,,,Indivisible Forest Hills,,"for the For the People Act, for voting rights, for democracy",1,rally,,,,,,,,,,,,https://act.indivisible.org/event/local-actions/163070/signup/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-02,Fort Lauderdale,FL,"Federal Courthouse, 299 E Broward Blvd",Deadline for Democracy Rally,,,,Broward for Progress,,"for the For the People Act, for voting rights, for democracy",1,rally,,,,,,,,,,,,https://act.indivisible.org/event/local-actions/163092/signup/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-02,Greenville,NC,office of U.S. Senator Thom Tillis,,,,,,,"for the For the People Act, for voting rights, for democracy, against U.S. Senator Thom Tillis",1,protest,,,,,,,,,,,,https://www.dailyadvance.com/activists-protest-tillis-offices/article_8eab112d-7991-5b7e-9a41-d3790c1cfbd1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-02,Harrisburg,PA,100 Pine St,Honk and Wave for S1 in Harrisburg,,,,Hershey Indivisible Team,,"for the For the People Act, for voting rights, for democracy",1,rally,,,,,,,,,,,,https://act.indivisible.org/event/local-actions/163070/signup/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-02,Hendersonville,NC,Historic County Courthouse,Deadline for Democracy - Coalition Caravan and Press Conference,,,,Indivisible Asheville/WNC,,"for the For the People Act, for voting rights, for democracy",1,rally,,,,,,,,,,,,https://act.indivisible.org/event/local-actions/163193/signup/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-02,Huntsville,AL,Big Spring International Park,Pop Art in the Park: Independence Edition,,,,Lift Our Vote,,"for the For the People Act, for voting rights, for democracy",1,rally,,,,,,,,,,,,https://act.indivisible.org/event/local-actions/163122/signup/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-02,Lonoke,AR,"Lonoke County Sheriff's Office, 440 Dee Dee Ln",,,,,,,"for justice for Hunter Brittain, against police violence, for police transparency and accountability",1,protest,,,,,,,,,,,,https://www.kark.com/news/local-news/supporters-of-hunter-brittain-hold-rally-following-memorial-service-call-for-change/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-02,Los Angeles,CA,,,,,,,,"against antifa, for Proud Boys",2,banner drop,,,,,,,,,,,,https://twitter.com/waterspider__/status/1411000608899825664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-02,Miami,FL,301 Biscayne Blvd,US Congress Pass For The People Act Rally,,,,"MoveOn Miami, FL",,"for the For the People Act, for voting rights, for democracy",1,rally,,,,,,,,,,,,https://act.indivisible.org/event/local-actions/163361/signup/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-02,Mount Lebanon,PA,Washington Rd & Cochran Rd,Honk and Wave for S1 in Harrisburg,several dozen,36,36,Partners for Progress SWPA,elected officials,"for the For the People Act, for voting rights, for democracy, for patriotism",1,rally,,,,,,,,,,,,https://act.indivisible.org/event/local-actions/163152/signup/,https://www.wtae.com/article/voting-rights-rallies-in-3-western-pa-communities/36917484,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-02,New York,NY,"Carl Schurz Park, Manhattan",,,,,Upper East Side for Black Lives Matter,,"against racism, against police violence",1,vigil; march,,,,,,,,,,,,https://www.instagram.com/p/CQ1PqE_jLv9/?utm_source=ig_web_copy_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-02,New York,NY,"Four Points by Sheraton Midtown Times Square, 326 W 40th St, Manhattan",,two dozen,24,24,,homeless men,against removal of homeless people from hotel to city shelter,0,direct action,,locked themselves into hotel rooms,,,,,,,,,,https://twitter.com/thebl0w/status/1411107733370281989,https://www.curbed.com/2021/07/homeless-shelters-hotels-nyc-four-points.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-02,New York,NY,"Four Points by Sheraton Midtown Times Square, 326 W 40th St, Manhattan",,count video,8,12,UWS Open Hearts Initiative,,"in support of homeless men occupying hotel, for housing not shelters, hotels to housing",0,demonstration,,,,,,,,,,,,https://twitter.com/UWSOpenHearts/status/1411057701082353665,https://twitter.com/MomtifaN/status/1411039301765324803,https://twitter.com/thebl0w/status/1411107733370281989,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-02,New York,NY,"Friends of IR David, 575 Lexington Ave, Manhattan",Protest and March to Defend Silwan,,,,American Muslims for Palestine; Samidoun; Al-Awda; Within Our Lifetime; NY4Palestine,,"defend Palestine, defend Silwan, against Zionist settlements and occupation",0,protest; march,,,,,,,,,,,,https://www.instagram.com/p/CQwPww0jEjm/?utm_source=ig_web_copy_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-02,New York,NY,"McCarren Park, Brooklyn",,,,,,,"against racism, against police violence",1,vigil,,,,,,,,,,,,https://www.instagram.com/p/CQzr9BGHnT7/?utm_source=ig_web_copy_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
