CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Misc.,TearGas,Source1,Source2,Source3,Source4,Source5,Source6,Source7,Source8,Source9,Source10,Source11,Source12,Source13,Source14,Source15,,,,
Lebanon,Lebanon County Courthouse,,PA,US,2020-10-01,,,,,,,general protesters,"against child abuse, save our children",0,rally; march,,,,,1,1,,,,https://www.pennlive.com/crime/2020/10/demonstrators-to-rally-against-child-abuse-in-lebanon-county-after-12-year-olds-death.html,https://www.facebook.com/events/761130848009000/,,,,,,,,,,,,,,,,,
Los Angeles,Grand Park/Spring St,,CA,US,2020-10-01,,,,,,,ACCE Action; SAJE; Party for Socialism and Liberation; L.A. Voice; Downey Tenants Union,"against evictions, for cancelling rent during coronavirus pandemic",0,rally,,,,,1,1,,,,https://www.facebook.com/events/347159793305852/,,,,,,,,,,,,,,,,,,
Los Angeles,University of California Los Angeles,,CA,US,2020-10-01,count pic,100,,150,,,Cops Off Campus,"for abolishing university police, against racism",1,march,0,0,0,0,0,1,,,,https://dailybruin.com/2020/10/01/protesters-march-down-westwood-boulevard-call-for-removal-of-police-from-campuses,,,,,,,,,,,,,,,,,,
Medford,Tufts University,,MA,US,2020-10-01,,,,,,,general protesters,"against Confucius Institute at Tufts University, for human rights in China",0,march,,,,,1,1,,,,https://tuftsdaily.com/news/2020/10/02/demonstrators-protest-confucius-institute-at-tufts-claim-it-advances-chinese-governments-agenda/,,,,,,,,,,,,,,,,,,
Midland,Northwood University,,IL,US,2020-10-01,just over 100 ,100,,100,,,Black Student Union,"against racism, against police violence",1,march,,,,,1,1,,,,https://www.ourmidland.com/news/article/Racial-injustice-march-planned-for-Friday-in-15606771.php,https://www.ourmidland.com/news/article/Racial-injustice-march-brings-Northwood-15617063.php,,,,,,,,,,,,,,,,,
Milan,Village Square,,OH,US,2020-10-01,,2,,2,,,general protesters,against firing of town's fiscal officer in 2018,0,protest,,,,,1,1,,,,https://sanduskyregister.com/news/280598/protesting-on-the-square/,,,,,,,,,,,,,,,,,,
Minnetonka,Minnetonka High School,,MN,US,2020-10-01,,,,,,,parents; students,for reopening high school for in-person classes during coronavirus pandemic,0,rally,,,,,1,1,,,,https://kstp.com/coronavirus/minnetonka-students-parents-rally-in-hopes-to-open-the-high-school-for-in-person-classes/5881318/,,,,,,,,,,,,,,,,,,
Monmouth,Main Street and Highway 99W,,OR,US,2020-10-01,,,,,,,general protesters,Black Lives Matter,1,rally,,,,,1,1,20201001-monmouth-blm,verbal clashes between protesters and counter-protesters,,https://www.polkio.com/news/two-rallies-one-location/article_8d6784fe-08f1-11eb-a119-0be2f7a20b79.html,,,,,,,,,,,,,,,,,,
Monmouth,Main Street and Highway 99W,,OR,US,2020-10-01,,,,,,,Truth & Freedom United,"against Black Lives Matter rally, for freedom, for patriotism",2,counter-protest,,,,,0,0,20201001-monmouth-blm,verbal clashes between protesters and counter-protesters,,https://www.polkio.com/news/two-rallies-one-location/article_8d6784fe-08f1-11eb-a119-0be2f7a20b79.html,,,,,,,,,,,,,,,,,,
New York,"Carl Schurz Park, Manhattan",,NY,US,2020-10-01,,,,,,,Upper East Side for Black Lives Matter,"against racism, against police brutality",1,vigil; march,,,,,0,1,,,,https://www.instagram.com/p/CF0C-XvFlZE/,,,,,,,,,,,,,,,,,,
New York,"Civil Court of the City of New York, Brooklyn",,NY,US,2020-10-01,,,,,,,general protesters,against evictions during coronavirus pandemic,0,protest,,,,,0,1,,,,https://twitter.com/emma_a_whitford/status/1311643205520293889,,,,,,,,,,,,,,,,,,
New York,"Foley Square, Manhattan",,NY,US,2020-10-01,hundreds,200,,200,,,Housing Justice for All; Right to Counsel NYC Coalition,"against evictions during coronavirus pandemic, for housing homeless people",0,march,16,0,0,0,1,1,,,,https://gothamist.com/news/16-arrested-during-protest-demanding-state-lawmakers-do-more-stop-evictions-and-protect-tenants,https://nypost.com/2020/10/01/protesters-demanding-eviction-protection-gather-by-nyc-city-hall/,https://news.yahoo.com/nypd-detain-protesters-during-anti-222119949.html,Rent advocates fill Manhattan street with furniture; NYPD takes 16 protesters into custody | PIX11,,,,,,,,,,,,,,,
