CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,
Birmingham,,AL,US,2017-11-16,,,,,,,Roy Moore Campaign,Rally for Roy Moore,0,rally,0,0,0,0,1,1,http://www.chicagotribune.com/news/nationworld/politics/ct-roy-moore-alabama-20171118-story.html,,,,,
Boston ,State House ,MA,US,2017-11-16,about 100,100,,100,,,Mass Power Forward,Rally to enact legislation regarding fossil fuels,0,sit-in ,0,0,0,0,1,1,http://wwlp.com/2017/11/16/environmental-activists-continue-sit-in-at-governors-office/,,,,,
Canton ,St. Lawrence University,NY,US,2017-11-16,,,,,,,OFA ,#StillIN Enviromental protest ,1,protest ,0,0,0,0,1,1,https://actionnetwork.org/events/divest-protest,,,,,
Charlotte,Men's shelter of Charlotte,NC,US,2017-11-16,dozens,24,,24,,,general protestors,Vigil for homeless people who died during the year; rallying for rights for the homeless,0,rally,0,0,0,0,1,1,http://www.spectrumlocalnews.com/nc/charlotte/news/2017/11/17/vigil-honored-homeless-people-who-died-in-the-queen-city,,,,,
Clermont,Better Life Worhsip Center,FL,US,2017-11-16,more than 300,300,,300,,,general protestors,Vigil for student who died by suicide,0,rally,0,0,0,0,1,1,http://www.dailycommercial.com/news/20171117/vigil-held-in-honor-of-student-who-committed-suicide,,,,,
Coweta County,Garland Shoemake Stadium,GA,US,2017-11-16,hundreds,200,,200,,,Coweta Fellowship of Christian Athletes ,Protesting lack of school prayer; church and state relationship,0,demonstration,0,0,0,0,1,1,http://times-herald.com/news/2017/11/prayer-rally-challenges-students-to-become-active-players-in-their-faith,,,,,
Downers Grove,Downers Grover Banquet Hall,IL,US,2017-11-16,more than 100,100,,100,,,Coalition of Better Illinois 6th,Protesting GOP tax plan; attempts to repeal ACA,1,protest,0,0,0,0,1,1,http://www.nwherald.com/2017/11/17/hundreds-protest-rep-peter-roskams-stance-on-health-care-tax-plan-at-gop-fundraiser/a7ckhs5/,,,,,
Elkins,City Council,WV,US,2017-11-16,more than 70,70,,70,,,general protestors,Protesting increased sales tax,0,protest,0,0,0,0,1,1,http://www.theintermountain.com/news/local-news/2017/11/business-leaders-rally-against-sales-tax/,,,,,
Fargo,Broadway,ND,US,2017-11-16,hundreds,200,,200,,,general protestors,Rallying for pancreatic cancer awareness,0,rally,0,0,0,0,1,1,https://www.wday.com/news/4360961-hundreds-participate-annual-pancreatic-cancer-vigil-and-walk,,,,,
Houston,Civil courthouse,TX,US,2017-11-16,more than 100,100,,100,,,general protestors,Rallying for justice in murder case,0,rally,0,0,0,0,1,1,http://www.chron.com/news/houston-texas/article/Trials-set-for-county-deputy-and-husband-charged-12362773.php,,,,,
Irvine,Cypress Grove Park to Venado Middle School,CA,US,2017-11-16,dozens,24,,24,,,general protestors,Protesting lack of school options for kids,0,protest,0,0,0,0,1,1,http://www.ocregister.com/2017/11/17/parents-march-to-protest-a-result-of-irvines-growing-pains-overcrowded-schools/,,,,,
Ithaca,Cornell University,NY,US,2017-11-16,,,,,,,general protestors,Rallying for reproductive rights,0,rally,0,0,0,0,1,1,http://cornellsun.com/2017/11/16/abortion-debate-protest-shed-light-on-opposing-views-around-reproductive-rights/,,,,,
Los Angeles,Monroe High School,CA,US,2017-11-16,Photo: at least 10,10,,10,,,general protestors,Rallying for teacher contracts,0,rally,0,0,0,0,1,1,http://www.dailynews.com/2017/11/16/photos-lausd-contract-bargaining-rally-outside-of-monroe-highs-school/,,,,,
New Haven,City Hall,CT,US,2017-11-16,FB: 54 went,54,,54,,,Unidad Latina en Accion,Protesting deportation of local man,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/455390051521681/,,,,,
New Paltz,Excelsior Concourse on SUNY campus,NY,US,2017-11-16,,,,,,,United University Professions,Protest to resolve issues in contract for staff,0,protest,0,0,0,0,1,1,http://www.dailyfreeman.com/general-news/20171113/suny-new-paltz-faculty-plans-protest-nov-16-over-lack-of-contract,,,,,
New York,Fulton St.,NY,US,2017-11-16,,,,,,,general protestors,Protesting new bus-only lane,0,protest,0,0,0,0,0,1,http://www.brooklyneagle.com/articles/2017/11/17/fulton-street-biz-customers-protest-new-bus-only-lanes-clinton-hill,,,,,
New York,Wall St.,NY,US,2017-11-16,FB: 43 went,43,,43,,,Rise and Resist,Protesting Trump,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/519316148422916/,,,,,
Plattsburgh,Outside Rep. Stafanik's office,NY,US,2017-11-16,Photo: 5,5,,5,,,general protestors,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://www.pressrepublican.com/news/demonstrators-protest-republican-tax-reform-plan/article_cdf3c006-ca8c-11e7-b873-8f0018f9cfd9.html,,,,,
Portland ,Concordia University ,OR ,US,2017-11-16,,,,,,,We wear beanies too ,Protesting lack of diversity in university ,0,sit-in ,0,0,0,0,1,1,http://theconcordian.org/2017/11/16/we-wear-beanies-too-students-host-sit-in,,,,,
San Francisco,Hallidie Plaza,CA,US,2017-11-16,dozens,24,,24,,,general protestors,Rallying for rights for homeless; protesting tent sweeps,0,protest,0,0,0,0,1,1,http://www.sfgate.com/bayarea/article/SF-homeless-activists-camp-out-to-protest-tent-12364518.php,,,,,
Santa Barbara,De la Guerra Plaza,CA,US,2017-11-16,several dozen,24,,24,,,general protestors,Rallying for LGBT rights,1,rally,0,0,0,0,1,1,https://www.independent.com/news/2017/nov/17/visibility-rally-de-la-guerra-protests-homophobia/,,,,,
Taos,Kit Carson Park,NM,US,2017-11-16,,,,,,,general protestors,Rallying for rights for the homeless ,0,rally,0,0,0,0,1,1,"http://www.taosnews.com/stories/homeless-demonstration-reveals-circle-of-what-ifs,44432",,,,,
Albany,Ezra Prentice Apartments,NY,US,2017-11-17,,,,,,,general protestors,Protesting diesel trucks,0,protest,0,0,0,0,1,1,http://news10.com/2017/11/17/protest-against-diesel-trucks-held-outside-ezra-prentice/,,,,,
Amherst,,SD,US,2017-11-17,,,,,,,general protestors,Protesting pipeline leak,1,protest,0,0,0,0,1,1,https://www.aberdeennews.com/news/activists-arrive-to-protest-at-pipeline-leak/article_8a844d78-cbfd-11e7-8191-afb7c09b84da.html,,,,,
Athens,University of Georgia,GA,US,2017-11-17,over 100,100,,100,,,Athens Anti-Discrimination Movement,Protesting discrimation in downtown bars,0,protest,0,0,0,0,1,1,https://www.redandblack.com/athensnews/athens-residents-march-against-discrimination-in-downtown-bars/article_e5dac97c-cc25-11e7-8c08-373f01912e02.html,,,,,
Belton,Belton High School,TX,US,2017-11-17,around 150,150,,150,,,Students,Protesting suspension of football coach,0,protest,0,0,0,0,1,1,http://www.tdtnews.com/news/article_a6f8d866-cc11-11e7-bb72-9f4a4a36f30f.html,,,,,
Bridgton,First Congregational Church,ME,US,2017-11-17,,,,,,,Lakes Region Substance Abuse Coalition,Rally for those who died from substance abuse,0,rally,0,0,0,0,1,1,http://www.wcsh6.com/news/local/207/prayer-vigil-held-for-those-lost-to-substance-abuse/492706785,,,,,
Bristol,Northeast Middle School,CT,US,2017-11-17,,,,,,,general protestors,Rallying for Muslims in the community,0,rally,0,0,0,0,1,1,http://www.kbzk.com/story/36871515/silent-demonstration-set-at-bristol-middle-school-following-canceled-muslim-talk,,,,,
Burke,Lake Braddock School,VA,US,2017-11-17,dozens,24,,24,,,Students,Protesting teacher who allegedly pulled off student's hijab,0,protest,0,0,0,0,1,1,http://www.11alive.com/article/news/nation-now/students-defend-teacher-accused-of-pulling-off-students-hijab/85-492805393,,,,,
Charleston,Downtown,WV,US,2017-11-17,NA,1,,1,,,PETA,Protesting eating turkey on Thanksgiving,0,protest,0,0,0,0,1,1,http://komonews.com/news/offbeat/peta-asks-people-to-go-vegan-this-thanksgiving-with-unique-demonstration,,,,,
Denver,Xcel Energy HQ,CO,US,2017-11-17,,,,,,,Employees,Protesting working conditons,0,protest,0,0,0,0,1,1,https://coloradopolitics.com/xcel-workers-march-denver/,,,,,
El Cajon,Prescott Promenade Park,CA,US,2017-11-17,,,,,,,Arab-American Anti-Discrimination Committee,Protesting Iraqi child marriage,0,protest,0,0,0,0,1,1,https://www.sandiegoreader.com/news/2017/nov/21/stringers-local-protest-child-marriage-iraq/#,,,,,
Gettysburg,Adams County Courthouse,PA,US,2017-11-17,NA,1,,1,,,Gene Stilp,Protesting confederate flag,1,protest,0,0,0,0,1,1,http://www.eveningsun.com/story/news/2017/11/17/activist-burns-confederate-nazi-flags-gettysburg/873943001/,,,,,
Gettysburg,Adams County Courthouse,PA,US,2017-11-17,several,,,,,,general protestors,Counter-protest; protecting confederate flag,2,protest,0,0,0,0,0,1,http://www.eveningsun.com/story/news/2017/11/17/activist-burns-confederate-nazi-flags-gettysburg/873943001/,,,,,
Hartford ,U.S. Citizenship and Immigration Services,CT,US,2017-11-17,FB: 51,51,,51,,,We are Mariano ,Protest to stop deportation of Mariano Cardosa Sr.,1,protest ,0,0,0,0,1,1,https://www.facebook.com/events/787678358100746/,,,,,
Independence,Ararat Shrine Circus,MO,US,2017-11-17,several,,,,,,general protestors,Protesting circus's animal rights abuses,0,protest,0,0,0,0,1,1,http://fox4kc.com/2017/11/17/crowds-gather-outside-shrine-circus-performance-in-independence-to-protest-animal-living-conditions/,,,,,
Minneapolis,State Capitol,MN,US,2017-11-17,about 100,100,,100,,,general protestors,"Protesting sexual assault, harrassment",1,protest,0,0,0,0,0,1,http://minnesota.cbslocal.com/2017/11/17/protests-state-capitol-harassment/,http://www.postbulletin.com/news/local/crowd-chants-i-believe-her-at-rally-against-sexual-harassment/article_90f88de7-5b29-570d-8e9f-d4189f2d6ea8.html,,,,
Minneapolis,University of Minnesota,MN,US,2017-11-17,over 200,200,,200,,,general protestors,"Rallying for higher wages, better working conditions for University employees",0,rally,0,0,0,0,1,1,http://www.mndaily.com/article/2017/11/n-over-200-union-protesters-take-to-morrill-hall,,,,,
Montgomery,State Capitol,AL,US,2017-11-17,,,,,,,general protestors,Woman rallying for Roy Moore,0,rally,0,0,0,0,1,1,https://www.usatoday.com/story/news/2017/11/17/live-stream-women-moore-hold-rally-outside-alabama-capitol/874237001/,,,,,
New Britain ,111 Brookside Road; Cardosa residence ,CT,US,2017-11-17,,,,,,,We are Mariano ,Protest to stop deportation of Mariano Cardosa Sr.,1,vigil ,0,0,0,0,1,1,http://www.wfsb.com/story/36869137/devastating-deportation-orders-set-to-tear-ct-family-apart,https://www.facebook.com/events/787678358100746/,http://wtnh.com/2017/11/17/community-rallies-for-new-britain-father-facing-deportation/,,,
O'Fallon,W. State St.,IL,US,2017-11-17,FB: 17,17,,17,,,Indivisible IL,Protesting GOP attacks on women's rights,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/1843399399284075/,,,,,
Ocean Springs,City Hall,MS,US,2017-11-17,around 6,6,,6,,,general protestors,Rallying support for confederate flag,2,rally,0,0,0,0,1,1,http://www.wlox.com/story/36874061/protesters-gather-outside-os-city-hall-in-support-of-ms-flag,,,,,
Oshkosh,University of Wisconsin-Oshkosh,WI,US,2017-11-17,,,,,,,Students for a Democratic Society,Protesting racism on campus,0,protest,0,0,0,0,1,1,http://www.fightbacknews.org/2017/11/23/oshkosh-wi-sds-holds-protest-against-campus-racism,,,,,
Painesville,Rep. Joyce's office,OH,US,2017-11-17,nearly 100,100,,100,,,general protestors,Protesting deportation of local woman,1,protest,0,0,0,0,1,1,http://www.cleveland.com/metro/index.ssf/2017/11/anti-deportation_protest_goes.html,,,,,
Philadelphia,Drexel University ,PA,US,2017-11-17,18 (pic) ,18,,18,,,Students,Protesting removal of Professor Ciccariello-Maher,0,sit-in; march ,0,0,0,0,1,1,http://www.washingtonexaminer.com/students-protest-removal-of-professor-who-blamed-las-vegas-massacre-on-white-entitlement/article/2641609,https://thetriangle.org/news/students-walk-out-of-class-to-protest-profs-removal/,,,,
Pittsburgh,University of Pittsburgh,PA,US,2017-11-17,about 50,50,,50,,,Students,Protesting student debt,0,protest,0,0,0,0,1,1,https://pittnews.com/article/125070/news/student-rally-concludes-occupation-peaceful/,,,,,
St. Paul,State Capitol,MN,US,2017-11-17,,,,,,,general protestors,Protesting senators sexual harassment,0,protest,0,0,0,0,1,1,http://www.austindailyherald.com/2017/11/women-rally-against-sexual-harassment-at-capitol/,,,,,
Tucson,University of Arizona,AZ,US,2017-11-17,,,,,,,Students,Protesting Trump's decision to end DACA; rally for imigrants,1,protest,0,0,0,0,1,1,http://www.wildcat.arizona.edu/article/2017/11/n-abor-daca-protest,,,,,
Warrensburg,University of Central Missouri,MO,US,2017-11-17,,,,,,,general protestors,Protesting board of gov's decision not to renew school's sponsorship of a charter school,0,protest,0,0,0,0,1,1,http://www.kshb.com/news/local-news/benjamin-banneker-supporters-protest-at-ucm-after-school-sponsorship-revoked,,,,,
Birmingham,Local church,AL,US,2017-11-18,more than 100,100,,100,,,general protestors,Protesting Roy Moore,0,protest,0,0,0,0,1,1,https://www.usnews.com/news/best-states/alabama/articles/2017-11-18/the-latest-church-leaders-who-oppose-roy-moore-hold-rally,http://www.nydailynews.com/news/politics/100-protesters-rally-roy-moore-alabama-church-article-1.3642431,https://www.nbcnews.com/feature/nbc-out/anti-gay-supporters-rally-moore-worrying-lgbtq-community-n822266?cid=par-aff-gray,,,
Boston,Boston Common,MA,US,2017-11-18,about 50; a few dozen,24,,50,,,Resist Marxism; Boston Free speech,White supremacist rally,2,rally,0,0,0,0,1,1,http://boston.cbslocal.com/2017/11/18/boston-free-speech-rally-november/,http://www.wcvb.com/article/months-after-clashes-free-speech-rally-being-held-in-boston/13800375,http://www.theday.com/statenortheast-news/20171119/boston-free-speech-rally-draws-few-supporters-many-protesters,,,
Boston,Boston Common,MA,US,2017-11-18,a few hundreds; about 1000; at least 100,100,,1000,,,general protestors,Counter-protest,1,protest,3,0,0,0,0,1,http://boston.cbslocal.com/2017/11/18/boston-free-speech-rally-november/,http://www.wcvb.com/article/months-after-clashes-free-speech-rally-being-held-in-boston/13800375,http://www.wbur.org/news/2017/11/18/2-arrested-free-speech-rally-boston,http://www.theday.com/statenortheast-news/20171119/boston-free-speech-rally-draws-few-supporters-many-protesters,,
Buffalo,,NY,US,2017-11-18,,,,,,,Scajaquada Corridor Coalition (SCC),Protesting Department of Transportations plan to redesign expressway,0,protest,0,0,0,0,1,1,https://www.buffalorising.com/2017/11/rally-to-save-delaware-park/,http://wivb.com/2017/11/18/community-group-holds-rally-for-scajaquada-corridor-project/,,,,
Chicago,Thomspon Center,IL,US,2017-11-18,,,,,,,Refuse Fascism,Protesting Trump,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/294806741033339/,,,,,
Columbus,29th Street Recreation Center,GA,US,2017-11-18,,,,,,,general public,Unity March,0,march,0,0,0,0,1,1,http://www.ledger-enquirer.com/living/religion/article184018496.html,,,,,
Goshen,Elkhart County Courthouse,IN,US,2017-11-18,some of the hundreds ,200,,200,,,general protestors,Protesting potential new ICE facility,1,protest,0,0,0,0,1,1,http://www.wndu.com/content/news/Rally-held-in-Goshen-to-protest-potential-ICE-facility-458546833.html,https://www.southbendtribune.com/news/local/rally-in-goshen-for-immigrants-and-refugees/article_7b32ad47-5d61-56fd-baf5-2cdb60368301.html,http://www.wndu.com/content/news/Rally-held-in-Goshen-to-protest-potential-ICE-facility-458546833.html,,,
Laguna Beach,Huntington Beach Pier,CA,US,2017-11-18,hundreds,200,,200,,,general protestors,Protesting nuclear waste facility,1,protest,0,0,0,0,1,1,http://www.ocregister.com/2017/11/24/surfers-taking-stand-against-san-onofre-nuclear-waste-burial-plan-with-protest-planned-saturday-in-huntington-beach/,,,,,
Laguna Beach,,CA,US,2017-11-18,nearly 80,80,,80,,,general protestors,Protesting plans to dispose waste in neighborhood,0,protest,0,0,0,0,0,1,http://www.ocweekly.com/news/activists-protest-san-onofre-nuclear-waste-burial-plans-8585808,,,,,
Lancaster County,,PA,US,2017-11-18,( estimated numbers are based off arrests),5,,5,,,general protestors,Protesting pipeline construction,1,protest,5,0,0,0,1,1,http://www.ldnews.com/story/news/local/2017/11/19/five-arrested-during-atlantic-sunrise-pipeline-protest-lancaster-county/879039001/,http://www.ldnews.com/story/news/local/2017/11/19/five-arrested-during-atlantic-sunrise-pipeline-protest-lancaster-county/879039001/,,,,
Little Rock,City Hall,AR,US,2017-11-18,about a dozen,12,,12,,,general protestors,Protesting violence,0,protest,0,0,0,0,1,1,http://www.arkansasmatters.com/news/local-news/rap-over-violence-group-protest-canceled-rap-concert/859915348,,,,,
Louisville,Metro Hall,KY,US,2017-11-18,more than a dozen,12,,12,,,duPont Manual High School World Wildlife Club,Protesting Trump's decision to leave Paris agreement,1,protest,0,0,0,0,1,1,http://www.whas11.com/news/local/rally-will-oppose-us-exit-from-paris-climate-accord/492862226,http://www.wdrb.com/story/36879297/dozens-of-students-rally-in-downtown-louisville-to-raise-awareness-about-climate-change,,,,
Middletown,Across from PD,NY,US,2017-11-18,about 130,130,,130,,,general protestors,Rallying against violence; protesting gun violence,1,protest,0,0,0,0,1,1,http://www.recordonline.com/news/20171118/marchers-call-for-arrest-in-mtown-teens-fatal-shooting-rally-to-stop-violence,,,,,
Moraine,Dryden Ave.,OH,US,2017-11-18,more than three dozen,36,,36,,,general protestors,Protesting police brutality,1,protest,0,0,0,0,1,1,http://www.daytondailynews.com/news/crime--law/group-rallies-for-man-shot-moraine-police-says-lawsuit-coming/Wkvjc7O7nzTddWQXaDGoKM/,,,,,
New York,City Hall,NY,US,2017-11-18,NA,30,,30,,,East Village Cares,Rallying behind developer planning to renovate area,0,rally,0,0,0,0,1,1,http://www.nydailynews.com/new-york/manhattan/casting-email-boosts-rally-turnout-nyc-dorm-project-article-1.3642976,,,,,
Nyack,Sickles Ave,NY,US,2017-11-18,NA,130,,130,,,Communication Workers of America,"Rallying for higher wages, better working conditions",0,rally,0,0,0,0,1,1,http://www.lohud.com/story/news/local/rockland/orangetown/2017/11/18/nyack-hospital-union-rally/877345001/,,,,,
Olympia,Port of Olympia,WA,US,2017-11-18,,,,,,,general protestors,Protesting fracking,1,protest,0,0,0,0,1,1,http://www.theolympian.com/news/local/article185436773.html,,,,,
Pensacola,Veteran's Memorial Park,FL,US,2017-11-18,at least 200,200,,200,,,EcaRosa Coalition on the Homeless,Rallying for rights for the homeless ,0,rally,0,0,0,0,1,1,http://weartv.com/news/local/path-of-light-homeless-persons-candlelight-vigil,,,,,
Sacramento,Oak Park,CA,US,2017-11-18,,,,,,,Black Lives Matter,Protesting removal of mural depicting names of people who died from police violence,1,protest,0,0,0,0,1,1,http://www.sacbee.com/news/local/article185442398.html,,,,,
Saint Augustine,,FL,US,2017-11-18,hundreds,200,,200,,,general protestors,Protesting confederate monuments,1,protest,0,0,0,0,1,1,http://www.firstcoastnews.com/news/local/protesters-gather-at-nights-of-lights-in-st-augustine-in-opposition-of-confederate-monuments/492957599,,,,,
San Bernadino,Orange Show Rd.,CA,US,2017-11-18,more than a dozen,12,,12,,,general protestors,Counter-protest to planned anti-Islam rally,1,protest,0,0,0,0,0,1,http://www.sbsun.com/2017/11/18/protesters-a-no-show-but-counter-protesters-still-rally-at-site-of-san-bernardino-terrorist-attack/,,,,,
San Bernadino,,CA,US,2017-11-18,about 20 ,20,,20,,, America Against Anti-Sharia,Anti-Sharia Protest,0,protest,0,0,0,0,1,1,http://www.pe.com/2017/11/18/protesters-a-no-show-but-counter-protesters-still-rally-at-site-of-san-bernardino-terrorist-attack/,,,,,
Seaford,Rep. King's house,NY,US,2017-11-18,,,,,,,general protestors,Rallying for DREAM Act,1,rally,0,0,0,0,1,1,https://www.newsday.com/long-island/nassau/daca-protest-peter-king-1.15047145,,,,,
Troy,Volunteer fire department,NC,US,2017-11-18,a small group,,,,,,Committee for Better Montgomery County,Protesting confederate symbol,1,protest,0,0,0,0,1,1,http://myfox8.com/2017/11/18/small-group-gathers-to-protest-confederate-flag-flying-outside-montomery-county-volunteer-fire-department/,,,,,
Troy,9th St.,NY,US,2017-11-18,about 40,40,,40,,,general protestors,Protesting police brutality,1,protest,0,0,0,0,0,1,http://www.timesunion.com/7dayarchive/article/Protesters-march-against-police-brutality-in-Troy-12368208.php,,,,,
Tucson,Marriott Star Pass Resotr,AZ,US,2017-11-18,dozens,24,,24,,,general protestors,Protesting speech by Steve Bannon,1,protest,0,0,0,0,1,1,http://www.tucsonnewsnow.com/story/36879550/dozens-protest-arrival-of-steve-bannon-in-tucson,,,,,
West Hartford,Intersection of Main St. and Farmington Ave,CT,US,2017-11-18,,,,,,,Indivisible CT,Protesting Trump,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/728934657295366/?active_tab=about,,,,,
Wichita,,KS,US,2017-11-18,dozens,24,,24,,,general protestors,Protesting Tyson power plant,1,protest,0,0,0,0,1,1,http://ksn.com/2017/11/18/tyson-plant-protesters-rally-in-wichita/,,,,,
Yorktown,,NY,US,2017-11-18,,,,,,,general protestors,Protesting fracking,1,protest,0,0,0,0,1,1,http://westchester.news12.com/story/36877950/yorktown-residents-protest-fracked-gas-expansion-with-vigil,,,,,
Arlington,AT&T Stadium,TX,US,2017-11-19,NA,3,,3,,,Malcolm Jenkins; Chris Long; Rodney McLeod,National anthem protest; protesting racial inequality,1,protest,0,0,0,0,1,1,http://www.pennlive.com/philadelphiaeagles/index.ssf/2017/11/philadelphia_eagles_continue_n.html,,,,,
Arlington,Outside AT&T Stadium,TX,US,2017-11-19,about 300,300,,300,,,general protestors,National anthem protest; protesting racial inequality,1,protest,0,0,0,0,0,1,http://profootballtalk.nbcsports.com/2017/11/19/hundreds-of-protesters-take-a-knee-outside-att-stadium/,http://www.star-telegram.com/sports/nfl/dallas-cowboys/article185564198.html,,,,
Bastrop,Pedestrian Bridge,LA,US,2017-11-19,NA,25,,25,,,Bastrop County Indivisible,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://www.statesman.com/news/local/two-dozen-bastrop-county-residents-protest-republican-tax-plan/IOFOmSXeW9pRNAcIEw6FGL/,,,,,
Colorado Springs,Emereld Towers Apartments,CO,US,2017-11-19,dozens,24,,24,,,general protestors,Protesting evictions at apartments,0,protest,0,0,0,0,1,1,http://www.koaa.com/story/36883081/rally-held-outside-emerald-towers-after-dozens-of-seniors-evicted,,,,,
East Rutherford,MetLife Stadium,NJ,US,2017-11-19,NA,2,,2,,,Olivier Vernon; Marcus Peters,National anthem protest; protesting racial inequality,1,protest,0,0,0,0,1,1,https://www.si.com/nfl/2017/11/19/nfl-national-anthem-protests-week-11-players-teams-list,,,,,
Houston,NRG Stadium,TX,US,2017-11-19,photo: dozens,24,,24,,,general protestors,National anthem protest; protesting racial inequality; protesting racist remarks from Texans' owner,1,protest,0,0,0,0,1,1,http://www.chron.com/business/article/Protesters-voice-anger-at-Texans-owner-side-12370154.php,,,,,
Lincoln,State Capitol,NE,US,2017-11-19,about 140; more than 100,100,,140,,,general protestors,Protesting Keystone XL pipeline,1,protest,0,0,0,0,1,1,http://www.omaha.com/news/nebraska/keystone-xl-opponents-protest-the-day-before-nebraska-psc-is/article_ed7a5de8-cd6d-11e7-a27e-333ab6a33cd2.html,http://rapidcityjournal.com/news/latest/oil-pipeline-protesters-gather-ahead-of-nebraska-s-decision/article_b909c400-a9b0-5225-87bc-b48ec17f63df.html,http://www.ketv.com/article/pipeline-opponents-rally-in-lincoln/13803890,,,
Miami,Hard Rock Stadium,FL,US,2017-11-19,NA,3,,3,,,Kenny Stills; Julius Thomas; Michael Thomas,National anthem protest; protesting racial inequality,1,protest,0,0,0,0,0,1,https://www.si.com/nfl/2017/11/19/nfl-national-anthem-protests-week-11-players-teams-list,http://www.caledonianrecord.com/news/world/the-latest-nfl-players-protest-before-early-games/article_577b562e-e77f-5110-8069-d7f76478ab84.html,,,,
Miami,Money Jungle,FL,US,2017-11-19,nearly 50,50,,50,,,general protestors,Protesting animal rights abuses,0,protest,0,0,0,0,1,1,https://www.nbcmiami.com/news/local/Protest-Group-Gathers-Outside-Monkey-Jungle-Over-Alleged-Animal-Abuse-458642733.html,,,,,
Minneapolis,Outside U.S. Bank Stadium,MN,US,2017-11-19,,,,,,,general protestors,National anthem protest; protesting police brutality,1,protest,0,0,0,0,1,1,http://minnesota.cbslocal.com/2017/11/19/take-a-knee-protest-us-bank-stadium/,,,,,
New Haven,City Hall,CT,US,2017-11-19,more than 50,50,,50,,,general protestors,Protesting against new superintendent,0,protest,0,0,0,0,1,1,http://wtnh.com/2017/11/19/new-haven-parents-rally-against-plans-for-new-superintendent/,http://www.nhregister.com/news/article/Rally-against-presumed-superintendent-choice-12372193.php,http://wtnh.com/2017/11/19/new-haven-parents-rally-against-plans-for-new-superintendent/,,,
New York ,White Playground (East Harlem); Trump Tower,NY,US,2017-11-19,around 100 ,100,,100,,,Community leaders; activists ,Puerto Rico Unity March ,0,march ,0,0,0,0,1,1,http://www.nydailynews.com/new-york/manhattan/activists-march-raise-awareness-puerto-rico-struggles-article-1.3643994,,,,,
Norfolk,,IN,US,2017-11-19,,,,,,,Mother Out Font; General Protestors,Protesting  Southside Connector Pipeline,0,rally,0,0,0,0,1,1,http://wtkr.com/2017/11/19/environmental-group-against-southside-connector-pipeline-to-hold-rally-in-norfolk/,,,,,
Washington ,U.S. Capitol ,DC,US,2017-11-19,hundreds; thousands; FB: 1400,200,,2000,,,Unity March for Puerto Rico ,Puerto Rico Unity March/ Protest Inaction by Trump Admin.,1,march ,0,0,0,0,1,1,https://twitter.com/KellieMeyerNews/status/932271465088548865,https://www.facebook.com/events/321995391543084/,https://www.washingtonpost.com/news/local/wp/2017/11/19/puerto-rico-unity-march-draws-thousands-to-mall-in-plea-for-disaster-aid/?utm_term=.4d79ece10b8c,https://www.pbs.org/newshour/nation/thousands-march-in-show-of-support-for-puerto-rico,,
Willmar,Kandiyohi County Courthouse,MN,US,2017-11-19,more than a dozen,12,,40,,,general protestors,Rallying for survivors of sexual assault,1,rally,0,0,0,0,1,1,http://www.wctrib.com/news/local/4362188-rally-helps-survivor-break-silence-about-sexual-assault-willmar,http://www.wctrib.com/news/4362188-rally-helps-survivor-break-silence-about-sexual-assault-willmar,,,,
Albuquerque ,University of New Mexico,NM,US,2017-11-20,,,,,,,general protestors,Rallying for trans rights,1,rally,0,0,0,0,1,1,http://www.dailylobo.com/article/2017/11/transgender-day-of-remembrance,,,,,
Ann Arbor,University of Michigan,MI,US,2017-11-20,Photo: dozens,24,,24,,,Students,Rallying for trans rights,1,rally,0,0,0,0,1,1,https://www.michigandaily.com/section/campus-life/diag-candlelight-vigil-honors-lives-transgender-individuals,,,,,
Austin ,City Hall,TX,US,2017-11-20,,,,,,,general protestors,Rallying for trans rights,1,rally,0,0,0,0,1,1,http://www.statesman.com/news/local/rally-planned-tonight-austin-city-hall-for-transgender-day-remembrance/tt5uE8CDj79dIBFzD6mnbM/,,,,,
Brookings,Elks Lodge,OR,US,2017-11-20,NA,25,,25,,,general protestors,Protesting road closures,0,protest,0,0,0,0,1,1,http://www.currypilot.com/news/localnews/5775149-151/residents-protest-forest-road-closures,,,,,
Brooklyn Heights,Outide ICE field office,OH,US,2017-11-20,,,,,,,general protestors,Protesting deportation of area woman,1,protest,0,0,0,0,1,1,http://fox8.com/2017/11/20/supporters-of-cleveland-heights-mother-of-four-protest-deportation/,,,,,
