CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,
Glen Head,,NY,US,2017-11-04,hundreds,200,,200,,,general protestors,Protesting water company,0,protest,0,0,0,0,1,1,https://www.newsday.com/long-island/nassau/glen-head-water-rates-1.14756105,,,,,
Hackensack,,NJ,US,2017-11-04,FB: 8 went,8,,8,,,general protestors,Protesting sanctuary cities,2,protest,0,0,0,0,1,1,https://www.facebook.com/events/127689704547164/,,,,,
Hartford,York St.,CT,US,2017-11-04,,,,,,,general protestors,Vigil for man killed in Hartford,0,rally,0,0,0,0,1,1,http://www.courant.com/community/hartford/hc-news-hartford-connor-jordyn-vigil-20171104-story.html,,,,,
Los Angeles,Pershing Square  ,CA,US,2017-11-04,a few dozen,24,,24,,,general protestors,Counter-protest; pro-Trump,2,protest,0,0,0,0,0,1,http://www.latimes.com/local/lanow/la-me-ln-anti-trump-protests-20171104-story.html,,,,,
Los Angeles,Pershing Square to Grand Central Market,CA,US,2017-11-04,roughly 400,400,,400,,,Refuse Fascism,Protesting Trump,1,protest,0,0,0,0,1,1,http://www.latimes.com/local/lanow/la-me-ln-anti-trump-protests-20171104-story.html,,,,,
Madison,,WI,US,2017-11-04,,,,,,,Madison's National Organization of Women,Protesting care center,0,protest,0,some,0,0,1,1,http://www.wkow.com/story/36765775/2017/11/Saturday/demonstration-outside-madison-womens-center,,,,,
Modesto,McHenry Ave.,CA,US,2017-11-04,around three dozen,36,,36,,,general protestors,Protesting tax increases,0,protest,0,0,0,0,1,1,http://fox40.com/2017/11/04/rep-denhams-constituents-rally-in-modesto-against-republican-tax-plan/,,,,,
Naples,Cambier Park,FL,US,2017-11-04,almost 20,20,,20,,,general protestors,Rallying for various civil rights issues,0,rally,0,0,0,0,1,1,http://www.naplesnews.com/story/news/local/2017/11/04/day-action-naples-tackles-womens-rights-health-care-gun-control/832289001/,,,,,
Nevada County ,,CA,US,2017-11-04,about 30 ,30,,30,,,general protestors,Rally against gas tax ,0,rally,0,0,0,0,1,1,http://www.theunion.com/news/local-news/nevada-county-residents-rally-against-gas-tax/,,,,,
New Haven,Yale University,CT,US,2017-11-04,hundreds,200,,200,,,general protestors,Rallying for union workers,0,rally,0,0,0,0,1,1,http://wtnh.com/2017/11/04/yale-workers-supporters-hold-rally-for-union-validation/,,,,,
New York ,Times Square ,NY,US,2017-11-04,FB: 438 ,438,,438,,,general protestors,Trump is facist ,1,protest ,0,0,0,0,1,1,https://www.facebook.com/events/341522882972612/,https://www.amny.com/news/politics/trump-protests-planned-in-new-york-city-1.13037005,,,,
Norwich,Norwich Town Green,CT,US,2017-11-04,,,,,,,fire departments; residents,To promote the buying of new equipment and trucks,0,rally,0,0,0,0,1,1,http://www.theday.com/local-news/20171030/norwich-volunteer-fire-departments-to-hold-rally-for-support-of-firetruck-purchases,,,,,
Parsippany,Powder Mill Plaza,NJ,US,2017-11-04,at least 300,300,,300,,,Phil Murphy election campaign,Rally for Murphy's gubernatorial campaign,0,rally,0,0,0,0,1,1,http://www.dailyrecord.com/story/news/2017/11/05/murphy-booker-rally-democrats-parsippany/830657001/,,,,,
Philadelphia,Paine Plaza,PA,US,2017-11-04,about 100,100,,100,,,Refuse Fascism,Protesting Trump,1,protest,0,0,0,0,1,1,http://philadelphia.cbslocal.com/2017/11/04/anti-trump-protesters-gather-in-thomas-paine-plaza/,,,,,
Pittsfield,Park Square,MA,US,2017-11-04,about two dozen,24,,24,,,Indivisible Pittsfield,Protesting Trump,1,protest,0,0,0,0,1,1,"http://www.berkshireeagle.com/stories/calm-prevails-at-anti-fascism-rally-in-pittsfield,523719",,,,,
Portland,Jamison Square,OR,US,2017-11-04,at least 100,100,,100,,,general protestors,Refuse facism; protesting Trump,1,protest ,0,0,0,0,1,1,https://pdxactivist.org/events/1662,http://www.kgw.com/news/local/antifa-protest-planned-in-downtown-portland-on-saturday/488957603,,,,
San Antonio,Federal Building,TX,US,2017-11-04,,,,,,,general protestors,Rallying for disabled undocumented girl against ICE,1,protest,0,0,0,0,1,1,http://www.kens5.com/news/local/advocates-rally-for-disabled-immigrant-girl/489158359,,,,,
San Diego,,CA,US,2017-11-04,,,,,,,general protestors,Protesting tax increases,0,protest,0,0,0,0,1,1,http://www.cbs8.com/story/36765431/drivers-protest-gas-tax-in-san-diego-and-across-california,,,,,
San Francisco,Union Square,CA,US,2017-11-04,about 200,200,,200,,,Refuse Fascism,Protesting Trump,1,protest,0,0,0,0,1,1,http://www.sfgate.com/bayarea/article/Peaceful-anti-Trump-protest-aimed-at-shoppers-in-12332438.php,,,,,
Seattle,,WA,US,2017-11-04,,,,,,,Refuse Fascism,Protesting Trump,1,protest,0,0,0,0,1,1,http://www.dailyuw.com/news/article_4fcba3ce-c361-11e7-8267-23d07f0ab842.html,,,,,
Seguin,Central Park,TX,US,2017-11-04,,,,,,,general protestors,Protesting Trump's decision to end DACA; rally for imigrants,1,protest,0,0,0,0,1,1,http://seguingazette.com/news/article_a1be2d6e-c1cc-11e7-a3e1-33457c90817f.html,,,,,
Austin,State Capitol,TX,US,2017-11-05,about 20 ,20,,20,,,general protestors,Rally for gun rights,2,rally,0,0,0,0,1,1,http://www.statesman.com/news/local/open-carry-supporters-rally-the-texas-capitol/q7QkoNSUPm8tkLcZfCtMEP/,,,,,
Berkeley,Alta Bates Summit Medical Center,CA,US,2017-11-05,about 300,300,,300,,,general protestors,Protesting plans to shut down medical facility,0,protest,0,0,0,0,1,1,http://www.berkeleyside.com/2017/11/06/stroller-brigade-protesters-officials-rally-save-alta-bates-services/,,,,,
Boston,Mattapan,MA,US,2017-11-05,,,,,,,general protestors,Rallying for Haitian immigrants against deportation,1,rally,0,0,0,0,1,1,http://boston.cbslocal.com/2017/11/05/rally-haitian-immigrants-temporary-protected-status/,,,,,
Chicago,The Bean,IL,US,2017-11-05,FB: 355 went,355,,355,,,general protestors,Protesting events held at the Bean,0,protest ,0,0,0,0,1,1,https://www.facebook.com/events/279792622540366/,,,,,
Denver,State Capitol,CO,US,2017-11-05,more than 100,100,,100,,,Colorado Coalition Againat Sexual Assault,Protesting sexual violence,0,protest,0,0,0,0,1,1,http://denver.cbslocal.com/2017/11/06/metoo-rally-denver/,,,,,
Gainesville,University of Florida,FL,US,2017-11-05,about 15,15,,15,,,general protestors,Protesting lack of funding for mental health resources on campus,0,protest,0,0,0,0,1,1,http://www.alligator.org/news/article_3617875a-c3b5-11e7-98d3-4f7ad65638b6.html,,,,,
Hampton,Boys and Girls Club,VA,US,2017-11-05,many,,,,,,general protestors,Protesting lives lost to gun violence,1,protest,0,0,0,0,1,1,http://wtkr.com/2017/11/05/candlelight-vigil-in-honor-of-lives-lost-to-gun-violence-in-hampton/,,,,,
Lincoln,State Capitol,NE,US,2017-11-05,about 50,50,,50,,,Nebraska Firearm Owners Association,Rallying for gun rights,2,rally,0,0,0,0,1,1,http://www.omaha.com/news/nebraska/about-attend-second-amendment-rally-outside-nebraska-state-capitol/article_eebb2679-e6ee-5e2b-bacd-0a7bbbbfc21f.html,,,,,
Marblehead,Outside Unitarian Universalist Church,MA,US,2017-11-05,about 50,50,,50,,,general protestors,Protesting screening of movie viewed as anti-semitic,0,protest,0,0,0,0,1,1,http://www.gloucestertimes.com/screening-of-film-sparks-protest-in-marblehead/article_da45223a-df26-5eb9-b827-b88aaa24cd77.html,,,,,
Memphis,,TN,US,2017-11-05,nearly 50,50,,50,,,Detention Watch Network,Protesting deaths in ICE facilities,1,protest,0,0,0,0,1,1,http://www.commercialappeal.com/story/news/2017/11/05/immigrant-detention-deaths-memphis-protest/830432001/,,,,,
Miami,Hard Rock Stadium,FL,US,2017-11-05,NA,3,,3,,,Miami Dolphins players,National anthem protest; protesting racial inequality,1,protest,0,0,0,0,1,1,https://lasvegassun.com/news/2017/nov/05/about-18-players-protest-during-national-anthem/?utm_source=mostpopular&utm_medium=banner&utm_campaign=mostRead,,,,,
New York ,Trump Tower ,NY,US,2017-11-05,FB: 3 ,3,,3,,,Novum ,Silent protest against Trump ,1,protest ,0,0,0,0,1,1,https://www.facebook.com/events/365358367228948,https://www.amny.com/news/politics/trump-protests-planned-in-new-york-city-1.13037005,,,,
Philadelphia,Lincoln Financial Field,PA,US,2017-11-05,NA,3,,3,,,Philadelphia Eagles players,National anthem protest; protesting racial inequality,1,protest,0,0,0,0,1,1,https://lasvegassun.com/news/2017/nov/05/about-18-players-protest-during-national-anthem/?utm_source=mostpopular&utm_medium=banner&utm_campaign=mostRead,,,,,
Portland,Jamison Square,OR,US,2017-11-05,a few dozen,24,,24,,,general protestors,Anti-establishment,0,rally,0,0,0,0,1,1,http://www.kgw.com/news/local/million-mask-march-planned-for-sunday-night-in-portland/489275204,,,,,
Racine,Monument Square,WI,US,2017-11-05,more than 60,60,,60,,,Racine Interfaith Coalition,Protesting potential ending of Children's health program,0,protest,0,0,0,0,1,1,http://journaltimes.com/news/local/protesters-rally-for-children-s-health-care/article_356d4b78-d4d1-58c6-87a2-d10a98420382.html,,,,,
Salt Lake City,City Creek Park,UT,US,2017-11-05,about 60,60,,60,,,general protestors,Rallying against mormonism,0,rally,0,0,0,0,1,1,http://www.sltrib.com/religion/local/2017/11/06/dozens-rally-against-mormon-churchs-lgbtq-policies-at-mass-resignation-event/,,,,,
San Diego,Civic Center Plaza,CA,US,2017-11-05,dozens,24,,24,,,Climate Mobilization Coalition,Protesting inaction toward climate change,1,protest,0,0,0,0,0,1,https://www.nbcsandiego.com/news/local/Climate-Action-Rally-Aims-to-Put-Focus-on-Alternative-Energy-Sources-455414963.html,,,,,
San Diego,,CA,US,2017-11-05,,,,,,,San Diego Rescue Mission,Rally for homeless people who died during the year,0,rally,0,0,0,0,1,1,http://www.cbs8.com/clip/13881048/candlelight-vigil-honors-116-homeless-deaths,,,,,
San Francisco,Levi's Stadium,CA,US,2017-11-05,NA,3,,3,,,San Francisco 49er players,National anthem protest; protesting racial inequality,1,protest,0,0,0,0,1,1,https://lasvegassun.com/news/2017/nov/05/about-18-players-protest-during-national-anthem/?utm_source=mostpopular&utm_medium=banner&utm_campaign=mostRead,,,,,
Saratoga Springs,City Hall,NY,US,2017-11-05,From photo: dozens,24,,24,,,Take a Knee Saratoga,National anthem protest; protesting racial inequality,1,protest,0,0,0,0,1,1,http://www.saratogian.com/article/ST/20171105/NEWS/171109867,,,,,
Seattle,City Hall,WA,US,2017-11-05,FB: 29 went,29,,29,,,Refuse Fascism,Protesting nuclear weapons,0,protest,0,0,0,0,1,1,https://www.facebook.com/events/294074541096834/,,,,,
