CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,
Portland,Holloday Park,Multnomah,OR,US,2019-05-01,NA,60,,60,,,Antifa,protest stricter immigration,1,protest,0,0,0,0,1,1,https://pamplinmedia.com/pt/9-news/427249-334253-may-day-ice-rally-pits-protesters-against-portland-police,,,,,,
Portland,Holloday Park,Multnomah,OR,US,2019-05-01,,,,,,,general protestors,anti Antifa,2,counter protest,0,1,0,0,0,1,https://pamplinmedia.com/pt/9-news/427249-334253-may-day-ice-rally-pits-protesters-against-portland-police,,,,,,
Rainier,,Columbia,OR,US,2019-05-01,count pic,21,,21,,,Rainier Education Assosiation,anti budget cuts,1,protest,0,0,0,0,1,1,https://www.thechronicleonline.com/news_paid/education-teachers-to-join-statewide-rally-for-school-funding/article_aa5e7416-6dbe-11e9-b61d-eb3cbe8dd567.html,,,,,,
Raleigh,Capitol,Wake,NC,US,2019-05-01,thousands,2000,,2000,,,N.C. Association of Educators,against systemic underfunding; education,0,march,0,0,0,0,1,1,http://pulse.ncpolicywatch.org/2019/03/24/north-carolina-educators-plan-second-march-on-raleigh-for-better-pay-education-funding/,https://www.newsobserver.com/news/politics-government/article229849024.html,https://www.cbs17.com/news/thousands-of-teachers-supporters-march-in-raleigh/,https://www.wfmynews2.com/video/news/local/recapping-the-2019-teacher-rally-in-raleigh/83-5202824c-7478-4850-b8c7-20300cb0e0f4,,,
Sacramento,Homeless encampment,Sacramento,CA,US,2019-05-01,,,,,,,general protestors,assist homeless residents,0,protest,0,0,0,0,1,1,https://www.abc10.com/article/news/local/sacramento/protests-break-out-as-deputies-attempt-to-clear-south-sacramento-homeless-encampment/103-ef456a29-8f67-45bc-b631-bdcbdb1c3714,,,,,,
Salem,Capitol,Marion,OR,US,2019-05-01,several hundred,300,,300,,,general protestors,compassionate immigration,1,protest,0,0,0,0,1,1,https://www.statesmanjournal.com/story/news/2019/05/01/may-day-marchers-rally-oregon-capitol-immigrant-rights/3629081002/,,,,,,
San Juan,,San Juan,Puerto Rico,PR,2019-05-01,thousands,2000,,2000,,,general protestors,Puerto Rico aid,1,protest,0,0,0,0,1,1,https://www.bostonglobe.com/news/nation/2019/05/01/thousands-mourn-for-puerto-rico-may-day-rally/aAT3xcgtS4rKyOI3MTKK9K/story.html,,,,,,
San Marcos,Texas State University,Hays,TX,US,2019-05-01,,,,,,,general protestors,anti Trump,1,protest,4,0,0,0,1,1,https://www.kvue.com/article/news/education/schools/texas-state/269-64ed2487-4398-4747-9d78-40c41394ffe6,,21388,,,,
Santa Maria,Downtown,Santa Barbara,CA,US,2019-05-01,two dozen,24,,24,,,general protestors,compassionate immigration,2,protest,0,0,0,0,1,1,https://santamariatimes.com/news/local/govt-and-politics/today-we-march-tomorrow-we-vote-santa-marians-rally-for/article_ee92a91e-34a3-506b-8f3c-ed0b58578723.html,,,,,,
Seattle,Amazon's Doppler office,King,WA,US,2019-05-01,,,,,,,Union SIS,anti Amazon business practices,1,protest,0,0,0,0,1,1,https://www.seattletimes.com/business/amazon/amazon-security-workers-hold-may-day-rally-as-contract-is-up-for-bid/,,,,,,
Seattle,District Courthouse,King,WA,US,2019-05-01,about 200,200,,200,,,general protestors,pro workers rights,1,protest,0,0,0,0,0,1,https://komonews.com/news/local/annual-may-day-marches-to-affect-traffic-across-downtown-seattle-wednesday,,,,,,
St. Paul,State Capitol,Ramsey,MN,US,2019-05-01,hundreds,200,,200,,,general protestors,workers rights,0,protest,0,0,0,0,1,1,http://www.fightbacknews.org/2019/5/2/hundreds-march-minnesota-capitol-may-1-demand-drivers-licenses-immigrants,,,,,,
Summerville,N Main Street,Dorchester,SC,US,2019-05-01,,,,,,,teachers,against underfunding,0,protest,0,0,0,0,1,1,https://www.live5news.com/2019/05/01/teachers-rally-north-main-street-summerville-education-reform/,,,,,,
Tallahassee,State Capitol,Leon,FL,US,2019-05-01,around 100,100,,100,,,general protestors,for sanctuary cities,1,protest,1,0,0,0,1,1,https://www.tallahassee.com/story/news/2019/05/01/florida-sanctuary-cities-bill-heads-senate-hours-after-protesters-ejected-house/3644102002/,,,,,,
The Dalles,,Wasco,OR,US,2019-05-01,,,,,,,Gorge Ice Resistance; Norcor Community Resources Coalition,immigration; for compassionate immigration; recurring,1,protest,0,0,0,0,1,1,https://www.thedalleschronicle.com/daily-jail-protest-finished/article_810f6ad6-7be0-11e9-b9f0-cfb6191c86f9.html,,,,,,
Topeka,State Capitol,Shawnee,KS,US,2019-05-01,,,,,,,general protestera,healthcare; expanding coverage,1,protest,0,0,0,0,1,1,https://www.cjonline.com/news/20190501/its-long-overdue-kansans-urge-senate-to-expand-medicaid-in-statehouse-lawn-demonstration,,,,,,
West Palm Beach ,Palm Beach School Headquarters,Palm Beach,Fl,US,2019-05-01,,,,,,,teachers,anti charter school tax cuts,0,protest,0,0,0,0,1,1,https://cbs12.com/news/local/local-teachers-protest-for-second-straight-day,,,,,,
Wilmington,Third and Market St,New Hanover,NC,US,2019-05-01,,,,,,,teachers,oppose systematic underfunding,1,protest,0,0,0,0,1,1,https://www.wwaytv3.com/2019/05/01/teachers-call-for-change-with-rally-in-wilmington/,,,,,,
Woodburn,,Marion,OR,US,2019-05-01,,,,,,,Woodburn Education Association,against budget ,1,protest,0,0,0,0,1,1,https://pamplinmedia.com/wbi/152-news/427286-334297-teachers-rally-for-funding,,,,,,
Yakima,Miller Park,Yakima ,WA,US,2019-05-01,250-300,250,,300,,,general protestors,for compassionate immigration,1,protest,0,0,0,0,1,1,https://www.yakimaherald.com/news/local/may-day-march-in-yakima-encourages-civil-participation-among-all/article_32abe37f-e7dc-512d-8ed7-999868627369.html,https://www.yakimaherald.com/news/local/may-day-march-on-immigration-returns-to-yakima/article_3f2aebc5-c883-5441-b3c6-5ba6db708fbf.html,,,,,
Gresham,Gresham High School,Multnomah,OR,US,2019-05-02,about 100,100,,100,,,students,pro civil right,1,protest,0,0,0,0,1,1,https://pamplinmedia.com/go/42-news/427246-334184-students-plan-protest-of-white-officers-treatment-of-black-ghs-student,https://pamplinmedia.com/go/42-news/427357-334411-gresham-high-students-protest-police-campus-incident-,,,,,
Ithaca,IC Square,Tompkins,NY,US,2019-05-02,count pic,28,,28,,,students,oppose sexual violence against women of color,1,protest,0,0,0,0,1,1,https://theithacan.org/news/students-protest-sexual-violence-against-women-of-color/,,,,,,
