CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,Source5,Source6
Jurupa Valley,Intersection of Limonite Ave. and Pats Ranch Rd.,CA,US,2017-08-02,NA,40,,40,,,Center for Community Action and Environmental Justice,Oppose proposed Riverside Transmission Reliability Project,0,protest,0,0,0,0,1,1,http://www.dailybulletin.com/business/20170803/jurupa-valley-residents-protest-10-mile-power-lines-project,http://www.pe.com/2017/08/03/jurupa-valley-residents-protest-10-mile-power-lines-project-near-15-freeway/,,,,,
Muncie,Intersection of 15th St. and South Port Ave.,IN,US,2017-08-02,at least 30,30,,30,,,parents and school children,Protesting switch to new school bus company; protest bus delays,0,protest,0,0,0,0,1,1,http://www.thestarpress.com/story/news/education/2017/08/02/muncie-school-bus-chaos-prompts-neighborhood-protest/534763001/,http://www.thestarpress.com/picture-gallery/news/local/2017/08/02/small-protest-breaks-out-at-school-bus-stop-over-busing-issue/104238260/,,,,,
New York,Outside JPMorgan Chase HQ,NY,US,2017-08-02,over 100,100,,100,,,general protestors,Protesting JPMorgan's funding of private prisons,0,protest,0,0,0,0,1,1,http://www.nydailynews.com/new-york/protesters-rip-chase-funding-private-prisons-immig-jails-article-1.3378998,,,,,,
Pittsburgh,Outside Republican Keith Rothfus Ross' office,PA,US,2017-08-02,NA,12,,12,,,One Pennsylvania; PA 12 for Progress; general protestors,Demanding representative to not support a federal budget that increases funding for immigration enforcement,1,protest,0,0,0,0,1,1,http://www.post-gazette.com/news/politics-state/2017/08/02/Demonstrators-gather-outside-Rep-Rothfus-office-to-protest-immigration-enforcement/stories/201708020175,https://www.usabreakingnews.net/2017/08/demonstrators-gather-outside-rep-rothfus-office-to-protest-immigration-enforcement/,,,,,
Rockland,Intersection of Main and Park streets,ME,US,2017-08-02,NA,2,,2,,,PETA,Oppose animal cruelty at Maine Lobster Festival,0,demonstration,0,0,0,0,1,1,https://knox.villagesoup.com/p/bodypainted-protesters-to-pose-as-boiling-lobsters/1675092,https://knox.villagesoup.com/p/what-peta-wants/1675098,https://knox.villagesoup.com/p/shell-shedding-protesters-cause-stir-during-festival/1675479,,,,
Ross,Outside office of Rep. Rothfus,PA,US,2017-08-02,,,,,,,PA 12 for Progress; One Pennsylvania, Oppose Trump's immigration budget,1,demonstration,0,0,0,0,1,1,http://www.post-gazette.com/news/politics-state/2017/08/02/Demonstrators-gather-outside-Rep-Rothfus-office-to-protest-immigration-enforcement/stories/201708020175,,,,,,
Washington,White Hous,DC,US,2017-08-02,,,,,,,general protestors,Against Trump's immigration policy,1,protest,0,0,0,0,1,1,https://cruxnow.com/church-in-the-usa/2017/08/05/supporters-young-migrants-ask-daca-protection-washington-rally/,,,,,,
White Plains,Downtown,NY,US,2017-08-02,dozens,24,,24,,,farmers,"rallying for better pay, insurance",0,raly,0,0,0,0,1,1,http://hudsonvalley.news12.com/story/36047676/farmers-rally-for-overtime-paid-vacation-and-sick-time,,,,,,
Winnekta,Outside home of IL governor,IL,US,2017-08-02,,,,,,,students,Protesting his veto of education bill,0,protest,0,0,0,0,1,1,https://www.wbez.org/shows/wbez-news/chicago-students-descend-on-rauners-house-to-protest-school-funding-veto/98cf54d6-d062-4c2d-bc6c-e1e1be34386c,,,,,,
Wyomissing,outside Rep. Costello's office,PA,US,2017-08-02,hundreds,200,,200,,,general protestors,Oppose Trump administration's immigration policy,1,demonstration,0,0,0,0,1,1,http://www.readingeagle.com/news/article/protesters-decry-deportations-outside-us-rep-ryan-costellos-office#.WYSxN4jyvIU,,,,,,
Albuquerque,City Hall,NM,US,2017-08-03,dozens,24,,24,,,general protestors,Protesting recent string of police shootings,0,protest,0,0,0,0,1,1,http://www.koat.com/article/protesters-rally-to-end-wave-of-police-shootings/11388678,,,,,,
Austin,steps of the Texas Capitol,TX,US,2017-08-03,more than 200,200,,200,,,U.S. Pastor Council,Support Texas's anti-transgender bathroom bill,2,rally,0,0,0,0,1,1,http://www.chron.com/news/politics/texas/article/Religious-leaders-plan-rally-at-Texas-Capitol-11731199.php,http://www.mysanantonio.com/news/local/article/Faith-leaders-rally-for-bathroom-bill-to-11732778.php,http://www.houstonchronicle.com/news/houston-texas/houston/article/Faith-leaders-rally-oppose-bathroom-bill-11733170.php,,,,
Berkeley,Outside Comal restaurant,CA,US,2017-08-03,a large group,,,,,,Direct Action Everywhere,Protesting human consumption of animals,0,protest,1,0,0,0,1,1,http://www.eastbaytimes.com/2017/08/03/animal-rights-activist-arrested-after-berkeley-restaurant-confrontation/,,,,,,
Hartford,outside the U.S. District courthouse,CT,US,2017-08-03,NA,15,,30,,,general protestors,Rally for an undocumented Meriden man looking to fight a deportation order,1,rally,0,0,0,0,1,1,http://www.myrecordjournal.com/news/meriden/meridennews/10678216-154/blumenthal-supporters-call-for-stay-on-deportation-of-meriden-man.html,,,Estimate from video,,,
Houston,,TX,US,2017-08-03,,,,,,,general protestors,Against repealing ACA,1,protest,0,0,0,0,1,1,http://cw39.com/2017/08/03/zombies-in-houston-protest-against-trumpcare-repealing-the-aca/,,,,,,
Huntington,Big Sandy Superstore Arena,WV,US,2017-08-03,NA,9000,,9000,,,Trump administration,"Make America Great Again rally, for President Trump",2,rally,1,0,0,0,1,1,http://www.wvgazettemail.com/news-politics/20170728/trump-to-hold-rally-in-huntington,http://www.wsaz.com/content/news/Hundreds-protest-outside-President-Trumps-rally-438455893.html,http://wvmetronews.com/2017/08/04/trump-finds-support-at-huntington-rally/,feat. President Trump,,,
Huntington,Outside Big Sandy Superstore Arena,WV,US,2017-08-03,approximately 400,400,,400,,,Women's March West Virginia coalition,Protesting Trump's rally,1,protest,0,0,0,0,1,1,https://www.wsws.org/en/articles/2017/08/07/prot-a07.html,http://www.herald-dispatch.com/_recent_news/crowds-gather-for-against-trump-ahead-of-rally/article_5c7eb194-788c-11e7-954a-539fe4190557.html,http://www.bdtonline.com/news/streets-closing-for-trump-campaign-rally-in-huntington/article_8c7e5580-77f0-11e7-bb81-4f8a383cda9e.html,,,,
Kansas City,Outside UPS terminals,KS,US,2017-08-03,more than 100,100,,100,,,UPS retired employees,Protesting proposed pesnion cuts,0,protest,0,0,0,0,1,1,http://fox4kc.com/2017/08/03/more-than-100-ups-retirees-protest-proposed-pension-cuts/,,,,,,
Las Cruces,Albert Johnson Park,NM,US,2017-08-03,NA,4,,4,,,Step Up Steve,Oppose U.S. Rep. Steve Pearce's call for a reduction in the size of the Organ Mountains-Desert Peaks National Monument,1,rally,0,0,0,0,1,1,http://www.lcsun-news.com/story/news/politics/2017/08/03/progressive-groups-form-step-up-steve-rally-against-pearce/538236001/,,,Count from picture,,,
Nashville,Outside Music City Center,TN,US,2017-08-03,roughly 200,200,,200,,,Tennessee Immigrant and Refugee Rights Coalition,Urge Vice President Pence to support the DACA program,1,protest,0,0,0,0,1,1,http://www.tennessean.com/story/news/2017/08/03/immigrant-youth-rally-outside-gop-dinner/534281001/,,,,,,
Philadelphia,City Hall courtyard,PA,US,2017-08-03,dozens,24,,24,,,general protestors,Honor transgender military members,1,rally,0,0,0,0,1,1,http://www.phillyvoice.com/dozens-rally-philly-honor-transgender-service-members/,http://www.phillyvoice.com/dozens-rally-philly-honor-transgender-service-members/,,,,,
Raleigh,State Capitol,NC,US,2017-08-03,about two dozen,24,,24,,,Grass Roots North Carolina,Call on N.C. Senate Republicans to pass legislation loosening gun permit requirements,2,rally,0,0,0,0,1,1,http://www.newsobserver.com/news/politics-government/politics-columns-blogs/under-the-dome/article165450067.html,,,,,,
Southaven,at the Southaven Police Department,MS,US,2017-08-03,,,,,,,general protestors,protest police shooting,0,protest,0,0,0,0,1,1,http://wreg.com/2017/08/03/another-protest-planned-at-southaven-pd-as-community-seeks-answers-in-fatal-officer-involved-shooting/,,,,,,
Stanford,Stanford Medical Center,CA,US,2017-08-03,NA,300,,300,,,SEIU-UHW ,Criticize allegations of worker intimidation,0,picket,0,0,0,0,1,1,http://www.stanforddaily.com/2017/08/04/stanford-hospital-workers-picket-amidst-rising-hospital-acquired-infections-and-hospital-negotiation-attempts/,,,,,,
Winston-Salem,Intersection of Cherry and Fourth streets,NC,US,2017-08-03,about a dozen,12,,12,,,Indivisble Forsyth,"Protesting Trump's policies on education, energy, voter fraud, etc.",1,protest,0,0,0,0,1,1,http://www.journalnow.com/news/local/people-gather-to-protest-trump-policies-in-downtown-winston-salem/article_dec916ff-aa02-527c-9ecd-53ab4d0cb9be.html,,,,,,
Ashbury Park,Garden State Equality headquarters,NJ,US,2017-08-04,NA,25,,50,,,Garden State Equality,Protesting Trump's trans military ban,1,rally,0,0,0,0,1,1,http://www.mycentraljersey.com/picture-gallery/news/politics/2017/08/04/cory-booker-rallies-against-transgender-ban-in-asbury-park/104289356/,,,estimate from pictures,,,
Austin,State Capitol,TX,US,2017-08-04,more than 75,75,,75,,,general protestors,Protesting TX's bathroom bill,1,protest,0,0,0,0,1,1,http://www.mysanantonio.com/news/local/article/Latino-transgender-Texans-protest-bathroom-bill-11735659.php,http://www.dailytexanonline.com/2017/08/05/transgender-rights-advocates-rally-against-controversial-legislation,,,,,
Baltimore,Wildwood Parkway,MD,US,2017-08-04,,,,,,,general protestors,Rally for ceasefire over the weekend in Baltimore,0,rally,0,0,0,0,1,1,http://www.wbaltv.com/article/baltimore-residents-rally-for-weekend-ceasefire/11521364,,,,,,
Cranston,outside Speaker Mattiello’s law office on Park Avenue,RI,US,2017-08-04,NA,3,,3,,,general protestors,demand RI legislative action,0,protest,0,0,0,0,1,1,http://www.rifuture.org/mattiello-on-the-hook/,,,,,,
Fayetteville,outside the gates of Chemours Fayetteville Works,NC,US,2017-08-04,NA,3,,3,,,organizer Beth Markesino,Raise awareness about Chemours' GenX piosoning of public drinking water,0,protest,0,0,0,0,1,1,https://www.wwaytv3.com/2017/08/04/one-wilmington-woman-leads-protest-at-chemours/,http://www.fayobserver.com/news/20170804/genx-modest-protest-follows-aborted-meeting,,,,,
Linden,steps of city hall,NJ,US,2017-08-04,dozens,24,,24,,,Sen. Cory Booker,Marijuana Justice Rally,1,rally,1,0,0,0,1,1,http://newjersey.news12.com/story/36067477/man-arrested-outside-marijuana-justice-act-rally,http://www.northjersey.com/story/news/new-jersey/2017/08/04/sen-cory-booker-holds-kickoff-rally-legalize-marijuana-nationwide/541440001/,,,,,
Los Angeles,outside Reagan UCLA Medical Center,CA,US,2017-08-04,about 500,500,,500,,,AFSCME 3299,support of contracted valet workers,0,demonstration,0,0,0,0,1,1,http://dailybruin.com/?p=299690,,,,,,
Monsey,outside Ping Cellular,NY,US,2017-08-04,about 200,200,,200,,,Torah Jewry,Demand Orthodox-owned store stop selling smartphones to young Hasidic men,0,protest,0,0,0,0,1,1,http://www.lohud.com/story/news/local/rockland/2017/08/04/hasidic-jews-protest-monsey-stores-sale-smartphones-religious-community-members/540802001/,,,,,,
New York,JFK Airport,NY,US,2017-08-04,FB: 89 went,89,,89,,,general protestors,pro-travel to Cuba,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/841259792707323/,,,,,,
Orlando,in front of City Hall,FL,US,2017-08-04,NA,40,,40,,,People for Ethical Treatment of Animals,protest orca whales deaths at SeaWorld,0,protest,0,0,0,0,1,1,http://www.campaignlive.com/article/why-advertisings-blame-bulk-petas-protests-summer/1441011,,,,,,
San Angelo,Outside Green County Courthouse,TX,US,2017-08-04,about 20,20,,20,,,San Angelo office of Americans for Prosperity,Oppose high property taxes; demand more government transparency,0,protest,0,0,0,0,1,1,http://www.gosanangelo.com/story/news/local/2017/08/04/san-angelo-rally-calls-more-transparency-taxation/540030001/,,,,,,
Water Mill,Outside Trump advisors home,NY,US,2017-08-04,,,,,,,New York Communities for Change,Anti-Trump,1,protest,0,0,0,0,1,1,https://easthamptonstar.com/Government/5/Protesters-Decry-Trumps-Proposed-Tax-Reforms-Advisers-Water-Mill-House,,,,,,
