CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4
Kauai,Lihue Airport,Kauai,HI,US,2020-02-04,,,,,,,general protesters,support a fair contract for flight attendants,0,protest; demonstration,0,0,0,0,1,1,https://www.thegardenisland.com/2020/02/05/business/peaceful-demonstration-at-lihue-airport/,,,,
Nashua,,Hillsborough,NH,US,2020-02-04,na,2,,2,,,general protesters,against Joe Biden,2,protest,0,0,0,0,1,1,https://www.washingtonexaminer.com/news/first-biden-event-after-iowa-caucus-derailed-by-rogue-protesters,,,,
Nashville,Watkins College,Davidson,TN,US,2020-02-04,,,,,,,general protesters,support transparency about rights for LGBTQ community,1,protest,0,0,0,0,1,1,https://www.wkrn.com/news/local-news/watkins-college-students-protest-amid-merge-citing-lack-of-transparency/,,,,
New Haven,New Haven Green,New Haven,CT,US,2020-02-04,,,,,,,general protesters,support investment in public transit,0,rally,0,0,0,0,1,1,https://www.nhregister.com/news/article/New-Haven-residents-rally-for-investment-in-15030420.php,,,,
Rochester,Federal Building,Monroe,NY,US,2020-02-04,,,,,,,general protesters,"against Deal of the Century peace plan for Israel and Palestine, free Palestine",0,protest,0,0,0,0,1,1,https://www.wxxinews.org/post/protesters-rally-against-trumps-deal-century-israelis-palestinians,,,,
Syracuse,,Onondaga,NY,US,2020-02-04,,,,,,,general protesters,against proposed rollbacks to bail reform law,0,protest,0,0,0,0,1,1,https://www.localsyr.com/news/local-news/community-leaders-rally-against-bail-reform-rollback/,,,,
Tallahassee,,Leon,FL,US,2020-02-04,,,,,,,Planned Parenthood,"against parental-consent bill, for reproductive rights",1,protest,0,0,0,0,1,1,https://www.floridaphoenix.com/blog/shame-on-you-protesters-rally-against-parental-consent-bill-in-fl-legislature/,,,,
Tallahassee,,Leon,FL,US,2020-02-04,,,,,,,general protesters,against abortion rights,2,counter-protest,0,0,0,0,0,1,https://www.floridaphoenix.com/blog/shame-on-you-protesters-rally-against-parental-consent-bill-in-fl-legislature/,,,,
Wilmington,BOE Center,New Hanover,NC,US,2020-02-04,,,,,,,general protesters,in support of districts' students and safety,0,protest,0,0,0,0,1,1,https://www.starnewsonline.com/news/20200203/as-school-board-talks-protesters-keep-taking-action,,,,
Albany,,Albany,NY,US,2020-02-05,,,,,,,general protesters,support impeachment of President Donald Trump,1,protest,0,0,0,0,1,1,https://www.news10.com/news/local-news/capital-region-reject-the-cover-up-rally-to-follow-trump-impeachment-verdict/,,,,
Atlanta,State Capitol,Fulton,GA,US,2020-02-05,,,,,,,United Campus Workers of Georgia,for better conditions for University of Georgia system workers,0,protest,0,0,0,0,1,1,nique.net/news/2020/02/14/campus-workers-rally-for-improved-wages/,,,,
Austin,City Hall,Travis,TX,US,2020-02-05,,,,,,,general protesters,support impeachment of President Donald Trump,1,protest,0,0,0,0,1,1,https://www.statesman.com/news/20200205/today-protesters-to-rally-outside-austin-city-hall-after-trump-acquitted,,,,
Bangor,Federal Building,Penobscot,ME,US,2020-02-05,more than 40,40,,40,,,general protesters,against President Donald Trump,1,protest,0,0,0,0,1,1,https://www.wabi.tv/content/news/Demonstrators-rally-outside-Bangors-federal-building--567599171.html,,,,
Beaver,Beaver County Courthouse,Beaver,PA,US,2020-02-05,around 25,25,,25,,,general protesters,against President Trump,1,protest,0,0,0,0,1,1,https://www.timesonline.com/news/20200206/residents-protest-trumplsquos-acquittal-calling-it-lsquocover-uprsquo,,,,
Boise,Corner of Capital and Front Street,Ada,ID,US,2020-02-05,,,,,,,general protesters,against President Trump,1,protest,0,0,0,0,1,1,https://www.kivitv.com/news/reject-the-cover-up-rally-held-in-boise,,,,
Boston,Boston University,Suffolk,MA,US,2020-02-05,,,,,,,Massachusetts Peace Action; BU Students Against Imperialism,"against Raytheon, against weapons manufacturing, against war",1,protest,0,0,0,0,1,1,https://dailyfreepress.com/2020/02/06/students-protest-raytheons-presence-at-eng-career-fair/,,,,
Buckhead,In front of US Sen. David Perdue's office,Morgan,GA,US,2020-02-05,,,,,,,The Georgia Alliance for Social Justice; Common Cause Georgia,against President Trump,1,rally,0,0,0,0,1,1,https://www.mdjonline.com/neighbor_newspapers/northside_sandy_springs/news/two-organizations-are-hosting-a-trump-impeachment-rally-in-buckhead/article_e8692898-4840-11ea-9008-0377ccbef1f6.html,,,,
Chicago,,Cook,IL,US,2020-02-05,about 70,70,,70,,,Chicago firefighters,against handling of firefighters' promotional exam that had to be canceled due to technical issues,0,protest,0,0,0,0,1,1,https://www.chicagotribune.com/news/ct-chicago-firefighters-exam-protest-20200205-g6nrgmfijzg5hjmzjurpfuxz3a-story.html,,,,
Clarksville,Austin Peay State University,Montgomery,TN,US,2020-02-05,about 20,20,,20,,,Clarksville Indivisible,against President Trump,1,protest,0,0,0,0,1,1,https://www.theleafchronicle.com/story/news/local/clarksville/2020/02/06/trump-protest-clarksville-indivisible-protests-impeachment-vote/4681485002/,,,,
Concord,Main Street,Merrimack,NH,US,2020-02-05,,,,,,,general protesters,support President Trump,2,rally,0,0,0,0,1,1,https://www.wcax.com/content/news/Trump-supporters-rally-in-New-Hampshire-567595551.html,,,,
DeKalb,Memorial Park,DeKalb,IL,US,2020-02-05,,,,,,,general protesters,support impeachment of President Donald Trump,1,protest,0,0,0,0,1,1,https://www.daily-chronicle.com/2020/02/04/rally-to-protest-trump-acquittal-planned-for-wednesday-in-dekalb/apozy2z/,,,,
Eugene,Corner of 8th Avenue and Mill Street,Lane,OR,US,2020-02-05,over 100,100,,100,,,general protesters,against President Trump,1,protest,0,0,0,0,1,1,https://www.kezi.com/content/news/Protesters-rally-against-President-Trumps-acquittal--567630351.html,,,,
Evanston,Fountain Square,Cook,IL,US,2020-02-05,,,,,,,Lake Street Church Peace and Justice,against President Trump,1,protest,0,0,0,0,1,1,https://dailynorthwestern.com/2020/02/05/city/evanston-residents-rally-against-trumps-acquittal/,,,,
Fredonia,,Chautauqua,NY,US,2020-02-05,,,,,,,general protesters,support impeachment of President Donald Trump,1,protest,0,0,0,0,1,1,https://www.observertoday.com/news/local-region/2020/02/reject-cover-up-rally-today/,,,,
Glens Falls,Crandall Public Library,Warren,NY,US,2020-02-05,,,,,,,Indivisible; Action Network,support impeachment of President Donald Trump,1,protest,0,0,0,0,1,1,https://poststar.com/news/local/impeachment-protest-scheduled-for-wednesday-in-glens-falls/article_bb00a84a-1152-53e0-bb38-dfbb445e9076.html,,,,
Hartford,State Capitol,Hartford,CT,US,2020-02-05,hundreds,200,,200,,,general protesters,against mandatory vaccinations in Connecticut schools,2,rally,0,0,0,0,1,1,https://www.myrecordjournal.com/News/State/Lawmakers-greeted-by-protesters-as-they-gather-for-session.html,,,,
Holland,Park Theatre,Ottawa,MI,US,2020-02-05,,,,,,,Vote Common Good,against President Donald Trump,1,rally,0,0,0,0,1,1,https://www.hollandsentinel.com/news/20200205/faith-based-rally-on-stopping-trump-taking-place-in-holland-tonight,,,,
Hopkinsville,Christian County Justice Center,Christian,KY,US,2020-02-05,NA,1,,1,,,general protesters,in support of Rick Boling continuing as Christian county attorney,0,protest,0,0,0,0,1,1,https://www.kentuckynewera.com/news/article_7127796c-38bb-5510-bf1a-83fe556766ec.html,https://www.kentuckynewera.com/news/article_38e6217b-918b-54f4-bc7a-e192b4cbb8a0.html,,,
Kingston,,Ulster,NY,US,2020-02-05,,,,,,,general protesters,support impeachment of President Donald Trump,1,protest,0,0,0,0,1,1,https://www.dailyfreeman.com/reject-the-cover-up-rally-in-kingston/video_c95c8269-3d3b-5580-82b5-4ffe4dd4cde8.html,,,,
Lancaster,Penn Square,Lancaster,PA,US,2020-02-05,,,,,,,general protesters,support impeachment of President Donald Trump,1,protest,0,0,0,0,1,1,https://lancasteronline.com/news/local/trump-acquittal-protest/collection_6a4fe2e0-4871-11ea-985b-b7369cc5b863.html,,,,
Lexington,,Fayette,KY,US,2020-02-05,more than 30,30,,30,,,general protesters,against President Trump,1,protest,0,0,0,0,1,1,https://www.lex18.com/news/covering-kentucky/group-gathers-downtown-to-protest-trumps-acquittal,,,,
Los Angeles,Hall of Justice,Los Angeles,CA,US,2020-02-05,,,,,,,Black Lives Matter LA,"against police brutality, for police accountability, Black Lives Matter, against District Attorney Jackie Lacey",1,protest,,,,,1,1,https://www.cnn.com/2020/07/10/us/jackie-lacey-la-da-black-lives-matter/index.html,https://www.newyorker.com/magazine/2020/11/16/after-years-of-protests-every-wednesday-la-activists-welcome-a-new-da,,,
Milwaukee,Black Holocaust Museum,Milwaukee,WI,US,2020-02-05,,,,,,,The Original Black Panthers of Milwaukee,against use of racial slurs by grocery store employees,1,protest,0,0,0,0,1,1,https://www.cbs58.com/news/milwaukee-black-panthers-protest-at-roundys-after-employees-accused-of-using-racial-slurs,,,,
Napa,Corner of Main and Third Street,Napa,CA,US,2020-02-05,,,,,,,general protesters,against President Trump,1,protest,0,0,0,0,1,1,https://napavalleyregister.com/news/local/napa-protest-follows-trump-s-impeachment-acquittal/article_f8c4bd3c-c297-5180-a8b9-7f8b5e4b88c5.html,,,,
Naperville,,DuPage,IL,US,2020-02-05,about 80,80,,80,,,general protesters,against President Trump,1,protest,0,0,0,0,1,1,https://www.chicagotribune.com/suburbs/naperville-sun/ct-nvs-reject-the-coverup-rally-naperville-st-0207-20200206-eiuu523p5bdeph5vzcc4ronp24-story.html,,,,
Philadelphia,Dilworth Plaza,Philadelphia,PA,US,2020-02-05,about a hundred,100,,100,,,Action Network,against President Trump,1,protest,0,0,0,0,1,1,https://www.inquirer.com/news/trump-impeachment-protest-dilworth-park-philadelphia-rally-20200206.html,,,,
Philadelphia,Dilworth Plaza,Philadelphia,PA,US,2020-02-05,na,1,,1,,,general protester,for President Trump,2,counter-protest,0,0,0,0,0,1,https://www.inquirer.com/news/trump-impeachment-protest-dilworth-park-philadelphia-rally-20200206.html,,,,
Pittsfield,Park Square,Berkshire,MA,US,2020-02-05,,,,,,,Indivisible Pittsfield; Berkshire Democratic Brigades,for impeaching President Trump,1,protest,0,0,0,0,1,1,"https://www.berkshireeagle.com/stories/pittsfield-rally-to-oppose-likely-acquittal-of-president-trump,596308",,,,
Saline,,Washtenaw,MI,US,2020-02-05,,,,,,,general protesters,against racism in school district,1,protest,0,0,0,0,1,1,https://www.mlive.com/news/ann-arbor/2020/02/saline-peace-rally-planned-wednesday-in-response-to-racism-in-school-district.html,,,,
San Diego,Hillcrest,San Diego,CA,US,2020-02-05,around 50,50,,50,,,The San Diego Chapter of Indivisible,against President Trump,1,protest,0,0,0,0,1,1,https://www.sandiegouniontribune.com/news/story/2020-02-05/san-diegans-protest-trump-acquittal,,,,
San Francisco,Union Square,San Francisco,CA,US,2020-02-05,hundreds,200,,200,,,general protesters,against President Trump,1,protest,0,0,0,0,1,1,https://www.ktvu.com/news/hundreds-protest-president-trumps-acquittal-on-san-francisco-market-street,,,,
San Rafael,,Marin,CA,US,2020-02-05,more than a hundred,100,,100,,,general protesters,against President Trump,1,protest,0,0,0,0,1,1,https://www.marinij.com/2020/02/05/san-rafael-rally-protests-senates-acquittal-of-president-trump/,,,,
Sequim,,Clallam,WA,US,2020-02-05,,,,,,,The Indivisible Sequim,support impeachment of President Trump,1,protest,0,0,0,0,1,1,https://www.peninsuladailynews.com/news/sequim-rally-set-as-impeachment-trial-vote-approaches/,,,,
Sioux Falls,,Minnehaha,SD,US,2020-02-05,dozens,24,,24,,,general protesters,against lack of education funding,0,protest,0,0,0,0,1,1,https://www.argusleader.com/story/news/education/2020/02/05/sioux-falls-teachers-protest-lack-state-funding-joining-national-movement/4653827002/,,,,
Somers,University of Wisconsin,Kenosha,WI,US,2020-02-05,NA,40,,40,,,UW-Parkside chapter of Students for a Democratic Society,"in support of Chrystul Kizer, in support of teenager accused of killing her sex trafficker",0,rally,0,0,0,0,1,1,http://www.fightbacknews.org/2020/2/3/kenosha-wi-students-plan-rally-support-chrystul-kizer-outside-da-graveleys-classroom,http://www.fightbacknews.org/2020/2/7/uw-parkside-sds-lead-rally-free-chrystul-kizer-confront-da-graveley http://www.fightbacknews.org/2020/2/3/kenosha-wi-students-plan-rally-support-chrystul-kizer-outside-da-graveleys-classroom,,,
Tallahassee,State Capitol,Leon,FL,US,2020-02-05,hundreds; more than 350,200,,350,,,general protesters,support criminal justice reform,1,protest,0,0,0,0,1,1,https://www.wctv.tv/content/news/Hundreds-rally-for-criminal-justice-reform-in-Florida--567595001.html,,,,
Talleyville,Concord Pike,New Castle,DE,US,2020-02-05,about 60,60,,60,,,general protesters,against President Donald Trump,1,protest,0,0,0,0,1,1,https://www.delawareonline.com/story/news/politics/2020/02/05/delaware-group-joins-national-protest-trumps-acquittal/4670763002/,,,,
The Villages,,Sumter,FL,US,2020-02-05,NA,1,,1,,,Ed McGinty,against President Donald Trump,1,protest,0,0,0,0,1,1,https://www.washingtonpost.com/politics/2020/02/08/trump-protest-the-villages-golf-cart/,,,,
Washington,Capitol,DC,DC,US,2020-02-05,hundreds,200,,200,,,general protesters,against President Donald Trump,1,protest,1,0,0,0,1,1,https://www.washingtonpost.com/local/10-women-chanting-trump-is-guilty-arrested-in-capitol-rotunda-amid-protest-over-impeachment-vote/2020/02/05/def761ca-4837-11ea-bc78-8a18f7afcee7_story.html,,,number of arrests uncertain,
Wilmington,,New Hanover,NC,US,2020-02-05,dozens,24,,24,,,general protesters,support impeachment of President Donald Trump,1,protest,0,0,0,0,1,1,https://www.wwaytv3.com/2020/02/05/reject-the-cover-up-rally-held-the-day-of-the-final-impeachment-vote/,,,,
Columbia,University of Missouri,Boone,MO,US,2020-02-06,na,8,,8,,,The Physicians Committee for Responsible Medicine,"against use of live animals to train residents on emergency procedures, against animal cruelty in medical research",0,demonstration,0,0,0,0,1,1,https://www.columbiamissourian.com/news/higher_education/demonstrators-gather-to-protest-live-animal-use-at-mu/article_a237895a-492b-11ea-89e6-c7dc43af962f.html,,,,
Denver,State Capitol,Denver,CO,US,2020-02-06,,,,,,,general protesters,support easier access to feminine hygiene products in schools,0,rally,0,0,0,0,1,1,https://denver.cbslocal.com/2020/02/06/period-power-students-gather-for-hygiene-rally-at-state-capitol/,,,,
Frankfort,Capitol,Franklin,KY,US,2020-02-06,,,,,,,Sisters For Life,against abortion,2,rally,0,0,0,0,1,1,https://www.wtvq.com/2020/02/06/sisters-life-hold-pro-life-rally-capitol/,,,,
Los Angeles,,Los Angeles,CA,US,2020-02-06,,,,,,,SEIU United Service Workers West,demanding new deal for immigrant workers; improvements in human right standards in janitorial and other work environments,0,march,0,0,0,0,1,1,https://fox5sandiego.com/news/janitors-march-throughout-calif-to-demand-new-deal-for-immigrant-workers/,,,,
New York,Maimonides Medical Center,Kings,NY,US,2020-02-06,some 50,50,,50,,,community activists,anti ICE; seek justice for ICE shooting victim,1,protest,0,0,0,0,1,1,https://gothamist.com/news/ice-shooting-brooklyn-arrest-protest,,,,
Oakland,,Alameda,CA,US,2020-02-06,,,,,,,SEIU United Service Workers West,demanding new deal for immigrant workers; improvements in human right standards in janitorial and other work environments,0,march,0,0,0,0,1,1,https://fox5sandiego.com/news/janitors-march-throughout-calif-to-demand-new-deal-for-immigrant-workers/,,,,
Oklahoma City,State Capitol,Oklahoma,OK,US,2020-02-06,hundreds,200,,200,,,general protesters,support medical marijuana legalization,0,protest,0,0,0,0,1,1,https://oklahoman.com/article/5654312/medical-marijuana-supporters-rally-at-oklahoma-state-capitol,,,,
Orange,,Orange,CA,US,2020-02-06,,,,,,,SEIU United Service Workers West,demanding new deal for immigrant workers; improvements in human right standards in janitorial and other work environments,0,march,0,0,0,0,1,1,https://fox5sandiego.com/news/janitors-march-throughout-calif-to-demand-new-deal-for-immigrant-workers/,,,,
Orlando,University of Central Florida,Orange,FL,US,2020-02-06,count pic,4,,4,,,The Bloodstained Men,against circumcision,0,protest,0,0,0,0,1,1,https://www.clickorlando.com/news/2020/01/28/i-want-my-foreskin-back-anti-circumcision-protesters-stage-at-florida-intersection/,,,,
Portland,,Multnomah,OR,US,2020-02-06,,,,,,,general protesters,for action against climate change,1,rally,0,0,0,0,1,1,https://pamplinmedia.com/pt/9-news/450963-367568-climate-bill-protesters-rev-up-for-lap-around-capitol-,,,,
Sacramento,,Sacramento,CA,US,2020-02-06,,,,,,,SEIU United Service Workers West,demanding new deal for immigrant workers; improvements in human right standards in janitorial and other work environments,0,march,0,0,0,0,1,1,https://fox5sandiego.com/news/janitors-march-throughout-calif-to-demand-new-deal-for-immigrant-workers/,,,,
Sacramento,William Land Elementary School,Sacramento,CA,US,2020-02-06,more than a dozen,12,,12,,,general protesters,support more homework and more consistent education for students,0,protest,0,0,0,0,0,1,https://www.kcra.com/article/sacramento-students-protest-for-more-homework/30796810,,,,
Salem,State Capitol,Marion,OR,US,2020-02-06,NA,1000,,1000,,,Timber Unity,against state legislation that would cap carbon emissions statewide and charge the state’s largest polluters for emissions over the cap,2,rally,0,0,0,0,1,1,https://www.statesmanjournal.com/story/news/2020/02/01/oregon-cap-and-trade-bill/4623221002/,https://www.kptv.com/news/timber-unity-group-rallies-in-salem-to-protest-cap-and/article_7dac43ce-48ee-11ea-bc70-73c48c217d7b.html,https://twitter.com/iendeduphere1/status/1496581553425584129,,
San Diego,,San Diego,CA,US,2020-02-06,more than 100,100,,100,,,SEIU United Service Workers West,demanding new deal for immigrant workers; improvements in human right standards in janitorial and other work environments,0,march,0,0,0,0,1,1,https://www.cbs8.com/article/money/janitors-march-demand-new-deal-for-immigrant-workers-in-san-diego/509-86107665-9457-4661-b87a-341dfd53bb11,,,,
San Jose,,Santa Clara,CA,US,2020-02-06,,,,,,,SEIU United Service Workers West,demanding new deal for immigrant workers; improvements in human right standards in janitorial and other work environments,0,march,0,0,0,0,1,1,https://fox5sandiego.com/news/janitors-march-throughout-calif-to-demand-new-deal-for-immigrant-workers/,,,,
