CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,,
Willinston,Smart Style Hair Salon,ND,US,2017-10-05,,6,,6,,,former employees,protesting abrupt and unwarranted termination of their jobs. ,0,protest,0,0,0,0,1,1,http://www.willistonherald.com/news/stylists-protest-firing-workers-claim-unfair-treatment-pay-cuts/article_2baa7548-aa42-11e7-9e6c-6f0c68410631.html,,,,,,,
Cheyenne,Radisson Hotel,WY,US,2017-10-06,NA,10,,10,,,general protestors,Protesting gun laws in the wake of Las Vegas shooting,0,protest,0,0,0,0,1,1,https://www.sheridanmedia.com/news/wyoming-residents-protest-share-act-gun-violence95798,,,,,,,
Eugene,University of Oregon,OR,US,2017-10-06,,,,,,,Students,"Protesting perceived fascist, racist university",0,protest,0,0,0,0,1,1,http://kval.com/news/local/student-protesters-seize-stage-university-of-oregon-president-cancels-speech,http://kval.com/news/local/gallery/student-protesters-seize-stage-university-of-oregon-president-cancels-speech#/,,,,,,
Ferguson,W. Florissant ave.,MO,US,2017-10-06,dozens,24,,24,,,general protestors,Protesting acquittal of Jason Stockley ,0,protest,0,0,0,0,1,1,http://www.stltoday.com/news/local/crime-and-courts/protesters-march-on-street-at-police-headquarters-in-ferguson/article_7a04468c-30f1-5d4b-928b-cbb933dc4a9f.html,http://www.joplinglobe.com/region/the-latest-protesters-return-to-ferguson-for-latest-march/article_8fc80c02-3be3-58e3-963e-54488100211d.html,,,,,,
Gary,Gary Chicago Airport,IN,US,2017-10-06,more than 200,200,,200,,,general protestors,Protesting deportation,1,protest,0,0,0,0,1,1,http://www.nwitimes.com/news/local/groups-join-together-friday-to-protest-deportations-at-gary-airport/article_6ef9d5cb-cfc1-5142-962b-f46dc6e11201.html,http://www.chicagotribune.com/suburbs/post-tribune/news/ct-ptb-daca-rally-st-1007-20171006-story.html,,,,,,
Gibsonia,Pine Richland High School,PA,US,2017-10-06,NA,3,,3,,,Westboro Baptist Church,Protesting school's pro-LGBT values,0,protest,0,0,0,0,1,1,http://www.post-gazette.com/local/north/2017/10/06/Pittsburgh-counter-protest-Westboro-Baptist-Church-demonstrators-Pine-Richland-High-School-transgender-students/stories/201710060117,,,,,,,
Gibsonia,Pine Richland High School,PA,US,2017-10-06,About 70,70,,70,,,general protestors,Counter-protest; defending school,0,protest,0,0,0,0,0,1,http://www.post-gazette.com/local/north/2017/10/06/Pittsburgh-counter-protest-Westboro-Baptist-Church-demonstrators-Pine-Richland-High-School-transgender-students/stories/201710060117,,,,,,,
Logan,Main St. ,UT,US,2017-10-06,7,7,,7,,,Logan High Students ,March for stricter gun control,0,march ,0,0,0,0,1,1,https://news.hjnews.com/allaccess/seven-logan-high-students-march-for-stricter-gun-control/article_3722e799-f0db-52db-8fc4-877a5d2a04ad.html,,,,,,,
Modesto,Highway 99,CA,US,2017-10-06,Hundreds,100,,100,,,truckers,protesting electronic logging device,0,protest,0,0,0,0,1,1,http://www.modbee.com/news/local/article177539521.html,http://www.sacbee.com/news/local/transportation/article177483731.html,http://sacramento.cbslocal.com/2017/10/06/trucker-protest-highway-99/,,,,,
New Haven,New Haven Police Department,CT,US,2017-10-06,approximately 150,150,,150,,,general protestors,Rallying for more gun restrictions,1,rally,0,0,0,0,1,1,http://www.wfsb.com/story/36535899/gun-control-advocates-ct-lawmakers-rally-in-new-haven,http://www.nhregister.com/news/article/Blumenthal-Murphy-DeLauro-rally-gun-control-12259714.php,http://wtnh.com/2017/10/06/connecticut-senators-push-for-new-gun-control-laws-at-new-haven-rally/,,,,,
New York City ,Foley Square,NY,US,2017-10-06,,,,,,,general protestors,Protesting Trump's anti-transgender policies ,1,protest,0,0,0,0,1,1,http://abc7ny.com/politics/protest-for-transgender-rights-held-in-foley-square/2501822/,,,,,,,
New York City ,Gracie Mansion; Mayor De Blasio's Columbus Day Reception ,NY,US,2017-10-06,41,41,,41,,,Italian-American Leaders ,Protesting the possibility of De Blasio removing Columbus statue ,0,protest ,0,0,0,0,0,1,https://www.cnsnews.com/blog/craig-bannister/41-italian-american-groups-boycott-de-blasio-reception-due-columbus-statue,http://nypost.com/2017/10/05/de-blasio-has-earned-a-huge-chorus-of-columbus-day-boos/,http://abc7ny.com/politics/italian-americans-boycott-mayor-de-blasios-reception/2494775/,,,,,
Reno,Near Nevada Convention Center,NV,US,2017-10-06,a couple dozen,24,,24,,,Nevada Gun Safety Coalition,Rally for stronger gun control,1,rally,0,0,0,0,1,1,http://www.kolotv.com/content/news/Gun-control-advocates-rally-ahead-of-this-weekends-gun-show-449840553.html,,,,,,,
Revere,Shirley Ave.,MA,US,2017-10-06,,,,,,,City Life,Rally to stop evictions,0,rally,,,,,1,1,https://www.facebook.com/events/1677784265573958/,,,,,,,
Rockford, Davis Park,IL,US,2017-10-06,More than a hundred,100,,100,,,general protestors,Rally part of Mental Illness Awareness Week,0,Rally,0,0,0,0,1,1,http://www.rrstar.com/news/20171006/more-than-100-attend-mental-health-rally-at-davis-park-in-rockford,,,,,,,
Anderson,Eisenhower Memorial Bridge,IN,US,2017-10-07,aound 35,35,,35,,,general protestors,Rally against racial division,0,rally,0,0,0,0,1,1,http://www.heraldbulletin.com/news/local_news/local-residents-come-together-to-march-for-unity/article_d8f40033-04e2-54fa-8fa8-34473db25d44.html,,,,,,,
Annapolis,State House ,MD,US,2017-10-07,estimated 50 ,50,,50,,,general protestors,Vigil for Las Vegas shooting,0,vigil ,0,0,0,0,1,1,http://www.capitalgazette.com/news/ac-cn-health-rally-1008-story.html,,,,,,,
Annapolis,State House ,MD,US,2017-10-07,,,,,,,general protestors,Rally for Universal Healthcare in Maryland ,0,rally,0,0,0,0,0,1,http://www.capitalgazette.com/news/ac-cn-health-rally-1008-story.html,,,,,,,
Atlanta,Lenox Square,GA,US,2017-10-07,,,,,,,general protestors,Boycotting local restaurant due to discrimination claims,0,protest,0,0,0,0,1,1,http://www.11alive.com/news/ti-joins-boycotthoustons-restaurant-protest/481783442,,,,,,,
Bangor ,Pierce Park,ME,US,2017-10-07,a few ,,,,,,The Mayflower Society ,Rally in support of Columbus Day ,0,rally ,0,0,0,0,1,1,https://bangordailynews.com/2017/10/07/news/bangor/columbus-day-supporters-cancel-bangor-rally-planned-for-saturday/,,,,,,,
Bangor ,Pierce Park,ME,US,2017-10-07,,,,,,,general protestors,counter-protest ,0,protest ,0,0,0,0,0,1,https://bangordailynews.com/2017/10/07/news/bangor/columbus-day-supporters-cancel-bangor-rally-planned-for-saturday/,,,,,,,
Beloit ,Beloit Memorial High School to Beloit College ,WI ,US,2017-10-07,over 100,100,,100,,,general protestors,Rallying to celebrate being unified no matter our differences ,0,march ,0,0,0,0,1,1,http://www.wifr.com/content/news/Dozens-walk-in-Beloit-Freedom-March--449925873.html,,,,,,,
Boston,Boston Common ,MA,US,2017-10-07,FB: 80,80,,80,,,Youth Action March ,Protesting Trump Adminstration ,1,protest ,0,0,0,0,0,1,http://www.thecrimson.com/article/2017/10/10/youth-action-march/,https://www.facebook.com/events/889234114567990/?acontext=%7B%22source%22%3A22%2C%22action_history%22%3A%22%5B%7B%5C%22surface%5C%22%3A%5C%22timeline%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22surface%5C%22%2C%5C%22extra_data%5C%22%3A%5B%5D%7D%5D%22%2C%22has_source%22%3Atrue%7D&source=22&action_history=%5B%7B%22surface%22%3A%22timeline%22%2C%22mechanism%22%3A%22surface%22%2C%22extra_data%22%3A%5B%5D%7D%5D&has_source=1&fref=mentions,,,,,,
Boston,Columbus Park,MA,US,2017-10-07,dozens,24,,24,,,general protestors,"Protesting Christopher Columbus, Columbus Day",0,protest,0,0,0,0,1,1,http://www.bostonherald.com/news/local_coverage/2017/10/protesters_columbus_day_a_celebration_of_genocide,,,,,,,
Charlottesville ,Emancipation Park ,VA,US,2017-10-07,more than 40; 50 ,40,,50,,,White Nationalists; Richard Spencer ,Protest for White Identity ,0,protest ,0,0,0,0,0,1,http://www.pbs.org/newshour/rundown/white-nationalists-return-protest-charlottesville-park-scene-august-violence/,http://www.cnn.com/2017/10/08/us/charlottesville-torch-rally/index.html,,,,,,
Charlottesville ,Scott Stadium,VA,US,2017-10-07,approximately 20,20,,20,,,Black Student Alliance,"National anthem protest, protesting racial inequality",1,protest,0,0,0,0,1,1,http://www.cavalierdaily.com/article/2017/10/student-protesters-kneel-during-national-anthem-at-scott-stadium,,,,,,,
Chicago,Callahan Park,IL,US,2017-10-07,several,,,,,,mothers,Rally to stop violence,0,rally,0,0,0,0,1,1,http://www.nwitimes.com/news/local/crime-and-courts/mothers-unite-in-grief-over-gun-violence-at-east-chicago/article_abfff0ba-5361-52b7-9be8-05d9788e9e9d.html,,,,,,,
Columbia,State Capitol,SC,US,2017-10-07,some 50,50,,50,,,general protestors,rally for gun control,0,rally,0,0,0,0,1,1,http://www.thestate.com/news/local/crime/article177687591.html,,,,,,,
Dallas,Hyatt Regency,TX,US,2017-10-07,,,,,,,Jeffrey Payne Campaign,Rally for Payne for Governor,0,rally,,,,,1,1,https://www.facebook.com/events/1945905878966491/,,,,,,,
Greensboro,Country Club Drive,NC,US,2017-10-07,,,,,,,general protestors,Rallying for Trump,2,rally,0,0,0,0,1,1,http://www.greensboro.com/news/government/supporters-protesters-greet-trump-in-greensboro/article_c01b5fa1-b08b-580b-9976-011d259a5652.html,,,,,,,
Greensboro,Country Club Drive,NC,US,2017-10-07,,,,,,,general protestors,Rallying against Trump,1,rally,0,0,0,0,0,1,http://www.greensboro.com/news/government/supporters-protesters-greet-trump-in-greensboro/article_c01b5fa1-b08b-580b-9976-011d259a5652.html,,,,,,,
Hyden,Breckinridge Festival,KY,US,2017-10-07,dozens,24,,24,,,general protestors,Rally to stop drugged driving,0,rally,0,0,0,0,1,1,http://www.wymt.com/content/news/Dozens-march-for-Stop-Drugged-Driving-campaign-449903363.html,,,,,,,
Memphis,Walker Homes church,TN,US,2017-10-07,,,,,,,general protestors,Rally to stop violence,0,rally,0,0,0,0,1,1,http://www.fox13memphis.com/top-stories/stop-the-killing-rally-held-in-memphis/621587519,,,,,,,
Montgomery,Unioun Station Train Shed,AL,US,2017-10-07,hundreds ,200,,200,,,Christians ,March for Jesus ,0,march ,0,0,0,0,1,1,http://www.montgomeryadvertiser.com/story/news/2017/10/07/christians-march-montgomery-jesus/743315001/?from=global&sessionKey=&autologin=,,,,,,,
New York City ,Bronx Columbus Day Parade ,NY ,US,2017-10-07,,,,,,,Politicians in support of keeping Columbus statue; Italian-Americans ,Rally for Columbus statue ,0,rally ,0,0,0,0,1,1,http://www.nydailynews.com/new-york/bronx/pols-rally-support-city-columbus-statue-bronx-parade-article-1.3549407,,,,,,,
Newton,Newton Green,NJ,US,2017-10-07,roughly a dozen,12,,12,,,New Jersey Peace Action,Protesting Trump's latest travel ban,1,protest,0,0,0,0,1,1,http://www.njherald.com/20171008/activists-rally-on-newton-green-against-travel-ban#,,,,,,,
Peoria ,South Peoria to North Valley ,IL,US,2017-10-07,some 200 ,200,,200,,,Catholic Diocese of Peoria ,March for Mary,0,march ,0,0,0,0,1,1,http://www.pjstar.com/news/20171007/rain-doesnt-stop-march-for-mary-through-downtown-peoria,,,,,,,
San Antonio,Park North Shopping Center,TX,US,2017-10-07,,,,,,,Texas Democratic Party,Protesting Republican lawmakers,0,protest,,,,,1,1,https://www.facebook.com/events/726450490889286/,,,,,,,
Springfield,Our Lady of the Sacred Heart Church,MA,US,2017-10-07,,,,,,,general protestors,Rally for Puerto Rico/Caribbean Islands,0,rally,,,,,1,1,https://www.facebook.com/events/1730535253692074/,,,,,,,
Sunrise ,BB&T center ,FL,US,2017-10-07,1,1,,1,,,J.T. Brown,Anthem protest ,0,protest ,0,0,0,0,1,1,http://www.newsobserver.com/sports/nhl/carolina-hurricanes/canes-now/article177844851.html,,,,,,,
Terre Haute,Vigo County Courthouse,IN,US,2017-10-07,,,,,,,IndyCann Higher Society of Indiana,Rally for medical marijuana,1,rally,,,,,1,1,http://www.tribstar.com/news/medical-marijuana-rally-is-saturday-at-courthouse/article_001ede52-aad6-11e7-b6b0-83a2c22c29cc.html,,,,,,,
Victorville,Family Life Church,CA,US,2017-10-07,,,,,,,general protestors,Rally to stop violence,0,rally,0,0,0,0,1,1,http://www.vvdailypress.com/news/20171007/unity-theme-of-anti-violence-rally,,,,,,,
West Chester,United Methodist Church to Calvary Lutheran Church,PA,US,2017-10-07,more than 100,100,,100,,,general protestors,Rallying against gun violence,0,rally,0,0,0,0,1,1,http://www.dailylocal.com/general-news/20171013/more-than-100-local-residents-march-against-gun-violence,,,,,,,
Worthington,High School to St. Mary's Church,MN,US,2017-10-07,hundreds,200,,200,,,general protestors,Protesting Trump's decision to end DACA; rallying for immigration reform,1,protest,0,0,0,0,1,1,http://www.dglobe.com/news/4340475-daca-rally-draws-huge-crowd-worthington,,,,,,,
Boise,Boise State University,ID,US,2017-10-08,From photo: dozens,24,,24,,,Associated Students of Boise State University,Vigil for Las Vegas shooting,0,rally,0,0,0,0,1,1,https://arbiteronline.com/asbsu-hosts-vigil-for-lives-lost-in-las-vegas-shooting/,,,,,,,
Burlington,Intervale,VT,US,2017-10-08,dozens,24,,24,,,Farmers,"Rallying to protect ""organic"" label",0,rally,0,0,0,0,1,1,http://www.wcax.com/content/news/Farmers-rally-to-protect-organic-label-450005833.html,,,,,,,
Denver,State Capitol,CO,US,2017-10-08,a small crowd,,,,,,general protestors,Rally for gun control,1,rally,0,0,0,0,1,1,http://www.denverpost.com/2017/10/08/bump-stock-ban-denver-gun-violence-rally/,,,,,,,
Detroit,Ford Field ,MI,US,2017-10-08,about 50; about 25; about 8 ,8,,50,,,general protestors,Protesting Detroit Lions previous anthem protests ,0,protest ,0,0,0,0,1,1,http://www.mlive.com/lions/index.ssf/2017/10/fans_gather_outside_ford_field.html,http://www.detroitnews.com/story/news/local/detroit-city/2017/10/08/stand-protesters-unite-kneeling-lions/106448676/,http://www.freep.com/story/news/local/michigan/detroit/2017/10/08/protesters-ford-field-rally-nfl-taking-knee/744229001/,,,,,
East Rutherford ,MetLife Stadium ,NJ,US,2017-10-08,2,2,,2,,,Oliver Vernon; Keenan Robinson ,Anthem protest ,0,protest,0,0,0,0,1,1,http://www.nydailynews.com/sports/football/giants/giants-continued-protest-national-anthem-article-1.3549362,,,,,,,
Euclid,City Hall,OH,US,2017-10-08,more than 100,100,,100,,,general protestors,"Rally for peace, unity",0,rally,0,0,0,0,1,1,http://www.cleveland.com/euclid/index.ssf/2017/10/euclid_city_leaders_residents.html,,,,,,,
Gainesville,Depot Park,FL,US,2017-10-08,about 40,40,,40,,,general protestors,Rallying for elephant preservation,0,rally,0,0,0,0,1,1,http://www.alligator.org/news/article_6f2fcc42-ac71-11e7-9bca-8751dbc93a5e.html,,,,,,,
Grand Rapids,Rosa Parks Circle,MI,US,2017-10-08,dozens  ,24,,24,,,Michigan Student Power Network,Protesting Secretary DeVos.,1,protest,0,0,0,0,1,1,http://woodtv.com/2017/10/08/dozens-attend-funeral-for-public-education-to-protest-devos/,,,,,,,
Huntington Beach,Huntington Beach Pier ,CA,US,2017-10-08,dozens; hundreds,24,,200,,,general protestors,Vigil for Las Vegas shooting,0,vigil ,0,0,0,0,1,1,http://www.latimes.com/local/lanow/la-me-ln-vegas-vigil-huntington-beach-20171008-story.html,http://abc7.com/community-events/huntington-beach-holds-emotional-vigil-for-58-las-vegas-victims/2510128/,http://losangeles.cbslocal.com/2017/10/08/vigil-for-vegas-shooting-victims-held-in-huntington-beach/,,,,,
Indianapolis,Indianapolis Colts Stadium ,IN,US,2017-10-08,1,1,,1,,,Vice President Mike Pence ,Protesting 49ers anthem protests ,2,protest ,0,0,0,0,1,1,http://www.foxnews.com/us/2017/10/08/vice-president-mike-pence-leaves-colts-49ers-game-after-players-reportedly-kneel.html,http://www.cnn.com/2017/10/08/politics/vice-president-mike-pence-nfl-protest/index.html,,,,,,
Milford,Milford Green,CT,US,2017-10-08,,,,,,,general protestors,Rally against hate,0,rally,0,0,0,0,1,1,http://www.nhregister.com/news/article/Milford-anti-hate-rally-gets-honks-thumbs-up-12262450.php,,,,,,,
Portland,Schrunk Plaza,OR,US,2017-10-08,,,,,,,general protestors,"Counter-protest, anti-fascist",1,protest,0,0,0,0,0,1,http://katu.com/news/local/patriot-prayer-to-rally-near-portland-marathon-counter-protests-expected,,,,,,,
Portland,Schrunk Plaza,OR,US,2017-10-08,,,,,,,Patriot Prayer,White supremacist rally,2,rally,1,0,0,0,1,1,http://katu.com/news/local/patriot-prayer-to-rally-near-portland-marathon-counter-protests-expected,,,,,,,
Salt Lake City,Police HQ,UT,US,2017-10-08,more than 100,100,,100,,,Black Lives Matter,Protesting fatal shooting of deaf man,0,protest,0,0,0,0,1,1,http://abcnews.go.com/US/protesters-outraged-deadly-police-shooting-utah/story?id=50360059,http://kutv.com/news/local/hundreds-attent-black-lives-matter-rally-in-salt-lake,,,,,,
St. Louis ,Shaw neighborhood,MO,US,2017-10-08,about 200; nearly 1000,200,,1000,,,general protestors,Remembering 3 year anniversary of police shooting of area man,0,protest; vigil,0,0,0,0,1,1,http://www.stltoday.com/news/local/metro/protesters-mark--year-anniversary-of-police-shooting-in-st/article_c4aa1cc0-2868-569f-91e0-3bc034b84d1e.html,http://photos.riverfronttimes.com/huge-protest-shaw-remembers-vonderrit-myers/?slide=1&shawweb01,,,,,,
Asheville,Pack Square,NC,US,2017-10-09,,,,,,,Democracy NC,Rallying against proposed redistricting bill,0,rally,0,0,0,0,1,1,http://wlos.com/news/local/wnc-against-judicial-gerrymandering-rally-in-downtown-asheville-monday,,,,,,,
Berkeley ,Sproul Plaza,CA,US,2017-10-09,more than a dozen; 20 or so ,12,,20,,,High School Students; College Students ,Protesting against Trump's decesion to rescind DACA,1,protest ,0,0,0,0,1,1,http://www.berkeleyside.com/2017/10/11/young-protesters-voice-support-daca-bamn-rally-uc-berkeley-campus/,,,,,,,
Bristol,Outside ESPN HQ,CT,US,2017-10-09,a half dozen,6,,6,,,general protestors,Protesting suspension of Jemele Hill,1,protest,0,0,0,0,1,1,http://www.courant.com/community/bristol/hc-news-espn-protest-20171010-story.html,http://www.wfsb.com/story/36561083/people-protest-espn-over-hill-suspension,,,,,,
Charlotte ,Outside City Council meeting,NC,US,2017-10-09,,,,,,,general protestors,Protesting police shooting of man,0,protest,,,,,1,1,http://www.wsoctv.com/news/local/silent-protest-planned-in-response-to-deadly-officer-involved-shooting/622026851,,,,,,,
Frresno,Fresno City College,CA,US,2017-10-09,hundreds,200,,200,,,Students,Protesting Columbus Day; Indigenous People's rally,0,protest,0,0,0,0,1,1,http://www.yourcentralvalley.com/news/protest-to-rid-columbus-day-and-replace-with-indigenous-peoples-day/831509603,,,,,,,
Holland,Springfield High School,OH,US,2017-10-09,,,,,,,general protestors,Confederate flag rally,2,rally,0,,0,0,1,1,http://www.wtol.com/story/36562009/group-waves-confederate-flags-in-rally-outside-of-springfield-high-school,,,,,,,
Houston,Texas Southern University,TX,US,2017-10-09,dozens,24,,24,,,students,Protesting planned speech by conservative congressman,0,protest,0,,0,0,1,1,https://www.insidehighered.com/quicktakes/2017/10/10/amid-protest-speech-called-texas-southern,http://www.khou.com/news/local/tsu-protesters-prevent-state-rep-s-speech/482078089,,,,,,
Indian Springs,Creech Air Force Base,NV,US,2017-10-09,,,,,,,Veterans for Peace,Protesting usage of military drones,0,protest,2,,0,0,1,1,https://lasvegassun.com/news/2017/oct/09/anti-drone-activists-protest-at-creech-air-force-b/,,,,,,,
Iowa City,University of Iowa,IA,US,2017-10-09,,,,,,,general protestors,Rally for indigenous people's day,0,rally,0,,0,0,1,1,http://www.kcrg.com/content/news/Rally-in-Iowa-City-celebrates-Indigenous-Peoples-Day-450109803.html,,,,,,,
Little Rock,War Memorial Stadium,AR,US,2017-10-09,more than 600,600,,600,,,general protestors,Rally to end violence,0,rally,0,,0,0,1,1,http://www.arkansasmatters.com/news/local-news/victory-over-violence-prayer-rally-hundreds-gather-to-spark-change/831609726,,,,,,,
Mansfield ,First United Methodist of Mansfield ,CT ,US ,2017-10-09,,,,,,,First United Methodist of Mansfield,Vigil of Hope ,0,vigil ,0,0,0,0,1,1,https://www.facebook.com/events/135320910433848/?ref=br_rs&acontext=%7B%22action_history%22%3A%22null%22%7D,,,,,,,
New York City ,City Hall,NY,US,2017-10-09,thousands,2000,,2000,,,general protestors,"Protesting de Blasio, rallying for affordable housing",0,protest,0,0,0,0,1,1,http://www.nydailynews.com/new-york/thousands-slam-mayor-de-blasio-housing-plan-city-hall-rally-article-1.3551921,,,,,,,
New York City ,Trump Tower,NY,US,2017-10-09,,,,,,,general protestors,Protesting Trump immigration policy,1,protest,0,0,0,0,0,1,https://twitter.com/truahrabbis/status/917390844465958912,,,,,,,
Newton,,NJ,US,2017-10-09,large groups,,,,,,general protestors,Protesting NJ's annual bear hunt,0,protest,2,0,0,0,1,1,http://newjersey.news12.com/story/36547118/officials-several-bears-culled-in-hunt-protesters-charged,,,,,,,
NJ,Whittingham Wildlife Management Area,NJ,US,2017-10-09,,,,,,,general protestors,Protesting bear hunting,0,protest,2,0,0,0,1,1,http://www.nj.com/sussex-county/index.ssf/2017/10/one_protester_arrested_as_nj_bear_hunt_begins_in_e.html,,,,,,,
Pueblo,,CO,US,2017-10-09,,,,,,,general protestors,Protesting Columbus Day; Indigenous People's rally,0,protest,0,0,0,0,1,1,http://www.koaa.com/story/36556903/columbus-day-brings-celebrators-and-protesters-to-downtown-pueblo,,,,,,,
San Francisco,San Francisco State University,CA,US,2017-10-09,some 30,30,,30,,,California State University Employees Union,"Rally for higher wages, better working conditions",0,rally,0,0,0,0,1,1,http://www.sfexaminer.com/sfsu-employees-rally-raises-audit-finds-alleged-unfair-labor-practices-statewide/,,,,,,,
South Bend,Notre Dame University,IN,US,2017-10-09,,,,,,,Native American Student Association of Notre Dame,Protesting Columbus Day; Indigenous People's rally,0,protest,0,0,0,0,1,1,http://www.wndu.com/content/news/Local-groups-plan-Columbus-Day-protests--450090393.html,,,,,,,
Southington,Weichsel Municipal Center,CT,US,2017-10-09,about 25,25,,25,,,general protestors,Protesting construction of Columbus statue,0,protest,0,0,0,0,1,1,http://www.courant.com/community/southington/hc-southington-columbus-dedication-1007-story.html,,,,,,,
Spokane,Gonzaga University,WA,US,2017-10-09,,,,,,,Gonzaga Student Body Association,Vigil for Las Vegas shooting,0,rally,,,,,1,1,https://www.facebook.com/events/177333582826421/?ref=br_rs&acontext=%7B%22action_history%22%3A%22null%22%7D,,,,,,,
Syracuse,,NY,US,2017-10-09,more than 100,100,,100,,,general protestors,Protesting Columbus Day; Indigenous People's rally,0,protest,0,0,0,0,1,1,http://dailyorange.com/2017/10/syracuse-community-onondaga-nation-rally-columbus-day-name-change-indigenous-rights/,,,,,,,
Washington,Mall of America,DC,US,2017-10-09,,,,,,,Women,Prayer rally for Trump; anti-feminism,2,rally,0,0,0,0,1,1,http://www.wctrib.com/news/4340783-we-believe-god-put-donald-trump-christian-women-gather-mall-and-criticize-feminism,,,,,,,
Boston,Outside ICE detention facility,MA,US,2017-10-10,hundreds,200,,200,,,general protestors,Protesting immigration detention; against ICE,1,protest,0,0,0,0,1,1,https://thinkprogress.org/marching-band-protest-boston-2ae0f893caaf/,,,,,,,
Brevard County,Outside Board of Ed meeting,FL,US,2017-10-10,about 75,75,,75,,,Teachers,Rallying for higher pay,0,rally,0,0,0,0,1,1,http://www.floridatoday.com/story/news/2017/10/10/brevard-teachers-rally-outside-school-board-meeting-higher-raise/752023001/,,,,,,,
Charleston,Sen. Graham's office,SC,US,2017-10-10,roughly 20,20,,20,,,general protestors,Protesting Graham's stance on gun legislation,1,protest,0,0,0,0,1,1,http://www.live5news.com/story/36563049/charleston-group-holds-gun-legislation-rally-outside-sen-grahams-office,,,,,,,
Eugene,Lane Community College,OR,US,2017-10-10,many,,,,,,Students,Protesting graphic anti-abortion demonstration; pro-choice,0,protest,0,0,0,0,1,1,http://kval.com/news/local/students-protest-anti-abortion-display-at-lane-community-college,,,,,,,
La Verne ,,CA,US,2017-10-10,,,,,,,Students; Teachers; Staff,Vigil for Jordyn Rivera,0,vigil ,0,0,0,0,1,1,http://abc7.com/society/csusb-holds-vigil-for-vegas-shooting-victim-jordyn-rivera/2517373/,,,,,,,
Madison,University of Wisconsin,WI,US,2017-10-10,FB:46 ,46,,46,,,Good Vibrations; Cocks not Glocks UW Madison,Protesting Katie Palvich ,0,protest,0,0,0,0,1,1,http://www.nbc15.com/content/news/UW-students-protesting-pro-gun-speaker-450332053.html,https://www.facebook.com/events/223019044897706/?active_tab=discussion&__xt__=33.%7B%22logging_data%22%3A%7B%22profile_id%22%3A223019044897706%2C%22event_type%22%3A%22clicked_view_event_posts%22%2C%22impression_info%22%3A%22eyJmIjp7Iml0ZW1fY291bnQiOiIwIn19%22%2C%22surface%22%3A%22www_events_permalink%22%2C%22interacted_story_type%22%3A%22236412393365972%22%2C%22session_id%22%3A%2220ec629f361cbe77d2d06a93fe926575%22%7D%7D,http://www.thecollegefix.com/post/37523/,http://host.madison.com/ct/news/local/education/university/uw-madison-students-will-protest-speaker-at-center-of-controversy/article_0b51740e-4a9d-56d1-8857-2ed3717df79e.html,,,,
Milwaukee,City Hall,WI,US,2017-10-10,more than 200,200,,200,,,Firefighters,Rallying against budget cuts to Milwaukee FD,0,rally,0,0,0,0,1,1,http://www.jsonline.com/story/news/local/milwaukee/2017/10/10/hundreds-wisconsin-firefighters-rally-protest-planned-milwaukee-fire-station-closures/751641001/,,,,,,,
Philadelphia,Temple University,PA,US,2017-10-10,,,,,,,Stadium Stompers,Protesting plans for new football stadium,0,protest,0,0,0,0,1,1,http://6abc.com/education/protesters-rally-against-proposed-stadium-on-temple-campus/2517223/,https://whyy.org/articles/stadium-stompers-protest-outside-temple-university-trustees-meeting/,,,,,,
Reno,Federal Building,NV,US,2017-10-10,,,,,,,American Federation of Government Employees,Rally to fill vacancies at the VA,0,rally,,,,,1,1,http://mynews4.com/news/local/rally-for-veterans-affairs-vacancies,http://mynews4.com/news/local/rally-for-veterans-affairs-vacancies,,,,,,
Saint Paul,"Bishop Henry Whipple Building, 1 Federal Dr",MN,US,2017-10-10,,,,,,,Interfaith Coalition on Immigration,"in solidarity with migrant detainees, against inhumane detention practices, abolish ICE, keep families together, against Muslim ban, against border wall",1,vigil,,,,,1,1,https://mnicom.org/programs/vigils/,https://mnicom.org/2017/09/30/october-2017-vigil/,,second Tuesday of every month,,,,
San Diego,Town Council meeting,CA,US,2017-10-10,NA,16,,16,,,general protestors,"Rallying for NFL players, protesting racial inequality",1,protest,0,0,0,0,1,1,http://fox5sandiego.com/2017/10/10/group-kneels-in-protest-at-san-diego-city-council-meeting/,,,,,,,
Springfield,CIty Hall,MA,US,2017-10-10,a dozen,12,,12,,,Seniors,Protesting being left in limbo while they wait for new senior center to open,0,protest,0,0,0,0,1,1,http://www.masslive.com/news/index.ssf/2017/10/springfield_seniors_protest_at.html,,,,,,,
St. Louis ,Northwest High School,MO,US,2017-10-10,about 50,50,,50,,,general protestors,Protesting acquittal of Jason Stockley ,0,protest,0,0,0,0,1,1,http://www.stltoday.com/news/local/crime-and-courts/protesters-march-in-st-louis-at-scene-of-police-shooting/article_b2014e32-d8bc-5e01-88fb-74674ac1cc29.html,,,,,,,
Syracuse,Hanover Square,NY,US,2017-10-10,dozens,24,,24,,,Rethink 81,Rally to discuss options for Interstate 81,0,rally,0,0,0,0,1,1,http://cnycentral.com/news/local/rethink-81-holds-rally-to-support-community-grid-option-for-i-81,,,,,,,
