CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Source1,Source2,Source3,Misc.,Source4,Source5,Source6,,,,,,,,,,,,,,,
Amesbury,,Essex,MA,US,2020-06-20,,,,,,,Trump supporters,"in support of police chief, for President Trump",2,rally,0,0,0,0,1,1,,https://www.bostonglobe.com/2020/06/20/metro/all-lives-matter-black-lives-need-matter-well/,,,,,,,,,,,,,,,,,,,,,
Bradenton,Manatee County Courthouse ,,FL,US,2020-06-20,,,,,,,general protesters,for immigrants' rights,1,rally,,,,,,1,,https://www.sixnineteen.com/,,,,,,,,,,,,,,,,,,,,,
Camdenton,Camden County courthouse,,MO,US,2020-06-20,,,,,,,general protesters,"in support of police, we back the blue, Thin Blue Line",2,rally,0,0,0,0,1,1,,https://www.lakenewsonline.com/news/20200622/lake-residents-gather-for-local-law-enforcement-support-rally,,,,,,,,,,,,,,,,,,,,,
Carson City,Carson Street,,NV,US,2020-06-20,approximately 15,15,,15,,,general protesters,"against Black Lives Matter protesters, All Lives Matter",2,counter-protest,0,0,0,0,1,1,20200620-carsoncity-blm,https://www.kolotv.com/2020/06/20/black-lives-matter-protest-closes-carson-street/,,,verbally confronted protesters; deputies eventually escorted them awa,,,,,,,,,,,,,,,,,,
Concord,New Hampshire State House,Merrimack ,NH,US,2020-06-20,dozens,24,,24,,,Republican lawmakers,"in support of police, Back the Blue, for patriotism, Thin Blue Line",2,rally,0,0,0,0,1,1,,https://www.wmur.com/article/dozens-attend-rally-at-state-house-in-support-of-law-enforcement/32923698#,https://manchesterinklink.com/june-20-appreciation-rally-for-nh-law-enforcement-in-front-of-state-house/,https://www.concordmonitor.com/Stating-their-case-Cops-lives-matter-too-34851690,III%er flag in crowd; not clear if members were there,https://www.concordmonitor.com/Appreciation-Rally-Hosted-for-NH-Police-34848453,,,,,,,,,,,,,,,,,
Duluth,the replica of the Statue of Liberty near the Duluth Entertainment Convention Center,St. Louis,MN,US,2020-06-20,,,,,,,The Interfaith Committee for Migrant Justice,for immigrants' rights,1,rally,,,,,1,1,,https://www.duluthnewstribune.com/lifestyle/faith/6537028-Duluths-Interfaith-Committee-for-Migrant-Justice-to-rally-Saturday-for-unity,,,,,,,,,,,,,,,,,,,,,
Fleetwood,Main Street; South Richmond and South Franklin streets,,PA,US,2020-06-20,5-10,5,,10,,,general protesters,against Black Lives Matter protesters,2,counter-protest,0,0,0,0,1,1,20200620-fleetwood-blm,https://www.berksmontnews.com/news/black-lives-matter-protesters-rally-in-fleetwood/article_eceb6702-b4ae-11ea-85fc-57e66df52dd3.html,,,,,,,,,,,,,,,,,,,,,
Flemington,Historic Courthouse,,NJ,US,2020-06-20,300-500,300,,500,,,general protesters,"in support of law enforcement, against removal of Thin Blue Line from Main St in front of police department",2,rally,0,0,0,0,1,1,20200620-flemington-thinblueline,https://www.mycentraljersey.com/story/news/local/hunterdon-county/2020/06/24/flemington-black-lives-matter-rally-moved-off-main-street-countys-justice-center/3241915001/,,,,,,,,,,,,,,,,,,,,,
Gadsden,Gadsden City Hall ,,AL,US,2020-06-20,more than 50,50,,50,,,general protesters,"against removal of Emma Sansom Confederate monument, in support of police, for boycotting Back Forty Beer Company",2,rally,0,0,0,0,1,1,,https://www.gadsdentimes.com/story/news/local/2020/06/20/group-rallies-in-favor-of-emma-sansom-monument/112806152/,,,,,,,,,,,,,,,,,,,,,
Greenville,Hunt County Courthouse,Hunt,TX,US,2020-06-20,,,,,,,Texas Liberty Defenders,for Republican candidates for office,2,rally,0,0,0,0,1,1,,https://www.heraldbanner.com/news/local_news/political-rally-planned-at-courthouse/article_6a143f08-acfb-11ea-af26-d7471a315997.html,,,,,,,,,,,,,,,,,,,,,
Houston,San Jacinto Monument,,TX ,US,2020-06-20,,,,,,,general protesters,in defense of Confederate and other historic monuments,2,protest,0,0,0,0,1,1,,https://www.houstonchronicle.com/news/houston-texas/texas/article/Armed-activists-at-San-Jacinto-Monument-vows-to-15354911.php,,,,,,,,,,,,,,,,,,,,,
Houston ,Houston City Hall to Emancipation Park,Harris,TX,US,2020-06-20,,,,,,,Familias Inmigrantes y Estudiantes en la Lucha,in support of immigrants in ICE detention centers,1,protest,,,,,1,1,,https://www.chron.com/houston/article/Peaceful-protest-planned-for-this-Saturday-in-15343849.php?cmpid=hpctp,,,,,,,,,,,,,,,,,,,,,
Huntington Beach,Huntington Beach Police Department,,CA,US,2020-06-20,about 50,50,,50,,,general protesters,"in support of police, for patriotism, for President Trump",2,counter-protest,0,0,0,0,1,1,20200620-huntingtonbeach-blm,https://www.ocregister.com/2020/06/20/patriots-for-police-rally-at-huntington-beach-pier-demonstrations/,,,minor clashes between protesters and counter-protesters; police intervened,,,,,,,,,,,,,,,,,,
Indianapolis,Indiana Statehouse,,IN,US,2020-06-20,,,,,,,Republicans,against COVID lockdown,2,protest,0,0,0,0,1,1,,https://www.indystar.com/picture-gallery/news/local/indianapolis/2020/06/20/protest-eric-holcomb-coronavirus-counter/3230652001/,,,,,,,,,,,,,,,,,,,,,
Jensen Beach,from the Lazyboy Store to the Treasure Cost Mall,,FL,US,2020-06-20,,,,,,,Blue Knights,"in support of police, for patriotism, Back the Blue, All Lives Matter",2,motorcycle ride; demonstration,0,0,0,0,1,1,,https://www.wptv.com/news/region-martin-county/jensen-beach/back-the-blue-demonstration-held-in-jensen-beach,,,,,,,,,,,,,,,,,,,,,
Independence,Independence Police Department,,MO,US,2020-06-20,about 40,40,,40,,,general protesters,"in support of police, Thin Blue Line",2,rally,0,0,0,0,1,1,,https://www.kshb.com/news/local-news/independence-rally-offers-support-to-law-enforcement,,,,,,,,,,,,,,,,,,,,,
Kennewick,Kennewick Police Department,,WA,US,2020-06-20,about 100,100,,100,,,general protesters,"All Lives Matter, Blue Lives Matter, Back the Blue, for patriotism",2,rally,0,0,0,0,1,1,20200620-kennewick-blm,https://www.tri-cityherald.com/news/local/article243684322.html,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Hollywood Boulevard and Vine Street to Donald Trump's start on Hollywood Walk of Fame,,CA,US,2020-06-20,,,,,,,Refuse Fascism,"against President Trump, against fascism",1,march; rally,0,0,0,0,1,1,,https://losangeles.cbslocal.com/2020/06/20/refuse-fascism-protest-anti-trump-los-angeles/,,,covered Trump's Walk of Fame star with stickers (but not tallied as property damage),,,,,,,,,,,,,,,,,,
Manitou Springs,Manitou Incline,,CO,US,2020-06-20,more than 100,100,,100,,,hikers,against closure of local park due to Covid,0,protest; hike,,,,,1,1,,https://gazette.com/news/manitou-incline-protest-scheduled-saturday-morning/article_af11aa5a-b19c-11ea-b0c7-eb73d3f6de8a.html,https://gazette.com/news/hikers-climb-manitou-incline-in-protest-of-coronavirus-closure/article_8d50f478-b306-11ea-bbd6-bbcc558a307f.html,https://gazette.com/news/manitou-incline-protest-aims-to-separate-politics-from-closure/article_af11aa5a-b19c-11ea-b0c7-eb73d3f6de8a.html,,,,,,,,,,,,,,,,,,,
Milwaukee,Milwaukee Police Department ,,WI,US,2020-06-20,count video,16,,16,,,pastors,"in support of police, for Christian values",2,demonstration,0,0,0,0,1,1,,https://www.fox6now.com/news/we-want-peace-pastors-organize-prayer-demonstration-to-support-milwaukee-police,,,,,,,,,,,,,,,,,,,,,
Oxford,Prime Fitness,,MA,US,2020-06-20,dozens; hundreds,24,,200,,,general protesters,against state shutting down a gym because of Covid,0,protest,0,0,0,0,1,1,,https://whdh.com/news/dozens-protest-town-of-oxford-shutting-gym-after-owner-opened-against-state-restrictions/,https://www.telegram.com/news/20200620/hundreds-rally-in-support-of-closed-oxford-gymm,https://boston.cbslocal.com/2020/06/20/david-blondin-oxford-gym-closed-support-reopening-massachusetts-rally/,,,,,,,,,,,,,,,,,,,
Palm City,US-1 and Jensen Beach Blvd,,FL,US,2020-06-20,more than 50,50,,50,,,Blue Lives Matter,"in support of police, Back the Blue",2,rally,0,0,0,0,1,1,,https://www.tcpalm.com/story/news/local/martin-county/2020/06/20/first-two-back-blue-events-happened-martin-county-saturday/3231038001/,https://www.tcpalm.com/story/news/local/martin-county/2020/06/20/first-two-back-blue-events-happened-martin-county-saturday/3231038001/,,,,,,,,,,,,,,,,,,,,
Paris,Paris square,,TX,US,2020-06-20,nearly 200,200,,200,,,general protesters,in support of law enforcement,2,rally,0,0,0,0,1,1,,https://theparisnews.com/news/article_9cbc0fd4-b56c-11ea-8112-fb0f597fffc8.htmll,,,,,,,,,,,,,,,,,,,,,
Peoria,Peoria City/County Health Department,,IL,US,2020-06-20,about three dozen,36,,36,,,general protesters; business owners,"against state COVID-19 guidelines, for reopening businesses during coronavirus pandemic, against Governor Pritzker, for patriotism, for President Trump",2,rally,0,0,0,0,1,1,,https://www.pjstar.com/photogallery/IP/20200620/PHOTOGALLERY/620009999/PH/1,,,,,,,,,,,,,,,,,,,,,
Prineville,Crook County Courthouse,Crook,NM,US,2020-06-20,hundreds,200,,200,,,general protesters,"against Black Lives Matter protesters, in support of police, for President Trump",2,counter-protest,0,0,0,0,1,1,20200620-prineville-blm,https://www.bendbulletin.com/localstate/protesters-counter-protesters-rally-again-in-prineville/article_d51218b6-b0e3-11ea-bafb-37171a3b772c.html,,,"many openly carried firearms; ""heavily armed""; verbal confrontations with protesters",,,,,,,,,,,,,,,,,,
Quincy,Wollaston Beach,Norfolk,MA,US,2020-06-20,more than 100,100,,100,,,MA4Trump,"in support of police, Back the Blue, Police Lives Matter",2,rally,0,0,0,0,1,1,20200620-quincy-backtheblue,https://www.bostonglobe.com/2020/06/20/metro/all-lives-matter-black-lives-need-matter-well/,https://www.patriotledger.com/news/20200620/south-shore-residents-show-support-for-police-during-wollaston-beach-rally,,Defend the Police,,,,,,,,,,,,,,,,,,
Salt Lake City,City Hall,Salt Lake,UT,US,2020-06-20,"about 500; roughly 1,000",500,,1000,,,Utah Business Revival,"in support of police, against defunding police, for patriotism, for President Trump, for Christian values, Thin Blue Line",2,counter-protest,0,0,0,0,1,1,20200620-slc-blm,https://www.abc4.com/news/top-stories/defund-the-police-protest-blue-rally-draw-more-than-a-thousand/,https://www.sltrib.com/news/2020/06/20/both-police-supporters/,,Blue Rally,,,,,,,,,,,,,,,,,,
San Quentin,San Quentin State Prison,,CA,US,2020-06-20,,,,,,,general protesters,for releasing prisoners due to Covid-19,0,caravan,,,,,1,1,,https://sf.funcheap.com/san-quentin-car-caravan-justice-capitalism/,,,,,,,,,,,,,,,,,,,,,
Santa Clarita,Heritage Park ,Los Angeles,CA,US,2020-06-20,,,,,,,nurses,against layoffs of nurses and lack of PPE during coronavirus pandemic,0,protest,0,0,0,0,1,1,,https://signalscv.com/2020/06/henry-mayo-nurses-hold-rally-in-opposition-to-staff-layoffs-having-to-reuse-ppe/,,,,,,,,,,,,,,,,,,,,,
Solvang,Misson Dr,,CA,US,2020-06-20,,,,,,,general protesters,"in support of law enforcement, for patriotism, All Lives Matter",2,rally,0,0,0,0,1,1,,https://newspress.com/solvang-rally-supports-local-law-enforcement/,,,,,,,,,,,,,,,,,,,,,
Spring Township,overpass over Route 222,,PA,US,2020-06-20,about 75,75,,75,,,Berks County Patriots,"in support of police, for patriotism",2,rally,0,0,0,0,1,1,,https://www.newsbreak.com/news/1587934895222/berks-patriots-organize-overpass-rally-to-support-law-enforcement,https://www.pottsmerc.com/news/berks-patriots-organize-overpass-rally-to-support-law-enforcement/article_4292076b-c9be-5fe0-9078-3f1ecf14310b.html,,,,,,,,,,,,,,,,,,,,
Texarkana,500 N State Line Ave,,TX,US,2020-06-20,about 40,40,,40,,,Save the Mothers' Monument,against removal of Confederate monument,2,rally,0,0,0,0,1,1,,https://www.texarkanagazette.com/news/texarkana/story/2021/jan/02/top-10-stories-2020-number-8-downtown-monument-center-controversy/854742/,,,,,,,,,,,,,,,,,,,,,
Tulsa,BOK Center,Tulsa,OK,US,2020-06-20,"just under 6,200; about half of arena that holds 19,000; about 10,000",6200,,10000,,,general protesters,for President Trump,2,rally,2,0,0,0,1,1,,https://www.washingtonpost.com/politics/at-a-time-of-national-crisis-and-division-trump-chooses-to-prepare-for-a-fight/2020/06/20/5ebf3306-b296-11ea-856d-5054296735e5_story.html,https://www.washingtonpost.com/politics/hot-words-but-no-violence-as-trump-rallies-in-tulsa/2020/06/20/82bdd10c-b30b-11ea-8f56-63f38c990077_story.html,https://twitter.com/nycjim/status/1274801519746056196,feat. President Trump,https://www.bostonglobe.com/2020/06/21/nation/trump-was-joking-when-he-complained-about-covid-19-testing-white-house-adviser-says/?s_campaign=bdc:globewell:trending&s_campaign=bdc:globewell:trending,,,,,,,,,,,,,,,,,
Tulsa,downtown,,OK,US,2020-06-20,,,,,,,general protesters,for President Trump,2,demonstration,0,0,0,0,0,1,20200620-tulsa-trump,https://www.somerset-kentucky.com/news/trump-supporters-protesters-face-off-outside-oklahoma-rally/article_e1979e3a-b381-11ea-84ae-57683e99529d.html,,,,,,,,,,,,,,,,,,,,,
Tulsa,Center of the Universe,Tulsa,OK,US,2020-06-20,FB: 219,219,,219,,,general protesters,against President Trump,1,counter-protest,,,,,0,1,20200620-tulsa-trump,https://www.facebook.com/events/257117718955924/,,,,,,,,,,,,,,,,,,,,,
Tulsa,Tulsa International Airport,,OK,US,2020-06-20,,,,,,,general protesters,for President Trump,2,rally,0,0,0,0,0,1,,https://tulsaworld.com/business/no-noticeable-spike-in-air-travel-at-tulsa-airport-for-trumps-rally/article_e1af2aac-8312-5395-980e-235d99f89ee4.html,,,,,,,,,,,,,,,,,,,,,
Walpole,Walpole High School; Walpole Police Department,,MA,US,2020-06-20,hundreds,200,,200,,,general protesters,"in support of police, against defunding police, Back Blue Lives",2,rally; march,0,0,0,0,1,1,20200620-walpole-backbluelives,https://www.wcvb.com/article/hundreds-participate-in-march-through-walpole-showing-support-for-police/32922894,,,,,,,,,,,,,,,,,,,,,
Washington,online,,DC,US,2020-06-20,,,,,,,Poor People's Campaign,against poverty,1,virtual march,,,,,1,1,,https://www.wkyt.com/2020/06/18/poor-peoples-campaign-eyes-virtual-march-in-poverty-fight/,https://www.instagram.com/p/CBwS3fkh4W5/,https://www.clickorlando.com/news/politics/2020/06/18/poor-peoples-campaign-eyes-virtual-march-in-poverty-fight/,,https://www.tuscaloosanews.com/news/20200619/rsquovirtual-march-to-fight-poverty,,,,,,,,,,,,,,,,,
Wausau,Yawkey Park; across from City Hall,,WI,US,2020-06-20,,,,,,,Wausau Transfam Alliance; Art & Soul Innovation,for trans rights,1,rally,0,0,0,0,1,1,,https://waow.com/2020/06/20/a-rally-in-wausau-for-transgender-rights/,https://www.wausaudailyherald.com/story/news/2020/06/18/rally-trans-rights-planned-saturday-wausau/3213505001/,,,,,,,,,,,,,,,,,,,,
Westborough,"Westborough Police Station, 45 West Main St",,MA,US,2020-06-20,over 20,20,,20,,,general protesters,"in support of police, for patriotism",2,rally,0,0,0,0,1,1,20200620-westborough-backtheblue,https://www.metrowestdailynews.com/news/20200620/boost-for-blue-westborough-resident-organizes-pro-police-rally,,,,,,,,,,,,,,,,,,,,,
Worthington,OH-161 and High St,,OH,US,2020-06-20,,,,,,,general protesters,against Black Lives Matter protesters,2,counter-protest,0,0,0,0,1,1,20200620-worthington-blm,https://www.nbc4i.com/news/local-news/worthington-police-call-for-information-on-weekend-protest-confrontation/,,,verbal confrontrations and scuffles with protesters; racial slurs; possible vehicle ramming,,,,,,,,,,,,,,,,,,
Asheville,Pack Square,Buncombe,NC,US,2020-06-21,about 100,100,,100,,,general protesters,against defunding police; against Black Lives Matter protesters,2,counter-protest,2,0,0,0,1,1,20200621-asheville-blm,https://www.citizen-times.com/story/news/local/2020/06/22/asheville-protest-defund-police-painted-street-george-floyd/3235511001/,https://www.citizen-times.com/story/news/local/2020/06/25/asheville-chief-seeking-arrests-protesters-guns/3261019001/,https://www.citizen-times.com/story/news/local/2020/07/07/asheville-black-lives-matter-counter-protesters-charged-carrying-guns/5390558002/,"some openly carried AR-15 rifles or sidearms; painted over ""De"" part of ""Defund the Police"" mural in street; conversed with protesters",https://www.citizen-times.com/story/news/2022/08/01/asheville-blm-counter-protester-ex-kkk-member-guilty-gun-charges/10184317002/,,,,,,,,,,,,,,,,,
Bath,Bath Iron Works,Sagadahoc,ME,US,2020-06-21,some 4300,4300,,4300,,,International Association of Machinists,for pay raise and greater benefits for Bath Iron Works workers,0,strike,0,0,0,0,1,1,,https://www.wsws.org/en/articles/2020/06/26/bath-j26.html,,,start of strike,,,,,,,,,,,,,,,,,,
Branson ,76 Country Boulevard; near Dixie Outfitters,,MO,US,2020-06-21,nearly 50,50,,50,,,general protesters,in defense of Confederate flag,2,counter-protest,0,0,0,0,1,1,20200621-branson-confederacy,https://www.ky3.com/content/news/Protesters-counter-protesters-gather-in-Branson-discuss-Confederate-flag-571413461.html,https://www.news-leader.com/picture-gallery/news/local/ozarks/2020/06/22/branson-sees-protests-near-dixie-outfitters/3233876001/,https://www.news-leader.com/story/news/local/ozarks/2020/06/22/branson-black-lives-matter-protest-dixie-outfitters-missouri/3234625001/,,,,,,,,,,,,,,,,,,,
Hilo,,,HI,US,2020-06-21,dozens,24,,24,,,general protesters,against child sex trafficking,0,rally,0,0,0,0,1,1,,https://www.hawaiitribune-herald.com/2020/06/22/hawaii-news/dozens-turn-out-for-missing-keiki-rally/,,,,,,,,,,,,,,,,,,,,,
Palm City,Palm City Skate Park to Veterans Memorial Bridge,,FL,US,2020-06-21,hundreds,200,,200,,,Fraternal Order of Police,"in support of police and first responders, Back the Blue",2,rally; march,0,0,0,0,1,1,,https://www.tcpalm.com/story/news/local/martin-county/2020/06/21/back-blue-rally-held-palm-city-sunday/3201889001/,https://www.tcpalm.com/picture-gallery/news/local/martin-county/2020/06/21/palm-city-back-blue-rally-marches-over-veterans-memorial-bridge/3233026001/,https://www.wptv.com/news/region-martin-county/palm-city/back-the-blue-rally-happening-sunday-in-palm-city,,,,,,,,,,,,,,,,,,,
Tampa,Hyde Park Village,,FL,US,2020-06-21,a,1,,1,,,man,against Black Lives Matter protesters,2,counter-protest,0,0,0,0,1,1,20200621-tampa-blm,https://www.tampabay.com/news/crime/2020/06/24/pickup-driver-curses-slams-into-protest-leader-at-hyde-park-village-demonstration/,,,verbally threatened protesters; vehicle ramming,,,,,,,,,,,,,,,,,,
Watkinsville,Oconee County Sheriff's Office,,GA,US,2020-06-21,count pic,10,,15,,,general protesters,"in support of police, for patriotism, Back the Blue ",2,rally,0,0,0,0,1,1,,https://www.onlineathens.com/photogallery/GA/20200622/PHOTOGALLERY/622009996/PH/1,,,,,,,,,,,,,,,,,,,,,
Anderson,Anderson Police Department,,IN,US,2020-06-22,about 50,50,,50,,,general protesters,"in support of police, Police Lives Matter",2,demonstration,0,0,0,0,1,1,20200622-anderson-policelivesmatter,https://www.heraldbulletin.com/news/pro-police-demonstration-sparks-conversation/article_068226f6-b4e1-11ea-bc16-c3a18c9715ca.html,https://www.heraldbulletin.com/news/live-updates-demonstrators-hold-pro-police-rally/article_bd83aeda-b4d5-11ea-8de1-fbc12157268e.html,,,,,,,,,,,,,,,,,,,,
Boca Raton,Boca Raton City Hall; NW 2nd Avenue and NW 2nd St; Boca Raton Police Department,,FL,US,2020-06-22,over 100,100,,100,,,Judeo-Christian Republican Club,"for President Trump, in support of police, for patriotism, Blue Lives Matter",2,rally,0,0,0,0,1,1,,https://www.palmbeachpost.com/news/20200622/over-100-rally-for-police-in-boca-raton,,,,,,,,,,,,,,,,,,,,,
Broadlands,Loudon County Public Schools headquarters,Loudon,VA,US,2020-06-22,count video,60,,80,,,parents,for reopening schools during coronavirus pandemic,0,protest,0,0,0,0,1,1,,https://www.fox5dc.com/news/loudoun-county-school-district-parents-protest-reopening-plans,,,,,,,,,,,,,,,,,,,,,
Buford,Outside the north precinct of the Gwinnett County Police Department ,,GA,US,2020-06-22,a few dozen,36,,36,,,general protesters,"in support of police, for patriotism, thank you blue",2,protest,0,0,0,0,1,1,,https://www.11alive.com/article/news/local/mynews/lawrenceville/a-small-crowd-gathered-monday-evening-in-support-of-local-law-enforcement/85-27af3340-63ff-435f-9cf9-5472cdee32b4,,,,,,,,,,,,,,,,,,,,,
Caldwell,College of Idaho,,ID,US,2020-06-22,,,,,,,students,for LGBTQ+ rights,1,march,0,0,0,0,1,1,,https://www.idahopress.com/news/local/2cscoop/homophobic-vandalism-found-at-college-of-idaho-day-after-pride-march/article_33680152-d712-5c40-b36f-a8f7c6097824.html,,,,,,,,,,,,,,,,,,,,,
Charleston,Marion Square,,SC,US,2020-06-22,,,,,,,general protesters,"against removal of Confederate monument, save our history",2,protest,0,0,0,0,1,1,20200622-charleston-confederacy,https://www.live5news.com/2020/06/22/protest-planned-over-possible-removal-calhoun-statue/,,,,,,,,,,,,,,,,,,,,,
Graham,Court Square,,NC,US,2020-06-22,50-60,50,,60,,,general protesters,against removal of Confederate monument,2,protest,2,0,0,0,1,1,20200622-graham-confederacy,https://greensboro.com/news/local_news/elon-professor-who-studies-hate-groups-attacked-at-alamance-county-protest-at-confederate-statue-graham/article_440d8d0a-7f51-5f95-9743-08b50292f859.html,,,openly carried firearms; Confederate flags; assaulted counter-protesters,,,,,,,,,,,,,,,,,,
Grants Pass,Grants Pass Department of Public Safety,,OR,US,2020-06-22,around 100,100,,100,,,general protesters,"in support of police, for patriotism",2,rally,0,0,0,0,1,1,,https://kobi5.com/news/local-news/around-100-people-attend-police-support-rally-130996/,,,,,,,,,,,,,,,,,,,,,
New York,"Juniper Valley Park, Queens; Middle Village",Queens,NY,US,2020-06-22,hundreds,200,,200,,,general protesters,"in support of police, for patriotism, against looting, Blue Lives Matter",2,march,0,0,0,0,0,1,20200622-queens-bluelives,https://qns.com/story/2020/06/23/middle-village-protesters-stand-behind-the-blue-shield/,,,,,,,,,,,,,,,,,,,,,
New York,"Gracie Mansion, Manhattan",,NY,US,2020-06-22,dozens,24,,24,,,Orthodox Jews,against noise pollution from fireworks,0,protest,0,0,0,0,0,1,,https://www.jpost.com/diaspora/orthodox-jews-take-their-protest-to-nyc-mayors-home-632566,,,noise demo,,,,,,,,,,,,,,,,,,
Oakland,Oakland International Airport,,CA,US,2020-06-22,dozens of vehicles,24,,24,,,hotel and airport workers and their supporters,for right to return to work or be rehired after being laid off due to COVID-19 pandemic,0,protest,0,0,0,0,1,1,,https://www.mercurynews.com/2020/06/22/oakland-protestors-hold-caravan-to-rally-for-workers-rights/,,,,,,,,,,,,,,,,,,,,,
Port Jefferson Station,,,NY,US,2020-06-22,hundreds,200,,200,,,general protesters; tenant union,"in support of police, for patriotism, for President Trump, for unity, Thin Blue Line, Back the Blue, Blue Lives Matter, God bless the police",2,rally,0,0,0,0,1,1,,http://longisland.news12.com/story/42276117/we-feel-the-police-have-been-vilified-propolice-rally-held-in-port-jeff-station,,,,,,,,,,,,,,,,,,,,,
Rochester,Hall of Justice,,NY,US,2020-06-22,about 10 people,10,,10,,,general protesters; tenant union,against housing courts reopening eviction cases during coronavirus pandemic,0,protest,0,0,0,0,1,1,,https://www.wxxinews.org/post/tenant-union-rallies-outside-city-court-eviction-cases-resume,,,,,,,,,,,,,,,,,,,,,
Selbyville,,,DE,US,2020-06-22,50 vehicles,50,,50,,,United Food & Commercial Workers Local 27,"for right to unionize, for safer working conditions during coronavirus pandemic",0,caravan,0,0,0,0,1,1,,https://www.capegazette.com/article/union-rallies-support-selbyville-mountaire-workers/204002,,,,,,,,,,,,,,,,,,,,,
Springfield,Springfield Public Library; Springfield City Hal,,OR,US,2020-06-22,,,,,,,police supporters,"in support of police, for patriotism",2,march,0,2,0,0,1,1,20200622-springfield-backtheblue,https://www.eugeneweekly.com/2020/06/25/a-rainbow-during-the-storm/,https://www.kezi.com/content/news/Independent-report-gives-Springfield-Police-Departments-response-to-T,,some openly carried firearms; fights with counter-protesters,,,,,,,,,,,,,,,,,,
Walla Walla,Washington State Penitentiary,,WA,US,2020-06-22,,,,,,,inmates,for better protections against COVID-19 for prison inmates,0,hunger strike,0,0,0,0,1,1,,https://www.union-bulletin.com/news/doc-confirms-partial-food-strike-at-penitentiary/article_18f03adf-cf6a-5071-8c27-f8441528318b.html,,,,,,,,,,,,,,,,,,,,,
Watertown,Tarot Cafe,,NY,US,2020-06-22,,,,,,,general protesters,for LGBTQ+ pride,1,protest,0,0,0,0,1,1,,https://www.nny360.com/news/government/gay-pride-protest-organized-in-front-of-watertown-city-hall-after-flag-incident/article_cc1ce01f-f296-5643-b419-42399b153e3b.html,,,,,,,,,,,,,,,,,,,,,
Yonkers,Yonkers City Schools,,NY,US,2020-06-22,,,,,,,The Yonkers Federation of Teachers,for funding to save 170 jobs in schools,0,car rally,0,0,0,0,1,1,,lost link,,,,,,,,,,,,,,,,,,,,,
Astoria,Exchange St,,OR,US,2020-06-23,several,3,,3,,,SEIU,against layoffs of hospital workers during coronavirus pandemic,0,rally,0,0,0,0,1,1,,https://www.dailyastorian.com/coronavirus/columbia-memorial-hospital-workers-rally-for-more-support/article_36dde452-b720-11ea-98d3-7fd56793a7b8.html,,,,,,,,,,,,,,,,,,,,,
Detriot,,,MI,US,2020-06-23,,,,,,,American Postal Workers Union,for funding and support for U.S. Postal Service during coronavirus pandemic,0,rally,0,0,0,0,0,0,,https://www.freep.com/story/news/local/michigan/2020/06/22/michigan-postal-workers-rally/3234688001/,https://www.alamy.com/detroit-michigan-usa-23rd-june-2020-a-car-caravan-at-detroits-main-post-office-to-save-americas-postal-service-the-event-was-part-of-a-nationwide-campaign-by-the-american-postal-workers-union-the-us-postal-service-is-facing-a-financial-crisis-because-of-the-coronavirus-pandemic-congresswomen-rashida-tlaib-and-brenda-lawrence-spoke-during-the-caravan-credit-jim-westalamy-live-news-image363931592.html,,,,,,,,,,,,,,,,,,,,
Holyoke,,,MA,US,2020-06-23,,,,,,,Fund Holyoke Soldiers Home Now,"for city funding for renovation of Soldiers' Home retirement facility, for patriotism, in support of military veterans",0,demonstration,0,0,0,0,1,1,,https://www.masslive.com/coronavirus/2020/06/holyoke-soldiers-home-renovation-advocates-draw-loud-support-in-first-public-demonstration.html,,,,,,,,,,,,,,,,,,,,,
Huntington Beach,"Perry Elementary School; Garfield Avenue, Beach Boulevard, Yorktown Avenue",,CA,US,2020-06-23,about 100,100,,100,,,parents; children,against closure of Perry Elementary School due to coronavirus,0,protest,0,0,0,0,1,1,,https://www.latimes.com/socal/daily-pilot/news/story/2020-06-23/parents-protest-perry-elementary-closure-as-huntington-beach-city-school-district-superintendent-resigns,,,,,,,,,,,,,,,,,,,,,
Laguna Beach,Laguna Beach City Hall,,CA,US,2020-06-23,at least 50,50,,50,,,mountain bikers,against decommissioning of local mountain bike trail,0,protest,0,0,0,0,1,1,,https://www.lagunabeachindy.com/mountain-bikers-protest-trail-closure/,,,,,,,,,,,,,,,,,,,,,
Long Beach,Recreation Park to Councilwoman Suzie Price's home,,CA,US,2020-06-23,more than 80,80,,80,,,general protesters,"for cancelling rent during coronavirus pandemic, for resignation of city council member Suzie Price",0,protest,0,0,0,0,1,1,,https://www.presstelegram.com/2020/06/24/while-renters-protest-repayment-plan-long-beach-proposes-more-assistance-to-tenants/,,,,,,,,,,,,,,,,,,,,,
Louisville,,,KY,US,2020-06-23,840,840,,840,,,general protesters,for Charles Booker for U.S. Senate,1,rally,0,0,0,0,1,1,,https://www.lex18.com/news/covering-kentucky/booker-rallies-in-front-of-hundreds,,,,,,,,,,,,,,,,,,,,,
