CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Source1,Source2,Source3,Misc.,Source4,Source5,Source6,,,,,,,,,,,,,,,
Saint Albans,Taylor Park,Franklin,VT,US,2020-06-02,,,,,,,general protesters,All Lives Matter,2,counter-protest,0,0,0,0,0,1,20200602-stalbans-blm,https://www.wcax.com/content/news/Protesters-counter-protesters-get-into-shouting-match-in-St-Albans-570964141.html,,,arrest noted on protest row,,,,,,,,,,,,,,,,,,
Sandpoint,Bonner County Courthouse; Long Bridge ,Bonner,ID,US,2020-06-02,dozens,24,,24,,,general protesters,"against Black Lives Matter protest, for Second Amendment rights",2,counter-protest,0,0,0,0,1,1,20200602-sandpoint-blm,https://sandpointreader.com/area-youths-protest-george-floyd-killing/,,,carried rifles and sidearms and ammunition; walked behind marchers; patrolled downtown after march concluded,,,,,,,,,,,,,,,,,,
Santee,Mission Gorge Rd and Cuyamaca St,San Diego,CA,US,2020-06-02,,2,,2,,,general protesters,against anti-racism protesters,2,counter-protest,2,0,0,0,1,1,20200602-santee-blm,https://www.kusi.com/two-arrested-in-santee-on-suspicion-of-pointing-gun-at-protesters/,https://www.nbcsandiego.com/news/local/woman-who-brandished-gun-at-protesters-in-santee-arrested-sdso/2338435/,,Woman in car brandished gun at protesters. She and man in car were later arrested.,,,,,,,,,,,,,,,,,,
Apple Valley,Jess Ranch Pkwy and Bear Valley Rd,San Bernardino,CA,US,2020-06-03,,,,,,,general protesters,"against anti-racism protesters, for President Trump",2,counter-protest,0,0,0,0,1,1,20200603-applevalley-blm,https://www.vvdailypress.com/picture-gallery/news/2020/06/04/hundreds-of-8216black-lives-matter8217-protesters-rally-in-apple-valley/112800804/,,,,,,,,,,,,,,,,,,,,,
Atlantic,Sunnyside Park,Cass,IA,US,2020-06-03,,,,,,,local residents,support local police officers,2,rally ,0,0,0,0,1,1,,https://westerniowatoday.com/2020/06/03/citizens-gather-at-sunnyside-park-in-atlantic-take-a-knee-and-say-a-prayer/,,,,,,,,,,,,,,,,,,,,,
Chattanooga,,Hamilton,TN,US,2020-06-03,,1,,1,,,general protesters,against anti-racism protest,2,counter-protest,1,0,0,0,0,1,20200603-chattanooga-blm,https://www.timesfreepress.com/news/local/story/2020/jun/04/chattanoogpolice-arrested-mloaded-ak-47-durin/524573/,,,,,,,,,,,,,,,,,,,,,
Coeur d'Alene,,,ID,US,2020-06-03,count video,25,,30,,,Idaho Three Percenters,"against threat of disorder from Black Lives Matter protest, for patriotism, for law and order",2,counter-protest,,,,,1,1,20200603-cda-blm,https://www.youtube.com/watch?v=oiETsVGYzeU,,,militia openly carrying firearms; many wearing tactical gear; deployed in teams and patrolled downtown area,,,,,,,,,,,,,,,,,,
Missoula,Missoula County Courthouse,Missoula,MT,US,2020-06-03,,,,,,,general protesters,"against Black Lives Matter protesters, for patriotism, for racism",2,counter-protest,0,0,0,0,1,1,20200603-missoula-blm,https://twitter.com/RedoubtAFA/status/1437958176985399298,,,militia openly carrying firearms,,,,,,,,,,,,,,,,,,
Newport Beach,30th St and Newport Blvd,Orange,CA,US,2020-06-03,a,1,,1,,,general protesters,against anti-racism protesters,2,counter-protest,1,0,0,0,1,1,20200603-newportbeach-blm,https://ktla.com/news/local-news/man-pulls-gun-driver-speeds-through-crowd-during-protests-in-newport-beach/,,,Pulled a gun on protesters who were chasing him.,,,,,,,,1,,,,,,,,1,,
Oakdale,Wood Park,Stanislaus,CA,US,2020-06-03,count video,20,,30,,,general protesters,"against Black Lives Matter protesters, for President Trump, All Lives Matter",2,counter-protest,unspecified,0,2,0,0,1,20200603-oakdale-blm,https://www.modbee.com/news/local/article243251251.html,https://itsgoingdown.org/oakdale-trump-supporters-attack-blm/,https://sacramento.cbslocal.com/2020/06/03/stanislaus-state-emergency-oakdale-floyd-protests/,shouted racial slurs at protesters; attacked protesters,https://itsgoingdown.org/wake-of-rebellion-modesto-analysis-2021/,,,,,,,,,,,,,,,,,
Sonora,Sonora Veterans Hall; Courthouse Square,Tuolomne,CA,US,2020-06-03,about 200,200,,200,,,State of Jefferson,"against Black Lives Matter protest, All Lives Matter, for patriotism, for protection of property",2,counter-protest,0,0,0,0,1,1,20200603-sonora-blm,https://www.uniondemocrat.com/news/article_a0a60c60-a5b0-11ea-9eb6-b3d81612dbab.html,https://www.mymotherlode.com/news/local/1071168/demonstration-against-racism-comes-to-downtown-sonora.html,https://twitter.com/ActionSonora/status/1268334294121889792,chanted at protesters; some businesses boarded up their storefronts ahead of protest,https://www.uniondemocrat.com/news/article_d1c5b016-a54c-11ea-8176-0b94450ecdff.html,,,,,,,,,,,,,,,,,
Whitefish,Whitefish City Hall,Flathead,MT,US,2020-06-03,na,1,,1,,,general protesters,"against Black Lives Matter protesters, all lives matter",2,counter-protest,1,0,0,0,0,1,20200603-whitefish-blm,https://dailyinterlake.com/news/2020/jun/18/man-pleads-not-guilty-to-protest-related-6/,https://dailyinterlake.com/news/2020/jun/04/black-lives-matter-protests-ramp-up-in-6/,,,,,,,,,,,,,,,,,,,,
Anderson,,Madison ,IN,US,2020-06-04,na,1,,1,,,general protesters,against bad conditions in jail,0,protest,0,1,0,0,1,1,,https://www.wfla.com/news/inmate-cuts-off-part-of-finger-mails-it-to-newspaper-to-protest-jail-conditions/,,,,,,,,,,,,,,,,,,,,,
Ann Arbor,West Park to downtown,Washtenaw,MI,US,2020-06-04,na,1,,1,,,general protesters,"against Black Lives Matter protesters, for President Trump",2,counter-protest,0,0,0,0,0,1,20200604-annarbor-blm,https://www.mlive.com/news/ann-arbor/2020/06/white-people-do-something-ann-arbor-protest-organizer-says-during-march-through-neighborhoods.html,,,,,,,,,,,,,,,,,,,,,
Coeur d'Alene,alongside US 95 and Appleway Avenue,Kootenai,ID,US,2020-06-04,,,,,,,general protesters,against Black Lives Matter protesters,2,counter-protest,0,0,0,0,0,1,20200604-coeurdalene-blm-1,https://cdapress.com/news/2020/jun/05/unity-and-awareness-5/,,,some openly carried firearms,,,,,,,,,,,,,,,,,,
Coeur d'Alene,"WinCo Foods, 1485 W Appleway Ave",Kootenai,ID,US,2020-06-04,20-30,20,,30,,,general protesters,"against Black Lives Matter protesters, for protection of property",2,counter-protest,0,0,0,0,0,1,20200604-coeurdalene-blm-2,https://cdapress.com/news/2020/jun/05/unity-and-awareness-5/,,,some openly carried firearms,,,,,,,,,,,,,,,,,,
Flower Mound,Long Prairie Rd,,TX,US,2020-06-04,about 40,40,,40,,,general protestors,against Black Lives Matter protesters,2,counter-protest,0,0,0,0,1,1,20200604-flowermound-blm,Protest sprouts in the suburbs of North Texas and beyond in wake of George Floyd’s killing (dallasnews.com),,,,,,,,,,,,,,,,,,,,,
Henderson,Henderson County School Board meeting,,KY,US,2020-06-04,about 40,40,,40,,,student athletes and their parents,for resuming school sports practices during coronavirus pandemic,0,protest,0,0,0,0,1,1,,https://www.courierpress.com/story/news/2020/06/25/athletes-protest-school-board-meeting-restricted-practices-resume-july-13/3261514001/,,,,,,,,,,,,,,,,,,,,,
Howell,Livingston County Veterans Memorial,,MI,US,2020-06-04,about 50,50,,50,,,Michigan for 2A Sanctuary Counties-Livingston,"against anti-racism protesters, for gun rights",2,counter-protest,1,1,0,0,1,1,20200604-howell-blm,https://www.livingstondaily.com/story/news/local/2020/06/08/howell-police-seeking-charge-after-counter-protester-assaulted/5318840002/,https://www.freep.com/in-depth/news/local/michigan/detroit/2020/06/14/anti-police-brutality-george-floyd-death/5331744002/,,Some openly carried firearms.,,,,,,,,,,,,,,,,,,
Julian,Main St,San Diego,CA,US,2020-06-04,two,2,,2,,,general protesters,against anti-racism protesters,2,counter-protest,0,0,0,0,1,1,20200604-julian-blm,https://www.borregosun.com/story/2020/06/01/julian/peaceful-protest-in-julian/5647.html,,,,,,,,,,,,,,,,,,,,,
