id,date,url,headline,abstract,lead_paragraph,type_of_material,section_name,blm,black lives matter,police brutality,defund police,blue lives matter,George Floyd,Breonna Taylor,Tyre Nichols,Eric Garner,Ahmaud Arbery,Tamir Rice
7aedc7f0-850e-5685-8e5d-1e21293cb004,2022-10-16,https://www.nytimes.com/2022/10/16/podcasts/the-daily/the-sunday-read-daring-to-speak-up-about-race-in-a-divided-school-district.html,The Sunday Read: ‘Daring to Speak Up About Race in a Divided School District’,What happened when a superintendent in northern Michigan raised the issue of systemic racism?,"In July 2020, Stephanie Long, the school superintendent in Leland, Mich., wrote a heartfelt letter to her students and their families after George Floyd’s murder by Minneapolis police officers. Haunted by the images she’d seen in the media, she wrote: “Why be in a position of leadership,” she asked herself, “and not lead?”",News,Podcasts,False,False,False,False,False,True,False,False,False,False,False
ca6e0997-d6c3-5906-8f58-d4868ae8d03d,2022-10-28,https://www.nytimes.com/2022/10/28/arts/design/public-art-black-britain.html,"In the U.K., Public Art Shifts Toward Black Experiences","As a result of decades of conversation and scholarship, a wave of new public sculptures reflect and honor Black Britons.","LONDON — At the height of the Black Lives Matter protests in 2020, a statue in Bristol, in the southwest of England was pulled from its plinth, stomped on, graffitied and thrown into the river. Before the incident, Edward Colston, the British slave trader and merchant the sculpture depicted, was a name generally only known by historians.",News,Arts,False,True,False,False,False,False,False,False,False,False,False
e795fee5-f4e0-5367-9053-76820c636e47,2022-10-09,https://www.nytimes.com/2022/10/09/arts/samson-kambalu-antelope-sculpture.html,"A London Monument to Equality, Inspired by an Act of Defiance","Samson Kambalu’s “Antelope,” a towering bronze sculpture that sits prominently in Trafalgar Square, revisits an old question: Who gets to wear a hat?","LONDON — Samson Kambalu, a British multimedia artist who was born in Malawi, is asking his adoptive nation to examine an uncomfortable colonial past, along with its present, in the age of Black Lives Matter.",News,Arts,False,True,False,False,False,False,False,False,False,False,False
f61b1c9c-ecfe-56a7-9e4b-7196765f193e,2022-10-20,https://www.nytimes.com/2022/10/20/us/maryland-autopsy-medical-examiner-review.html,Maryland Will Review 100 Police Death Cases for Signs of Bias,Testimony in the George Floyd murder trial raised questions about how Maryland had handled similar cases.,"In 2021, the world watched as Dr. David R. Fowler, one of the country’s top forensic pathologists and the former chief medical examiner of Maryland, testified in a Minneapolis courtroom. He said that a police officer’s knee had not caused the death of George Floyd, who had been pinned down on the street by three officers for more than nine minutes as his cries for help subsided into silence.",News,U.S.,False,False,False,False,False,True,False,False,False,False,False
0f6b17f2-deac-5977-b7a9-57de8227723e,2017-07-31,https://www.nytimes.com/2017/07/31/us/parents-students-summer.html,Campus Political Fights Come Home for the Summer,"With boycotts and protests erupting at colleges across the country, politically active students find new debate partners: their parents.","College in the summer: Dorms and quads are quiet, and it seems that the whole community is catching its breath. No marches, sit-ins, shout-downs, protesters giving professors whiplash. No arguments over free speech, Black Lives Matter, Israeli boycotts, abortion, Bernie Sanders, Hillary Clinton, President Trump.",News,U.S.,False,True,False,False,False,False,False,False,False,False,False
ae766ea7-307b-5b00-8856-265a5a1d3782,2017-04-05,https://www.nytimes.com/2017/04/05/business/kendall-jenner-pepsi-ad.html,Pepsi Pulls Ad Accused of Trivializing Black Lives Matter,The beverage company apologized for an ad featuring Kendall Jenner giving a smiling officer a soda at a protest.,"Pepsi has apologized for a controversial advertisement that borrowed imagery from the Black Lives Matter movement, after a day of intense criticism from people who said it trivialized the widespread protests against the killings of black people by the police.",News,Business Day,False,True,False,False,False,False,False,False,False,False,False
c12a4120-ba05-5889-b70f-320f612e817c,2017-04-06,https://www.nytimes.com/2017/04/06/opinion/a-pepsi-commercials-lesson-for-advertisers.html,A Pepsi Commercial’s Lesson for Advertisers,It’s no surprise that co-opting a cause for marketing went terribly wrong.,"Pepsi on Wednesday pulled a disastrous advertisement after it was met with widespread ridicule. Titled “Jump In,” the two-and-a-half minute spot was full of clumsy, glib references to police brutality and Black Lives Matter protests. Nearly every tone-deaf frame has become a mocking meme. And the commercial (Pepsi calls it a “short film”) drew the most intense disgust from the very people whose experiences it tried to reflect.",Op-Ed,Opinion,False,True,True,False,False,False,False,False,False,False,False
c61dc0f6-f057-58ad-a236-702003d188c4,2017-04-09,https://www.nytimes.com/2017/04/09/us/first-consent-decree-police-abuse-pittsburgh.html,‘It Did Not Stick’: The First Federal Effort to Curb Police Abuse,"In 1997, the Justice Department entered its first consent decree, with the Pittsburgh police. Nineteen cities later, it has learned from its mistakes.","PITTSBURGH — Federal intervention to curb police abuse did not begin after chants of “I can’t breathe,” viral cellphone videos or the Black Lives Matter movement.",News,U.S.,False,True,False,False,False,False,False,False,False,False,False
41737be8-75d0-5a2e-a647-1529c5e4fef1,2017-01-14,https://www.nytimes.com/2017/01/13/us/officers-in-tamir-rice-killing.html,Officers Involved in Tamir Rice Killing Face Administrative Charges,The charges came over a year after a grand jury declined to bring criminal charges in the death of the 12-year-old boy at the hands of police.,"Three Cleveland police officers face administrative charges in connection with the fatal shooting of Tamir Rice, a 12-year-old boy whose death in 2014 set off national outrage, officials said on Friday.",News,U.S.,False,False,False,False,False,False,False,False,False,False,True
7a42fac0-4bc8-57c0-9a23-89a6d1727bae,2017-01-08,https://www.nytimes.com/2017/01/08/theater/the-bitter-game-public-theater-under-the-radar.html,Review: ‘The Bitter Game’ Brings Black Lives Matter to the Fore,"The play, by Keith A. Wallace, follows an African-American boy, Jamel, who from childhood on learns to keep his head up.","They are instructions to commit to memory, essential tools in a young man’s defense system: Keep your head up. Keep your eyes forward. Keep your ego down.",Review,Theater,False,True,False,False,False,False,False,False,False,False,False
dd64679a-c36b-518a-ba55-c91fe16191e2,2017-03-28,https://www.nytimes.com/2017/03/28/arts/television/tv-review-rebel-bet.html,"Review: In BET’s Police Drama ‘Rebel,’ Blaxploitation Matters",Is it too soon? John Singleton’s new series makes pulp fiction out of polarizing issues.,"A young, unarmed black man is gunned down by the police. A black officer is implicated, the force is divided along color lines, the news media descends. Just a week after the premiere of “Shots Fired” on Fox, here comes another topical series about race and police brutality.",Review,Arts,False,False,True,False,False,False,False,False,False,False,False
296dbb6c-376f-534f-b505-c90f994c5e40,2017-03-23,https://www.nytimes.com/2017/03/23/nyregion/ccrb-nypd-daniel-pantaleo-eric-garner.html,Employee Accused of Records Leak in Eric Garner Case Resigns,"In announcing the forced resignation, a city agency confirmed that leaked disciplinary records of the officer who placed Mr. Garner in a fatal chokehold, were authentic.","A New York City agency charged with investigating police wrongdoing on Thursday forced an employee to resign after discovering that the employee had leaked the disciplinary history of the officer who placed Eric Garner in a fatal chokehold. The agency also confirmed for the first time that the records, which showed that the officer faced no stronger punishment for abusing his authority than retraining and the loss of two vacation days, were authentic.",News,New York,False,False,False,False,False,False,False,False,True,False,False
524dbfd0-db15-5125-a086-c3f8b229a9f5,2017-03-21,https://www.nytimes.com/2017/03/21/arts/television/review-shots-fired-fox.html,"Review: ‘Shots Fired’ Complicates Black, White and Blue",This new Fox drama centers on the repercussions of the shooting of a white youth by a black sheriff’s deputy in a North Carolina town.,"The debate over police violence in America is often framed as Black Lives Matter versus Blue Lives Matter. “Shots Fired,” a new 10-episode series on Wednesdays on Fox, starts with a shooter whose life is both black and blue.",Review,Arts,False,True,False,False,True,False,False,False,False,False,False
7792ddcb-8a97-57f8-af5d-f7f1a00418dc,2017-03-26,https://www.nytimes.com/2017/03/26/nyregion/baltimore-timothy-caughman-vigil-james-harris-jackson.html,Baltimoreans Mourn a Man Said to Have Been Killed by Their Neighbor,The murder of a black man in New York reminds a Baltimore neighborhood of its own complicated racial history.,"BALTIMORE — Under a gloomy sky, a crowd of a few dozen people assembled in the yard outside a stone church, a mostly white group who carried posters and wore T-shirts with messages like “Black Lives Matter,” “Stay Woke” and, simply, “BMORE Kind.” They had come on a Saturday evening to mourn a man they did not know, killed some 200 miles from here.",News,New York,False,True,False,False,False,False,False,False,False,False,False
7c07ce90-b4c0-58f5-bbee-0a157eec3aba,2017-03-02,https://www.nytimes.com/2017/03/01/us/justice-department-police-law-enforcement.html,A Debate: Should the Justice Department Police the Police?,Two law enforcement leaders discuss the wisdom of the Trump administration’s initial retreat from an aggressive stance on civil rights.,"Blue lives matter. That is, in essence, what Attorney General Jeff Sessions has been saying since he took office, promising to protect the lives of police officers, stop undermining them as (he implied) the Obama administration had, and let them get back to enforcing law and order.",News,U.S.,False,False,False,False,True,False,False,False,False,False,False
8475051f-af85-52b6-bf07-261ec24dd253,2017-03-02,https://www.nytimes.com/2017/03/02/books/review/10-new-books-we-recommend-this-week.html,10 New Books We Recommend This Week,Suggested reading from critics and editors at The New York Times.,"This week, we’ve got a number of books on our list that are certain to get people talking. Cordelia Fine’s latest, “Testosterone Rex,” addresses head on some of the sexism that poses as neuroscience. Barry Friedman’s important new book, “Unwarranted,” takes on the volatile question of how to address abusive policing. And Angie Thomas’s “The Hate U Give” offers teenage readers a way to look at the Black Lives Matter movement. For sheer fun and entertainment? I recommend Bill Schutt’s “Cannibalism.” As readers will discover, that’s not as strange as it sounds. Bon appetit.",News,Books,False,True,False,False,False,False,False,False,False,False,False
9250fb22-f812-5a62-ad69-b90ae1c430a4,2017-03-20,https://www.nytimes.com/2017/03/19/books/review/black-lives-matter-teenage-books.html,New Crop of Young Adult Novels Explores Race and Police Brutality,"A new generation of authors is embracing writing as activism, tackling issues like racial bias, police violence and the Black Lives Matter movement.","Angie Thomas started writing her young-adult novel, “The Hate U Give,” in reaction to a fatal shooting that took place some 2,000 miles away. But to her it felt deeply personal.",News,Books,False,False,True,False,False,False,False,False,False,False,False
9c114ed8-9c87-5071-95a1-9109e0a7a2b0,2017-03-20,https://www.nytimes.com/2017/03/20/books/where-fiction-and-reality-collide-books-and-black-lives-matter.html,Where Fiction and Reality Collide: Books and Black Lives Matter,A look at several recent and pending young adult novels that explore racial profiling and police violence against young African-Americans.,"There’s a moment near the end of Angie Thomas’s debut novel, “The Hate U Give,” when fiction and reality collide.",News,Books,False,True,False,False,False,False,False,False,False,False,False
c05f3511-c3b5-50be-b8d8-cc0c0a4e1dbf,2017-03-22,https://www.nytimes.com/2017/03/22/nyregion/nypd-eric-garner-daniel-pantaleo-disciplinary-records.html,Records Leak in Eric Garner Case Renews Debate on Police Discipline,"After revelations about the disciplinary history of Officer Daniel Pantaleo, attention has shifted to broader questions about the response to police misconduct.","Soon after Eric Garner died in an encounter with police officers on Staten Island in July 2014, New York City began fighting to shield the disciplinary records of the officer whose chokehold led to the death. In the past, the city had allowed the release of some details on officer discipline.",News,New York,False,False,False,False,False,False,False,False,True,False,False
