id,type,section,date,headline,url,category,lead_paragraph,Black Lives Matter,BLM,Police Brutality,George Floyd,Breonna Taylor,Tyrel Nichols,Ahmaud Abery,Blue Lives Matter
simon-schuster-book-breonna-taylor-jonathan-mattingly-the-fight-for-truth,article,books,2021-04-16,simon & schuster refuses to distribute book by officer who shot breonna taylor,https://www.theguardian.com/books/2021/apr/16/simon-schuster-book-breonna-taylor-jonathan-mattingly-the-fight-for-truth,Arts,"simon &amp; schuster has said that it will not be distributing a book by one of the police officers who shot breonna taylor, after a small publisher whose books are distributed through s&amp;s announced the book to widespread criticism.",False,False,False,False,True,False,False,False
back-to-black-how-the-music-industry-reckoned-with-race-this-year,article,music,2020-12-28,back to black: how the music industry reckoned with race this year,https://www.theguardian.com/music/2020/dec/28/back-to-black-how-the-music-industry-reckoned-with-race-this-year,Arts,"“in the wake of george floyd” is a sentence i have both read and written too many times this year. his brutal and racist killing forced an elevated conscience across every industry: suddenly, organisations cared about black lives and everyone wanted to amplify black voices.",False,False,False,False,False,False,False,False
opal-tometi-co-founder-of-black-lives-matter-i-do-this-because-we-deserve-to-live,article,society,2020-09-24,"opal tometi, co-founder of black lives matter: 'i do this because we deserve to live'",https://www.theguardian.com/society/2020/sep/24/opal-tometi-co-founder-of-black-lives-matter-i-do-this-because-we-deserve-to-live,News,"maybe opal tometi is not the image of a great us civil rights leader that lives in your head. for a start, she is not an austere man in a dark suit, but a 36-year-old woman in pilates gear, who laughs often and generously. she doesn’t need the sonorous tones of a southern baptist preacher to make her point – she has social media – and with nigerian-born parents her ancestors were not among those enslaved and transported across the atlantic several centuries ago. yet, as one of the three founders of black lives matter, opal tometi has helped to reignite the civil rights movement.",True,False,False,False,False,False,False,False
guilty-world-media-chauvin-trial-verdict-george-floyd-us-race-relations,article,us-news,2021-04-21,"‘guilty, guilty, guilty’: world’s media react to chauvin trial verdict",https://www.theguardian.com/us-news/2021/apr/21/guilty-world-media-chauvin-trial-verdict-george-floyd-us-race-relations,News,"with intense international interest in the  us trial of former police officer derek chauvin for the murder of george floyd, news organisations around the world had been live blogging the proceedings and were quick to reflect the ruling by the jury.",False,False,False,False,False,False,False,False
talawa-theatre-company-its-time-to-double-down-on-black-lives-matter-pledges,article,stage,2021-03-26,talawa theatre company: 'it's time to double down on black lives matter pledges',https://www.theguardian.com/stage/2021/mar/26/talawa-theatre-company-its-time-to-double-down-on-black-lives-matter-pledges,Arts,"britain’s oldest black theatre company,  talawa, is plotting its 35th-anniversary celebrations and hopes to go big. it might have gone bigger, had its plans to stage an ambitious season of works not been aborted late last year. michael buffong, its artistic director, had programmed black joy at birmingham rep for this autumn,trong> trong>which “was supposed to present a step change” in its scale and ambition.",True,False,False,False,False,False,False,False
derek-chauvin-trial-george-floyd-death-live-updates,liveblog,us-news,2021-04-14,chauvin trial: prosecution quizzes defense witness over carbon monoxide claim – as it happened,https://www.theguardian.com/us-news/live/2021/apr/14/derek-chauvin-trial-george-floyd-death-live-updates,News,"class=""block-time published-time""> ime datetime=""2021-04-14t21:33:05.764z"">10.33pm pan class=""timezone"">bstpan>ime>",False,False,False,False,False,False,False,False
kyle-rittenhouse-verdict-acquitted-protest,article,us-news,2021-11-19,kyle rittenhouse verdict declares open hunting season on progressive protesters | cas mudde,https://www.theguardian.com/us-news/commentisfree/2021/nov/19/kyle-rittenhouse-verdict-acquitted-protest,News,"kyle rittenhouse – the armed white teenager who traveled from illinois to wisconsin to allegedly “protect” local businesses from anti-racism protesters in kenosha, whereupon he shot and killed two people and injured another – has been  acquitted of all charges. i don’t think anyone who has followed the trial even casually will be surprised by this verdict. after the various antics by the elected  judge, which seemed to indicate where his sympathies lay, and the fact that  the prosecution asked the jurors to consider charges lesser than murder, the writing was on the wall.",False,False,False,False,False,False,False,False
george-floyd-memorials-vandalised-new-york-new-jersey,article,us-news,2021-06-25,george floyd memorials vandalised in new york and new jersey,https://www.theguardian.com/us-news/2021/jun/25/george-floyd-memorials-vandalised-new-york-new-jersey,News,"supporters of a white nationalist hate group defaced brand-new memorials to george floyd in new york and new jersey this week, even as the nation  awaits a sentence for floyd’s murderer.",False,False,False,True,False,False,False,False
rayshard-brooks-family-atlanta-police-killing,article,us-news,2020-06-15,rayshard brooks family call for murder charges after police killing,https://www.theguardian.com/us-news/2020/jun/15/rayshard-brooks-family-atlanta-police-killing,News,"the family of rayshard brooks, an unarmed black man who was shot twice in the back by a white atlanta police officer on friday after he fell asleep in his car, have called for murder charges and a radical overhaul of the city’s police department.",False,False,False,False,False,False,False,False
arrest-new-york-black-lives-matter-protesters-injured,article,us-news,2020-12-12,woman charged after allegedly driving car into crowd of new york protesters,https://www.theguardian.com/us-news/2020/dec/12/arrest-new-york-black-lives-matter-protesters-injured,News,"one woman was arrested after allegedly  driving her car into a crowd of black lives matter protesters in manhattan friday afternoon, injuring six, the new york police department (nypd) said.",False,False,False,False,False,False,False,False
derek-chauvin-trial-defence-george-floyd,article,us-news,2021-04-13,derek chauvin trial: defence opens its case with ex-police officer,https://www.theguardian.com/us-news/2021/apr/13/derek-chauvin-trial-defence-george-floyd,News,the defence in the derek chauvin murder trial  opened its case on tuesday by attempting to show george floyd had a history of failing to cooperate with the police while under the influence of drugs.,False,False,False,False,False,False,False,False
keith-ellison-george-floyd-speech-minnesota-attorney-general,article,commentisfree,2021-04-21,today’s verdict isn’t ‘justice’. but accountability is a first step to justice | keith ellison,https://www.theguardian.com/commentisfree/2021/apr/20/keith-ellison-george-floyd-speech-minnesota-attorney-general,Opinion,"m>in a press conference following the news that a jury had  found the former police officer derek chauvin guilty on multiple counts of the murder of george floyd, minnesota’s attorney general, keith ellison, delivered a short but powerful statement.m>",False,False,False,False,False,False,False,False
marie-stopes-charity-changes-name-in-break-with-founders-view-on-eugenics,article,global-development,2020-11-17,marie stopes charity changes name in break with campaigner's view on eugenics,https://www.theguardian.com/global-development/2020/nov/17/marie-stopes-charity-changes-name-in-break-with-founders-view-on-eugenics,News,marie stopes international (msi) is to change its name in an attempt to break its association with the family planning pioneer.,False,False,False,False,False,False,False,False
derek-chauvin-verdict-guilty-murder-george-floyd,article,us-news,2021-04-21,derek chauvin found guilty of murder of george floyd,https://www.theguardian.com/us-news/2021/apr/20/derek-chauvin-verdict-guilty-murder-george-floyd,News,"derek chauvin has been  convicted of murder for killing george floyd by kneeling on his neck for more than nine minutes, a crime that prompted waves of protests in support of racial justice in the us and across the world.",False,False,False,True,False,False,False,False
derek-chauvin-trial-four-key-points-so-far,article,us-news,2021-04-03,derek chauvin trial: what we've learned after the first week,https://www.theguardian.com/us-news/2021/apr/03/derek-chauvin-trial-four-key-points-so-far,News,"the trial against derek chauvin, the white former police officer charged with murdering  george floyd in minneapolis last may,  began in earnest on monday and lasted all week.",False,False,False,False,False,False,False,False
